Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-18,28.06,30.84,24.67,27.14,62546300,0.0,0.0
1999-11-19,26.48,26.52,24.55,24.9,15234100,0.0,0.0
1999-11-22,25.48,27.14,24.71,27.14,6577800,0.0,0.0
1999-11-23,26.21,26.91,24.67,24.67,5975600,0.0,0.0
1999-11-24,24.75,25.87,24.67,25.33,4843200,0.0,0.0
1999-11-26,25.21,25.6,25.13,25.4,1729400,0.0,0.0
1999-11-29,25.29,26.17,25.02,25.98,4074700,0.0,0.0
1999-11-30,25.9,26.48,25.25,26.02,4310000,0.0,0.0
1999-12-01,26.02,26.79,25.83,26.48,2957300,0.0,0.0
1999-12-02,26.98,27.75,26.64,27.21,3069800,0.0,0.0
1999-12-03,27.72,28.18,27.33,27.45,3041600,0.0,0.0
1999-12-06,27.91,28.64,27.87,28.22,2250700,0.0,0.0
1999-12-07,28.22,28.37,27.33,27.91,2215900,0.0,0.0
1999-12-08,27.91,28.14,27.64,27.87,1887800,0.0,0.0
1999-12-09,27.91,28.33,27.91,28.26,2029000,0.0,0.0
1999-12-10,28.18,28.33,27.6,27.6,1664700,0.0,0.0
1999-12-13,28.06,28.53,27.37,28.06,4020500,0.0,0.0
1999-12-14,27.99,27.99,25.94,26.52,2328900,0.0,0.0
1999-12-15,25.9,26.1,25.29,25.71,2917700,0.0,0.0
1999-12-16,25.9,29.14,25.9,29.14,2583900,0.0,0.0
1999-12-17,28.6,29.06,28.02,28.33,3708000,0.0,0.0
1999-12-20,28.53,28.95,28.45,28.91,1196800,0.0,0.0
1999-12-21,28.8,28.8,28.37,28.76,2259400,0.0,0.0
1999-12-22,28.76,29.33,28.56,29.33,1905700,0.0,0.0
1999-12-23,29.3,30.84,29.26,30.68,2159400,0.0,0.0
1999-12-27,30.8,32.8,30.57,32.57,2029600,0.0,0.0
1999-12-28,33.46,37.93,33.27,37.93,3560000,0.0,0.0
1999-12-29,38.86,48.76,38.82,44.41,10518500,0.0,0.0
1999-12-30,46.87,49.34,45.79,48.88,6671100,0.0,0.0
1999-12-31,49.03,49.3,47.03,47.68,1931100,0.0,0.0
2000-01-03,48.57,48.69,41.55,44.41,4674300,0.0,0.0
