Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-29,12.73,13.76,12.71,13.2,371100,0.0,0.0
2001-11-30,13.2,13.57,13.2,13.57,165300,0.0,0.0
2001-12-03,13.54,13.54,13.11,13.11,127500,0.0,0.0
2001-12-04,13.11,13.11,12.59,12.59,95400,0.0,0.0
2001-12-05,12.78,14.06,12.78,13.95,598200,0.0,0.0
2001-12-06,14.01,14.01,13.86,13.86,157200,0.0,0.0
2001-12-07,13.87,13.95,13.76,13.95,215100,0.0,0.0
2001-12-10,13.92,13.93,13.88,13.9,119100,0.0,0.0
2001-12-11,13.89,13.99,13.88,13.88,378600,0.0,0.0
2001-12-12,13.87,13.87,13.35,13.41,114600,0.0,0.0
2001-12-13,13.4,13.57,13.29,13.29,113700,0.0,0.0
2001-12-14,13.27,13.27,12.86,12.97,233400,0.0,0.0
2001-12-17,13.0,13.32,13.0,13.0,106200,0.0,0.0
2001-12-18,13.02,13.19,13.0,13.0,101400,0.0,0.0
2001-12-19,13.0,13.02,12.92,13.02,157800,0.0,0.0
2001-12-20,13.06,13.54,13.06,13.41,97200,0.0,0.0
2001-12-21,13.49,14.55,13.48,14.38,659400,0.0,0.0
2001-12-24,14.36,14.6,14.33,14.52,50700,0.0,0.0
2001-12-26,14.55,14.89,14.52,14.59,378000,0.0,0.0
2001-12-27,14.98,15.11,14.65,14.89,349200,0.0,0.0
2001-12-28,14.97,14.97,14.87,14.92,295500,0.0,0.0
2001-12-31,14.93,15.77,14.81,15.77,255900,0.0,0.0
2002-01-02,15.38,15.38,15.11,15.15,132300,0.0,0.0
2002-01-03,15.12,15.13,14.36,14.36,89700,0.0,0.0
2002-01-04,14.36,14.46,13.0,13.48,346500,0.0,0.0
2002-01-07,13.48,13.67,12.64,13.25,601500,0.0,0.0
2002-01-08,13.17,13.25,12.84,13.03,442200,0.0,0.0
2002-01-09,13.05,13.19,13.03,13.06,60000,0.0,0.0
2002-01-10,13.06,13.44,13.06,13.35,216300,0.0,0.0
2002-01-11,13.63,14.03,13.62,13.79,340800,0.0,0.0
2002-01-14,13.79,13.86,13.6,13.6,230700,0.0,0.0
2002-01-15,14.03,14.7,14.03,14.59,1030200,0.0,0.0
2002-01-16,14.56,15.01,14.43,14.87,526200,0.0,0.0
2002-01-17,14.9,15.16,14.9,14.97,42900,0.0,0.0
2002-01-18,14.93,15.22,14.81,15.0,70500,0.0,0.0
2002-01-22,15.0,15.0,14.49,14.81,130800,0.0,0.0
2002-01-23,14.84,14.95,14.81,14.87,38700,0.0,0.0
2002-01-24,14.9,14.97,14.59,14.66,125100,0.0,0.0
2002-01-25,14.71,15.0,14.57,14.87,88800,0.0,0.0
2002-01-28,14.92,15.12,14.52,14.68,75300,0.0,0.0
2002-01-29,14.7,14.78,14.68,14.7,27300,0.0,0.0
2002-01-30,14.71,14.81,14.62,14.79,67800,0.0,0.0
2002-01-31,14.82,14.93,14.73,14.85,36600,0.0,0.0
2002-02-01,14.89,14.97,14.89,14.93,9000,0.0,0.0
2002-02-04,14.9,14.9,14.68,14.69,13200,0.0,0.0
2002-02-05,14.62,14.63,14.54,14.55,39300,0.0,0.0
2002-02-06,14.52,14.52,14.43,14.49,54300,0.0,0.0
2002-02-07,14.11,14.22,13.89,14.17,216000,0.0,0.0
2002-02-08,14.16,14.22,14.11,14.2,71100,0.0,0.0
2002-02-11,14.17,14.43,14.14,14.4,21600,0.0,0.0
2002-02-12,14.43,14.65,14.43,14.65,14100,0.0,0.0
2002-02-13,14.59,14.62,14.24,14.27,74100,0.0,0.0
2002-02-14,14.3,14.3,14.08,14.16,58500,0.0,0.0
2002-02-15,14.13,14.14,14.11,14.14,17100,0.0,0.0
2002-02-19,14.17,14.2,14.09,14.11,9900,0.0,0.0
2002-02-20,14.08,14.51,13.92,14.01,88500,0.0,0.0
2002-02-21,13.95,14.07,13.89,14.07,132300,0.0,0.0
2002-02-22,14.07,14.25,14.07,14.24,45600,0.0,0.0
2002-02-25,14.2,14.36,14.2,14.27,25800,0.0,0.0
2002-02-26,14.3,14.36,14.27,14.3,88800,0.0,0.0
2002-02-27,14.32,14.46,14.25,14.3,127200,0.0,0.0
2002-02-28,14.33,14.33,14.11,14.2,22500,0.0,0.0
2002-03-01,14.2,14.2,13.81,13.92,219000,0.0,0.0
2002-03-04,13.89,14.01,13.81,13.92,129300,0.0,0.0
2002-03-05,13.92,13.92,13.7,13.86,269100,0.0,0.0
2002-03-06,13.82,13.95,13.75,13.82,501000,0.0,0.0
2002-03-07,13.38,13.38,12.94,12.97,13530300,0.0,0.0
2002-03-08,13.0,13.19,12.85,13.16,3135000,0.0,0.0
2002-03-11,13.16,13.38,13.0,13.31,3147600,0.0,0.0
2002-03-12,13.16,13.3,13.13,13.25,1657800,0.0,0.0
2002-03-13,13.16,13.27,13.16,13.22,777900,0.0,0.0
2002-03-14,13.32,13.7,13.29,13.67,2705400,0.0,0.0
