Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-02,26.29,26.66,25.68,26.45,13767900,0.0,0
2013-01-03,26.36,26.36,25.72,26.23,16739300,0.0,0
2013-01-04,26.07,26.27,25.79,25.9,21372100,0.0,0
2013-01-07,25.71,26.69,25.71,25.95,17897100,0.0,0
2013-01-08,25.82,26.08,25.12,25.38,17863300,0.0,0
2013-01-09,25.31,25.56,25.31,25.53,18800400,0.0,0
2013-01-10,25.35,25.6,25.1,25.6,15658100,0.0,0
2013-01-11,25.59,25.83,25.41,25.79,11191500,0.4,0
2013-01-14,25.91,26.1,25.75,25.98,11584900,0.0,0
2013-01-15,25.69,26.46,25.69,26.36,13040200,0.0,0
2013-01-16,26.26,27.08,26.25,27.08,16512700,0.0,0
2013-01-17,27.24,27.96,27.24,27.75,14424800,0.0,0
2013-01-18,27.76,28.44,27.46,28.44,17842200,0.0,0
2013-01-22,28.18,28.38,27.38,27.75,15809700,0.0,0
2013-01-23,28.12,28.83,27.81,28.8,10981600,0.0,0
2013-01-24,28.79,29.35,28.37,28.54,11327100,0.0,0
2013-01-25,28.59,28.83,27.92,28.65,8934600,0.0,0
2013-01-28,28.69,28.86,27.97,28.11,7140100,0.0,0
2013-01-29,27.97,28.54,27.62,28.43,8838500,0.0,0
2013-01-30,28.05,28.6,28.05,28.14,10841800,0.0,0
2013-01-31,28.07,28.14,27.64,27.96,10720700,0.0,0
2013-02-01,28.07,28.35,27.83,28.33,9527500,0.0,0
2013-02-04,27.92,28.42,27.85,28.41,6348000,0.0,0
2013-02-05,28.51,28.75,28.33,28.35,7284400,0.0,0
2013-02-06,28.16,28.41,28.09,28.3,5738900,0.0,0
2013-02-07,28.63,28.63,27.28,27.75,9872500,0.0,0
2013-02-08,27.71,27.75,27.3,27.62,13858700,0.0,0
2013-02-11,27.53,27.57,27.24,27.32,6032100,0.0,0
2013-02-12,27.26,27.35,26.82,26.99,7473800,0.0,0
2013-02-13,26.99,27.1,26.78,26.87,4859800,0.0,0
2013-02-14,26.71,27.99,26.68,27.87,7570100,0.0,0
2013-02-15,28.14,28.81,28.14,28.63,13296300,0.0,0
2013-02-19,28.6,29.21,28.28,29.1,8292700,0.0,0
2013-02-20,29.08,29.82,28.66,29.42,8096400,0.0,0
2013-02-21,29.33,29.74,29.1,29.55,7260900,0.0,0
2013-02-22,29.56,29.6,29.06,29.31,4490400,0.0,0
2013-02-25,29.37,29.42,28.47,28.47,4665600,0.0,0
2013-02-26,28.65,28.65,28.16,28.26,4463000,0.0,0
2013-02-27,28.17,28.18,27.74,27.99,12238400,0.0,0
2013-02-28,27.93,28.3,27.81,28.13,10321000,0.0,0
2013-03-01,28.04,29.01,27.85,28.81,8929400,0.0,0
2013-03-04,28.6,29.15,28.6,29.14,5420800,0.0,0
2013-03-05,29.3,29.39,28.41,28.58,6650400,0.0,0
2013-03-06,28.62,28.85,28.47,28.76,5489500,0.0,0
2013-03-07,28.69,28.96,28.53,28.57,4442500,0.0,0
2013-03-08,28.68,28.69,28.31,28.45,4114500,0.0,0
2013-03-11,28.38,29.07,28.25,28.7,4614400,0.0,0
2013-03-12,28.73,29.18,28.23,28.32,6523900,0.0,0
2013-03-13,28.35,28.64,28.22,28.32,3710600,0.0,0
2013-03-14,28.52,28.64,28.09,28.62,9859700,0.0,0
2013-03-15,28.53,29.37,28.41,29.34,12208300,0.0,0
