Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.01,0.01,0.01,7513300,0.0,0.0
1980-03-18,0.0,0.01,0.01,0.01,5303400,0.0,0.0
1980-03-19,0.0,0.01,0.01,0.01,2523300,0.0,0.0
1980-03-20,0.0,0.01,0.01,0.01,4654800,0.0,0.0
1980-03-21,0.0,0.01,0.01,0.01,1332800,0.0,0.0
1980-03-24,0.0,0.01,0.01,0.01,4105800,0.0,0.0
1980-03-25,0.0,0.01,0.01,0.01,8575400,0.0,0.0
1980-03-26,0.0,0.01,0.01,0.01,3728000,0.0,0.0
1980-03-27,0.0,0.01,0.01,0.01,4276900,0.0,0.0
1980-03-28,0.0,0.01,0.01,0.01,2644600,0.0,0.0
1980-03-31,0.0,0.01,0.01,0.01,4056000,0.0,0.0
1980-04-01,0.0,0.01,0.01,0.01,7584600,0.0,0.0
1980-04-02,0.0,0.01,0.01,0.01,4932800,0.0,0.0
1980-04-03,0.0,0.01,0.01,0.01,3279000,0.0,0.0
1980-04-07,0.0,0.01,0.01,0.01,2701500,0.0,0.0
1980-04-08,0.0,0.01,0.01,0.01,5004100,0.0,0.0
1980-04-09,0.0,0.01,0.01,0.01,1632300,0.0,0.0
1980-04-10,0.0,0.01,0.01,0.01,3079400,0.0,0.0
1980-04-11,0.0,0.01,0.01,0.01,4219800,0.0,0.0
1980-04-14,0.0,0.01,0.01,0.01,4597700,0.0,0.0
1980-04-15,0.0,0.01,0.01,0.01,2423500,0.0,0.0
1980-04-16,0.0,0.01,0.01,0.01,4904300,0.0,0.0
1980-04-17,0.0,0.01,0.01,0.01,2644600,0.0,0.0
1980-04-18,0.0,0.01,0.01,0.01,2387800,0.0,0.0
1980-04-21,0.0,0.01,0.01,0.01,2530400,0.0,0.0
1980-04-22,0.0,0.01,0.01,0.01,2067100,0.0,0.0
1980-04-23,0.0,0.01,0.01,0.01,4775900,0.0,0.0
1980-04-24,0.0,0.01,0.01,0.01,2587500,0.0,0.0
1980-04-25,0.0,0.01,0.01,0.01,6465400,0.0,0.0
1980-04-28,0.0,0.01,0.01,0.01,3100800,0.0,0.0
1980-04-29,0.0,0.01,0.01,0.01,1525400,0.0,0.0
1980-04-30,0.0,0.01,0.01,0.01,4298400,0.0,0.0
1980-05-01,0.0,0.01,0.01,0.01,5339000,0.0,0.0
1980-05-02,0.0,0.01,0.01,0.01,3464300,0.0,0.0
1980-05-05,0.0,0.01,0.01,0.01,1860300,0.0,0.0
1980-05-06,0.0,0.01,0.01,0.01,3243400,0.0,0.0
1980-05-07,0.0,0.01,0.01,0.01,3264600,0.0,0.0
1980-05-08,0.0,0.01,0.01,0.01,3892000,0.0,0.0
1980-05-09,0.0,0.01,0.01,0.01,1054800,0.0,0.0
1980-05-12,0.0,0.01,0.01,0.01,1054800,0.0,0.0
1980-05-13,0.0,0.01,0.01,0.01,1603700,0.0,0.0
1980-05-14,0.0,0.01,0.01,0.01,3549800,0.0,0.0
1980-05-15,0.0,0.01,0.01,0.01,4390900,0.0,0.0
1980-05-16,0.0,0.01,0.01,0.01,3385900,0.0,0.0
1980-05-19,0.0,0.01,0.01,0.01,2708800,0.0,0.0
1980-05-20,0.0,0.01,0.01,0.01,1632300,0.0,0.0
1980-05-21,0.0,0.01,0.01,0.01,2395100,0.0,0.0
1980-05-22,0.0,0.01,0.01,0.01,3236300,0.0,0.0
1980-05-23,0.0,0.01,0.01,0.01,5353400,0.0,0.0
1980-05-27,0.0,0.01,0.01,0.01,1917400,0.0,0.0
1980-05-28,0.0,0.01,0.01,0.01,3628300,0.0,0.0
1980-05-29,0.0,0.01,0.01,0.01,3535600,0.0,0.0
1980-05-30,0.0,0.01,0.01,0.01,3393000,0.0,0.0
1980-06-02,0.0,0.01,0.01,0.01,1261500,0.0,0.0
1980-06-03,0.0,0.01,0.01,0.01,3364500,0.0,0.0
1980-06-04,0.0,0.01,0.01,0.01,3571200,0.0,0.0
1980-06-05,0.0,0.01,0.01,0.01,7000200,0.0,0.0
1980-06-06,0.0,0.01,0.01,0.01,3492900,0.0,0.0
1980-06-09,0.0,0.01,0.01,0.01,1653800,0.0,0.0
1980-06-10,0.0,0.01,0.01,0.01,5225000,0.0,0.0
1980-06-11,0.0,0.01,0.01,0.01,8247600,0.0,0.0
1980-06-12,0.0,0.01,0.01,0.01,2986600,0.0,0.0
1980-06-13,0.0,0.01,0.01,0.01,2509100,0.0,0.0
1980-06-16,0.0,0.01,0.01,0.01,1418500,0.0,0.0
1980-06-17,0.0,0.01,0.01,0.01,1047700,0.0,0.0
1980-06-18,0.0,0.01,0.01,0.01,1561000,0.0,0.0
1980-06-19,0.0,0.01,0.01,0.01,2644600,0.0,0.0
1980-06-20,0.0,0.01,0.01,0.01,6764900,0.0,0.0
1980-06-23,0.0,0.01,0.01,0.01,4127300,0.0,0.0
1980-06-24,0.0,0.01,0.01,0.01,4861600,0.0,0.0
1980-06-25,0.0,0.01,0.01,0.01,3157700,0.0,0.0
1980-06-26,0.0,0.01,0.01,0.01,1375700,0.0,0.0
1980-06-27,0.0,0.01,0.01,0.01,2138300,0.0,0.0
1980-06-30,0.0,0.01,0.01,0.01,3492900,0.0,0.0
1980-07-01,0.0,0.01,0.01,0.01,4818600,0.0,0.0
1980-07-02,0.0,0.01,0.01,0.01,4441000,0.0,0.0
1980-07-03,0.0,0.01,0.01,0.01,14107300,0.0,0.0
1980-07-07,0.0,0.01,0.01,0.01,3749400,0.0,0.0
1980-07-08,0.0,0.01,0.01,0.01,1803400,0.0,0.0
1980-07-09,0.0,0.01,0.01,0.01,6950100,0.0,0.0
1980-07-10,0.0,0.01,0.01,0.01,5104000,0.0,0.0
1980-07-11,0.0,0.01,0.01,0.01,7021400,0.0,0.0
1980-07-14,0.0,0.01,0.01,0.01,6116000,0.0,0.0
1980-07-15,0.0,0.01,0.01,0.01,15582700,0.0,0.0
1980-07-16,0.0,0.01,0.01,0.01,2929700,0.0,0.0
1980-07-17,0.0,0.01,0.01,0.01,5431800,0.0,0.0
1980-07-18,0.0,0.01,0.01,0.01,13529800,0.0,0.0
1980-07-21,0.0,0.01,0.01,0.01,3856300,0.0,0.0
1980-07-22,0.0,0.01,0.01,0.01,5004100,0.0,0.0
1980-07-23,0.0,0.01,0.01,0.01,3300300,0.0,0.0
1980-07-24,0.0,0.01,0.01,0.01,2302400,0.0,0.0
1980-07-25,0.0,0.01,0.01,0.01,2487700,0.0,0.0
1980-07-28,0.0,0.01,0.01,0.01,2309500,0.0,0.0
1980-07-29,0.0,0.01,0.01,0.01,2224000,0.0,0.0
1980-07-30,0.0,0.01,0.01,0.01,4875700,0.0,0.0
1980-07-31,0.0,0.01,0.01,0.01,3328800,0.0,0.0
1980-08-01,0.0,0.01,0.01,0.01,5339000,0.0,0.0
1980-08-04,0.0,0.01,0.01,0.01,2744400,0.0,0.0
1980-08-05,0.0,0.01,0.01,0.01,2166900,0.0,0.0
1980-08-06,0.0,0.01,0.01,0.01,1610800,0.0,0.0
1980-08-07,0.0,0.01,0.01,0.01,4997000,0.0,0.0
1980-08-08,0.0,0.01,0.01,0.01,3022300,0.0,0.0
1980-08-11,0.0,0.01,0.01,0.01,6586700,0.0,0.0
1980-08-12,0.0,0.01,0.01,0.01,4141500,0.0,0.0
1980-08-13,0.0,0.01,0.01,0.01,7185400,0.0,0.0
1980-08-14,0.0,0.01,0.01,0.01,1568100,0.0,0.0
1980-08-15,0.0,0.01,0.01,0.01,2609000,0.0,0.0
1980-08-18,0.0,0.01,0.01,0.01,13586900,0.0,0.0
1980-08-19,0.0,0.01,0.01,0.01,6665000,0.0,0.0
1980-08-20,0.0,0.01,0.01,0.01,2031400,0.0,0.0
1980-08-21,0.0,0.01,0.01,0.01,1988700,0.0,0.0
1980-08-22,0.0,0.01,0.01,0.01,5182300,0.0,0.0
1980-08-25,0.0,0.01,0.01,0.01,2045800,0.0,0.0
1980-08-26,0.0,0.01,0.01,0.01,1290100,0.0,0.0
1980-08-27,0.0,0.01,0.01,0.01,2409300,0.0,0.0
1980-08-28,0.0,0.01,0.01,0.01,1924500,0.0,0.0
1980-08-29,0.0,0.01,0.01,0.01,1539500,0.0,0.0
1980-09-02,0.0,0.01,0.01,0.01,1539500,0.0,0.0
1980-09-03,0.0,0.01,0.01,0.01,1553900,0.0,0.0
1980-09-04,0.0,0.01,0.01,0.01,5446000,0.0,0.0
1980-09-05,0.0,0.01,0.01,0.01,4141500,0.0,0.0
1980-09-08,0.0,0.01,0.01,0.01,1133300,0.0,0.0
1980-09-09,0.0,0.01,0.01,0.01,1290100,0.0,0.0
1980-09-10,0.0,0.01,0.01,0.01,3400100,0.0,0.0
1980-09-11,0.0,0.01,0.01,0.01,2074100,0.0,0.0
1980-09-12,0.0,0.01,0.01,0.01,1518300,0.0,0.0
1980-09-15,0.0,0.01,0.01,0.01,1254400,0.0,0.0
1980-09-16,0.0,0.01,0.01,0.01,5160900,0.0,0.0
1980-09-17,0.0,0.01,0.01,0.01,12382200,0.0,0.0
1980-09-18,0.0,0.01,0.01,0.01,5702700,0.0,0.0
1980-09-19,0.0,0.02,0.01,0.02,4854500,0.0,0.0
1980-09-22,0.0,0.02,0.01,0.02,2530400,0.0,0.0
1980-09-23,0.0,0.02,0.01,0.01,7769900,0.0,0.0
1980-09-24,0.0,0.01,0.01,0.01,4269900,0.0,0.0
1980-09-25,0.0,0.01,0.01,0.01,4219800,0.0,0.0
1980-09-26,0.0,0.01,0.01,0.01,2815700,0.0,0.0
1980-09-29,0.0,0.01,0.01,0.01,3264600,0.0,0.0
1980-09-30,0.0,0.01,0.01,0.01,2067100,0.0,0.0
1980-10-01,0.0,0.01,0.01,0.01,3500000,0.0,0.0
1980-10-02,0.0,0.01,0.01,0.01,2302400,0.0,0.0
1980-10-03,0.0,0.01,0.01,0.01,1710700,0.0,0.0
1980-10-06,0.0,0.01,0.01,0.01,1325700,0.0,0.0
1980-10-07,0.0,0.01,0.01,0.01,3008100,0.0,0.0
1980-10-08,0.0,0.02,0.01,0.01,2723000,0.0,0.0
1980-10-09,0.0,0.02,0.01,0.01,969300,0.0,0.0
1980-10-10,0.0,0.01,0.01,0.01,2081400,0.0,0.0
1980-10-13,0.0,0.01,0.01,0.01,1225900,0.0,0.0
1980-10-14,0.0,0.01,0.01,0.01,4112900,0.0,0.0
1980-10-15,0.0,0.01,0.01,0.01,4505200,0.0,0.0
1980-10-16,0.0,0.01,0.01,0.01,4426600,0.0,0.0
1980-10-17,0.0,0.01,0.01,0.01,1796300,0.0,0.0
1980-10-20,0.0,0.01,0.01,0.01,2038500,0.0,0.0
1980-10-21,0.0,0.01,0.01,0.01,2644600,0.0,0.0
1980-10-22,0.0,0.01,0.01,0.01,1853200,0.0,0.0
1980-10-23,0.0,0.01,0.01,0.01,1290100,0.0,0.0
1980-10-24,0.0,0.01,0.01,0.01,1817600,0.0,0.0
1980-10-27,0.0,0.01,0.01,0.01,2081400,0.0,0.0
1980-10-28,0.0,0.01,0.01,0.01,2730000,0.0,0.0
1980-10-29,0.0,0.01,0.01,0.01,1340100,0.0,0.0
1980-10-30,0.0,0.01,0.01,0.01,5617100,0.0,0.0
1980-10-31,0.0,0.01,0.01,0.01,4327000,0.0,0.0
1980-11-03,0.0,0.01,0.01,0.01,1475400,0.0,0.0
1980-11-05,0.0,0.01,0.01,0.01,10642700,0.0,0.0
1980-11-06,0.0,0.01,0.01,0.01,4376800,0.0,0.0
1980-11-07,0.0,0.01,0.01,0.01,5524500,0.0,0.0
1980-11-10,0.0,0.01,0.01,0.01,4227100,0.0,0.0
1980-11-11,0.0,0.01,0.01,0.01,2587500,0.0,0.0
1980-11-12,0.0,0.01,0.01,0.01,6529500,0.0,0.0
1980-11-13,0.0,0.01,0.01,0.01,11982900,0.0,0.0
1980-11-14,0.0,0.01,0.01,0.01,6258600,0.0,0.0
1980-11-17,0.0,0.01,0.01,0.01,4034500,0.0,0.0
1980-11-18,0.0,0.01,0.01,0.01,4469500,0.0,0.0
1980-11-19,0.0,0.01,0.01,0.01,5973500,0.0,0.0
1980-11-20,0.0,0.01,0.01,0.01,4319700,0.0,0.0
1980-11-21,0.0,0.01,0.01,0.01,5317800,0.0,0.0
1980-11-24,0.0,0.01,0.01,0.01,2865500,0.0,0.0
1980-11-25,0.0,0.01,0.01,0.01,6151700,0.0,0.0
1980-11-26,0.0,0.01,0.01,0.01,3492900,0.0,0.0
1980-11-28,0.0,0.01,0.01,0.01,1347200,0.0,0.0
1980-12-01,0.0,0.01,0.01,0.01,2131300,0.0,0.0
1980-12-02,0.0,0.01,0.01,0.01,1981600,0.0,0.0
1980-12-03,0.0,0.01,0.01,0.01,1247300,0.0,0.0
1980-12-04,0.0,0.01,0.01,0.01,2665900,0.0,0.0
1980-12-05,0.0,0.01,0.01,0.01,2851300,0.0,0.0
1980-12-08,0.0,0.01,0.01,0.01,4512200,0.0,0.0
1980-12-09,0.0,0.01,0.01,0.01,2708800,0.0,0.0
1980-12-10,0.0,0.01,0.01,0.01,4633300,0.0,0.0
1980-12-11,0.0,0.01,0.01,0.01,5011200,0.0,0.0
1980-12-12,0.0,0.01,0.01,0.01,7762800,0.0,0.0
1980-12-15,0.0,0.01,0.01,0.01,1917400,0.0,0.0
1980-12-16,0.0,0.01,0.01,0.01,2558900,0.0,0.0
1980-12-17,0.0,0.01,0.01,0.01,3649600,0.0,0.0
1980-12-18,0.0,0.01,0.01,0.01,4390900,0.0,0.0
1980-12-19,0.0,0.01,0.01,0.01,1746300,0.0,0.0
1980-12-22,0.0,0.01,0.01,0.01,5374700,0.0,0.0
1980-12-23,0.0,0.01,0.01,0.01,3300300,0.0,0.0
1980-12-24,0.0,0.01,0.01,0.01,1311500,0.0,0.0
1980-12-26,0.0,0.01,0.01,0.01,377600,0.0,0.0
1980-12-29,0.0,0.02,0.02,0.02,1917400,0.0,0.0
1980-12-30,0.0,0.02,0.01,0.02,2402200,0.0,0.0
1980-12-31,0.0,0.02,0.02,0.02,2616000,0.0,0.0
1981-01-02,0.0,0.02,0.02,0.02,1603700,0.0,0.0
1981-01-05,0.0,0.02,0.02,0.02,2844100,0.0,0.0
1981-01-06,0.0,0.02,0.02,0.02,8618300,0.0,0.0
1981-01-07,0.0,0.02,0.02,0.02,12175400,0.0,0.0
1981-01-08,0.0,0.02,0.02,0.02,18583900,0.0,0.0
1981-01-09,0.0,0.02,0.02,0.02,4041600,0.0,0.0
1981-01-12,0.0,0.02,0.02,0.02,3599800,0.0,0.0
