Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-19,11.35,11.49,11.28,11.4,34994300,0.0,0.0
2001-07-20,11.31,11.31,11.13,11.28,9238500,0.0,0.0
2001-07-23,11.28,11.28,10.94,11.28,7501000,0.0,0.0
2001-07-24,11.24,11.25,11.05,11.17,3537300,0.0,0.0
2001-07-25,11.05,11.24,11.01,11.24,4208100,0.0,0.0
2001-07-26,11.24,11.27,10.9,10.9,6335300,0.0,0.0
2001-07-27,10.91,10.97,10.9,10.91,3524000,0.0,0.0
2001-07-30,10.9,11.11,10.9,11.05,3654300,0.0,0.0
2001-07-31,11.06,11.28,10.98,11.25,1429000,0.0,0.0
2001-08-01,11.28,11.65,11.2,11.65,2087900,0.0,0.0
2001-08-02,11.58,11.65,11.35,11.58,1717400,0.0,0.0
2001-08-03,11.58,11.58,11.26,11.39,983600,0.0,0.0
2001-08-06,11.39,11.44,11.29,11.35,777400,0.0,0.0
2001-08-07,11.35,11.69,11.35,11.65,788900,0.0,0.0
2001-08-08,11.58,11.73,11.28,11.28,2190300,0.0,0.0
2001-08-09,11.31,11.65,11.28,11.65,928000,0.0,0.0
2001-08-10,11.58,11.58,11.37,11.42,703300,0.0,0.0
2001-08-13,11.39,11.53,11.2,11.28,1770400,0.0,0.0
2001-08-14,11.31,11.32,11.01,11.05,1000800,0.0,0.0
2001-08-15,11.09,11.2,11.05,11.12,530900,0.0,0.0
2001-08-16,11.11,11.11,10.56,10.56,1522700,0.0,0.0
2001-08-17,10.57,11.13,10.45,10.92,2342400,0.0,0.0
2001-08-20,10.98,11.54,10.89,11.54,1434900,0.0,0.0
2001-08-21,11.46,11.73,11.28,11.62,1038200,0.0,0.0
2001-08-22,11.52,11.57,11.11,11.53,829000,0.0,0.0
2001-08-23,11.61,11.61,11.46,11.46,470000,0.0,0.0
2001-08-24,11.46,11.64,11.28,11.58,689000,0.0,0.0
2001-08-27,11.64,11.77,11.58,11.64,827700,0.0,0.0
2001-08-28,11.59,11.71,11.46,11.55,736900,0.0,0.0
2001-08-29,11.49,11.51,11.28,11.28,397400,0.0,0.0
2001-08-30,11.16,11.31,11.16,11.24,640100,0.0,0.0
2001-08-31,11.28,11.35,11.2,11.2,3337900,0.0,0.0
2001-09-04,11.28,11.77,11.28,11.56,1068600,0.0,0.0
2001-09-05,11.56,11.56,11.2,11.21,1053200,0.0,0.0
2001-09-06,11.09,11.28,10.83,10.9,1384500,0.0,0.0
2001-09-07,10.86,11.01,10.79,10.92,1408500,0.0,0.0
2001-09-10,10.96,11.4,10.94,11.39,622100,0.0,0.0
2001-09-17,11.38,11.38,10.88,10.98,1934300,0.0,0.0
2001-09-18,10.98,11.28,10.79,10.94,902800,0.0,0.0
2001-09-19,10.98,11.04,10.31,10.49,2415400,0.0,0.0
2001-09-20,10.45,10.45,9.65,9.74,3498900,0.0,0.0
2001-09-21,9.66,9.77,9.14,9.59,2051800,0.0,0.0
2001-09-24,9.77,9.98,9.74,9.92,1964200,0.0,0.0
2001-09-25,9.92,9.92,9.55,9.62,1827300,0.0,0.0
2001-09-26,9.62,9.74,9.17,9.17,3327200,0.0,0.0
2001-09-27,9.22,9.22,8.73,8.91,2347500,0.0,0.0
2001-09-28,9.1,10.11,9.1,9.59,2844000,0.0,0.0
2001-10-01,9.51,9.77,9.51,9.55,878800,0.0,0.0
2001-10-02,9.43,9.55,9.11,9.46,1900400,0.0,0.0
2001-10-03,9.49,9.82,9.47,9.74,2539400,0.0,0.0
2001-10-04,9.75,10.37,9.75,10.14,3108500,0.0,0.0
2001-10-05,10.15,10.33,10.01,10.19,2172300,0.0,0.0
2001-10-08,10.22,10.29,9.95,9.95,576100,0.0,0.0
2001-10-09,10.13,10.37,10.06,10.07,1601100,0.0,0.0
2001-10-10,10.04,10.34,10.0,10.28,1700400,0.0,0.0
2001-10-11,11.65,11.65,11.05,11.4,4214100,0.0,0.0
2001-10-12,11.47,12.44,11.47,12.44,5193300,0.0,0.0
2001-10-15,12.41,13.49,12.41,13.16,3277900,0.0,0.0
2001-10-16,13.27,13.57,12.7,13.12,1996000,0.0,0.0
2001-10-17,13.27,13.34,12.67,12.77,1877100,0.0,0.0
2001-10-18,12.77,12.77,12.49,12.55,942000,0.0,0.0
2001-10-19,12.55,12.67,12.43,12.67,2062500,0.0,0.0
2001-10-22,12.78,13.21,12.76,13.16,469600,0.0,0.0
2001-10-23,13.16,13.33,12.98,13.25,915400,0.0,0.0
2001-10-24,13.29,13.35,13.21,13.34,472600,0.0,0.0
2001-10-25,13.34,13.34,12.88,13.34,265100,0.0,0.0
2001-10-26,13.31,13.37,13.16,13.25,566500,0.0,0.0
2001-10-29,13.32,13.33,13.08,13.19,616200,0.0,0.0
2001-10-30,13.12,13.13,12.89,13.04,574700,0.0,0.0
2001-10-31,13.1,13.23,12.86,13.21,718600,0.0,0.0
2001-11-01,13.17,13.98,13.17,13.76,1089900,0.0,0.0
2001-11-02,13.91,14.36,13.61,13.72,2372800,0.0,0.0
2001-11-05,13.72,13.73,13.36,13.61,1552700,0.0,0.0
2001-11-06,13.52,13.52,13.04,13.51,562600,0.0,0.0
2001-11-07,13.52,14.21,13.5,14.21,1987000,0.0,0.0
2001-11-08,14.06,15.01,14.06,15.0,1747200,0.0,0.0
2001-11-09,14.85,15.0,14.77,15.0,1325400,0.0,0.0
2001-11-12,14.85,14.85,14.28,14.65,2398300,0.0,0.0
2001-11-13,14.81,15.97,14.78,15.64,1463000,0.0,0.0
2001-11-14,15.79,16.09,15.01,15.19,1391400,0.0,0.0
2001-11-15,15.07,15.37,15.07,15.22,628200,0.0,0.0
2001-11-16,15.22,15.98,15.19,15.82,639100,0.0,0.0
2001-11-19,15.86,16.73,15.86,16.54,1430000,0.0,0.0
2001-11-20,16.51,16.51,15.9,15.98,1017400,0.0,0.0
2001-11-21,15.94,15.95,14.89,15.3,1442600,0.0,0.0
2001-11-23,15.29,15.5,15.23,15.45,286500,0.0,0.0
2001-11-26,15.55,16.24,15.24,16.16,1064900,0.0,0.0
2001-11-27,16.24,17.1,16.16,16.91,1210000,0.0,0.0
2001-11-28,16.54,16.61,15.68,16.43,1415900,0.0,0.0
2001-11-29,16.41,16.72,15.79,16.11,1326400,0.0,0.0
2001-11-30,16.13,17.04,16.1,16.99,2075400,0.0,0.0
2001-12-03,17.1,18.04,16.91,17.22,1244400,0.0,0.0
2001-12-04,17.1,18.42,17.03,18.19,2087000,0.0,0.0
2001-12-05,18.34,20.15,18.3,20.03,3386200,0.0,0.0
2001-12-06,20.03,20.43,19.47,19.73,3190200,0.0,0.0
2001-12-07,19.47,19.51,18.64,18.69,1115400,0.0,0.0
2001-12-10,18.79,19.7,18.42,18.49,1732100,0.0,0.0
2001-12-11,18.46,18.7,18.42,18.61,1713200,0.0,0.0
2001-12-12,18.61,19.02,18.45,18.92,2044100,0.0,0.0
2001-12-13,18.88,18.89,17.44,17.52,1446600,0.0,0.0
2001-12-14,17.55,17.93,17.02,17.78,1156200,0.0,0.0
2001-12-17,17.89,19.17,17.82,19.14,1428100,0.0,0.0
2001-12-18,19.36,19.62,19.18,19.51,2640200,0.0,0.0
2001-12-19,19.47,19.83,19.13,19.57,1160100,0.0,0.0
