Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.1,1.02,1.02,1371300,0.0,0.0
1980-03-18,0.0,1.05,1.01,1.05,2348300,0.0,0.0
1980-03-19,0.0,1.12,1.06,1.06,2337900,0.0,0.0
1980-03-20,0.0,1.11,1.08,1.09,1183700,0.0,0.0
1980-03-21,0.0,1.09,1.06,1.06,290100,0.0,0.0
1980-03-24,0.0,1.07,1.02,1.03,969100,0.0,0.0
1980-03-25,0.0,1.04,0.98,0.99,1673300,0.0,0.0
1980-03-26,0.0,1.0,0.95,0.95,3354300,0.0,0.0
1980-03-27,0.0,0.96,0.83,0.93,3666200,0.0,0.0
1980-03-28,0.0,1.02,0.92,1.02,2949600,0.0,0.0
1980-03-31,0.0,1.09,1.03,1.06,665200,0.0,0.0
1980-04-01,0.0,1.1,1.07,1.1,1213600,0.0,0.0
1980-04-02,0.0,1.11,1.08,1.08,1372000,0.0,0.0
1980-04-03,0.0,1.07,1.05,1.06,899600,0.0,0.0
1980-04-07,0.0,1.06,1.02,1.03,976100,0.0,0.0
1980-04-08,0.0,1.04,1.02,1.04,489700,0.0,0.0
1980-04-09,0.0,1.04,1.03,1.03,714100,0.0,0.0
1980-04-10,0.0,1.08,1.04,1.07,1469100,0.0,0.0
1980-04-11,0.0,1.09,1.07,1.08,1324300,0.0,0.0
1980-04-14,0.0,1.07,1.06,1.07,574400,0.0,0.0
1980-04-15,0.0,1.08,1.06,1.07,169700,0.0,0.0
1980-04-16,0.0,1.09,1.02,1.03,1063500,0.0,0.0
1980-04-17,0.0,1.03,1.0,1.0,1133100,0.0,0.0
1980-04-18,0.0,1.02,0.99,1.0,803900,0.0,0.0
1980-04-21,0.0,0.99,0.96,0.96,521100,0.0,0.0
1980-04-22,0.0,1.09,1.01,1.08,1381000,0.0,0.0
1980-04-23,0.0,1.11,1.02,1.02,2691000,0.0,0.0
1980-04-24,0.0,1.06,1.0,1.05,1047300,0.0,0.0
1980-04-25,0.0,1.08,1.03,1.08,563200,0.0,0.0
1980-04-28,0.0,1.13,1.08,1.12,778000,0.0,0.0
1980-04-29,0.0,1.14,1.11,1.12,279800,0.0,0.0
1980-04-30,0.0,1.18,1.13,1.17,1131500,0.0,0.0
1980-05-01,0.0,1.18,1.14,1.14,542200,0.0,0.0
1980-05-02,0.0,1.16,1.13,1.16,411300,0.0,0.0
1980-05-05,0.0,1.21,1.15,1.21,889900,0.0,0.0
1980-05-06,0.0,1.27,1.2,1.23,1700400,0.0,0.0
1980-05-07,0.0,1.28,1.23,1.27,521100,0.0,0.0
1980-05-08,0.0,1.28,1.24,1.25,1269200,0.0,0.0
1980-05-09,0.0,1.25,1.22,1.24,723600,0.0,0.0
1980-05-12,0.0,1.28,1.23,1.28,783100,0.0,0.0
1980-05-13,0.0,1.29,1.26,1.28,596200,0.0,0.0
1980-05-14,0.0,1.29,1.26,1.27,317100,0.0,0.0
1980-05-15,0.0,1.27,1.24,1.24,1262400,0.0,0.0
1980-05-16,0.0,1.24,1.22,1.22,445000,0.0,0.0
1980-05-19,0.0,1.24,1.19,1.23,396100,0.0,0.0
1980-05-20,0.0,1.25,1.22,1.23,577900,0.0,0.0
1980-05-21,0.0,1.23,1.21,1.23,900200,0.0,0.0
1980-05-22,0.0,1.28,1.23,1.27,637000,0.0,0.0
1980-05-23,0.0,1.31,1.28,1.28,775100,0.0,0.0
1980-05-27,0.0,1.32,1.27,1.32,932700,0.0,0.0
1980-05-28,0.0,1.35,1.31,1.35,1017400,0.0,0.0
1980-05-29,0.0,1.35,1.27,1.27,684700,0.0,0.0
1980-05-30,0.0,1.27,1.24,1.26,1989700,0.0,0.0
1980-06-02,0.0,1.31,1.26,1.29,509900,0.0,0.0
1980-06-03,0.0,1.3,1.27,1.29,529200,0.0,0.0
1980-06-04,0.0,1.35,1.28,1.33,1035300,0.0,0.0
1980-06-05,0.0,1.34,1.27,1.27,540000,0.0,0.0
1980-06-06,0.0,1.3,1.27,1.29,614200,0.0,0.0
1980-06-09,0.0,1.31,1.28,1.29,1062600,0.0,0.0
1980-06-10,0.0,1.3,1.28,1.29,620700,0.0,0.0
1980-06-11,0.0,1.3,1.28,1.29,1072500,0.0,0.0
1980-06-12,0.0,1.3,1.27,1.27,577100,0.0,0.0
1980-06-13,0.0,1.3,1.28,1.29,689400,0.0,0.0
1980-06-16,0.0,1.29,1.28,1.29,512500,0.0,0.0
1980-06-17,0.0,1.3,1.27,1.27,506400,0.0,0.0
1980-06-18,0.0,1.27,1.22,1.23,962300,0.0,0.0
1980-06-19,0.0,1.26,1.24,1.25,1552700,0.0,0.0
1980-06-20,0.0,1.27,1.24,1.25,601200,0.0,0.0
1980-06-23,0.0,1.28,1.25,1.26,242500,0.0,0.0
1980-06-24,0.0,1.33,1.27,1.32,504900,0.0,0.0
1980-06-25,0.0,1.35,1.31,1.32,573900,0.0,0.0
1980-06-26,0.0,1.35,1.31,1.31,848500,0.0,0.0
1980-06-27,0.0,1.32,1.29,1.29,438900,0.0,0.0
1980-06-30,0.0,1.29,1.24,1.24,726400,0.0,0.0
1980-07-01,0.0,1.3,1.24,1.26,848500,0.0,0.0
1980-07-02,0.0,1.29,1.26,1.29,303800,0.0,0.0
1980-07-03,0.0,1.3,1.25,1.26,738700,0.0,0.0
1980-07-07,0.0,1.28,1.25,1.28,680000,0.0,0.0
1980-07-08,0.0,1.29,1.25,1.25,582700,0.0,0.0
1980-07-09,0.0,1.28,1.26,1.26,819200,0.0,0.0
1980-07-10,0.0,1.26,1.23,1.24,772500,0.0,0.0
1980-07-11,0.0,1.23,1.2,1.21,1432400,0.0,0.0
1980-07-14,0.0,1.22,1.17,1.19,1093400,0.0,0.0
1980-07-15,0.0,1.24,1.22,1.24,1341400,0.0,0.0
1980-07-16,0.0,1.27,1.24,1.24,449100,0.0,0.0
1980-07-17,0.0,1.26,1.22,1.26,986600,0.0,0.0
1980-07-18,0.0,1.29,1.24,1.24,792100,0.0,0.0
1980-07-21,0.0,1.25,1.22,1.23,411300,0.0,0.0
1980-07-22,0.0,1.25,1.21,1.22,2352700,0.0,0.0
1980-07-23,0.0,1.22,1.13,1.16,1121700,0.0,0.0
1980-07-24,0.0,1.17,1.11,1.15,4069500,0.0,0.0
1980-07-25,0.0,1.18,1.15,1.16,817500,0.0,0.0
1980-07-28,0.0,1.23,1.16,1.22,1095100,0.0,0.0
1980-07-29,0.0,1.28,1.22,1.26,2439100,0.0,0.0
1980-07-30,0.0,1.28,1.21,1.22,4194800,0.0,0.0
1980-07-31,0.0,1.21,1.17,1.2,1223000,0.0,0.0
