Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-15,12.56,12.56,12.17,12.27,511400,0.0,0.0
2001-06-18,12.26,12.55,12.12,12.51,408000,0.0,0.0
2001-06-19,12.79,12.98,12.55,12.93,216400,0.0,0.0
2001-06-20,12.89,13.03,12.69,12.93,54400,0.0,0.0
2001-06-21,12.91,13.27,12.9,13.25,80700,0.0,0.0
2001-06-22,13.36,14.3,13.36,13.89,127900,0.0,0.0
2001-06-25,14.08,14.17,13.74,13.98,87100,0.0,0.0
2001-06-26,14.03,14.11,13.98,14.03,48900,0.0,0.0
2001-06-27,13.94,14.46,13.89,14.42,139800,0.0,0.0
2001-06-28,14.33,14.56,14.22,14.32,195100,0.0,0.0
2001-06-29,14.41,15.18,14.32,14.32,130700,0.0,0.0
2001-07-02,14.56,14.89,13.66,13.74,42000,0.0,0.0
2001-07-03,13.79,14.36,13.79,14.29,35600,0.0,0.0
2001-07-05,14.22,14.75,14.22,14.51,97100,0.0,0.0
2001-07-06,14.7,14.7,14.08,14.27,149700,0.0,0.0
2001-07-09,14.32,14.51,14.18,14.22,130000,0.0,0.0
2001-07-10,14.22,14.41,14.03,14.03,189200,0.0,0.0
2001-07-11,14.03,14.13,13.94,13.94,76800,0.0,0.0
2001-07-12,14.03,14.52,14.03,14.52,177600,0.0,0.0
2001-07-13,14.32,15.09,14.32,15.09,144200,0.0,0.0
2001-07-16,15.09,15.09,14.52,14.79,38600,0.0,0.0
2001-07-17,14.79,15.27,14.79,15.13,32900,0.0,0.0
2001-07-18,15.08,15.99,14.79,15.99,102500,0.0,0.0
2001-07-19,16.13,16.61,15.27,15.65,303700,0.0,0.0
2001-07-20,15.65,15.65,14.03,14.27,82700,0.0,0.0
2001-07-23,14.3,14.36,14.14,14.17,55500,0.0,0.0
2001-07-24,14.17,14.17,13.36,13.46,45600,0.0,0.0
2001-07-25,13.46,13.46,12.89,12.89,65800,0.0,0.0
2001-07-26,12.89,13.27,12.89,13.12,653100,0.0,0.0
2001-07-27,13.22,13.51,13.21,13.51,62000,0.0,0.0
2001-07-30,13.51,13.84,13.51,13.73,54800,0.0,0.0
2001-07-31,13.72,14.32,13.72,14.32,268500,0.0,0.0
2001-08-01,14.22,14.7,14.22,14.32,19200,0.0,0.0
2001-08-02,14.32,14.79,14.22,14.79,36900,0.0,0.0
2001-08-03,14.79,14.79,14.6,14.79,34300,0.0,0.0
2001-08-06,14.79,14.88,14.75,14.88,2700,0.0,0.0
2001-08-07,14.88,14.98,14.6,14.7,23200,0.0,0.0
2001-08-08,14.94,15.06,14.51,14.51,28500,0.0,0.0
2001-08-09,14.56,14.56,14.17,14.31,9400,0.0,0.0
2001-08-10,14.41,14.6,14.27,14.27,26800,0.0,0.0
2001-08-13,14.27,15.17,14.27,14.75,55800,0.0,0.0
2001-08-14,14.75,14.99,14.75,14.79,59200,0.0,0.0
2001-08-15,14.94,15.41,14.8,15.41,29400,0.0,0.0
2001-08-16,15.41,15.43,15.29,15.41,12300,0.0,0.0
2001-08-17,15.45,15.56,15.45,15.51,6100,0.0,0.0
2001-08-20,15.41,15.65,15.41,15.65,36200,0.0,0.0
