Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-01-02,14.03,14.05,13.83,13.97,444000,0.0,0
1998-01-05,14.05,14.07,13.72,13.87,564300,0.0,0
1998-01-06,13.74,13.76,13.62,13.66,253600,0.0,0
1998-01-07,13.66,13.66,13.34,13.54,358100,0.0,0
1998-01-08,13.56,13.56,13.3,13.38,325100,0.0,0
1998-01-09,13.36,13.64,13.36,13.5,306600,0.0,0
1998-01-12,13.42,13.64,13.38,13.62,268300,0.0,0
1998-01-13,13.62,13.62,13.44,13.52,193300,0.0,0
1998-01-14,13.52,13.52,13.42,13.46,139500,0.0,0
1998-01-15,13.44,13.44,13.13,13.15,155400,0.0,0
1998-01-16,13.26,13.32,13.19,13.21,251100,0.0,0
1998-01-20,12.24,12.28,11.91,12.09,1051500,0.0,0
1998-01-21,12.03,12.03,11.66,12.01,1026300,0.0,0
1998-01-22,11.87,11.95,11.79,11.87,492700,0.0,0
1998-01-23,11.79,11.87,11.62,11.75,323500,0.0,0
1998-01-26,11.77,11.83,11.6,11.81,273000,0.0,0
1998-01-27,11.81,11.89,11.68,11.83,563700,0.0,0
1998-01-28,11.77,11.91,11.77,11.91,284000,0.0,0
1998-01-29,11.91,12.07,11.87,11.99,383800,0.0,0
1998-01-30,11.99,12.03,11.93,11.95,486500,0.0,0
1998-02-02,11.99,12.03,11.91,11.97,233000,0.0,0
1998-02-03,11.95,12.01,11.87,11.95,189200,0.0,0
1998-02-04,11.95,11.95,11.83,11.91,557800,0.0,0
1998-02-05,12.05,12.11,11.95,12.05,210000,0.0,0
1998-02-06,12.07,12.26,11.99,12.26,251100,0.0,0
1998-02-09,12.22,12.38,12.22,12.36,271700,0.0,0
1998-02-10,12.34,12.5,12.34,12.38,357200,0.0,0
1998-02-11,12.34,12.36,12.28,12.32,280600,0.0,0
1998-02-12,12.24,12.38,12.19,12.34,496100,0.0,0
1998-02-13,12.28,12.36,12.22,12.24,181800,0.0,0
1998-02-17,12.22,12.4,12.11,12.4,360600,0.0,0
1998-02-18,12.4,12.48,12.38,12.4,267600,0.0,0
1998-02-19,12.4,12.46,12.4,12.46,386300,0.0,0
1998-02-20,12.44,12.5,12.34,12.5,798600,0.0,0
1998-02-23,12.5,12.6,12.42,12.6,347100,0.0,0
1998-02-24,12.54,12.56,12.44,12.56,228500,0.0,0
1998-02-25,12.58,12.64,12.52,12.52,342500,0.0,0
1998-02-26,12.48,12.54,12.42,12.46,152800,0.0,0
1998-02-27,12.44,12.56,12.42,12.54,218800,0.0,0
1998-03-02,12.46,12.56,12.46,12.54,219700,0.0,0
1998-03-03,12.54,12.56,12.52,12.54,416300,0.0,0
1998-03-04,12.52,12.56,12.48,12.52,146700,0.0,0
1998-03-05,12.46,12.54,12.44,12.5,293600,0.0,0
1998-03-06,12.4,12.65,12.4,12.65,3544900,0.635,0
1998-03-09,12.61,12.63,12.52,12.55,309000,0.0,0
1998-03-10,12.55,12.69,12.52,12.65,290000,0.0,0
1998-03-11,12.63,12.9,12.63,12.86,543800,0.0,0
1998-03-12,12.86,12.86,12.75,12.79,241700,0.0,0
1998-03-13,12.75,12.86,12.73,12.84,425000,0.0,0
1998-03-16,12.84,13.17,12.82,13.11,395400,0.0,0
1998-03-17,13.11,13.37,13.11,13.37,351500,0.0,0
1998-03-18,13.31,13.6,13.31,13.56,668800,0.0,0
1998-03-19,13.52,13.77,13.48,13.77,431500,0.0,0
1998-03-20,13.85,14.08,13.81,14.04,521300,0.0,0
1998-03-23,14.02,14.04,13.87,13.96,293400,0.0,0
1998-03-24,13.93,14.02,13.85,13.96,291300,0.0,0
1998-03-25,13.93,14.08,13.89,14.08,222000,0.0,0
1998-03-26,14.06,14.06,13.89,13.91,452000,0.0,0
1998-03-27,13.83,13.87,13.62,13.73,412800,0.0,0
1998-03-30,13.73,13.87,13.69,13.77,366000,0.0,0
1998-03-31,13.69,14.02,13.64,13.98,414900,0.0,0
1998-04-01,14.0,14.0,13.81,13.93,200100,0.0,0
1998-04-02,13.89,14.0,13.87,14.0,386000,0.0,0
1998-04-03,14.0,14.12,13.93,14.1,254700,0.0,0
1998-04-06,14.04,14.06,13.96,14.0,179800,0.0,0
1998-04-07,13.96,13.96,13.81,13.87,235300,0.0,0
1998-04-08,13.83,13.89,13.77,13.89,453200,0.0,0
1998-04-09,13.87,13.89,13.71,13.89,731700,0.0,0
1998-04-13,13.93,13.93,13.81,13.87,796600,0.0,0
1998-04-14,13.83,14.04,13.79,14.02,526400,0.0,0
1998-04-15,13.98,14.1,13.93,14.04,357100,0.0,0
1998-04-16,13.96,13.96,13.85,13.91,325300,0.0,0
1998-04-17,13.91,13.98,13.79,13.98,287900,0.0,0
1998-04-20,13.91,13.91,13.79,13.83,149800,0.0,0
1998-04-21,13.77,13.77,13.62,13.71,373900,0.0,0
1998-04-22,13.67,13.69,13.6,13.6,285400,0.0,0
1998-04-23,13.62,13.71,13.19,13.19,387700,0.0,0
1998-04-24,13.19,13.46,13.08,13.23,398800,0.0,0
1998-04-27,13.19,13.23,12.67,13.13,128000,0.0,0
1998-04-28,13.15,13.17,12.96,13.02,592600,0.0,0
1998-04-29,13.06,13.06,12.9,12.96,242900,0.0,0
1998-04-30,13.0,13.23,13.0,13.15,442400,0.0,0
1998-05-01,13.17,13.17,13.02,13.04,258000,0.0,0
1998-05-04,13.08,13.11,12.94,13.02,175300,0.0,0
1998-05-05,12.96,13.0,12.79,12.92,165800,0.0,0
1998-05-06,12.98,12.98,12.86,12.94,135300,0.0,0
1998-05-07,12.9,12.94,12.9,12.94,118300,0.0,0
1998-05-08,12.9,12.96,12.81,12.88,163500,0.0,0
1998-05-11,12.88,13.02,12.86,12.9,288200,0.0,0
1998-05-12,12.9,12.92,12.84,12.92,100100,0.0,0
1998-05-13,12.88,12.9,12.77,12.84,124900,0.0,0
1998-05-14,12.82,12.88,12.79,12.84,175900,0.0,0
1998-05-15,12.84,12.9,12.77,12.79,225400,0.0,0
1998-05-18,12.73,12.79,12.65,12.73,134400,0.0,0
1998-05-19,12.71,12.73,12.57,12.71,149200,0.0,0
1998-05-20,12.71,12.92,12.69,12.92,144600,0.0,0
1998-05-21,12.92,13.0,12.86,12.94,96100,0.0,0
1998-05-22,12.9,12.98,12.79,12.79,201900,0.0,0
1998-05-26,12.82,12.84,12.67,12.67,121600,0.0,0
1998-05-27,12.65,12.84,12.48,12.69,158600,0.0,0
1998-05-28,12.69,12.9,12.69,12.84,217500,0.0,0
1998-05-29,12.79,12.98,12.79,12.98,163000,0.0,0
1998-06-01,12.94,13.5,12.92,13.46,190200,0.0,0
1998-06-02,13.37,13.52,13.31,13.4,175700,0.0,0
1998-06-03,13.35,13.56,13.33,13.44,105000,0.0,0
1998-06-04,13.37,13.48,13.33,13.37,133800,0.0,0
1998-06-05,13.35,13.56,13.35,13.56,167700,0.0,0
1998-06-08,13.5,13.52,13.4,13.42,1874800,0.635,0
1998-06-09,13.44,13.44,13.23,13.27,261000,0.0,0
1998-06-10,13.29,13.54,13.27,13.52,174600,0.0,0
1998-06-11,13.48,13.65,13.4,13.59,260500,0.0,0
1998-06-12,13.52,13.61,13.4,13.52,275100,0.0,0
1998-06-15,13.48,13.52,13.38,13.42,227000,0.0,0
1998-06-16,13.48,13.5,13.4,13.42,283000,0.0,0
1998-06-17,13.42,13.46,13.29,13.33,364200,0.0,0
1998-06-18,13.4,13.59,13.35,13.54,308200,0.0,0
1998-06-19,13.54,13.54,13.33,13.38,212700,0.0,0
1998-06-22,13.4,13.52,13.38,13.38,121200,0.0,0
1998-06-23,13.42,13.42,13.31,13.4,105600,0.0,0
1998-06-24,13.35,13.44,13.35,13.35,353200,0.0,0
1998-06-25,13.48,13.5,13.25,13.27,254300,0.0,0
1998-06-26,13.25,13.35,13.19,13.29,213700,0.0,0
1998-06-29,13.35,13.52,13.25,13.44,197000,0.0,0
1998-06-30,13.33,13.5,13.33,13.4,227100,0.0,0
1998-07-01,13.5,13.59,13.38,13.59,204800,0.0,0
1998-07-02,13.54,13.61,13.46,13.61,107100,0.0,0
