Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.92,0.95,0.92,0.94,10300,0.0,0
1970-01-05,0.94,0.95,0.93,0.95,17600,0.0,0
1970-01-06,0.95,0.96,0.94,0.94,14000,0.0,0
1970-01-07,0.94,0.95,0.93,0.95,7700,0.0,0
1970-01-08,0.94,0.94,0.93,0.93,16300,0.0,0
1970-01-09,0.93,0.95,0.93,0.94,16800,0.0,0
1970-01-12,0.94,0.94,0.93,0.93,11700,0.0,0
1970-01-13,0.93,0.93,0.91,0.91,15900,0.0,0
1970-01-14,0.91,0.91,0.89,0.91,37800,0.0,0
1970-01-15,0.91,0.91,0.9,0.9,23500,0.0,0
1970-01-16,0.9,0.92,0.9,0.9,23300,0.0,0
1970-01-19,0.9,0.92,0.9,0.91,12600,0.0,0
1970-01-20,0.91,0.91,0.9,0.9,19800,0.0,0
1970-01-21,0.9,0.92,0.9,0.91,22400,0.0,0
1970-01-22,0.91,0.94,0.91,0.93,25300,0.0,0
1970-01-23,0.93,0.93,0.9,0.9,11900,0.0,0
1970-01-26,0.9,0.91,0.89,0.89,12000,0.0,0
1970-01-27,0.89,0.89,0.88,0.88,12700,0.0,0
1970-01-28,0.88,0.88,0.86,0.87,26700,0.0,0
1970-01-29,0.87,0.87,0.85,0.86,26100,0.0,0
1970-01-30,0.86,0.87,0.85,0.85,15200,0.0,0
1970-02-02,0.86,0.88,0.86,0.87,27200,0.0,0
1970-02-03,0.87,0.87,0.85,0.87,23600,0.0,0
1970-02-04,0.88,0.89,0.87,0.88,21300,0.41,0
1970-02-05,0.88,0.88,0.87,0.87,13100,0.0,0
1970-02-06,0.87,0.89,0.87,0.88,15200,0.0,0
1970-02-09,0.88,0.9,0.87,0.87,15300,0.0,0
1970-02-10,0.87,0.87,0.85,0.86,36400,0.0,0
1970-02-11,0.86,0.87,0.85,0.87,24400,0.0,0
1970-02-12,0.87,0.87,0.86,0.87,17500,0.0,0
1970-02-13,0.87,0.87,0.86,0.87,27700,0.0,0
1970-02-16,0.87,0.88,0.85,0.85,22700,0.0,0
1970-02-17,0.85,0.87,0.84,0.85,22600,0.0,0
1970-02-18,0.85,0.88,0.85,0.88,16800,0.0,0
1970-02-19,0.88,0.89,0.87,0.87,17900,0.0,0
1970-02-20,0.87,0.88,0.86,0.88,13000,0.0,0
1970-02-24,0.88,0.89,0.87,0.87,18000,0.0,0
1970-02-25,0.88,0.94,0.88,0.93,21700,0.0,0
1970-02-26,0.93,0.93,0.91,0.92,28200,0.0,0
1970-02-27,0.93,0.95,0.93,0.94,22100,0.0,0
1970-03-02,0.94,0.98,0.94,0.97,26600,0.0,0
1970-03-03,0.97,0.98,0.96,0.97,18300,0.0,0
1970-03-04,0.97,0.99,0.96,0.97,23800,0.0,0
1970-03-05,0.97,0.98,0.96,0.96,45700,0.0,0
1970-03-06,0.96,0.97,0.94,0.94,22000,0.0,0
1970-03-09,0.94,0.95,0.94,0.94,14200,0.0,0
1970-03-10,0.94,0.95,0.93,0.93,13900,0.0,0
1970-03-11,0.93,0.94,0.93,0.93,12400,0.0,0
1970-03-12,0.93,0.94,0.92,0.93,20400,0.0,0
1970-03-13,0.93,0.94,0.92,0.94,13700,0.0,0
1970-03-16,0.94,0.95,0.93,0.94,10500,0.0,0
1970-03-17,0.94,0.94,0.92,0.94,14300,0.0,0
1970-03-18,0.94,0.94,0.93,0.93,17400,0.0,0
1970-03-19,0.93,0.94,0.92,0.92,18500,0.0,0
1970-03-20,0.93,0.94,0.93,0.94,15300,0.0,0
1970-03-23,0.94,0.94,0.92,0.93,8700,0.0,0
1970-03-24,0.94,0.95,0.94,0.94,14700,0.0,0
1970-03-25,0.94,0.99,0.94,0.98,87300,0.0,0
1970-03-26,0.98,0.98,0.96,0.96,30700,0.0,0
1970-03-30,0.96,0.97,0.96,0.97,36700,0.0,0
1970-03-31,0.97,0.97,0.96,0.97,29900,0.0,0
1970-04-01,0.97,0.97,0.96,0.97,19700,0.0,0
1970-04-02,0.97,0.97,0.96,0.96,21100,0.0,0
1970-04-03,0.97,0.99,0.97,0.99,17300,0.0,0
1970-04-06,0.99,0.99,0.98,0.99,15000,0.0,0
1970-04-07,0.98,0.98,0.97,0.98,13200,0.0,0
1970-04-08,0.98,0.99,0.97,0.97,11400,0.0,0
1970-04-09,0.97,0.99,0.97,0.98,12900,0.0,0
1970-04-10,0.98,0.99,0.97,0.98,10600,0.0,0
1970-04-13,0.98,0.99,0.97,0.98,15400,0.0,0
1970-04-14,0.98,0.98,0.97,0.97,24500,0.0,0
1970-04-15,0.97,0.97,0.96,0.97,17100,0.0,0
1970-04-16,0.97,0.97,0.95,0.96,12000,0.0,0
1970-04-17,0.95,0.95,0.94,0.94,11000,0.0,0
1970-04-20,0.94,0.95,0.93,0.94,12300,0.0,0
1970-04-21,0.94,0.94,0.93,0.94,14900,0.0,0
1970-04-22,0.94,0.94,0.92,0.94,20400,0.0,0
1970-04-23,0.92,0.92,0.9,0.9,19200,0.0,0
1970-04-24,0.9,0.91,0.88,0.88,22000,0.0,0
1970-04-27,0.88,0.88,0.85,0.86,40500,0.0,0
1970-04-28,0.86,0.87,0.85,0.86,21300,0.0,0
1970-04-29,0.86,0.87,0.85,0.87,20300,0.0,0
1970-04-30,0.87,0.88,0.86,0.87,19000,0.0,0
1970-05-01,0.86,0.86,0.84,0.85,53900,0.0,0
1970-05-04,0.85,0.85,0.83,0.83,29500,0.0,0
1970-05-05,0.84,0.84,0.82,0.83,22500,0.41,0
