Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-06-26,1.29,1.4,1.29,1.36,16683200,0.0,0.0
1991-06-27,1.4,1.43,1.35,1.38,6160000,0.0,0.0
1991-06-28,1.38,1.41,1.35,1.37,2384400,0.0,0.0
1991-07-01,1.4,1.4,1.36,1.38,1782400,0.0,0.0
1991-07-02,1.4,1.4,1.38,1.4,1270800,0.0,0.0
1991-07-03,1.38,1.4,1.35,1.38,1214800,0.0,0.0
1991-07-05,1.38,1.38,1.33,1.33,230000,0.0,0.0
1991-07-08,1.33,1.38,1.33,1.33,550000,0.0,0.0
1991-07-09,1.35,1.45,1.33,1.43,3100000,0.0,0.0
1991-07-10,1.45,1.55,1.45,1.55,1238400,0.0,0.0
1991-07-11,1.55,1.61,1.51,1.57,2259200,0.0,0.0
1991-07-12,1.6,1.6,1.53,1.55,733200,0.0,0.0
1991-07-15,1.56,1.56,1.53,1.55,404000,0.0,0.0
1991-07-16,1.55,1.63,1.53,1.63,1534000,0.0,0.0
1991-07-17,1.6,1.75,1.6,1.72,3741600,0.0,0.0
1991-07-18,1.72,1.77,1.68,1.72,3756000,0.0,0.0
1991-07-19,1.73,1.73,1.63,1.63,1457200,0.0,0.0
1991-07-22,1.66,1.68,1.63,1.63,499200,0.0,0.0
1991-07-23,1.63,1.65,1.54,1.56,782800,0.0,0.0
1991-07-24,1.55,1.6,1.51,1.51,524000,0.0,0.0
1991-07-25,1.6,1.6,1.55,1.55,211200,0.1296,0.0
1991-07-26,1.54,1.57,1.53,1.57,494400,0.0,0.0
1991-07-29,1.59,1.59,1.53,1.59,77600,0.0,0.0
1991-07-30,1.59,1.72,1.55,1.71,630000,0.0,0.0
1991-07-31,1.71,1.76,1.69,1.74,1389600,0.0,0.0
1991-08-01,1.76,1.76,1.73,1.76,320400,0.0,0.0
1991-08-02,1.74,1.78,1.74,1.74,728000,0.0,0.0
1991-08-05,1.73,1.78,1.71,1.71,746400,0.0,0.0
1991-08-06,1.69,1.73,1.67,1.73,140800,0.0,0.0
1991-08-07,1.73,1.73,1.71,1.73,210400,0.0,0.0
1991-08-08,1.73,1.73,1.71,1.73,448400,0.0,0.0
1991-08-09,1.73,1.73,1.69,1.7,353200,0.0,0.0
1991-08-12,1.67,1.69,1.66,1.69,132400,0.0,0.0
1991-08-13,1.66,1.69,1.66,1.69,131200,0.0,0.0
1991-08-14,1.69,1.71,1.66,1.71,122400,0.0,0.0
1991-08-15,1.71,1.71,1.67,1.71,162000,0.0,0.0
1991-08-16,1.67,1.73,1.67,1.69,92800,0.0,0.0
1991-08-19,1.59,1.64,1.55,1.61,414400,0.0,0.0
1991-08-20,1.64,1.67,1.62,1.67,267200,0.0,0.0
1991-08-21,1.69,1.71,1.66,1.67,412000,0.0,0.0
1991-08-22,1.71,1.71,1.67,1.71,52800,0.0,0.0
1991-08-23,1.71,1.74,1.67,1.73,117200,0.0,0.0
1991-08-26,1.71,1.74,1.71,1.74,19600,0.0,0.0
1991-08-27,1.74,1.81,1.71,1.81,554800,0.0,0.0
1991-08-28,1.83,1.9,1.8,1.87,654000,0.0,0.0
1991-08-29,1.87,1.87,1.83,1.84,268000,0.0,0.0
1991-08-30,1.87,1.87,1.83,1.85,162000,0.0,0.0
