Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,180.41,182.91,180.38,181.9,3321347.0,0.0,0
2018-01-10,,,,,,0.5,0
2018-03-05,175.78,177.48,175.32,177.03,1736775.0,0.0,0
2018-03-13,176.04,176.2,175.46,176.02,2333877.0,0.0,0
2018-03-14,176.16,176.26,174.75,175.2,1887897.0,0.0,0
2018-03-15,175.09,175.44,172.76,173.19,1873553.0,0.0,0
2018-03-16,173.48,173.79,172.46,172.52,1900422.0,0.0,0
2018-03-19,172.51,172.86,170.17,170.68,1405117.0,0.0,0
2018-03-20,170.91,171.39,169.64,170.25,1801710.0,0.0,0
2018-03-21,169.93,170.72,168.54,168.65,1980097.0,0.0,0
2018-03-22,168.19,169.18,167.68,168.09,1680657.0,0.0,0
2018-03-23,168.17,168.45,166.71,166.76,1530017.0,0.0,0
2018-03-26,167.42,169.63,167.02,169.38,1336189.0,0.0,0
2018-03-27,169.38,169.58,166.66,167.01,2176957.0,0.0,0
2018-03-28,167.59,169.01,167.02,168.07,1573264.0,0.0,0
2018-03-29,168.4,168.46,166.85,167.65,2775402.0,0.0,0
2018-04-02,167.66,168.0,165.55,166.76,2989578.0,0.0,0
2018-04-03,167.28,168.02,166.8,167.41,1952316.0,0.0,0
2018-04-04,166.81,169.59,166.04,169.02,1847803.0,0.0,0
2018-04-05,169.36,171.73,168.75,169.34,2011075.0,0.0,0
2018-04-06,168.93,169.56,167.83,169.01,2845351.0,0.0,0
2018-04-09,169.25,172.0,168.09,170.15,3074587.0,0.0,0
2018-04-10,170.79,172.71,169.32,172.48,8211422.0,0.0,0
2018-04-11,171.76,172.56,169.96,170.39,2382297.0,0.5,0
2018-04-12,170.79,172.99,170.53,172.39,2558111.0,0.0,0
2018-04-13,173.07,173.23,171.55,172.04,2350627.0,0.0,0
2018-04-16,173.04,176.68,172.49,174.98,2658641.0,0.0,0
2018-04-17,176.2,176.48,174.33,176.38,2547608.0,0.0,0
2018-04-18,176.19,177.3,176.04,176.61,1986332.0,0.0,0
2018-04-19,176.09,176.5,174.57,175.52,1243509.0,0.0,0
2018-04-20,175.77,176.17,174.67,176.01,1673802.0,0.0,0
2018-04-23,176.16,176.51,175.27,176.19,2281983.0,0.0,0
2018-04-24,176.82,177.52,175.52,176.29,1614310.0,0.0,0
2018-04-25,176.12,178.12,175.59,178.07,1292777.0,0.0,0
2018-04-26,177.8,178.97,177.13,177.9,2411627.0,0.0,0
2018-04-27,177.79,180.33,177.79,178.95,1101625.0,0.0,0
2018-04-30,179.09,180.07,177.94,178.13,1910701.0,0.0,0
2018-05-01,178.74,179.75,177.43,177.79,1921134.0,0.0,0
2018-05-02,177.92,178.08,175.2,175.84,2433702.0,0.0,0
2018-05-03,175.42,175.42,170.67,171.24,3741742.0,0.0,0
2018-05-04,170.8,172.34,170.14,171.37,2027504.0,0.0,0
2018-05-07,171.5,171.8,170.47,170.52,2032045.0,0.0,0
2018-05-08,170.31,170.59,169.31,169.95,1965830.0,0.0,0
2018-05-09,169.92,170.95,169.16,169.69,1988926.0,0.0,0
2018-05-10,170.11,171.42,169.27,169.71,1633873.0,0.0,0
2018-05-11,170.13,173.77,168.23,173.77,3204710.0,0.0,0
2018-05-14,173.91,176.98,172.93,176.9,3432233.0,0.0,0
2018-05-15,176.75,176.95,175.77,176.19,1610834.0,0.0,0
2018-05-16,176.59,177.03,175.78,176.56,1458464.0,0.0,0
2018-05-17,176.56,177.14,175.81,176.12,1447770.0,0.0,0
2018-05-18,176.16,176.64,175.34,175.9,1559684.0,0.0,0
2018-05-21,176.97,176.97,175.73,176.8,1183640.0,0.0,0
2018-05-22,176.96,178.07,176.3,176.3,2348055.0,0.0,0
2018-05-23,176.13,176.65,175.45,176.43,1277252.0,0.0,0
2018-05-24,176.34,176.68,174.57,176.21,1154955.0,0.0,0
2018-05-25,176.23,177.68,175.59,177.62,953127.0,0.0,0
2018-05-29,176.78,177.08,175.56,175.87,1732336.0,0.0,0
2018-05-30,176.54,177.25,176.03,176.95,1342202.0,0.0,0
2018-05-31,176.79,176.79,174.2,175.22,2522863.0,0.0,0
2018-06-01,175.69,176.09,175.17,175.69,1674328.0,0.0,0
2018-06-04,175.69,176.22,175.12,175.39,1062247.0,0.0,0
2018-06-05,175.14,175.68,174.01,174.74,1834386.0,0.0,0
2018-06-06,174.88,178.17,174.84,178.09,1966134.0,0.0,0
2018-06-07,178.2,179.07,177.28,178.81,2409876.0,0.0,0
2018-06-08,178.94,179.9,178.51,179.88,2222725.0,0.0,0
2018-06-11,179.91,181.47,179.2,181.12,1653816.0,0.0,0
2018-06-12,180.29,181.35,178.23,179.75,2961093.0,0.0,0
2018-06-13,184.1,187.55,184.03,186.45,4058087.0,0.0,0
2018-06-14,186.8,187.67,186.24,187.12,1511346.0,0.0,0
2018-06-15,186.62,188.63,186.62,188.52,2971264.0,0.0,0
2018-06-18,188.12,188.22,185.71,185.99,1351578.0,0.0,0
2018-06-19,185.35,188.81,185.13,188.3,1508812.0,0.0,0
2018-06-20,188.22,189.74,187.7,189.25,1288564.0,0.0,0
2018-06-21,189.4,190.31,188.13,188.17,1038548.0,0.0,0
2018-06-22,188.29,190.51,188.29,189.94,1513811.0,0.0,0
2018-06-25,189.67,189.88,187.79,188.6,1278585.0,0.0,0
2018-06-26,187.66,188.8,186.9,187.11,1203426.0,0.0,0
2018-06-27,186.54,189.17,186.34,187.85,1471847.0,0.0,0
2018-06-28,183.44,185.39,182.07,184.4,3420582.0,0.0,0
2018-06-29,184.44,184.83,182.51,182.55,2504387.0,0.0,0
2018-07-02,182.52,184.72,182.52,184.72,1693459.0,0.0,0
2018-07-03,184.72,185.1,183.9,184.25,666839.0,0.0,0
2018-07-05,184.82,185.39,183.96,184.04,2909158.0,0.0,0
2018-07-06,184.06,185.49,184.01,185.25,2134404.0,0.0,0
2018-07-09,185.85,188.06,185.85,186.54,860414.0,0.0,0
2018-07-10,187.07,187.96,186.75,187.29,1015022.0,0.0,0
2018-07-11,187.14,187.46,186.29,186.59,540623.0,0.0,0
2018-07-12,186.93,192.66,186.47,190.1,4981664.0,0.0,0
2018-07-13,190.08,192.22,190.02,190.9,1994652.0,0.0,0
2018-07-16,190.81,193.0,190.1,190.46,1544949.0,0.0,0
2018-07-17,190.09,190.96,188.54,190.55,1529076.0,0.0,0
2018-07-18,190.05,190.92,189.95,190.34,1187866.0,0.0,0
2018-07-19,189.81,189.96,187.37,189.06,2376724.0,0.0,0
2018-07-20,188.51,188.73,186.25,186.25,6394230.0,0.0,0
2018-07-23,186.91,187.84,186.71,187.36,2445815.0,0.0,0
2018-07-24,187.04,188.62,187.03,187.09,2122878.0,0.5,0
2018-07-25,187.09,188.79,186.81,188.65,684391.0,0.0,0
2018-07-26,189.77,190.22,188.54,188.68,877176.0,0.0,0
2018-07-27,188.7,189.66,188.54,189.13,1151993.0,0.0,0
2018-07-30,188.78,189.63,188.54,189.18,1437607.0,0.0,0
2018-07-31,189.17,189.77,187.47,187.92,1168439.0,0.0,0
2018-08-01,188.53,189.84,186.18,186.32,3064387.0,0.0,0
2018-08-02,187.24,188.74,185.92,186.58,2032240.0,0.0,0
2018-08-03,187.26,188.78,186.63,188.26,1021553.0,0.0,0
2018-08-06,188.44,188.56,187.69,188.14,2140789.0,0.0,0
2018-08-07,188.03,188.53,187.7,187.72,1122951.0,0.0,0
2018-08-08,191.52,194.35,191.52,193.14,3607101.0,0.0,0
