Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1989-06-22,4.58,4.61,4.32,4.37,1746400,0.0,0.0
1989-06-23,4.37,4.44,4.3,4.44,2356000,0.0,0.0
1989-06-26,4.44,4.51,4.39,4.39,533200,0.0,0.0
1989-06-27,4.49,4.61,4.49,4.54,2098000,0.0,0.0
1989-06-28,4.54,4.54,4.37,4.37,856400,0.0,0.0
1989-06-29,4.37,4.42,4.28,4.32,1496000,0.0,0.0
1989-06-30,4.32,4.32,4.21,4.3,606400,0.0,0.0
1989-07-03,4.3,4.3,4.25,4.28,127200,0.0,0.0
1989-07-05,4.3,4.3,4.25,4.3,668400,0.0,0.0
1989-07-06,4.3,4.44,4.28,4.42,1311600,0.0,0.0
1989-07-07,4.49,4.54,4.39,4.46,1616800,0.0,0.0
1989-07-10,4.49,4.63,4.49,4.63,975200,0.0,0.0
1989-07-11,4.63,4.75,4.63,4.68,1833200,0.0,0.0
1989-07-12,4.72,4.77,4.61,4.61,1640400,0.0,0.0
1989-07-13,4.63,4.63,4.42,4.51,2386800,0.0,0.0
1989-07-14,4.54,4.58,4.49,4.54,1527600,0.0,0.0
1989-07-17,4.58,4.61,4.54,4.61,1277200,0.0,0.0
1989-07-18,4.61,4.61,4.51,4.51,1643600,0.0,0.0
1989-07-19,4.56,4.56,4.42,4.44,2506000,0.0,0.0
1989-07-20,4.49,4.7,4.49,4.58,2471200,0.0,0.0
1989-07-21,4.58,4.63,4.54,4.61,1890400,0.0,0.0
1989-07-24,4.61,4.61,4.51,4.51,1080000,0.0,0.0
1989-07-25,4.54,4.58,4.51,4.58,1612800,0.0,0.0
1989-07-26,4.61,4.68,4.58,4.63,4258000,0.0,0.0
1989-07-27,4.68,4.82,4.68,4.77,7722400,0.0,0.0
1989-07-28,4.8,4.82,4.75,4.77,3185600,0.0,0.0
1989-07-31,4.75,4.77,4.65,4.75,2185600,0.0,0.0
1989-08-01,4.75,4.77,4.68,4.75,3455200,0.0,0.0
1989-08-02,4.72,4.75,4.68,4.68,3822000,0.0,0.0
1989-08-03,4.68,4.72,4.65,4.72,3407600,0.0,0.0
1989-08-04,4.65,4.77,4.65,4.77,1885600,0.0,0.0
1989-08-07,4.77,4.77,4.63,4.65,2147600,0.0,0.0
1989-08-08,4.68,4.72,4.65,4.72,2505600,0.0,0.0
1989-08-09,4.72,4.77,4.72,4.75,2747200,0.0,0.0
1989-08-10,4.72,4.77,4.68,4.7,4166000,0.0,0.0
1989-08-11,4.77,4.77,4.72,4.75,2558800,0.0,0.0
1989-08-14,4.72,4.75,4.65,4.65,2912000,0.0,0.0
1989-08-15,4.68,4.68,4.49,4.51,2775600,0.0,0.0
1989-08-16,4.54,4.7,4.51,4.51,3040400,0.0,0.0
1989-08-17,4.56,4.58,4.49,4.58,1970000,0.0,0.0
1989-08-18,4.56,4.61,4.54,4.61,1364400,0.0,0.0
1989-08-21,4.56,4.63,4.56,4.58,1891600,0.0,0.0
1989-08-22,4.56,4.65,4.56,4.61,1999200,0.0,0.0
1989-08-23,4.61,4.68,4.58,4.65,1092400,0.0,0.0
1989-08-24,4.65,4.7,4.63,4.7,2400000,0.0,0.0
1989-08-25,4.7,4.72,4.65,4.68,861200,0.0,0.0
1989-08-28,4.68,4.68,4.61,4.63,1054800,0.0,0.0
1989-08-29,4.63,4.65,4.54,4.58,2449200,0.0,0.0
1989-08-30,4.58,4.65,4.56,4.65,1654400,0.0,0.0
1989-08-31,4.63,4.7,4.63,4.68,1598800,0.0,0.0
1989-09-01,4.68,4.75,4.68,4.72,1911600,0.0,0.0
1989-09-05,4.72,4.75,4.7,4.7,2658000,0.0,0.0
1989-09-06,4.7,4.7,4.61,4.63,1264800,0.0,0.0
1989-09-07,4.16,4.18,3.87,3.92,12668800,0.0,0.0
1989-09-08,3.95,3.97,3.76,3.83,7364000,0.0,0.0
1989-09-11,3.83,3.85,3.69,3.83,6420000,0.0,0.0
1989-09-12,3.8,3.85,3.73,3.78,2242400,0.0,0.0
1989-09-13,3.76,3.85,3.76,3.76,4391600,0.0,0.0
1989-09-14,3.76,3.78,3.73,3.76,3736000,0.0,0.0
1989-09-15,3.78,3.8,3.73,3.76,5024400,0.0,0.0
1989-09-18,3.76,3.76,3.71,3.76,2668000,0.0,0.0
1989-09-19,3.73,3.78,3.59,3.61,2683200,0.0,0.0
1989-09-20,3.59,3.64,3.57,3.61,1377200,0.0,0.0
1989-09-21,3.64,3.64,3.52,3.52,980800,0.0,0.0
1989-09-22,3.52,3.54,3.4,3.43,3218800,0.0,0.0
1989-09-25,3.45,3.57,3.45,3.52,4335600,0.0,0.0
1989-09-26,3.57,3.64,3.57,3.57,3874400,0.0,0.0
1989-09-27,3.57,3.61,3.54,3.54,1645200,0.0,0.0
1989-09-28,3.54,3.64,3.54,3.61,2245600,0.0,0.0
1989-09-29,3.61,3.61,3.57,3.57,1075600,0.0,0.0
1989-10-02,3.59,3.61,3.57,3.59,979600,0.0,0.0
1989-10-03,3.59,3.8,3.59,3.78,2903600,0.0,0.0
1989-10-04,3.78,3.87,3.73,3.83,2246800,0.0,0.0
1989-10-05,3.83,3.87,3.8,3.85,820400,0.0,0.0
1989-10-06,3.83,3.87,3.8,3.83,1576400,0.0,0.0
1989-10-09,3.83,3.97,3.83,3.97,646000,0.0,0.0
1989-10-10,3.92,3.95,3.85,3.87,1354400,0.0,0.0
1989-10-11,3.83,3.92,3.83,3.85,1558000,0.0,0.0
1989-10-12,3.85,3.87,3.69,3.76,2108800,0.0,0.0
1989-10-13,3.76,3.76,3.52,3.52,1500000,0.0,0.0
1989-10-16,3.47,3.69,3.45,3.57,2530800,0.0,0.0
1989-10-17,3.54,3.61,3.52,3.59,2694400,0.0,0.0
1989-10-18,3.59,3.66,3.57,3.64,1478400,0.0,0.0
1989-10-19,3.61,3.66,3.61,3.66,1869600,0.0,0.0
1989-10-20,3.69,3.76,3.69,3.73,928800,0.0,0.0
1989-10-23,3.71,3.76,3.61,3.64,1145200,0.0,0.0
1989-10-24,3.61,3.64,3.5,3.57,1408000,0.0,0.0
1989-10-25,3.54,3.69,3.54,3.69,2696000,0.0,0.0
1989-10-26,3.64,3.66,3.5,3.54,1504000,0.0,0.0
1989-10-27,3.5,3.52,3.45,3.5,1374400,0.0,0.0
1989-10-30,3.5,3.54,3.45,3.52,834400,0.0,0.0
1989-10-31,3.54,3.61,3.52,3.57,1438800,0.0,0.0
1989-11-01,3.59,3.71,3.59,3.66,822400,0.0,0.0
1989-11-02,3.69,3.69,3.54,3.59,584400,0.0,0.0
1989-11-03,3.54,3.59,3.54,3.57,491600,0.0,0.0
1989-11-06,3.54,3.57,3.45,3.52,644800,0.0,0.0
1989-11-07,3.45,3.52,3.45,3.5,416400,0.0,0.0
1989-11-08,3.45,3.54,3.45,3.52,1450400,0.0,0.0
1989-11-09,3.5,3.52,3.21,3.24,2532400,0.0,0.0
1989-11-10,3.17,3.17,3.0,3.07,5763600,0.0,0.0
1989-11-13,3.06,3.11,3.01,3.09,3158800,0.01875,0.0
1989-11-14,3.11,3.13,3.04,3.06,1532800,0.0,0.0
1989-11-15,3.06,3.09,2.97,3.01,1342800,0.0,0.0
1989-11-16,3.04,3.06,2.99,3.04,988400,0.0,0.0
1989-11-17,3.04,3.09,3.04,3.04,856400,0.0,0.0
