Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-01-02,17.63,17.63,17.63,17.63,0.0,0.0,0.0
1973-01-03,17.71,17.71,17.71,17.71,0.0,0.0,0.0
1973-01-04,17.5,17.5,17.5,17.5,0.0,0.0,0.0
1973-01-05,17.61,17.61,17.61,17.61,0.0,0.0,0.0
1973-01-08,17.56,17.56,17.56,17.56,0.0,0.0,0.0
1973-01-09,17.66,17.66,17.66,17.66,0.0,0.0,0.0
1973-01-10,17.66,17.66,17.66,17.66,0.0,0.0,0.0
1973-01-11,17.79,17.79,17.79,17.79,0.0,0.0,0.0
1973-01-12,17.81,17.81,17.81,17.81,0.0,0.0,0.0
1973-01-15,17.86,17.86,17.86,17.86,0.0,0.0,0.0
1973-01-16,17.58,17.58,17.58,17.58,0.0,0.0,0.0
1973-01-17,17.3,17.3,17.3,17.3,0.0,0.0,0.0
1973-01-18,17.2,17.2,17.2,17.2,0.0,0.0,0.0
1973-01-19,16.97,16.97,16.97,16.97,0.0,0.0,0.0
1973-01-22,16.99,16.99,16.99,16.99,0.0,0.0,0.0
1973-01-23,17.09,17.09,17.09,17.09,0.0,0.0,0.0
1973-01-24,16.99,16.99,16.99,16.99,0.0,0.0,0.0
1973-01-26,16.53,16.53,16.53,16.53,0.0,0.0,0.0
1973-01-29,16.02,16.02,16.02,16.02,0.0,0.0,0.0
1973-01-30,16.02,16.02,16.02,16.02,0.0,0.0,0.0
1973-01-31,16.07,16.07,16.07,16.07,0.0,0.0,0.0
1973-02-01,16.02,16.02,16.02,16.02,0.0,0.0,0.0
1973-02-02,15.99,15.99,15.99,15.99,0.0,0.0,0.0
1973-02-05,15.99,15.99,15.99,15.99,0.0,0.0,0.0
1973-02-06,16.07,16.07,16.07,16.07,0.0,0.0,0.0
1973-02-07,16.02,16.02,16.02,16.02,0.0,0.0,0.0
1973-02-08,15.84,15.84,15.84,15.84,0.0,0.0,0.0
1973-02-09,15.91,15.91,15.91,15.91,0.0,0.0,0.0
1973-02-12,16.12,16.12,16.12,16.12,0.0,0.0,0.0
1973-02-13,16.32,16.32,16.32,16.32,0.0,0.0,0.0
1973-02-14,16.04,16.04,16.04,16.04,0.0,0.0,0.0
1973-02-15,15.66,15.66,15.66,15.66,0.0,0.0,0.0
1973-02-16,15.68,15.68,15.68,15.68,0.0,0.0,0.0
1973-02-20,15.81,15.81,15.81,15.81,0.0,0.0,0.0
1973-02-21,15.71,15.71,15.71,15.71,0.0,0.0,0.0
1973-02-22,15.66,15.66,15.66,15.66,0.0,0.0,0.0
1973-02-23,15.43,15.43,15.43,15.43,0.0,0.0,0.0
1973-02-26,15.35,15.35,15.35,15.35,0.0,0.0,0.0
1973-02-27,14.71,14.71,14.71,14.71,0.0,0.0,0.0
1973-02-28,14.68,14.68,14.68,14.68,0.0,0.0,0.0
1973-03-01,14.68,14.68,14.68,14.68,0.0,0.0,0.0
1973-03-02,14.91,14.91,14.91,14.91,0.0,0.0,0.0
1973-03-05,14.99,14.99,14.99,14.99,0.0,0.0,0.0
1973-03-06,15.35,15.35,15.35,15.35,0.0,0.0,0.0
1973-03-07,15.68,15.68,15.68,15.68,0.0,0.0,0.0
1973-03-08,15.71,15.71,15.71,15.71,0.0,0.0,0.0
1973-03-09,15.71,15.71,15.71,15.71,0.0,0.0,0.0
1973-03-12,15.76,15.76,15.76,15.76,0.0,0.0,0.0
1973-03-13,15.78,15.78,15.78,15.78,0.0,0.0,0.0
1973-03-14,15.81,15.81,15.81,15.81,0.0,0.0,0.0
1973-03-15,15.76,15.76,15.76,15.76,0.0,0.0,0.0
1973-03-16,15.81,15.81,15.81,15.81,0.0,0.0,0.0
1973-03-19,15.48,15.48,15.48,15.48,0.0,0.0,0.0
1973-03-20,15.35,15.35,15.35,15.35,0.0,0.0,0.0
1973-03-21,15.12,15.12,15.12,15.12,0.0,0.0,0.0
1973-03-22,14.68,14.68,14.68,14.68,0.0,0.0,0.0
1973-03-23,14.73,14.73,14.73,14.73,0.0,0.0,0.0
1973-03-26,14.73,14.73,14.73,14.73,0.0,0.0,0.0
1973-03-27,14.86,14.86,14.86,14.86,0.0,0.0,0.0
1973-03-28,15.4,15.4,15.4,15.4,0.0,0.0,0.0
