Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-07-22,4.7,4.73,4.7,4.7,1415500,0.0,0.0
1994-07-25,4.7,4.73,4.7,4.73,138600,0.0,0.0
1994-07-26,4.7,4.73,4.7,4.7,71500,0.0,0.0
1994-07-27,4.73,4.73,4.7,4.7,37300,0.0,0.0
1994-07-28,4.7,4.73,4.7,4.7,83500,0.0,0.0
1994-07-29,4.7,4.73,4.7,4.7,19900,0.0,0.0
1994-08-01,4.7,4.73,4.7,4.7,21700,0.0,0.0
1994-08-02,4.7,4.73,4.7,4.7,60000,0.0,0.0
1994-08-03,4.7,4.73,4.7,4.73,37500,0.0,0.0
1994-08-04,4.7,4.7,4.64,4.64,553800,0.0,0.0
1994-08-05,4.64,4.67,4.64,4.64,130600,0.0,0.0
1994-08-08,4.64,4.67,4.64,4.64,50700,0.0,0.0
1994-08-09,4.67,4.67,4.64,4.67,81700,0.0,0.0
1994-08-10,4.64,4.64,4.57,4.57,134000,0.0,0.0
1994-08-11,4.57,4.64,4.54,4.54,67700,0.0,0.0
1994-08-12,4.57,4.57,4.54,4.57,85700,0.0,0.0
1994-08-15,4.54,4.6,4.54,4.57,24200,0.0,0.0
1994-08-16,4.64,4.64,4.57,4.6,109900,0.0,0.0
1994-08-17,4.6,4.6,4.57,4.57,92800,0.0,0.0
1994-08-18,4.57,4.6,4.57,4.6,44900,0.0,0.0
1994-08-19,4.57,4.6,4.54,4.57,54000,0.0,0.0
1994-08-22,4.57,4.57,4.54,4.57,36100,0.0,0.0
1994-08-23,4.54,4.57,4.54,4.54,27200,0.0,0.0
1994-08-24,4.54,4.6,4.54,4.57,64400,0.0,0.0
1994-08-25,4.6,4.64,4.57,4.6,51300,0.0,0.0
1994-08-26,4.6,4.64,4.6,4.64,47500,0.0,0.0
1994-08-29,4.64,4.67,4.6,4.64,45300,0.0,0.0
1994-08-30,4.67,4.7,4.64,4.7,36300,0.0,0.0
1994-08-31,4.7,4.7,4.67,4.67,26400,0.0,0.0
1994-09-01,4.7,4.7,4.64,4.64,34800,0.0,0.0
1994-09-02,4.67,4.67,4.6,4.64,35600,0.0,0.0
1994-09-06,4.67,4.67,4.57,4.57,11600,0.0,0.0
1994-09-07,4.57,4.6,4.57,4.57,33200,0.0,0.0
1994-09-08,4.57,4.6,4.54,4.6,57200,0.0,0.0
1994-09-09,4.6,4.64,4.48,4.64,33100,0.0,0.0
1994-09-12,4.57,4.64,4.57,4.57,34400,0.0,0.0
1994-09-13,4.6,4.64,4.57,4.6,45300,0.0,0.0
1994-09-14,4.6,4.64,4.51,4.51,36200,0.0,0.0
1994-09-15,4.54,4.6,4.54,4.57,116100,0.0,0.0
1994-09-16,4.57,4.57,4.51,4.51,25600,0.0,0.0
