Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-02-05,17.96,18.86,17.58,18.67,27565200,0.0,0
2004-02-06,18.68,18.86,18.26,18.79,5284400,0.0,0
2004-02-09,18.6,18.67,18.14,18.5,3252900,0.0,0
2004-02-10,18.26,18.5,18.18,18.41,1651600,0.0,0
2004-02-11,18.36,18.52,18.26,18.33,2010200,0.0,0
2004-02-12,18.29,18.9,18.27,18.66,1637500,0.0,0
2004-02-13,18.74,18.78,18.36,18.67,612000,0.0,0
2004-02-17,18.71,18.83,18.52,18.6,592300,0.0,0
2004-02-18,18.6,19.2,18.41,19.2,805700,0.0,0
2004-02-19,19.09,19.64,19.09,19.41,1494600,0.0,0
2004-02-20,19.42,19.42,18.9,19.17,742000,0.0,0
2004-02-23,19.2,19.2,18.41,18.56,1331500,0.0,0
2004-02-24,18.45,18.88,18.3,18.75,963600,0.0,0
2004-02-25,18.75,18.9,18.67,18.79,321700,0.0,0
2004-02-26,18.79,19.1,18.6,19.08,617200,0.0,0
2004-02-27,19.01,19.47,18.98,19.46,1569100,0.0,0
2004-03-01,19.46,19.8,19.43,19.51,851700,0.0,0
2004-03-02,19.62,19.62,18.98,19.61,595600,0.0,0
2004-03-03,19.43,19.51,19.17,19.26,457000,0.0,0
2004-03-04,19.26,19.47,18.71,19.06,1060200,0.0,0
2004-03-05,18.92,19.38,18.9,19.32,450200,0.0,0
2004-03-08,19.32,19.39,19.03,19.26,370100,0.0,0
2004-03-09,19.28,19.29,18.68,18.9,816200,0.0,0
2004-03-10,18.75,18.79,18.45,18.64,1034300,0.0,0
2004-03-11,18.26,18.64,18.26,18.3,2538500,0.0,0
2004-03-12,18.4,18.64,18.33,18.52,1501700,0.0,0
2004-03-15,18.71,18.71,17.95,18.14,1595900,0.0,0
2004-03-16,18.52,18.56,18.28,18.32,1525800,0.0,0
2004-03-17,18.3,18.52,18.19,18.2,1051700,0.0,0
2004-03-18,18.2,18.22,17.93,17.99,1006800,0.0,0
2004-03-19,17.96,18.02,17.69,17.95,759200,0.0,0
2004-03-22,17.69,17.96,17.46,17.92,1018700,0.0,0
2004-03-23,17.96,18.14,17.77,18.14,678300,0.0,0
2004-03-24,18.14,18.18,17.97,17.99,510900,0.0,0
2004-03-25,17.88,18.19,17.76,18.11,1499800,0.0,0
2004-03-26,18.05,18.4,18.05,18.22,887500,0.0,0
2004-03-29,18.23,18.48,18.23,18.42,823900,0.0,0
2004-03-30,18.3,18.71,18.28,18.69,739300,0.0,0
2004-03-31,18.71,19.12,18.6,19.01,728500,0.0,0
2004-04-01,19.09,19.2,18.73,19.09,1568800,0.0,0
2004-04-02,19.17,19.21,18.71,19.07,1166400,0.0,0
2004-04-05,18.94,19.3,18.83,19.29,544200,0.0,0
2004-04-06,19.24,19.66,19.09,19.61,697900,0.0,0
2004-04-07,19.47,19.55,19.2,19.45,444100,0.0,0
2004-04-08,19.54,19.85,19.43,19.82,657400,0.0,0
2004-04-12,19.77,19.85,19.44,19.57,804000,0.0,0
2004-04-13,19.64,19.78,19.01,19.09,860800,0.0,0
2004-04-14,19.09,19.24,18.88,19.04,1518700,0.0,0
2004-04-15,19.13,19.47,18.95,19.09,1406600,0.0,0
2004-04-16,19.13,19.38,18.94,19.31,272100,0.0,0
2004-04-19,19.24,19.76,19.24,19.45,627800,0.0,0
2004-04-20,19.43,19.51,19.2,19.32,926200,0.0,0
2004-04-21,19.28,19.34,18.9,19.05,980800,0.0,0
2004-04-22,19.17,19.23,18.9,19.05,568200,0.0,0
2004-04-23,19.05,19.07,18.79,18.92,355900,0.0,0
2004-04-26,18.79,18.9,18.64,18.83,238900,0.0,0
2004-04-27,18.79,19.1,18.78,19.03,171900,0.0,0
2004-04-28,19.09,19.09,18.84,18.9,256100,0.0,0
2004-04-29,18.82,18.86,18.6,18.69,298200,0.0,0
2004-04-30,18.62,18.9,18.4,18.42,608100,0.0,0
2004-05-03,18.57,18.93,18.49,18.9,514800,0.0,0
2004-05-04,18.86,18.92,18.52,18.71,953800,0.0,0
2004-05-05,18.83,18.9,18.6,18.67,304700,0.0,0
2004-05-06,18.67,18.87,18.36,18.64,319600,0.0,0
2004-05-07,18.52,18.75,17.8,18.22,564500,0.0,0
2004-05-10,18.14,18.18,17.75,18.14,479000,0.0,0
2004-05-11,18.1,18.52,17.93,18.34,418400,0.0,0
2004-05-12,18.64,18.69,17.81,18.45,1549800,0.0,0
2004-05-13,18.33,19.11,18.21,18.89,753400,0.0,0
2004-05-14,18.89,19.01,18.79,18.9,750400,0.0,0
2004-05-17,18.75,18.75,18.33,18.42,569600,0.0,0
2004-05-18,18.52,18.94,18.45,18.78,852100,0.0,0
2004-05-19,18.75,18.9,18.63,18.71,434400,0.0,0
2004-05-20,18.76,18.95,18.73,18.95,546500,0.07,0
2004-05-21,18.95,18.95,18.86,18.9,469600,0.0,0
2004-05-24,18.99,18.99,18.82,18.95,532500,0.0,0
2004-05-25,18.95,18.96,18.59,18.69,1171200,0.0,0
2004-05-26,18.73,18.83,18.48,18.8,349200,0.0,0
2004-05-27,18.73,18.95,18.61,18.65,615900,0.0,0
2004-05-28,18.69,19.03,18.54,19.03,283900,0.0,0
2004-06-01,18.95,19.17,18.88,19.08,939300,0.0,0
2004-06-02,19.27,19.33,19.07,19.26,505900,0.0,0
2004-06-03,19.28,19.49,19.17,19.43,397700,0.0,0
2004-06-04,19.37,19.6,19.3,19.56,240100,0.0,0
2004-06-07,19.64,19.64,19.33,19.37,336400,0.0,0
2004-06-08,19.23,19.41,19.14,19.39,614300,0.0,0
2004-06-09,19.49,19.64,19.32,19.35,846300,0.0,0
2004-06-10,19.41,19.41,19.26,19.3,543700,0.0,0
2004-06-14,19.3,19.3,19.02,19.3,177900,0.0,0
2004-06-15,19.33,19.6,19.29,19.47,559400,0.0,0
2004-06-16,19.33,19.5,19.32,19.36,192800,0.0,0
2004-06-17,19.33,19.55,19.3,19.55,282200,0.0,0
2004-06-18,19.45,19.5,19.01,19.22,801400,0.0,0
2004-06-21,19.27,19.29,19.14,19.18,207700,0.0,0
2004-06-22,19.2,19.26,19.03,19.18,268200,0.0,0
2004-06-23,19.22,19.32,19.05,19.17,183200,0.0,0
2004-06-24,19.03,19.56,19.03,19.3,507100,0.0,0
2004-06-25,19.37,19.71,19.29,19.71,2268900,0.0,0
2004-06-28,19.71,19.9,19.65,19.86,604400,0.0,0
2004-06-29,19.79,20.16,19.71,20.07,486600,0.0,0
2004-06-30,20.11,20.14,19.9,20.0,566700,0.0,0
2004-07-01,20.0,20.02,19.85,19.94,461600,0.0,0
2004-07-02,19.9,19.99,19.71,19.77,489000,0.0,0
2004-07-06,19.76,19.76,19.49,19.6,246200,0.0,0
2004-07-07,19.58,19.71,19.56,19.71,416800,0.0,0
2004-07-08,19.71,19.71,19.56,19.6,224500,0.0,0
2004-07-09,19.65,19.7,19.49,19.6,155700,0.0,0
2004-07-12,19.64,19.71,19.56,19.69,93700,0.0,0
2004-07-13,19.69,19.74,19.58,19.71,545400,0.0,0
2004-07-14,19.71,19.71,19.34,19.55,203100,0.0,0
2004-07-15,19.43,19.52,19.19,19.31,292100,0.0,0
2004-07-16,19.32,19.42,19.17,19.32,342200,0.0,0
2004-07-19,19.26,19.41,19.22,19.37,280600,0.0,0
2004-07-20,19.3,19.37,19.2,19.32,647000,0.0,0
2004-07-21,19.36,19.39,19.29,19.29,740200,0.0,0
2004-07-22,19.26,19.26,18.72,18.73,1169000,0.0,0
2004-07-23,18.69,18.69,18.32,18.42,1022700,0.0,0
2004-07-26,18.47,18.54,18.09,18.12,704200,0.0,0
2004-07-27,18.17,18.95,18.13,18.67,483600,0.0,0
2004-07-28,18.84,18.84,18.43,18.52,452500,0.0,0
2004-07-29,18.54,18.7,18.45,18.5,331400,0.0,0
2004-07-30,18.5,18.54,18.42,18.5,392900,0.0,0
2004-08-02,18.46,18.85,18.36,18.78,225600,0.0,0
2004-08-03,18.95,19.27,18.81,19.07,556400,0.0,0
2004-08-04,19.03,19.08,18.89,18.99,119900,0.0,0
2004-08-05,18.95,19.53,18.95,19.45,1014300,0.0,0
2004-08-06,19.41,19.55,19.32,19.45,537200,0.0,0
2004-08-09,19.41,19.7,19.37,19.59,208700,0.0,0
2004-08-10,19.64,19.75,19.63,19.67,309600,0.0,0
2004-08-11,19.79,19.79,19.42,19.49,471300,0.0,0
2004-08-12,19.41,19.49,19.07,19.08,307000,0.0,0
2004-08-13,19.2,19.2,18.99,19.03,451300,0.0,0
2004-08-16,18.92,19.28,18.92,19.18,442500,0.0,0
2004-08-17,19.14,19.51,19.11,19.45,281600,0.0,0
2004-08-18,19.47,19.62,19.45,19.6,269400,0.0,0
2004-08-19,19.46,19.76,19.46,19.61,303800,0.07,0
2004-08-20,19.58,19.64,19.5,19.61,187800,0.0,0
2004-08-23,19.52,19.78,19.52,19.7,190800,0.0,0
2004-08-24,19.61,19.77,19.61,19.76,192500,0.0,0
2004-08-25,19.76,19.77,19.68,19.74,294300,0.0,0
2004-08-26,19.75,19.77,19.55,19.65,287700,0.0,0
2004-08-27,19.73,19.73,19.5,19.62,236600,0.0,0
2004-08-30,19.66,20.07,19.65,20.07,359300,0.0,0
