Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-06-20,0.0,0.19,0.19,0.19,2004000,0.0,0.0
1984-06-21,0.0,0.19,0.18,0.18,626400,0.0,0.0
1984-06-22,0.0,0.18,0.18,0.18,229600,0.0,0.0
1984-06-25,0.0,0.18,0.18,0.18,102400,0.0,0.0
1984-06-26,0.0,0.18,0.17,0.17,129600,0.0,0.0
1984-06-27,0.0,0.18,0.18,0.18,213600,0.0,0.0
1984-06-28,0.0,0.18,0.18,0.18,212000,0.0,0.0
1984-06-29,0.0,0.19,0.18,0.18,208000,0.0,0.0
1984-07-02,0.0,0.19,0.18,0.18,144800,0.0,0.0
1984-07-03,0.0,0.19,0.18,0.18,48000,0.0,0.0
1984-07-05,0.0,0.19,0.19,0.19,108000,0.0,0.0
1984-07-06,0.0,0.19,0.19,0.19,2400,0.0,0.0
1984-07-09,0.0,0.19,0.19,0.19,76800,0.0,0.0
1984-07-10,0.0,0.19,0.19,0.19,89600,0.0,0.0
1984-07-11,0.0,0.19,0.19,0.19,82400,0.0,0.0
1984-07-12,0.0,0.19,0.18,0.18,58400,0.0,0.0
1984-07-13,0.0,0.19,0.18,0.18,323200,0.0,0.0
1984-07-16,0.0,0.19,0.18,0.18,32000,0.0,0.0
1984-07-17,0.0,0.19,0.18,0.18,334400,0.0,0.0
1984-07-18,0.0,0.19,0.18,0.18,420800,0.0,0.0
1984-07-19,0.0,0.19,0.18,0.18,404000,0.0,0.0
1984-07-20,0.0,0.19,0.18,0.18,53600,0.0,0.0
1984-07-23,0.0,0.19,0.19,0.19,153600,0.0,0.0
1984-07-24,0.0,0.2,0.19,0.19,82400,0.0,0.0
1984-07-25,0.0,0.2,0.19,0.19,2400,0.0,0.0
1984-07-26,0.0,0.21,0.2,0.2,147200,0.0,0.0
1984-07-27,0.0,0.22,0.21,0.21,128000,0.0,0.0
1984-07-30,0.0,0.22,0.21,0.21,153600,0.0,0.0
1984-07-31,0.0,0.22,0.21,0.21,131200,0.0,0.0
1984-08-01,0.0,0.22,0.21,0.21,124000,0.0,0.0
1984-08-02,0.0,0.22,0.21,0.21,103200,0.0,0.0
1984-08-03,0.0,0.22,0.22,0.22,72000,0.0,0.0
1984-08-06,0.0,0.23,0.22,0.22,52000,0.0,0.0
1984-08-07,0.0,0.23,0.22,0.22,24000,0.0,0.0
1984-08-08,0.0,0.23,0.22,0.22,19200,0.0,0.0
1984-08-09,0.0,0.23,0.22,0.22,40000,0.0,0.0
1984-08-10,0.0,0.23,0.23,0.23,19200,0.0,0.0
1984-08-13,0.0,0.23,0.23,0.23,160800,0.0,0.0
1984-08-14,0.0,0.23,0.23,0.23,80000,0.0,0.0
1984-08-15,0.0,0.23,0.23,0.23,75200,0.0,0.0
1984-08-16,0.0,0.24,0.23,0.23,68000,0.0,0.0
1984-08-17,0.0,0.24,0.24,0.24,166400,0.0,0.0
1984-08-20,0.0,0.25,0.24,0.24,40000,0.0,0.0
1984-08-21,0.0,0.25,0.24,0.24,52800,0.0,0.0
1984-08-22,0.0,0.25,0.25,0.25,223200,0.0,0.0
1984-08-23,0.0,0.26,0.25,0.25,57600,0.0,0.0
1984-08-24,0.0,0.26,0.25,0.25,800,0.0,0.0
1984-08-27,0.25,0.25,0.25,0.25,0,0.0,0.0
1984-08-28,0.0,0.26,0.25,0.25,9600,0.0,0.0
1984-08-29,0.0,0.27,0.27,0.27,477600,0.0,0.0
1984-08-30,0.0,0.28,0.27,0.27,12800,0.0,0.0
1984-08-31,0.0,0.28,0.27,0.27,3200,0.0,0.0
1984-09-04,0.0,0.28,0.27,0.27,68800,0.0,0.0
1984-09-05,0.0,0.28,0.27,0.27,31200,0.0,0.0
1984-09-06,0.0,0.28,0.27,0.27,729600,0.0,0.0
1984-09-07,0.27,0.28,0.27,0.27,170400,0.0,0.0
1984-09-10,0.27,0.28,0.27,0.27,107200,0.0,0.0
1984-09-11,0.27,0.28,0.27,0.27,4800,0.0,0.0
1984-09-12,0.27,0.28,0.27,0.27,10400,0.0,0.0
1984-09-13,0.27,0.28,0.27,0.27,31200,0.0,0.0
1984-09-14,0.27,0.28,0.27,0.27,12000,0.0,0.0
1984-09-17,0.28,0.28,0.28,0.28,25600,0.0,0.0
1984-09-18,0.28,0.29,0.28,0.28,108800,0.0,0.0
1984-09-19,0.28,0.29,0.28,0.28,40000,0.0,0.0
1984-09-20,0.28,0.28,0.28,0.28,81600,0.0,0.0
1984-09-21,0.31,0.31,0.31,0.31,404800,0.0,0.0
1984-09-24,0.31,0.31,0.31,0.31,104000,0.0,0.0
1984-09-25,0.31,0.31,0.31,0.31,60000,0.0,0.0
1984-09-26,0.31,0.31,0.31,0.31,41600,0.0,0.0
1984-09-27,0.31,0.31,0.31,0.31,12000,0.0,0.0
1984-09-28,0.31,0.31,0.31,0.31,29600,0.0,0.0
1984-10-01,0.31,0.31,0.31,0.31,187200,0.0,0.0
1984-10-02,0.31,0.32,0.31,0.31,16800,0.0,0.0
1984-10-03,0.31,0.32,0.31,0.31,10400,0.0,0.0
1984-10-04,0.31,0.32,0.31,0.31,200000,0.0,0.0
1984-10-05,0.31,0.31,0.31,0.31,0,0.0,0.0
1984-10-08,0.31,0.31,0.31,0.31,0,0.0,0.0
1984-10-09,0.31,0.32,0.31,0.31,800,0.0,0.0
1984-10-10,0.31,0.31,0.31,0.31,5600,0.0,0.0
1984-10-11,0.31,0.31,0.31,0.31,18400,0.0,0.0
1984-10-12,0.31,0.31,0.31,0.31,2400,0.0,0.0
1984-10-15,0.31,0.32,0.31,0.31,10400,0.0,0.0
1984-10-16,0.31,0.32,0.31,0.31,800,0.0,0.0
1984-10-17,0.32,0.32,0.32,0.32,32000,0.0,0.0
1984-10-18,0.32,0.32,0.32,0.32,14400,0.0,0.0
1984-10-19,0.32,0.32,0.32,0.32,0,0.0,0.0
1984-10-22,0.32,0.32,0.32,0.32,3200,0.0,0.0
1984-10-23,0.32,0.33,0.32,0.32,9600,0.0,0.0
1984-10-24,0.33,0.34,0.33,0.33,336800,0.0,0.0
1984-10-25,0.34,0.35,0.34,0.34,363200,0.0,0.0
1984-10-26,0.34,0.34,0.33,0.33,142400,0.0,0.0
1984-10-29,0.33,0.33,0.33,0.33,20000,0.0,0.0
1984-10-30,0.33,0.34,0.33,0.33,60800,0.0,0.0
1984-10-31,0.33,0.34,0.33,0.33,235200,0.0,0.0
1984-11-01,0.33,0.34,0.33,0.33,4000,0.0,0.0
1984-11-02,0.33,0.34,0.33,0.33,13600,0.0,0.0
1984-11-05,0.33,0.34,0.33,0.33,4000,0.0,0.0
