Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-02-22,3.7,3.7,3.63,3.63,20800.0,0.0,0.0
1994-02-23,3.57,3.57,3.38,3.48,31600.0,0.0,0.0
1994-02-24,3.48,3.48,3.41,3.41,32000.0,0.0,0.0
1994-02-25,3.35,3.35,3.13,3.23,49800.0,0.0,0.0
1994-02-28,3.26,3.38,3.23,3.32,170400.0,0.0,0.0
1994-03-01,3.32,3.32,3.26,3.29,41600.0,0.0,0.0
1994-03-02,3.23,3.29,3.23,3.29,67000.0,0.0,0.0
1994-03-03,3.32,3.32,3.26,3.26,27800.0,0.0,0.0
1994-03-04,3.26,3.38,3.23,3.38,358200.0,0.0,0.0
1994-03-07,3.23,3.41,3.23,3.38,690800.0,0.0,0.0
1994-03-08,3.38,3.41,3.38,3.41,515200.0,0.0,0.0
1994-03-09,3.41,3.45,3.41,3.45,540400.0,0.0,0.0
1994-03-10,3.45,3.45,3.41,3.45,1832200.0,0.0,0.0
1994-03-11,3.48,3.6,3.48,3.6,1895400.0,0.0,0.0
1994-03-14,3.6,3.82,3.6,3.79,1413800.0,0.0,0.0
1994-03-15,3.79,3.85,3.73,3.73,1665200.0,0.0,0.0
1994-03-16,3.73,3.73,3.66,3.73,717000.0,0.0,0.0
1994-03-17,3.75,3.88,3.75,3.82,971200.0,0.05,0.0
1994-03-18,3.85,3.88,3.85,3.85,1178000.0,0.0,0.0
1994-03-21,3.85,3.88,3.85,3.88,659400.0,0.0,0.0
1994-03-22,3.88,3.97,3.88,3.94,374000.0,0.0,0.0
1994-03-23,3.94,4.0,3.91,3.97,430200.0,0.0,0.0
1994-03-24,3.94,3.97,3.91,3.91,747000.0,0.0,0.0
1994-03-25,3.94,3.94,3.85,3.88,370000.0,0.0,0.0
1994-03-28,3.88,3.88,3.85,3.85,1116200.0,0.0,0.0
1994-03-29,3.85,3.88,3.78,3.78,595800.0,0.0,0.0
1994-03-30,3.78,3.78,3.69,3.72,653000.0,0.0,0.0
1994-03-31,3.72,3.75,3.66,3.72,448400.0,0.0,0.0
1994-04-04,3.6,3.72,3.6,3.72,386600.0,0.0,0.0
1994-04-05,3.69,3.88,3.69,3.85,361600.0,0.0,0.0
1994-04-06,3.85,3.88,3.72,3.72,551400.0,0.0,0.0
1994-04-07,3.78,3.78,3.72,3.75,338400.0,0.0,0.0
1994-04-08,3.69,3.78,3.69,3.78,166000.0,0.0,0.0
1994-04-11,3.78,3.85,3.66,3.66,424800.0,0.0,0.0
1994-04-12,3.6,3.66,3.6,3.6,602800.0,0.0,0.0
1994-04-13,3.6,3.69,3.53,3.53,504600.0,0.0,0.0
1994-04-14,3.56,3.56,3.5,3.5,378200.0,0.0,0.0
1994-04-15,3.47,3.56,3.47,3.47,197600.0,0.0,0.0
1994-04-18,3.53,3.66,3.53,3.66,184800.0,0.0,0.0
1994-04-19,3.63,3.69,3.63,3.66,122200.0,0.0,0.0
1994-04-20,3.69,3.69,3.6,3.6,201400.0,0.0,0.0
1994-04-21,3.6,3.69,3.47,3.47,858200.0,0.0,0.0
1994-04-22,3.53,3.66,3.53,3.66,411400.0,0.0,0.0
1994-04-25,3.63,3.85,3.63,3.85,330600.0,0.0,0.0
1994-04-26,3.82,3.82,3.66,3.72,313400.0,0.0,0.0
1994-04-28,3.69,3.69,3.6,3.69,161600.0,0.0,0.0
1994-04-29,3.66,3.69,3.63,3.66,344600.0,0.0,0.0
1994-05-02,3.63,3.69,3.56,3.63,135800.0,0.0,0.0
1994-05-03,3.66,3.75,3.6,3.63,375200.0,0.0,0.0
1994-05-04,3.6,3.72,3.6,3.69,491800.0,0.0,0.0
1994-05-05,3.69,3.69,3.63,3.66,152800.0,0.0,0.0
