Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-06-03,7.09,7.15,6.91,7.0,56603000,0.0,0.0
1993-06-04,6.94,7.0,6.82,6.82,12644400,0.0,0.0
1993-06-07,6.73,6.79,6.67,6.7,10043800,0.0,0.0
1993-06-08,6.7,6.73,6.58,6.61,6974600,0.0,0.0
1993-06-09,6.64,6.79,6.64,6.73,4043200,0.0,0.0
1993-06-10,6.7,6.73,6.64,6.67,2605400,0.0,0.0
1993-06-11,6.67,6.76,6.67,6.67,2641600,0.0,0.0
1993-06-14,6.7,6.73,6.61,6.61,1806200,0.0,0.0
1993-06-15,6.67,6.67,6.61,6.64,2257600,0.0,0.0
1993-06-16,6.64,6.67,6.61,6.67,2391600,0.0,0.0
1993-06-17,6.67,6.73,6.64,6.67,2126800,0.0,0.0
1993-06-18,6.67,6.67,6.58,6.58,2128600,0.0,0.0
1993-06-21,6.58,6.58,6.46,6.52,2101000,0.0,0.0
1993-06-22,6.52,6.61,6.52,6.61,1593600,0.0,0.0
1993-06-23,6.61,6.67,6.58,6.58,1948000,0.0,0.0
1993-06-24,6.58,6.7,6.49,6.7,3305200,0.0,0.0
1993-06-25,6.79,6.82,6.7,6.79,2468000,0.0,0.0
1993-06-28,6.76,6.91,6.76,6.91,2522600,0.0,0.0
1993-06-29,6.88,6.91,6.73,6.85,1190800,0.0,0.0
1993-06-30,6.91,6.97,6.88,6.91,2553800,0.0,0.0
1993-07-01,7.0,7.03,6.82,7.03,2857800,0.0,0.0
1993-07-02,6.88,6.88,6.82,6.85,1077200,0.0,0.0
1993-07-06,6.88,6.94,6.82,6.82,1237600,0.0,0.0
1993-07-07,6.79,6.85,6.76,6.79,1667200,0.0,0.0
1993-07-08,6.82,6.91,6.79,6.88,1588600,0.0,0.0
1993-07-09,6.94,6.97,6.79,6.79,1731200,0.0,0.0
1993-07-12,6.85,6.85,6.64,6.73,1738600,0.0,0.0
1993-07-13,6.76,6.88,6.76,6.82,1305000,0.0,0.0
1993-07-14,6.82,6.97,6.82,6.97,1805600,0.0,0.0
1993-07-15,6.97,7.0,6.94,7.0,1235400,0.0,0.0
1993-07-16,7.09,7.18,7.03,7.12,2590200,0.0,0.0
1993-07-19,7.15,7.24,7.12,7.24,2590000,0.0,0.0
1993-07-20,7.51,7.51,7.3,7.3,3977600,0.0,0.0
1993-07-21,7.36,7.36,7.12,7.12,1779000,0.0,0.0
1993-07-22,7.15,7.15,7.03,7.06,1095200,0.0,0.0
1993-07-23,7.06,7.18,7.06,7.12,1060400,0.0,0.0
1993-07-26,7.15,7.27,7.12,7.27,990000,0.0,0.0
1993-07-27,7.27,7.42,7.27,7.27,942200,0.0,0.0
1993-07-28,7.27,7.3,7.21,7.24,346200,0.0,0.0
1993-07-29,7.18,7.33,7.15,7.27,1070400,0.0,0.0
1993-07-30,7.27,7.42,7.27,7.42,1271200,0.0,0.0
1993-08-02,7.42,7.48,7.36,7.39,1062200,0.0,0.0
1993-08-03,7.42,7.54,7.42,7.48,1316000,0.0,0.0
1993-08-04,7.51,7.57,7.39,7.45,752200,0.0,0.0
1993-08-05,7.48,7.48,7.27,7.27,910600,0.0,0.0
1993-08-06,7.36,7.45,7.36,7.39,718200,0.0,0.0
1993-08-09,7.39,7.42,7.33,7.39,492000,0.0,0.0
1993-08-10,7.39,7.45,7.3,7.3,1608600,0.0,0.0
1993-08-11,7.36,7.36,7.24,7.27,337400,0.0,0.0
1993-08-12,7.27,7.27,7.15,7.21,496200,0.0,0.0
1993-08-13,7.24,7.24,7.15,7.15,375200,0.0,0.0
1993-08-16,7.12,7.18,7.06,7.09,1067800,0.0,0.0
1993-08-17,7.09,7.21,7.09,7.15,1069400,0.0,0.0
1993-08-18,7.18,7.24,7.18,7.24,809800,0.0,0.0
1993-08-19,7.24,7.45,7.24,7.45,861200,0.0,0.0
1993-08-20,7.42,7.63,7.42,7.63,2957000,0.0,0.0
1993-08-23,7.66,7.66,7.57,7.63,853000,0.0,0.0
1993-08-24,7.57,7.66,7.57,7.6,759800,0.0,0.0
1993-08-25,7.57,7.63,7.57,7.57,951200,0.0,0.0
1993-08-26,7.6,7.63,7.51,7.63,721200,0.0,0.0
1993-08-27,7.63,7.66,7.6,7.63,316600,0.0,0.0
1993-08-30,7.57,7.6,7.42,7.45,945800,0.0,0.0
1993-08-31,7.39,7.45,7.36,7.39,590000,0.0,0.0
1993-09-01,7.48,7.6,7.48,7.6,355400,0.0,0.0
1993-09-02,7.57,7.63,7.51,7.54,682200,0.0,0.0
1993-09-03,7.54,7.66,7.54,7.6,550400,0.0,0.0
1993-09-07,7.66,7.8,7.63,7.69,873000,0.0,0.0
1993-09-08,7.63,7.63,7.54,7.57,1367800,0.0,0.0
1993-09-09,7.59,7.74,7.59,7.68,625400,0.18,0.0
1993-09-10,7.71,7.77,7.71,7.74,664600,0.0,0.0
1993-09-13,7.74,7.77,7.68,7.71,344600,0.0,0.0
1993-09-14,7.74,7.89,7.71,7.89,453200,0.0,0.0
1993-09-15,7.77,7.77,7.68,7.74,599200,0.0,0.0
1993-09-16,7.71,7.77,7.65,7.77,403400,0.0,0.0
1993-09-17,7.71,7.77,7.65,7.77,501600,0.0,0.0
1993-09-20,7.74,7.74,7.65,7.71,567400,0.0,0.0
1993-09-21,7.68,7.68,7.56,7.65,816200,0.0,0.0
1993-09-22,7.65,7.74,7.65,7.71,945800,0.0,0.0
1993-09-23,7.65,7.8,7.65,7.8,693600,0.0,0.0
1993-09-24,7.77,7.8,7.74,7.74,1074200,0.0,0.0
1993-09-27,7.8,7.98,7.8,7.95,1146000,0.0,0.0
1993-09-28,7.95,8.04,7.89,8.01,1109200,0.0,0.0
1993-09-29,7.95,8.01,7.8,7.83,607800,0.0,0.0
1993-09-30,7.86,7.86,7.65,7.65,875400,0.0,0.0
1993-10-01,7.71,7.8,7.65,7.8,404800,0.0,0.0
1993-10-04,7.8,7.89,7.77,7.8,429400,0.0,0.0
1993-10-05,7.8,7.98,7.8,7.98,414400,0.0,0.0
1993-10-06,7.95,7.98,7.86,7.95,551200,0.0,0.0
1993-10-07,7.92,8.01,7.92,7.92,441000,0.0,0.0
1993-10-08,8.04,8.08,7.89,7.95,400400,0.0,0.0
1993-10-11,7.98,8.04,7.95,8.01,280200,0.0,0.0
1993-10-12,8.01,8.14,8.01,8.01,777600,0.0,0.0
1993-10-13,8.01,8.08,7.98,8.04,240400,0.0,0.0
1993-10-14,8.08,8.26,8.08,8.2,663200,0.0,0.0
1993-10-15,8.17,8.17,8.04,8.11,576400,0.0,0.0
1993-10-18,8.14,8.17,8.08,8.11,439800,0.0,0.0
1993-10-19,8.14,8.14,7.95,7.95,537600,0.0,0.0
1993-10-20,7.89,8.01,7.65,7.83,559000,0.0,0.0
1993-10-21,7.83,8.11,7.8,7.95,1191400,0.0,0.0
1993-10-22,7.98,8.11,7.89,7.98,523400,0.0,0.0
1993-10-25,7.89,7.92,7.71,7.77,724400,0.0,0.0
1993-10-26,7.8,7.8,7.71,7.77,488200,0.0,0.0
1993-10-27,7.8,7.8,7.59,7.59,497800,0.0,0.0
1993-10-28,7.41,7.65,7.32,7.59,807600,0.0,0.0
1993-10-29,7.56,7.56,7.5,7.56,807400,0.0,0.0
1993-11-01,7.53,7.74,7.53,7.71,184000,0.0,0.0
1993-11-02,7.68,7.68,7.47,7.53,953600,0.0,0.0
1993-11-03,7.29,7.41,7.14,7.32,1373800,0.0,0.0
1993-11-04,7.35,7.38,7.26,7.29,814000,0.0,0.0
1993-11-05,7.35,7.35,7.23,7.23,701000,0.0,0.0
