Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-11-18,47.41,47.65,45.26,46.2,587100,0.0,0
2013-11-19,46.69,46.7,43.17,43.65,1682000,0.0,0
2013-11-20,43.82,43.84,41.92,42.55,1106900,0.0,0
2013-11-21,42.41,43.03,41.02,41.73,730200,0.0,0
2013-11-22,41.84,42.03,41.22,41.92,947600,0.0,0
2013-11-25,42.2,43.48,41.65,42.1,727300,0.0,0
2013-11-26,42.89,42.89,41.02,41.17,873700,0.0,0
2013-11-27,41.5,41.5,40.5,41.21,1153300,0.0,0
2013-11-29,40.74,41.79,40.74,41.21,949900,0.0,0
2013-12-02,41.06,41.62,39.57,41.11,5130700,0.0,0
2013-12-03,40.79,42.74,40.69,40.88,3239300,0.0,0
2013-12-04,40.44,40.61,39.69,39.87,2777700,0.0,0
2013-12-05,40.29,40.29,38.72,39.12,3380500,0.0,0
2013-12-06,38.84,39.13,38.73,38.79,4662300,0.0,0
2013-12-09,38.79,39.33,38.35,39.25,3074000,0.0,0
2013-12-10,39.14,40.83,39.11,40.56,3289400,0.0,0
2013-12-11,40.33,41.0,40.03,40.47,3367300,0.0,0
2013-12-12,40.04,41.08,40.03,40.95,1770500,0.0,0
2013-12-13,40.9,41.74,40.9,41.22,683800,0.0,0
2013-12-16,40.99,41.92,40.13,41.64,1953900,0.0,0
2013-12-17,41.39,41.93,41.13,41.69,1396700,0.0,0
2013-12-18,41.6,42.41,41.08,42.19,1225200,0.0,0
2013-12-19,41.89,42.41,41.76,42.36,593000,0.0,0
2013-12-20,42.22,42.36,41.85,42.18,2878600,0.0,0
2013-12-23,42.1,42.74,41.5,42.55,773600,0.0,0
2013-12-24,42.66,42.91,42.17,42.49,304700,0.0,0
2013-12-26,42.75,42.9,42.35,42.6,513200,0.0,0
2013-12-27,42.67,42.86,42.02,42.54,393300,0.0,0
2013-12-30,42.36,42.77,41.93,42.05,381500,0.0,0
2013-12-31,42.15,42.41,41.7,42.11,874200,0.0,0
2014-01-02,42.01,42.1,41.24,41.6,992900,0.0,0
2014-01-03,41.52,42.24,41.14,41.89,378400,0.0,0
2014-01-06,41.9,41.91,41.33,41.63,597800,0.0,0
2014-01-07,40.18,41.91,40.18,41.81,1371300,0.0,0
2014-01-08,41.95,42.28,41.36,41.82,1407100,0.0,0
2014-01-09,41.83,42.17,41.78,42.06,1093500,0.0,0
2014-01-10,42.1,43.92,41.95,43.58,2008600,0.0,0
2014-01-13,43.55,45.21,43.08,44.83,2278500,0.0,0
2014-01-14,44.94,45.64,44.71,45.55,2338200,0.0,0
2014-01-15,45.72,46.88,45.04,45.27,1733000,0.0,0
2014-01-16,45.06,45.44,44.83,45.17,1178700,0.0,0
2014-01-17,45.29,45.97,44.79,45.75,1572100,0.0,0
2014-01-21,47.06,47.06,45.69,45.91,1570400,0.0,0
2014-01-22,45.85,46.85,45.82,46.23,682200,0.0,0
2014-01-23,46.39,46.39,45.34,45.48,867600,0.0,0
2014-01-24,45.38,45.47,43.68,44.64,1417500,0.0,0
2014-01-27,43.08,45.75,43.08,44.41,717800,0.0,0
2014-01-28,44.57,45.63,44.57,45.49,721700,0.0,0
2014-01-29,45.13,46.2,44.92,45.54,800900,0.0,0
2014-01-30,45.66,47.3,45.58,47.1,1247100,0.0,0
2014-01-31,46.94,47.61,46.73,47.03,2011100,0.0,0
2014-02-03,47.03,47.59,44.98,45.21,1184800,0.0,0
2014-02-04,45.21,46.2,45.1,45.79,891300,0.0,0
2014-02-05,45.59,46.36,44.94,45.36,823100,0.0,0
2014-02-06,45.27,46.96,45.27,46.93,1168400,0.0,0
2014-02-07,47.01,47.91,47.01,47.59,1837500,0.0,0
2014-02-10,47.64,47.77,47.13,47.5,763400,0.0,0
2014-02-11,47.39,48.04,47.01,47.55,1446100,0.0,0
2014-02-12,47.58,48.6,47.39,47.65,1405300,0.0,0
2014-02-13,47.63,48.07,47.26,47.77,695000,0.0,0
2014-02-14,47.79,47.89,47.26,47.3,891700,0.0,0
2014-02-18,47.38,48.47,47.38,47.76,2748500,0.0,0
2014-02-19,47.5,47.98,46.73,46.85,1076100,0.0,0
2014-02-20,47.87,50.3,46.79,49.1,2623600,0.0,0
2014-02-21,49.32,50.31,49.32,49.91,2198700,0.0,0
2014-02-24,49.9,50.62,49.9,50.38,667900,0.0,0
2014-02-25,50.51,52.02,50.44,52.0,1117600,0.0,0
2014-02-26,52.25,53.16,51.63,52.09,1880100,0.0,0
2014-02-27,52.12,52.92,51.66,52.75,1139900,0.0,0
2014-02-28,52.5,52.72,51.29,51.8,1198500,0.0,0
2014-03-03,52.1,52.35,50.59,50.98,659600,0.0,0
2014-03-04,51.19,52.42,50.97,51.46,1189900,0.0,0
2014-03-05,51.37,51.76,50.87,51.42,395000,0.0,0
2014-03-06,51.45,51.56,50.55,50.69,617400,0.0,0
2014-03-07,50.93,51.25,50.12,50.88,776100,0.0,0
2014-03-10,50.7,51.15,49.79,50.79,1155300,0.0,0
2014-03-11,50.98,52.23,50.94,51.94,874700,0.0,0
2014-03-12,51.86,52.17,50.29,51.73,1255500,0.0,0
2014-03-13,51.98,52.22,50.71,51.16,946400,0.08,0
2014-03-14,51.18,51.49,50.82,50.87,1071800,0.0,0
2014-03-17,51.0,51.38,50.52,50.55,1011700,0.0,0
2014-03-18,50.54,51.05,50.31,50.85,880800,0.0,0
2014-03-19,50.76,51.54,50.51,50.85,645000,0.0,0
2014-03-20,50.98,51.75,50.41,51.7,628100,0.0,0
2014-03-21,51.9,52.31,51.29,51.36,1356800,0.0,0
2014-03-24,51.54,51.76,50.62,51.03,895600,0.0,0
2014-03-25,51.25,51.44,50.75,50.79,708000,0.0,0
2014-03-26,50.89,51.06,49.64,49.67,691100,0.0,0
2014-03-27,49.51,49.6,48.86,49.11,492900,0.0,0
2014-03-28,49.27,50.05,49.19,49.78,346100,0.0,0
2014-03-31,49.99,50.18,49.54,49.79,334600,0.0,0
2014-04-01,50.05,51.6,49.91,51.46,593600,0.0,0
2014-04-02,51.46,52.31,51.15,52.18,500500,0.0,0
2014-04-03,52.27,52.49,52.09,52.45,427900,0.0,0
2014-04-04,52.32,52.83,50.58,51.28,492000,0.0,0
2014-04-07,51.26,51.54,49.18,49.27,1054200,0.0,0
2014-04-08,49.0,49.42,48.49,49.07,1213700,0.0,0
2014-04-09,49.12,49.24,48.9,49.15,1212800,0.0,0
