Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-11-21,16.65,17.42,16.65,17.13,4724800,0.0,0.0
1997-11-24,17.05,17.05,16.81,16.81,714100,0.0,0.0
1997-11-25,16.81,16.89,16.81,16.81,347700,0.0,0.0
1997-11-26,16.81,16.89,15.76,15.8,939600,0.0,0.0
1997-11-28,15.84,16.16,15.84,16.16,67000,0.0,0.0
1997-12-01,16.2,16.65,16.16,16.41,411400,0.0,0.0
1997-12-02,16.36,16.36,15.84,15.96,246900,0.0,0.0
1997-12-03,15.72,15.84,15.44,15.68,714900,0.0,0.0
1997-12-04,15.68,15.68,15.48,15.52,331800,0.0,0.0
1997-12-05,15.52,15.6,15.48,15.52,173100,0.0,0.0
1997-12-08,15.6,15.68,15.52,15.68,143500,0.0,0.0
1997-12-09,15.64,16.24,15.64,16.08,222400,0.0,0.0
1997-12-10,16.08,16.24,15.88,16.16,232000,0.0,0.0
1997-12-11,16.08,16.12,15.88,16.12,52900,0.0,0.0
1997-12-12,16.04,16.24,15.96,15.96,176700,0.0,0.0
1997-12-15,16.0,16.12,15.84,16.08,118300,0.0,0.0
1997-12-16,16.24,16.97,16.24,16.97,450100,0.0,0.0
1997-12-17,17.09,17.98,17.05,17.98,417100,0.0,0.0
1997-12-18,17.94,18.75,17.9,18.75,86200,0.0,0.0
1997-12-19,18.83,19.11,18.75,19.11,93400,0.0,0.0
1997-12-22,19.03,19.03,18.34,18.75,117300,0.0,0.0
1997-12-23,19.48,19.52,19.31,19.31,207100,0.0,0.0
1997-12-24,19.15,19.15,18.43,18.67,32200,0.0,0.0
1997-12-26,18.59,18.91,18.51,18.83,8200,0.0,0.0
1997-12-29,18.75,18.75,17.86,17.86,22900,0.0,0.0
1997-12-30,17.86,18.59,17.86,18.59,120600,0.0,0.0
1997-12-31,18.59,18.83,18.59,18.75,75400,0.0,0.0
1998-01-02,18.51,18.63,18.3,18.63,34000,0.0,0.0
1998-01-05,18.71,18.95,18.34,18.71,99700,0.0,0.0
1998-01-06,18.59,18.95,18.43,18.71,35100,0.0,0.0
1998-01-07,18.63,18.63,17.62,17.62,35700,0.0,0.0
1998-01-08,17.62,18.34,17.62,17.82,41200,0.0,0.0
1998-01-09,17.78,17.78,17.54,17.74,35100,0.0,0.0
1998-01-12,17.58,17.86,17.54,17.86,19300,0.0,0.0
1998-01-13,17.86,18.38,17.86,18.3,78900,0.0,0.0
1998-01-14,18.38,18.67,18.22,18.67,92800,0.0,0.0
1998-01-15,18.67,19.07,18.55,19.07,82900,0.0,0.0
1998-01-16,19.03,19.35,18.99,19.07,29400,0.0,0.0
1998-01-20,19.15,19.56,19.15,19.56,9300,0.0,0.0
1998-01-21,19.56,19.64,19.35,19.56,60400,0.0,0.0
1998-01-22,19.44,19.48,19.4,19.44,25900,0.0,0.0
1998-01-23,19.44,19.48,19.44,19.44,210600,0.0,0.0
1998-01-26,19.6,19.6,19.4,19.48,94000,0.0,0.0
1998-01-27,19.44,19.44,19.23,19.23,173800,0.0,0.0
1998-01-28,19.35,19.35,19.23,19.23,96300,0.0,0.0
1998-01-29,19.23,19.48,19.15,19.44,37000,0.0,0.0
1998-01-30,19.52,19.68,19.48,19.52,12100,0.0,0.0
1998-02-02,19.56,20.04,19.56,19.88,41500,0.0,0.0
1998-02-03,20.12,20.36,20.12,20.36,7500,0.0,0.0
