Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-09-15,28.07,28.13,27.32,27.33,1529800,0.0,0
2005-09-16,27.32,27.32,27.02,27.02,62400,0.0,0
2005-09-19,27.02,27.1,26.91,27.1,1162300,0.0,0
2005-09-20,27.02,27.32,27.02,27.1,654900,0.0,0
2005-09-21,27.02,27.02,26.58,26.88,424300,0.0,0
2005-09-22,26.88,27.47,26.88,27.47,864800,0.0,0
2005-09-23,27.47,28.13,27.47,27.82,1249900,0.0,0
2005-09-26,27.87,28.17,27.87,27.87,821400,0.0,0
2005-09-27,27.87,27.98,27.42,27.5,1514000,0.0,0
2005-09-28,27.5,27.61,27.17,27.32,875700,0.0,0
2005-09-29,27.25,27.25,26.77,27.02,2659200,0.0,0
2005-09-30,27.02,27.02,26.29,26.43,4014800,0.0,0
2005-10-03,26.06,26.51,25.23,25.62,10007600,0.0,0
2005-10-04,25.1,25.33,24.55,25.03,8040300,0.0,0
2005-10-05,25.1,25.18,24.6,24.85,6304400,0.0,0
2005-10-06,24.66,24.85,24.52,24.64,7552200,0.0,0
2005-10-07,24.57,24.81,24.46,24.81,7055200,0.0,0
2005-10-10,24.81,24.81,24.37,24.39,3400800,0.0,0
2005-10-11,24.4,24.65,24.35,24.37,3675400,0.0,0
2005-10-12,24.29,24.59,24.16,24.2,4134500,0.0,0
2005-10-13,24.02,24.14,23.98,24.03,3184100,0.0,0
2005-10-14,24.01,24.18,23.91,23.92,2487500,0.0,0
2005-10-17,23.88,24.2,23.63,23.98,1910400,0.0,0
2005-10-18,23.85,24.03,23.74,23.94,1737900,0.0,0
2005-10-19,23.83,24.48,23.78,24.48,1784400,0.0,0
2005-10-20,24.48,25.15,24.44,24.79,2789600,0.0,0
2005-10-21,24.94,25.47,24.83,25.1,2881800,0.0,0
2005-10-24,26.03,26.94,25.79,26.79,4013400,0.0,0
2005-10-25,26.09,27.67,26.05,27.45,2900400,0.0,0
2005-10-26,27.21,27.85,27.1,27.32,2208000,0.0,0
2005-10-27,27.28,27.32,26.43,26.79,2033000,0.0,0
2005-10-28,26.95,27.47,26.74,27.39,1430200,0.0,0
2005-10-31,27.47,27.76,27.29,27.48,1211600,0.0,0
2005-11-01,27.25,27.29,26.92,26.99,1574900,0.0,0
2005-11-02,26.82,27.33,26.79,27.25,1201600,0.11,0
2005-11-03,27.19,27.86,27.19,27.71,1887900,0.0,0
2005-11-04,27.65,27.71,27.42,27.53,1731900,0.0,0
2005-11-07,27.48,27.53,27.27,27.42,1658700,0.0,0
2005-11-08,27.14,27.55,27.14,27.37,2119200,0.0,0
2005-11-09,27.37,28.28,27.33,28.05,2152200,0.0,0
2005-11-10,27.96,29.1,27.96,28.82,2513200,0.0,0
2005-11-11,28.51,28.85,28.49,28.82,1229800,0.0,0
2005-11-14,28.73,29.18,28.52,29.13,1160000,0.0,0
2005-11-15,28.88,29.18,28.49,29.04,1793000,0.0,0
2005-11-16,29.14,29.62,28.95,29.5,2568800,0.0,0
2005-11-17,29.7,30.5,29.46,29.62,2628100,0.0,0
2005-11-18,29.96,30.27,29.36,29.56,1556000,0.0,0
2005-11-21,29.75,31.1,29.75,30.79,2906900,0.0,0
2005-11-22,30.66,31.39,30.58,31.22,2368700,0.0,0
2005-11-23,31.25,32.41,31.25,32.19,2149100,0.0,0
2005-11-25,32.66,32.77,31.81,32.18,468300,0.0,0
2005-11-28,32.14,32.73,31.92,32.51,2377400,0.0,0
2005-11-29,32.4,32.58,30.9,31.51,2962200,0.0,0
2005-11-30,31.77,32.03,30.59,31.14,2761100,0.0,0
2005-12-01,31.07,32.5,31.02,32.07,1833000,0.0,0
2005-12-02,32.03,32.39,31.55,32.02,1057900,0.0,0
2005-12-05,32.01,32.36,31.78,32.23,1042900,0.0,0
2005-12-06,32.36,32.47,32.2,32.3,1154900,0.0,0
2005-12-07,32.28,33.16,32.01,32.11,2063900,0.0,0
2005-12-08,32.33,32.62,32.07,32.33,1227800,0.0,0
2005-12-09,32.32,32.6,32.11,32.41,515400,0.0,0
2005-12-12,32.4,32.41,31.76,31.94,1504900,0.0,0
2005-12-13,31.77,32.12,31.48,31.72,1321300,0.0,0
2005-12-14,31.72,31.87,30.75,30.76,1701600,0.0,0
2005-12-15,30.68,31.03,30.43,30.5,1220600,0.0,0
2005-12-16,30.69,31.41,30.67,31.3,1305600,0.0,0
2005-12-19,31.33,31.57,30.45,30.59,676200,0.0,0
2005-12-20,30.55,31.4,30.36,30.79,1121000,0.0,0
2005-12-21,30.79,31.55,30.34,30.77,1313300,0.0,0
2005-12-22,30.79,31.39,30.51,31.05,808300,0.0,0
2005-12-23,29.19,31.52,29.19,31.05,576000,0.0,0
2005-12-27,31.03,31.16,30.22,30.29,941900,0.0,0
2005-12-28,30.29,30.61,30.22,30.4,562800,0.0,0
2005-12-29,30.48,30.49,30.05,30.25,718300,0.0,0
2005-12-30,30.0,30.42,29.96,30.36,511700,0.0,0
2006-01-03,30.59,31.25,30.29,31.18,1351600,0.0,0
2006-01-04,31.85,32.87,31.76,32.16,3492100,0.0,0
2006-01-05,32.25,32.96,31.97,32.53,1777200,0.0,0
2006-01-06,32.54,32.73,32.13,32.29,2265200,0.0,0
2006-01-09,32.29,33.4,32.29,33.39,1310800,0.0,0
2006-01-10,33.18,33.23,32.93,33.07,1254200,0.0,0
2006-01-11,33.13,33.16,32.56,32.73,915500,0.0,0
2006-01-12,32.74,33.02,32.55,32.7,1161500,0.0,0
2006-01-13,32.66,32.77,32.37,32.5,907200,0.0,0
2006-01-17,32.33,32.51,31.82,32.24,684400,0.0,0
2006-01-18,32.07,32.51,31.3,31.34,976600,0.0,0
2006-01-19,31.44,31.78,31.13,31.55,947100,0.0,0
2006-01-20,31.47,31.51,31.02,31.25,1223300,0.0,0
2006-01-23,31.43,32.51,31.42,32.22,1574200,0.0,0
2006-01-24,31.18,32.36,30.87,32.2,2090500,0.0,0
2006-01-25,32.21,32.21,31.8,32.0,1058600,0.0,0
2006-01-26,32.55,32.81,31.85,32.07,1300600,0.0,0
2006-01-27,31.76,32.36,30.93,31.4,2305000,0.0,0
2006-01-30,31.4,31.44,30.73,30.77,1937300,0.0,0
2006-01-31,30.74,30.78,30.08,30.21,2449400,0.11,0
2006-02-01,30.25,32.02,29.92,30.63,1414900,0.0,0
2006-02-02,30.67,31.7,30.67,31.57,1530900,0.0,0
2006-02-03,31.3,31.97,30.87,31.63,2156700,0.0,0
