Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-27,14.99,15.53,14.99,14.99,50000,0.0,0
1998-03-02,14.88,14.88,14.67,14.88,75000,0.0,0
1998-03-03,14.78,14.78,14.45,14.78,35000,0.0,0
1998-03-04,13.59,13.59,13.37,13.59,60000,0.0,0
1998-03-05,13.91,13.91,13.91,13.91,400,0.0,0
1998-03-06,13.91,14.13,13.91,13.91,3600,0.0,0
1998-03-09,13.91,14.24,13.7,13.7,3200,0.0,0
1998-03-10,13.7,14.56,13.7,14.02,56800,0.0,0
1998-03-11,14.02,14.24,13.91,14.02,10400,0.0,0
1998-03-12,14.02,14.13,13.91,14.13,3800,0.0,0
1998-03-13,14.24,14.24,14.24,14.24,1000,0.0,0
1998-03-16,14.24,14.24,13.91,13.91,7700,0.0,0
1998-03-17,13.91,13.91,13.59,13.7,28000,0.0,0
1998-03-18,13.7,13.91,13.59,13.91,45700,0.0,0
1998-03-19,13.91,14.99,13.81,14.78,383600,0.0,0
1998-03-20,14.88,15.31,14.88,15.31,275600,0.0,0
1998-03-23,15.31,16.39,14.99,16.29,398600,0.0,0
1998-03-24,16.29,17.15,16.29,17.04,261800,0.0,0
1998-03-25,17.04,17.36,16.82,17.15,135600,0.0,0
1998-03-26,17.15,17.15,16.61,16.93,26300,0.0,0
1998-03-27,16.93,17.04,15.85,16.61,62200,0.0,0
1998-03-30,16.61,17.15,16.61,17.15,49500,0.0,0
1998-03-31,17.15,17.47,17.15,17.36,79000,0.0,0
1998-04-01,17.36,17.8,17.26,17.69,150100,0.0,0
1998-04-02,18.77,20.17,18.77,20.06,140500,0.0,0
1998-04-03,20.06,22.54,18.77,21.35,458700,0.0,0
1998-04-06,21.35,22.43,19.84,20.71,105300,0.0,0
1998-04-07,20.71,20.71,19.09,19.09,152800,0.0,0
1998-04-08,19.09,19.84,18.12,19.41,45100,0.0,0
1998-04-09,19.41,19.84,19.2,19.84,151400,0.0,0
1998-04-13,19.84,20.06,19.31,19.52,85900,0.0,0
1998-04-14,19.52,19.84,19.41,19.63,322900,0.0,0
1998-04-15,19.63,19.74,18.55,18.77,23100,0.0,0
1998-04-16,18.77,18.77,18.01,18.33,55400,0.0,0
1998-04-17,18.33,18.66,18.12,18.66,15100,0.0,0
1998-04-20,18.66,19.09,18.33,19.09,92900,0.0,0
1998-04-21,19.09,19.09,18.77,19.09,23100,0.0,0
1998-04-22,19.09,20.38,19.09,19.84,60900,0.0,0
1998-04-23,19.84,20.28,19.84,20.28,242300,0.0,0
1998-04-24,20.28,20.38,18.98,18.98,100900,0.0,0
1998-04-27,18.98,19.41,17.15,18.01,52200,0.0,0
1998-04-28,18.01,18.87,17.9,18.55,29100,0.0,0
1998-04-29,18.55,19.41,18.12,19.41,101300,0.0,0
1998-04-30,19.41,20.06,19.31,19.84,116300,0.0,0
1998-05-01,19.84,19.95,18.98,19.09,61000,0.0,0
1998-05-04,19.09,19.2,18.33,18.66,58400,0.0,0
1998-05-05,18.66,18.77,17.9,18.33,44000,0.0,0
1998-05-06,18.33,18.98,18.01,18.98,47300,0.0,0
1998-05-07,18.98,19.09,18.44,18.44,230900,0.0,0
1998-05-08,18.77,19.63,18.77,19.52,320700,0.0,0
1998-05-11,19.52,19.63,19.2,19.31,375200,0.0,0
1998-05-12,19.31,19.52,18.98,18.98,333300,0.0,0
1998-05-13,19.09,19.52,19.09,19.31,88100,0.0,0
1998-05-14,19.31,19.41,18.98,19.41,35600,0.0,0
1998-05-15,19.41,19.41,18.55,18.98,69200,0.0,0
1998-05-18,18.98,19.09,18.12,18.55,53200,0.0,0
1998-05-19,18.55,18.98,18.55,18.98,21000,0.0,0
1998-05-20,18.98,18.98,18.12,18.12,14100,0.0,0
1998-05-21,18.12,18.23,16.82,18.23,116400,0.0,0
1998-05-22,17.9,17.9,17.47,17.8,45100,0.0,0
1998-05-26,17.8,18.12,16.5,16.82,119500,0.0,0
1998-05-27,16.82,16.82,16.18,16.61,91100,0.0,0
1998-05-28,16.61,17.69,16.18,17.69,163600,0.0,0
1998-05-29,17.69,19.41,17.69,19.41,121900,0.0,0
1998-06-01,19.41,19.41,18.98,19.09,258500,0.0,0
1998-06-02,19.09,19.41,19.09,19.31,123400,0.0,0
1998-06-03,19.31,19.41,17.9,17.9,180600,0.0,0
1998-06-04,17.9,18.12,17.26,17.9,263200,0.0,0
1998-06-05,18.12,19.84,18.12,19.74,290100,0.0,0
1998-06-08,20.06,20.38,19.41,19.84,2718000,0.0,0
1998-06-09,19.84,19.84,18.98,19.31,604900,0.0,0
1998-06-10,19.41,19.95,19.41,19.74,149300,0.0,0
1998-06-11,19.74,19.9,19.47,19.84,697400,0.0,0
1998-06-12,19.84,19.84,19.31,19.47,782000,0.0,0
1998-06-15,19.79,19.79,18.87,18.87,165900,0.0,0
1998-06-16,18.93,18.98,18.77,18.77,95000,0.0,0
1998-06-17,18.93,18.93,18.55,18.93,57400,0.0,0
