Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,115.93,115.98,114.39,115.09,1550891.0,0.0,0
2018-02-27,,,,,,0.59,0
2018-03-05,91.28,94.46,90.51,93.7,2294801.0,0.0,0
2018-03-13,99.25,100.42,97.41,97.79,2002478.0,0.0,0
2018-03-14,97.79,99.79,97.73,98.64,1449588.0,0.0,0
2018-03-15,98.59,99.32,94.38,96.47,1978275.0,0.0,0
2018-03-16,96.49,98.74,96.26,98.41,2107828.0,0.0,0
2018-03-19,98.11,98.47,96.99,97.88,1399696.0,0.0,0
2018-03-20,98.73,101.32,98.7,99.65,1748039.0,0.0,0
2018-03-21,100.32,102.85,99.64,101.59,1643028.0,0.0,0
2018-03-22,100.62,101.24,99.01,100.13,1368955.0,0.0,0
2018-03-23,100.68,103.11,99.95,100.06,2136142.0,0.0,0
2018-03-26,101.1,103.33,100.68,102.96,2016100.0,0.0,0
2018-03-27,103.0,103.51,100.3,100.72,1546413.0,0.0,0
2018-03-28,101.09,101.09,97.69,98.25,1420159.0,0.0,0
2018-03-29,98.96,100.22,98.77,99.76,1117252.0,0.0,0
2018-04-02,99.7,100.63,97.62,99.7,1528704.0,0.0,0
2018-04-03,100.25,101.97,99.41,101.91,1766948.0,0.0,0
2018-04-04,100.51,103.56,99.52,103.29,1482670.0,0.0,0
2018-04-05,103.37,107.33,102.18,106.91,2524675.0,0.0,0
2018-04-06,106.5,109.33,104.72,106.05,3553515.0,0.0,0
2018-04-09,105.98,107.22,105.62,105.74,1908194.0,0.0,0
2018-04-10,107.4,110.28,106.28,109.42,2319702.0,0.0,0
2018-04-11,109.42,112.75,109.0,112.21,1845868.0,0.0,0
2018-04-12,112.53,112.53,107.91,109.26,2063118.0,0.0,0
2018-04-13,109.77,110.24,108.28,109.68,1309404.0,0.0,0
2018-04-16,110.48,114.2,110.0,112.94,2246921.0,0.0,0
2018-04-17,113.98,115.45,112.65,114.57,1554308.0,0.0,0
2018-04-18,115.08,116.7,113.86,115.78,2106196.0,0.0,0
2018-04-19,115.39,116.35,114.23,115.56,1772676.0,0.0,0
2018-04-20,115.75,116.91,114.51,116.88,1160823.0,0.0,0
2018-04-23,117.17,118.76,116.34,118.59,1161558.0,0.0,0
2018-04-24,118.37,120.93,117.31,117.98,1586323.0,0.0,0
2018-04-25,117.38,119.46,116.23,119.14,1690894.0,0.0,0
2018-04-26,119.41,125.11,118.28,124.16,2527084.0,0.0,0
2018-04-27,123.7,124.06,120.45,121.41,1332416.0,0.0,0
2018-04-30,133.33,142.94,131.13,137.22,14758477.0,0.0,0
2018-05-01,136.08,136.86,128.89,132.42,7934518.0,0.0,0
2018-05-02,131.8,140.26,131.8,137.48,4641895.0,0.0,0
2018-05-03,137.21,140.61,135.5,140.44,3201535.0,0.0,0
2018-05-04,139.58,140.32,137.97,138.65,2170361.0,0.0,0
2018-05-07,139.18,142.24,138.45,138.52,1910644.0,0.0,0
2018-05-08,138.4,138.54,135.03,136.46,2356101.0,0.0,0
2018-05-09,137.45,140.99,137.38,139.17,1751915.0,0.0,0
2018-05-10,140.34,141.15,138.44,139.56,2155391.0,0.0,0
2018-05-11,139.6,140.22,138.65,139.05,2058297.0,0.0,0
2018-05-14,139.67,141.3,139.44,140.98,1807472.0,0.0,0
2018-05-15,140.66,142.12,139.04,140.11,2754442.0,0.0,0
2018-05-16,139.74,140.29,138.11,139.6,1375290.0,0.0,0
2018-05-17,140.2,146.11,140.2,145.65,1852314.0,0.0,0
2018-05-18,144.25,145.94,143.26,143.56,1940661.0,0.0,0
2018-05-21,144.68,144.78,142.4,142.93,1648496.0,0.0,0
2018-05-22,142.97,145.58,142.13,142.56,989078.0,0.0,0
2018-05-23,141.56,143.26,139.69,142.86,1269232.0,0.0,0
2018-05-24,142.05,143.67,140.88,142.85,2022934.0,0.0,0
2018-05-25,141.05,141.64,138.24,140.07,1674181.0,0.0,0
2018-05-29,140.18,143.22,139.9,141.38,1236472.0,0.0,0
2018-05-30,142.24,146.1,141.97,145.3,1765096.0,0.59,0
2018-05-31,144.45,149.87,143.88,143.88,2205567.0,0.0,0
2018-06-01,144.99,149.21,144.07,149.11,1377925.0,0.0,0
2018-06-04,149.51,151.31,148.3,149.0,1424960.0,0.0,0
2018-06-05,149.19,149.32,145.3,146.24,1247428.0,0.0,0
2018-06-06,146.42,146.42,142.13,143.95,1211313.0,0.0,0
2018-06-07,143.78,145.29,143.12,144.25,1116462.0,0.0,0
2018-06-08,143.95,144.79,142.66,144.13,1470299.0,0.0,0
2018-06-11,144.32,144.32,141.06,142.33,1337321.0,0.0,0
2018-06-12,142.28,143.14,138.26,138.78,1719530.0,0.0,0
2018-06-13,139.13,139.43,137.28,138.04,1389769.0,0.0,0
2018-06-14,139.08,139.94,138.36,138.49,1027384.0,0.0,0
2018-06-15,137.59,138.83,135.16,135.48,2712267.0,0.0,0
2018-06-18,136.38,138.76,135.36,137.85,922524.0,0.0,0
2018-06-19,136.47,138.73,136.31,137.47,1465203.0,0.0,0
2018-06-20,137.69,138.29,135.92,136.56,763134.0,0.0,0
2018-06-21,136.45,136.45,134.36,134.55,1406237.0,0.0,0
2018-06-22,136.04,137.14,134.18,134.54,3040749.0,0.0,0
2018-06-25,134.27,134.4,129.0,129.98,1929729.0,0.0,0
2018-06-26,130.38,132.15,130.29,131.16,842521.0,0.0,0
2018-06-27,132.38,132.96,129.14,129.41,1586121.0,0.0,0
2018-06-28,129.42,131.27,129.13,129.79,1333033.0,0.0,0
2018-06-29,130.21,132.61,130.21,130.68,1245094.0,0.0,0
2018-07-02,129.61,131.35,129.27,131.31,1537878.0,0.0,0
2018-07-03,132.95,136.56,132.7,132.89,2888528.0,0.0,0
2018-07-05,133.97,134.84,129.36,131.38,2336790.0,0.0,0
2018-07-06,130.62,133.86,130.62,132.49,1146107.0,0.0,0
2018-07-09,132.89,135.66,132.89,135.12,1369360.0,0.0,0
2018-07-10,135.18,137.28,135.1,135.25,796047.0,0.0,0
2018-07-11,134.3,134.94,131.24,132.34,672920.0,0.0,0
2018-07-12,132.95,133.45,131.15,133.17,656241.0,0.0,0
2018-07-13,133.21,135.51,133.03,134.98,841949.0,0.0,0
2018-07-16,133.86,135.17,133.29,134.56,449576.0,0.0,0
2018-07-17,134.03,136.59,133.65,135.09,891463.0,0.0,0
2018-07-18,134.37,136.79,133.43,136.4,1976699.0,0.0,0
2018-07-19,136.38,137.93,136.38,136.97,938875.0,0.0,0
2018-07-20,136.65,137.58,135.97,136.42,1223036.0,0.0,0
2018-07-23,137.5,137.78,136.19,137.4,727596.0,0.0,0
2018-07-24,137.96,139.72,137.96,138.45,1002593.0,0.0,0
2018-07-25,138.58,140.24,137.9,139.98,774355.0,0.0,0
2018-07-26,140.76,149.24,140.76,148.39,1821121.0,0.0,0
2018-07-27,148.46,151.02,148.01,149.74,1313935.0,0.0,0
2018-07-30,150.54,151.75,150.11,150.23,1195719.0,0.0,0
2018-07-31,151.12,152.39,149.39,149.49,1539091.0,0.0,0
2018-08-01,148.91,149.86,148.12,149.25,797884.0,0.0,0
2018-08-02,148.14,148.69,147.05,147.89,580093.0,0.0,0
2018-08-03,147.5,148.53,145.63,146.62,1358416.0,0.0,0
2018-08-06,147.87,148.1,146.32,147.83,1352020.0,0.0,0
2018-08-07,148.76,151.44,147.87,150.27,1403797.0,0.0,0
2018-08-08,149.48,151.49,148.73,150.93,929879.0,0.0,0
2018-08-09,151.0,151.62,149.02,149.35,846285.0,0.0,0
2018-08-10,148.8,150.14,148.77,149.66,682635.0,0.0,0
2018-08-13,149.8,150.9,148.18,148.25,1049415.0,0.0,0
2018-08-14,148.35,149.16,147.08,148.28,942132.0,0.0,0
2018-08-15,147.68,147.94,143.89,144.55,1364750.0,0.0,0
2018-08-16,145.21,146.47,143.58,143.68,1106743.0,0.0,0
2018-08-17,144.4,144.77,142.98,144.29,965760.0,0.0,0
2018-08-20,144.45,147.62,144.29,146.95,996508.0,0.0,0
2018-08-21,146.75,150.07,146.75,147.34,2004088.0,0.0,0
2018-08-22,147.44,149.63,147.28,149.14,1320085.0,0.0,0
2018-08-23,149.08,151.71,148.73,151.66,839833.0,0.0,0
2018-08-24,151.87,155.02,151.74,154.67,1578449.0,0.0,0
2018-08-27,155.1,156.39,153.88,154.79,1453835.0,0.0,0
2018-08-28,154.46,156.13,154.28,154.96,1298115.0,0.0,0
2018-08-29,154.95,156.15,153.6,154.86,1013309.0,0.0,0
2018-08-30,154.81,155.3,152.32,153.79,1627870.0,0.59,0
2018-08-31,153.21,153.33,150.69,152.79,2571840.0,0.0,0
2018-09-04,153.21,157.1,153.21,155.92,1831626.0,0.0,0
2018-09-05,155.48,156.27,152.98,155.47,1256881.0,0.0,0
2018-09-06,154.95,157.65,153.78,153.8,908278.0,0.0,0
2018-09-07,153.12,153.83,151.73,153.29,599064.0,0.0,0
2018-09-10,153.49,154.33,152.8,153.22,973133.0,0.0,0
2018-09-11,152.55,155.5,152.43,154.94,1282966.0,0.0,0
2018-09-12,156.04,157.64,155.03,155.89,1062474.0,0.0,0
2018-09-13,155.98,156.42,153.84,155.91,1415907.0,0.0,0
2018-09-14,155.67,156.86,155.49,156.09,1470351.0,0.0,0
2018-09-17,156.07,156.41,154.76,155.59,696383.0,0.0,0
2018-09-18,155.81,156.89,154.84,155.77,1475676.0,0.0,0
2018-09-19,155.42,155.42,149.53,150.26,1948360.0,0.0,0
2018-09-20,150.5,153.58,148.75,152.56,1704751.0,0.0,0
2018-09-21,153.03,155.92,152.66,154.73,2461427.0,0.0,0
2018-09-24,155.42,159.9,155.16,158.87,2663463.0,0.0,0
2018-09-25,159.91,163.19,157.29,157.29,3050702.0,0.0,0
2018-09-26,157.44,158.16,153.59,157.1,2836892.0,0.0,0
2018-09-27,157.34,159.3,154.28,154.79,5119657.0,0.0,0
2018-09-28,153.39,154.72,150.65,153.5,23880112.0,0.0,0
2018-10-01,153.5,153.5,153.5,153.5,0.0,0.0,0
