Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1979-05-15,1.35,1.37,1.33,1.35,22000,0.0,1.3333333333333333
1979-05-16,1.36,1.45,1.36,1.44,65600,0.0,0.0
1979-05-17,1.44,1.46,1.44,1.46,57200,0.0,0.0
1979-05-18,1.46,1.52,1.46,1.51,118600,0.0,0.0
1979-05-21,1.51,1.54,1.49,1.54,106200,0.0,0.0
1979-05-22,1.54,1.57,1.54,1.55,127000,0.0,0.0
1979-05-23,1.55,1.55,1.51,1.51,85400,0.0,0.0
1979-05-24,1.51,1.52,1.47,1.49,80200,0.0,0.0
1979-05-25,1.49,1.52,1.47,1.51,63200,0.0,0.0
1979-05-29,1.51,1.59,1.51,1.56,122800,0.0,0.0
1979-05-30,1.59,1.66,1.59,1.65,113600,0.0,0.0
1979-05-31,1.65,1.65,1.62,1.65,80200,0.0,0.0
1979-06-01,1.65,1.66,1.65,1.65,103000,0.0,0.0
1979-06-04,1.65,1.69,1.65,1.68,70600,0.0,0.0
1979-06-05,1.69,1.76,1.69,1.74,135800,0.0,0.0
1979-06-06,1.75,1.81,1.75,1.77,147800,0.0,0.0
1979-06-07,1.77,1.8,1.76,1.76,141400,0.0,0.0
1979-06-08,1.76,1.79,1.72,1.75,53200,0.0,0.0
1979-06-11,1.75,1.76,1.72,1.75,48600,0.0,0.0
1979-06-12,1.75,1.76,1.74,1.75,47800,0.0,0.0
1979-06-13,1.75,1.75,1.68,1.7,75600,0.0,0.0
1979-06-14,1.7,1.73,1.66,1.7,58200,0.0,0.0
1979-06-15,1.72,1.78,1.72,1.75,106800,0.0,0.0
1979-06-18,1.75,1.75,1.72,1.74,34600,0.0,0.0
1979-06-19,1.74,1.75,1.72,1.75,113600,0.0,0.0
1979-06-20,1.75,1.78,1.75,1.76,151800,0.0,0.0
1979-06-21,1.76,1.76,1.73,1.75,388800,0.0,0.0
1979-06-22,1.75,1.75,1.71,1.74,69800,0.0,0.0
1979-06-25,1.74,1.74,1.63,1.66,73400,0.0,0.0
1979-06-26,1.66,1.7,1.65,1.67,77000,0.0,0.0
1979-06-27,1.67,1.72,1.67,1.69,123800,0.0,0.0
1979-06-28,1.69,1.71,1.65,1.67,63200,0.0,0.0
1979-06-29,1.67,1.72,1.67,1.72,135200,0.0,0.0
1979-07-02,1.72,1.73,1.68,1.68,40200,0.0,0.0
1979-07-03,1.68,1.71,1.68,1.71,44800,0.0,0.0
1979-07-05,1.71,1.71,1.68,1.71,17800,0.0,0.0
