Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.83,0.81,0.82,271500,0.0,0.0
1980-03-18,0.0,0.82,0.81,0.82,376100,0.0,0.0
1980-03-19,0.0,0.84,0.83,0.83,858700,0.0,0.0
1980-03-20,0.0,0.83,0.83,0.83,144400,0.0,0.0
1980-03-21,0.0,0.83,0.82,0.83,106300,0.0,0.0
1980-03-24,0.0,0.82,0.8,0.8,744500,0.0,0.0
1980-03-25,0.0,0.8,0.79,0.79,112400,0.0,0.0
1980-03-26,0.0,0.8,0.79,0.79,94200,0.0,0.0
1980-03-27,0.0,0.79,0.78,0.79,133100,0.0,0.0
1980-03-28,0.0,0.83,0.79,0.82,152200,0.0,0.0
1980-03-31,0.0,0.83,0.82,0.83,181600,0.0,0.0
1980-04-01,0.0,0.83,0.81,0.81,336400,0.0,0.0
1980-04-02,0.0,0.81,0.78,0.8,1004800,0.0,0.0
1980-04-03,0.0,0.78,0.77,0.78,418500,0.0,0.0
1980-04-07,0.0,0.78,0.77,0.78,635600,0.0,0.0
1980-04-08,0.0,0.79,0.77,0.78,486800,0.0,0.0
1980-04-09,0.0,0.81,0.8,0.81,211800,0.0,0.0
1980-04-10,0.0,0.83,0.82,0.83,40600,0.0,0.0
1980-04-11,0.0,0.87,0.84,0.87,82100,0.0,0.0
1980-04-14,0.0,0.87,0.86,0.86,133100,0.0,0.0
1980-04-15,0.0,0.86,0.85,0.86,142600,0.0,0.0
1980-04-16,0.0,0.85,0.83,0.84,457400,0.0,0.0
1980-04-17,0.0,0.84,0.81,0.81,449600,0.0,0.0
1980-04-18,0.0,0.81,0.78,0.79,270600,0.0,0.0
1980-04-21,0.0,0.78,0.78,0.78,140000,0.0,0.0
1980-04-22,0.0,0.84,0.78,0.84,378700,0.0,0.0
1980-04-23,0.0,0.86,0.83,0.84,315600,0.0,0.0
1980-04-24,0.0,0.87,0.84,0.86,84700,0.0,0.0
1980-04-25,0.0,0.88,0.86,0.88,35400,0.0,0.0
1980-04-28,0.0,0.88,0.87,0.88,110600,0.0,0.0
1980-04-29,0.0,0.89,0.87,0.89,255900,0.0,0.0
1980-04-30,0.0,0.9,0.88,0.9,267200,0.0,0.0
1980-05-01,0.0,0.92,0.9,0.9,677100,0.0,0.0
1980-05-02,0.0,0.9,0.89,0.89,364000,0.0,0.0
1980-05-05,0.0,0.9,0.9,0.9,681400,0.0,0.0
1980-05-06,0.0,0.91,0.89,0.9,608800,0.0,0.0
1980-05-07,0.0,0.9,0.88,0.88,327700,0.0,0.0
1980-05-08,0.0,0.88,0.86,0.86,134000,0.0,0.0
1980-05-09,0.0,0.86,0.83,0.83,79500,0.0,0.0
1980-05-12,0.0,0.83,0.8,0.81,614000,0.0,0.0
1980-05-13,0.0,0.81,0.8,0.81,604400,0.0,0.0
1980-05-14,0.0,0.83,0.81,0.82,443600,0.0,0.0
1980-05-15,0.0,0.82,0.81,0.81,678000,0.0,0.0
1980-05-16,0.0,0.82,0.8,0.81,126200,0.0,0.0
1980-05-19,0.0,0.82,0.81,0.81,402900,0.0,0.0
1980-05-20,0.0,0.82,0.81,0.82,83800,0.0,0.0
1980-05-21,0.0,0.82,0.8,0.82,269800,0.0,0.0
1980-05-22,0.0,0.9,0.81,0.86,1090500,0.0,0.0
1980-05-23,0.0,0.89,0.87,0.89,1250500,0.0,0.0
1980-05-27,0.0,0.9,0.89,0.9,104600,0.0,0.0
1980-05-28,0.0,0.9,0.88,0.89,63100,0.0,0.0
1980-05-29,0.0,0.89,0.87,0.88,704800,0.0,0.0
1980-05-30,0.0,0.89,0.86,0.89,71700,0.0,0.0
1980-06-02,0.0,0.89,0.88,0.88,31900,0.0,0.0
1980-06-03,0.0,0.89,0.87,0.89,316500,0.0,0.0
1980-06-04,0.0,0.91,0.89,0.91,223900,0.0,0.0
1980-06-05,0.0,0.94,0.91,0.91,204000,0.0,0.0
1980-06-06,0.0,0.91,0.9,0.9,180700,0.0,0.0
1980-06-09,0.0,0.9,0.88,0.88,113200,0.0,0.0
1980-06-10,0.0,0.9,0.88,0.89,154700,0.0,0.0
1980-06-11,0.0,0.9,0.89,0.9,411600,0.0,0.0
1980-06-12,0.0,0.9,0.89,0.9,173800,0.0,0.0
1980-06-13,0.0,0.93,0.91,0.93,61400,0.0,0.0
1980-06-16,0.0,0.95,0.92,0.95,236900,0.0,0.0
1980-06-17,0.0,0.95,0.94,0.94,119300,0.0,0.0
1980-06-18,0.0,0.94,0.93,0.93,50100,0.0,0.0
1980-06-19,0.0,0.94,0.93,0.93,46600,0.0,0.0
1980-06-20,0.0,0.92,0.91,0.91,94200,0.0,0.0
1980-06-23,0.0,0.94,0.92,0.92,318200,0.0,0.0
1980-06-24,0.0,0.92,0.9,0.91,535300,0.0,0.0
1980-06-25,0.0,0.95,0.91,0.94,326800,0.0,0.0
1980-06-26,0.0,0.95,0.93,0.94,259400,0.0,0.0
1980-06-27,0.0,0.97,0.94,0.96,201400,0.0,0.0
1980-06-30,0.0,0.94,0.92,0.92,671900,0.0,0.0
1980-07-01,0.0,0.92,0.91,0.92,236900,0.0,0.0
1980-07-02,0.0,0.94,0.92,0.94,195400,0.0,0.0
1980-07-03,0.0,0.99,0.95,0.99,223900,0.0,0.0
1980-07-07,0.0,1.01,0.99,1.01,522300,0.0,0.0
1980-07-08,0.0,1.02,1.01,1.02,170300,0.0,0.0
1980-07-09,0.0,1.02,1.01,1.01,291400,0.0,0.0
1980-07-10,0.0,1.01,0.98,0.99,130500,0.0,0.0
1980-07-11,0.0,1.01,0.99,1.0,274100,0.0,0.0
1980-07-14,0.0,1.01,0.99,1.01,212700,0.0,0.0
1980-07-15,0.0,1.06,1.03,1.05,525700,0.0,0.0
1980-07-16,0.0,1.06,1.05,1.05,205800,0.0,0.0
1980-07-17,0.0,1.04,1.04,1.04,283600,0.0,0.0
1980-07-18,0.0,1.05,1.02,1.03,311300,0.0,0.0
1980-07-21,0.0,1.04,1.02,1.03,166900,0.0,0.0
1980-07-22,0.0,1.05,1.03,1.03,307000,0.0,0.0
1980-07-23,0.0,1.04,1.02,1.03,153000,0.0,0.0
1980-07-24,0.0,1.03,0.97,0.97,236000,0.0,0.0
1980-07-25,0.0,0.97,0.95,0.96,513600,0.0,0.0
1980-07-28,0.0,0.98,0.94,0.98,586300,0.0,0.0
1980-07-29,0.0,1.03,1.01,1.03,370900,0.0,0.0
1980-07-30,0.0,1.05,1.02,1.03,764400,0.0,0.0
1980-07-31,0.0,1.07,1.02,1.07,302600,0.0,0.0
1980-08-01,0.0,1.08,1.06,1.08,350200,0.0,0.0
1980-08-04,0.0,1.08,1.06,1.06,645100,0.0,0.0
1980-08-05,0.0,1.06,1.05,1.05,197100,0.0,0.0
1980-08-06,0.0,1.05,1.03,1.04,240400,0.0,0.0
