Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,1.41,1.42,1.41,1.41,59700,0.0,0.0
1962-01-03,1.41,1.44,1.41,1.44,79600,0.0,0.0
1962-01-04,1.44,1.45,1.44,1.44,86000,0.0,0.0
1962-01-05,1.44,1.44,1.43,1.43,75300,0.0,0.0
1962-01-08,1.43,1.43,1.37,1.38,100300,0.0,0.0
1962-01-09,1.38,1.41,1.38,1.38,68900,0.0,0.0
1962-01-10,1.38,1.38,1.37,1.38,36900,0.0,0.0
1962-01-11,1.38,1.38,1.37,1.37,29800,0.0,0.0
1962-01-12,1.37,1.38,1.34,1.34,28400,0.0,0.0
1962-01-15,1.33,1.33,1.31,1.31,68900,0.0,0.0
1962-01-16,1.31,1.31,1.3,1.3,29800,0.0,0.0
1962-01-17,1.3,1.3,1.3,1.3,85300,0.0,0.0
1962-01-18,1.3,1.3,1.3,1.3,96000,0.0,0.0
1962-01-19,1.3,1.31,1.3,1.3,107300,0.0,0.0
1962-01-22,1.31,1.33,1.31,1.31,74700,0.0,0.0
1962-01-23,1.31,1.32,1.3,1.3,36900,0.0,0.0
1962-01-24,1.3,1.3,1.27,1.29,49000,0.0,0.0
1962-01-25,1.29,1.3,1.28,1.28,40500,0.0,0.0
1962-01-26,1.28,1.28,1.28,1.28,40500,0.0,0.0
1962-01-29,1.28,1.29,1.28,1.28,45400,0.0,0.0
1962-01-30,1.28,1.3,1.28,1.3,32600,0.0,0.0
1962-01-31,1.3,1.3,1.29,1.29,59700,0.0,0.0
1962-02-01,1.29,1.29,1.27,1.28,72500,0.0,0.0
1962-02-02,1.28,1.29,1.28,1.28,32600,0.0,0.0
1962-02-05,1.29,1.3,1.29,1.29,77500,0.0,0.0
1962-02-06,1.29,1.29,1.27,1.28,43300,0.02811,0.0
1962-02-07,1.28,1.29,1.28,1.29,49000,0.0,0.0
1962-02-08,1.29,1.29,1.27,1.28,55400,0.0,0.0
1962-02-09,1.28,1.29,1.27,1.27,36200,0.0,0.0
1962-02-12,1.27,1.27,1.26,1.26,17700,0.0,0.0
1962-02-13,1.28,1.29,1.28,1.28,66800,0.0,0.0
1962-02-14,1.27,1.27,1.25,1.26,60400,0.0,0.0
1962-02-15,1.26,1.28,1.25,1.25,66800,0.0,0.0
1962-02-16,1.25,1.27,1.25,1.27,59700,0.0,0.0
1962-02-19,1.27,1.28,1.27,1.28,32000,0.0,0.0
1962-02-20,1.28,1.3,1.28,1.3,43300,0.0,0.0
1962-02-21,1.3,1.33,1.3,1.31,60400,0.0,0.0
1962-02-23,1.31,1.32,1.31,1.32,77500,0.0,0.0
1962-02-26,1.32,1.33,1.3,1.33,88100,0.0,0.0
1962-02-27,1.33,1.33,1.33,1.33,29800,0.0,0.0
1962-02-28,1.33,1.35,1.32,1.32,51200,0.0,0.0
1962-03-01,1.32,1.37,1.31,1.36,79600,0.0,0.0
1962-03-02,1.36,1.39,1.36,1.38,44800,0.0,0.0
1962-03-05,1.38,1.4,1.38,1.4,60400,0.0,0.0
1962-03-06,1.4,1.41,1.4,1.41,81100,0.0,0.0
1962-03-07,1.41,1.42,1.41,1.41,49000,0.0,0.0
1962-03-08,1.41,1.41,1.4,1.41,44800,0.0,0.0
1962-03-09,1.41,1.41,1.41,1.41,77500,0.0,0.0
1962-03-12,1.42,1.45,1.42,1.44,58200,0.0,0.0
1962-03-13,1.44,1.45,1.43,1.45,39000,0.0,0.0
1962-03-14,1.45,1.45,1.45,1.45,59700,0.0,0.0
1962-03-15,1.45,1.46,1.45,1.45,44800,0.0,0.0
1962-03-16,1.45,1.46,1.45,1.46,54000,0.0,0.0
1962-03-19,1.45,1.45,1.41,1.41,81100,0.0,0.0
1962-03-20,1.41,1.42,1.41,1.42,27700,0.0,0.0
1962-03-21,1.42,1.45,1.42,1.44,45400,0.0,0.0
1962-03-22,1.45,1.48,1.45,1.48,61800,0.0,0.0
1962-03-23,1.48,1.49,1.47,1.47,70400,0.0,0.0
1962-03-26,1.47,1.47,1.47,1.47,34800,0.0,0.0
1962-03-27,1.47,1.47,1.44,1.44,46900,0.0,0.0
1962-03-28,1.44,1.45,1.43,1.44,39000,0.0,0.0
1962-03-29,1.43,1.43,1.41,1.41,34800,0.0,0.0
1962-03-30,1.41,1.41,1.37,1.39,68300,0.0,0.0
1962-04-02,1.39,1.39,1.38,1.38,41200,0.0,0.0
1962-04-03,1.38,1.42,1.38,1.42,24100,0.0,0.0
1962-04-04,1.42,1.43,1.42,1.42,15600,0.0,0.0
1962-04-05,1.42,1.42,1.39,1.41,91700,0.0,0.0
1962-04-06,1.41,1.43,1.41,1.41,46900,0.0,0.0
1962-04-09,1.4,1.4,1.39,1.4,38400,0.0,0.0
1962-04-10,1.4,1.41,1.39,1.39,9200,0.0,0.0
1962-04-11,1.39,1.4,1.37,1.37,41200,0.0,0.0
1962-04-12,1.37,1.38,1.37,1.38,56100,0.0,0.0
1962-04-13,1.38,1.39,1.37,1.38,68300,0.0,0.0
1962-04-16,1.38,1.38,1.37,1.38,40500,0.0,0.0
1962-04-17,1.38,1.39,1.38,1.39,49000,0.0,0.0
1962-04-18,1.39,1.41,1.38,1.39,44800,0.0,0.0
1962-04-19,1.39,1.41,1.38,1.38,59700,0.0,0.0
1962-04-23,1.39,1.4,1.39,1.4,83900,0.0,0.0
1962-04-24,1.4,1.41,1.4,1.4,49700,0.0,0.0
1962-04-25,1.4,1.4,1.36,1.36,55400,0.0,0.0
1962-04-26,1.36,1.36,1.34,1.34,70400,0.0,0.0
1962-04-27,1.34,1.36,1.34,1.34,46900,0.0,0.0
1962-04-30,1.34,1.35,1.33,1.33,53300,0.0,0.0
1962-05-01,1.33,1.33,1.32,1.33,61800,0.0,0.0
1962-05-02,1.33,1.34,1.3,1.3,45400,0.0,0.0
1962-05-03,1.31,1.33,1.31,1.33,25600,0.0,0.0
1962-05-04,1.32,1.32,1.29,1.3,32000,0.0,0.0
1962-05-07,1.29,1.29,1.26,1.26,71100,0.0,0.0
1962-05-08,1.26,1.27,1.25,1.25,74700,0.0,0.0
1962-05-09,1.24,1.24,1.22,1.24,70400,0.0,0.0
1962-05-10,1.24,1.25,1.22,1.22,88100,0.0,0.0
1962-05-11,1.22,1.23,1.22,1.22,44800,0.0,0.0
1962-05-14,1.22,1.23,1.19,1.23,66100,0.0,0.0
1962-05-15,1.24,1.25,1.24,1.24,88100,0.02811,0.0
1962-05-16,1.24,1.24,1.2,1.21,89600,0.0,0.0
1962-05-17,1.21,1.21,1.19,1.19,66800,0.0,0.0
1962-05-18,1.19,1.19,1.19,1.19,38400,0.0,0.0
1962-05-21,1.19,1.2,1.19,1.19,14900,0.0,0.0
1962-05-22,1.19,1.19,1.19,1.19,28400,0.0,0.0
1962-05-23,1.19,1.19,1.18,1.18,40500,0.0,0.0
1962-05-24,1.18,1.19,1.16,1.16,49000,0.0,0.0
1962-05-25,1.16,1.16,1.14,1.15,51200,0.0,0.0
1962-05-28,1.15,1.18,1.14,1.14,90300,0.0,0.0
1962-05-29,1.14,1.19,1.07,1.19,128700,0.0,0.0
1962-05-31,1.19,1.2,1.16,1.2,57600,0.0,0.0
1962-06-01,1.2,1.2,1.19,1.2,81700,0.0,0.0
1962-06-04,1.2,1.21,1.19,1.2,85300,0.0,0.0
1962-06-05,1.2,1.22,1.19,1.21,62500,0.0,0.0
1962-06-06,1.21,1.22,1.21,1.22,38400,0.0,0.0
1962-06-07,1.22,1.22,1.19,1.2,25600,0.0,0.0
1962-06-08,1.2,1.22,1.19,1.21,43300,0.0,0.0
1962-06-11,1.21,1.22,1.2,1.2,62500,0.0,0.0
1962-06-12,1.2,1.2,1.16,1.16,59700,0.0,0.0
1962-06-13,1.16,1.17,1.14,1.14,53300,0.0,0.0
1962-06-14,1.14,1.15,1.11,1.11,49000,0.0,0.0
1962-06-15,1.11,1.15,1.1,1.14,103100,0.0,0.0
1962-06-18,1.14,1.15,1.12,1.15,72500,0.0,0.0
1962-06-19,1.15,1.15,1.13,1.14,59700,0.0,0.0
1962-06-20,1.14,1.14,1.12,1.12,57600,0.0,0.0
1962-06-21,1.1,1.1,1.08,1.09,71100,0.0,0.0
1962-06-22,1.07,1.07,1.03,1.04,45400,0.0,0.0
1962-06-25,1.04,1.04,0.98,1.0,103100,0.0,0.0
1962-06-26,1.02,1.06,1.02,1.04,123700,0.0,0.0
1962-06-27,1.03,1.03,1.02,1.03,36200,0.0,0.0
1962-06-28,1.04,1.09,1.04,1.09,139400,0.0,0.0
1962-06-29,1.1,1.14,1.1,1.14,91700,0.0,0.0
1962-07-02,1.15,1.21,1.15,1.19,90300,0.0,0.0
1962-07-03,1.19,1.22,1.19,1.22,98800,0.0,0.0
1962-07-05,1.22,1.27,1.22,1.27,66100,0.0,0.0
1962-07-06,1.26,1.26,1.24,1.24,68900,0.0,0.0
1962-07-09,1.24,1.25,1.21,1.25,92400,0.0,0.0
1962-07-10,1.25,1.29,1.22,1.23,64600,0.0,0.0
1962-07-11,1.23,1.25,1.21,1.25,36900,0.0,0.0
1962-07-12,1.25,1.26,1.24,1.24,75300,0.0,0.0
1962-07-13,1.24,1.25,1.24,1.24,38400,0.0,0.0
1962-07-16,1.23,1.23,1.22,1.22,27700,0.0,0.0
1962-07-17,1.22,1.22,1.18,1.18,26200,0.0,0.0
1962-07-18,1.18,1.21,1.16,1.21,41200,0.0,0.0
1962-07-19,1.21,1.22,1.19,1.19,60400,0.0,0.0
1962-07-20,1.19,1.22,1.19,1.2,27700,0.0,0.0
1962-07-23,1.2,1.2,1.19,1.19,30500,0.0,0.0
1962-07-24,1.19,1.19,1.18,1.18,27700,0.0,0.0
1962-07-25,1.17,1.17,1.14,1.16,64600,0.0,0.0
