Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,1.58,1.57,1.57,22400,0.0,0.0
1973-02-22,0.0,1.59,1.58,1.58,11200,0.0,0.0
1973-02-23,0.0,1.58,1.56,1.57,52800,0.0,0.0
1973-02-26,0.0,1.56,1.56,1.56,9600,0.0,0.0
1973-02-27,0.0,1.57,1.56,1.56,18400,0.0,0.0
1973-02-28,0.0,1.57,1.56,1.56,29600,0.0,0.0
1973-03-01,0.0,1.57,1.55,1.55,24000,0.00788,0.0
1973-03-02,0.0,1.55,1.54,1.54,36800,0.0,0.0
1973-03-05,0.0,1.54,1.53,1.53,48000,0.0,0.0
1973-03-06,0.0,1.55,1.53,1.55,12800,0.0,0.0
1973-03-07,0.0,1.57,1.55,1.57,97600,0.0,0.0
1973-03-08,0.0,1.56,1.56,1.56,8000,0.0,0.0
1973-03-09,0.0,1.57,1.56,1.56,100800,0.0,0.0
1973-03-12,0.0,1.56,1.55,1.55,57600,0.0,0.0
1973-03-13,0.0,1.54,1.54,1.54,114400,0.0,0.0
1973-03-14,0.0,1.57,1.55,1.56,226400,0.0,0.0
1973-03-15,0.0,1.6,1.57,1.59,74400,0.0,0.0
1973-03-16,0.0,1.59,1.58,1.59,116000,0.0,0.0
1973-03-19,0.0,1.6,1.58,1.6,53600,0.0,0.0
1973-03-20,0.0,1.61,1.59,1.6,40000,0.0,0.0
1973-03-21,0.0,1.63,1.61,1.61,65600,0.0,0.0
1973-03-22,0.0,1.61,1.57,1.57,69600,0.0,0.0
1973-03-23,0.0,1.57,1.56,1.57,20000,0.0,0.0
1973-03-26,0.0,1.6,1.58,1.59,28800,0.0,0.0
1973-03-27,0.0,1.59,1.58,1.58,12000,0.0,0.0
1973-03-28,0.0,1.62,1.58,1.62,38400,0.0,0.0
1973-03-29,0.0,1.69,1.63,1.69,516000,0.0,0.0
1973-03-30,0.0,1.68,1.66,1.67,50400,0.0,0.0
1973-04-02,0.0,1.68,1.66,1.68,12000,0.0,0.0
1973-04-03,0.0,1.7,1.67,1.7,53600,0.0,0.0
1973-04-04,0.0,1.71,1.69,1.71,32800,0.0,0.0
1973-04-05,0.0,1.71,1.7,1.7,21600,0.0,0.0
1973-04-06,0.0,1.7,1.64,1.64,79200,0.0,0.0
1973-04-09,0.0,1.64,1.63,1.64,48000,0.0,0.0
1973-04-10,0.0,1.64,1.62,1.62,125600,0.0,0.0
1973-04-11,0.0,1.61,1.53,1.53,34400,0.0,0.0
