Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-04-23,14.9,15.52,14.63,14.9,23402800,0.0,0
2008-04-24,14.99,15.19,14.69,15.05,4960900,0.0,0
2008-04-25,15.19,15.37,14.97,15.31,1956800,0.0,0
2008-04-28,15.55,15.55,15.05,15.19,709400,0.0,0
2008-04-29,15.47,15.47,15.06,15.24,859700,0.0,0
2008-04-30,15.25,15.34,15.13,15.3,893300,0.0,0
2008-05-01,15.35,15.92,15.19,15.85,2999000,0.0,0
2008-05-02,16.03,16.03,15.55,15.92,1639400,0.0,0
2008-05-05,16.24,16.24,15.6,15.85,579000,0.0,0
2008-05-06,15.77,15.81,15.46,15.59,1040200,0.0,0
2008-05-07,15.55,15.63,14.94,15.34,1240100,0.0,0
2008-05-08,15.36,15.41,15.21,15.37,888100,0.0,0
2008-05-09,15.37,15.8,15.21,15.68,550400,0.0,0
2008-05-12,15.7,15.73,15.39,15.55,1168000,0.0,0
2008-05-13,15.58,15.58,15.05,15.42,1783900,0.0,0
2008-05-14,14.84,15.54,14.84,15.41,649200,0.0,0
2008-05-15,15.52,15.52,15.26,15.31,470400,0.0,0
2008-05-16,15.5,15.66,15.26,15.64,1002400,0.0,0
2008-05-19,15.84,15.98,15.59,15.73,802900,0.0,0
2008-05-20,15.89,15.89,15.52,15.66,504100,0.0,0
2008-05-21,15.81,15.81,15.23,15.31,407100,0.0,0
2008-05-22,15.46,15.52,15.28,15.45,274600,0.0,0
2008-05-23,15.37,15.37,15.19,15.29,464200,0.0,0
2008-05-27,15.55,15.55,15.23,15.36,320300,0.0,0
2008-05-28,15.26,15.5,15.24,15.49,403800,0.0,0
2008-05-29,15.47,15.55,15.23,15.24,384600,0.0,0
2008-05-30,15.26,15.55,15.23,15.55,784300,0.0,0
2008-06-02,16.18,16.18,15.34,15.63,414900,0.0,0
2008-06-03,15.81,15.84,15.4,15.42,446000,0.0,0
2008-06-04,15.26,15.65,15.24,15.6,850300,0.0,0
2008-06-05,15.55,15.84,15.55,15.77,567400,0.0,0
2008-06-06,15.73,16.1,15.73,15.99,1588900,0.0,0
2008-06-09,16.13,16.2,15.99,16.15,377700,0.0,0
2008-06-10,15.99,16.1,15.8,15.81,594000,0.0,0
2008-06-11,15.71,16.23,15.34,15.71,692300,0.0,0
2008-06-12,15.99,15.99,15.53,15.81,394400,0.0,0
2008-06-13,16.02,16.2,15.71,16.2,460500,0.0,0
2008-06-16,16.26,16.64,16.09,16.46,783000,0.0,0
2008-06-17,16.46,17.01,16.13,16.77,1194300,0.0,0
2008-06-18,16.64,16.78,16.21,16.67,723300,0.0,0
2008-06-19,16.7,16.7,16.42,16.56,683500,0.0,0
2008-06-20,16.42,16.78,16.19,16.64,1330300,0.0,0
2008-06-23,16.61,16.61,16.4,16.46,390500,0.0,0
2008-06-24,16.48,16.61,16.14,16.55,666900,0.0,0
2008-06-25,16.7,16.91,16.53,16.91,717000,0.0,0
2008-06-26,16.67,17.11,16.02,16.36,1993100,0.0,0
2008-06-27,15.92,16.74,15.88,16.29,4484900,0.0,0
2008-06-30,16.63,16.63,15.33,16.05,861700,0.0,0
2008-07-01,16.2,16.7,16.07,16.55,476800,0.0,0
2008-07-02,16.64,16.81,16.25,16.39,492400,0.0,0
2008-07-03,16.25,16.36,15.31,15.77,325300,0.0,0
2008-07-07,15.77,15.96,15.42,15.55,246800,0.0,0
2008-07-08,15.47,15.7,15.4,15.7,281500,0.0,0
2008-07-09,15.72,15.74,15.49,15.62,182900,0.0,0
2008-07-10,15.69,15.69,14.69,15.38,530200,0.0,0
2008-07-11,15.0,15.05,13.92,14.49,1062500,0.0,0
2008-07-14,14.49,14.61,14.19,14.26,543100,0.0,0
2008-07-15,14.05,14.06,13.09,13.68,1191800,0.0,0
2008-07-16,13.72,14.14,13.67,14.03,464600,0.0,0
2008-07-17,14.32,14.32,13.8,14.25,232300,0.0,0
2008-07-18,13.75,14.35,13.75,14.14,308500,0.0,0
2008-07-21,14.35,14.4,14.07,14.27,148500,0.0,0
2008-07-22,14.16,14.5,14.16,14.42,144400,0.0,0
2008-07-23,14.36,14.46,14.2,14.24,214900,0.0,0
2008-07-24,14.42,14.44,13.42,13.65,518300,0.0,0
2008-07-25,13.85,13.93,13.45,13.85,241000,0.0,0
2008-07-28,13.93,14.22,13.38,13.48,241900,0.0,0
2008-07-29,13.67,13.91,13.54,13.75,289100,0.0,0
2008-07-30,13.99,14.23,13.82,14.08,251400,0.0,0
2008-07-31,14.82,14.82,13.48,13.93,579200,0.0,0
2008-08-01,14.03,14.35,13.93,13.95,389700,0.0,0
2008-08-04,14.06,14.37,13.78,14.18,324400,0.0,0
2008-08-05,14.36,14.71,14.22,14.71,336500,0.0,0
2008-08-06,14.72,14.72,14.13,14.54,343600,0.0,0
2008-08-07,14.61,14.63,14.4,14.58,376900,0.0,0
2008-08-08,14.68,14.73,14.43,14.52,268200,0.0,0
2008-08-11,15.26,15.46,14.94,15.03,958300,0.0,0
2008-08-12,14.97,15.43,14.97,15.1,729100,0.0,0
2008-08-13,15.25,15.62,15.24,15.4,515800,0.2,0
2008-08-14,15.46,15.7,15.21,15.32,567900,0.0,0
2008-08-15,15.49,15.49,14.99,15.16,370800,0.0,0
2008-08-18,15.29,15.49,15.19,15.45,546500,0.0,0
2008-08-19,15.52,16.25,15.45,16.01,782800,0.0,0
2008-08-20,16.14,16.43,15.64,16.0,801300,0.0,0
2008-08-21,16.03,16.11,15.59,16.0,719900,0.0,0
2008-08-22,16.06,16.07,15.75,16.03,307100,0.0,0
2008-08-25,15.9,16.47,15.67,15.9,245800,0.0,0
2008-08-26,15.99,16.03,15.62,15.78,228100,0.0,0
2008-08-27,15.89,15.9,15.63,15.86,216000,0.0,0
2008-08-28,15.98,16.25,15.41,16.15,383700,0.0,0
2008-08-29,15.95,16.89,15.73,16.76,1009000,0.0,0
2008-09-02,16.8,16.8,16.11,16.65,652400,0.0,0
2008-09-03,16.56,16.65,15.79,15.97,295400,0.0,0
2008-09-04,15.9,16.16,15.68,15.68,409300,0.0,0
2008-09-05,15.54,15.54,15.03,15.32,443500,0.0,0
2008-09-08,15.7,15.7,15.14,15.27,382000,0.0,0
2008-09-09,15.23,15.51,15.08,15.08,517500,0.0,0
2008-09-10,14.97,15.43,14.97,15.4,591800,0.0,0
2008-09-11,15.41,15.43,15.19,15.39,327500,0.0,0
2008-09-12,15.32,15.59,15.31,15.36,231600,0.0,0
2008-09-15,15.33,15.56,14.81,14.83,403400,0.0,0
2008-09-16,14.73,15.03,14.36,14.87,421300,0.0,0
2008-09-17,14.94,15.05,14.41,14.54,370900,0.0,0
2008-09-18,14.62,14.84,14.31,14.79,565900,0.0,0
2008-09-19,15.53,15.53,14.29,14.61,340100,0.0,0
2008-09-22,14.61,14.86,14.35,14.36,314100,0.0,0
2008-09-23,14.48,14.48,13.92,14.13,388000,0.0,0
2008-09-24,14.33,14.43,14.05,14.32,522700,0.0,0
2008-09-25,14.37,14.73,14.25,14.61,304400,0.0,0
2008-09-26,14.54,14.7,13.94,13.99,541000,0.0,0
2008-09-29,14.0,14.77,13.7,14.68,1045200,0.0,0
2008-09-30,14.93,15.92,14.19,15.7,1171700,0.0,0
2008-10-01,15.48,15.68,14.62,14.73,525200,0.0,0
2008-10-02,14.75,14.89,14.18,14.7,435500,0.0,0
2008-10-03,14.9,15.08,14.4,14.56,521100,0.0,0
2008-10-06,14.29,14.59,13.73,14.26,771800,0.0,0
2008-10-07,14.5,14.86,14.13,14.33,511800,0.0,0
2008-10-08,13.86,14.41,13.44,13.93,775900,0.0,0
2008-10-09,14.1,14.46,13.53,13.65,868200,0.0,0
2008-10-10,13.25,13.59,12.03,13.37,743400,0.0,0
2008-10-13,13.56,14.71,13.31,14.17,177100,0.0,0
2008-10-14,14.47,15.34,13.76,13.97,665700,0.0,0
2008-10-15,13.73,13.95,12.98,13.22,250400,0.0,0
2008-10-16,13.53,13.54,12.43,13.45,462900,0.0,0
2008-10-17,13.15,14.11,12.97,13.97,365100,0.0,0
2008-10-20,13.71,14.43,13.59,14.43,250500,0.0,0
2008-10-21,14.09,14.84,13.77,14.38,276100,0.0,0
2008-10-22,14.21,14.21,13.45,13.86,304200,0.0,0
2008-10-23,13.6,13.97,13.29,13.7,584400,0.0,0
2008-10-24,13.49,13.53,12.79,13.15,314100,0.0,0
2008-10-27,13.1,13.24,12.53,12.53,348300,0.0,0
2008-10-28,12.83,14.13,12.81,14.13,352900,0.0,0
2008-10-29,14.02,14.24,13.4,13.63,219400,0.0,0
2008-10-30,13.9,14.75,13.51,14.51,333600,0.0,0
2008-10-31,14.62,14.93,14.4,14.81,477000,0.0,0
2008-11-03,14.48,15.04,14.48,14.83,335200,0.0,0
2008-11-04,15.16,15.51,14.26,14.72,427400,0.0,0
2008-11-05,14.61,15.02,13.97,14.23,456000,0.0,0
2008-11-06,14.23,14.51,13.52,13.83,383500,0.0,0
2008-11-07,14.01,14.41,13.99,14.13,212500,0.0,0
2008-11-10,14.37,14.61,13.95,14.19,427100,0.0,0
2008-11-11,13.91,14.54,13.86,14.46,514800,0.0,0
2008-11-12,14.4,14.68,13.75,13.83,685000,0.0,0
2008-11-13,13.98,15.25,13.8,15.25,573300,0.0,0
2008-11-14,14.93,15.05,14.37,14.38,683700,0.2,0
2008-11-17,14.1,14.59,14.1,14.42,324700,0.0,0
2008-11-18,14.39,14.7,14.09,14.7,551500,0.0,0
2008-11-19,14.55,15.02,14.03,14.23,656900,0.0,0
2008-11-20,14.06,14.63,13.9,13.94,672600,0.0,0
2008-11-21,14.06,14.75,13.98,14.75,540900,0.0,0
2008-11-24,14.79,15.41,14.36,15.26,547700,0.0,0
2008-11-25,15.42,15.85,15.1,15.35,1980300,0.0,0
2008-11-26,15.05,15.23,14.54,14.82,422300,0.0,0
2008-11-28,14.92,15.21,14.76,14.96,220600,0.0,0
2008-12-01,14.68,14.74,13.98,14.06,402700,0.0,0
2008-12-02,14.26,14.37,13.16,13.99,1204800,0.0,0
2008-12-03,13.95,15.12,13.67,14.9,520900,0.0,0
2008-12-04,14.75,15.1,14.45,14.95,420400,0.0,0
2008-12-05,14.75,15.47,14.58,15.11,632100,0.0,0
2008-12-08,15.47,15.73,15.19,15.46,648200,0.0,0
2008-12-09,15.64,15.82,15.2,15.28,419700,0.0,0
2008-12-10,15.2,15.44,14.81,15.24,280700,0.0,0
2008-12-11,15.32,15.45,14.85,15.27,491800,0.0,0
