Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-03,8.87,9.03,8.81,9.01,847400,0.0,0.0
2001-12-04,8.94,9.03,8.87,8.97,780700,0.0,0.0
2001-12-05,8.97,9.27,8.97,9.18,906200,0.0,0.0
2001-12-06,9.1,9.27,8.94,9.12,291300,0.0,0.0
2001-12-07,9.06,9.06,8.74,8.8,399500,0.0,0.0
2001-12-10,8.55,8.55,7.31,7.31,348800,0.0,0.0
2001-12-11,7.37,8.21,7.37,8.21,595400,0.0,0.0
2001-12-12,8.14,8.39,7.8,7.83,226700,0.0,0.0
2001-12-13,7.9,8.09,7.67,7.83,248600,0.0,0.0
2001-12-14,7.77,7.88,7.67,7.82,146000,0.0,0.0
2001-12-17,7.6,7.9,7.05,7.18,523600,0.0,0.0
2001-12-18,7.11,7.5,6.98,7.5,685500,0.0,0.0
2001-12-19,7.28,7.9,7.21,7.8,290400,0.0,0.0
2001-12-20,7.83,7.83,7.41,7.51,535400,0.0,0.0
2001-12-21,7.31,7.8,7.28,7.77,367700,0.0,0.0
2001-12-24,8.06,8.45,7.9,8.41,112300,0.0,0.0
2001-12-26,8.54,8.61,7.8,8.16,255900,0.0,0.0
2001-12-27,8.29,8.45,8.29,8.42,374500,0.0,0.0
2001-12-28,8.42,8.42,7.77,7.83,324500,0.0,0.0
2001-12-31,7.83,8.09,7.83,7.9,451000,0.0,0.0
2002-01-02,7.86,9.14,7.84,9.14,164700,0.0,0.0
2002-01-03,8.97,9.63,8.97,9.63,260000,0.0,0.0
2002-01-04,9.63,9.72,9.21,9.66,155700,0.0,0.0
2002-01-07,9.6,9.6,9.15,9.31,131100,0.0,0.0
2002-01-08,9.27,9.27,9.01,9.27,67500,0.0,0.0
2002-01-09,9.23,9.36,9.01,9.01,52200,0.0,0.0
2002-01-10,8.94,9.17,8.61,8.86,74500,0.0,0.0
2002-01-11,8.89,8.97,8.81,8.81,56100,0.0,0.0
2002-01-14,8.67,9.56,8.61,9.53,177500,0.0,0.0
2002-01-15,9.51,9.59,9.17,9.22,208500,0.180151,0.0
2002-01-16,9.24,9.25,8.46,8.46,144600,0.0,0.0
2002-01-17,8.39,9.08,8.39,9.08,618900,0.0,0.0
2002-01-18,8.95,9.02,8.66,8.89,123300,0.0,0.0
2002-01-22,8.89,9.28,8.82,9.13,86000,0.0,0.0
2002-01-23,9.13,9.2,8.79,9.2,70300,0.0,0.0
2002-01-24,9.13,9.13,8.92,8.92,63000,0.0,0.0
2002-01-25,8.85,8.99,8.52,8.99,300500,0.0,0.0
2002-01-28,9.05,9.2,9.03,9.08,135600,0.0,0.0
2002-01-29,9.08,9.08,8.6,8.72,214400,0.0,0.0
2002-01-30,8.69,8.71,8.47,8.64,31600,0.0,0.0
2002-01-31,8.59,8.62,8.26,8.62,144700,0.0,0.0
2002-02-01,8.62,8.62,8.42,8.61,114100,0.0,0.0
2002-02-04,8.46,9.24,8.38,8.85,83400,0.0,0.0
2002-02-05,8.78,8.78,8.28,8.75,112700,0.0,0.0
2002-02-06,8.75,8.89,8.66,8.77,207500,0.0,0.0
2002-02-07,8.7,8.75,8.66,8.71,76500,0.0,0.0
2002-02-08,8.78,8.9,8.76,8.85,98900,0.0,0.0
2002-02-11,8.79,8.82,8.59,8.72,104900,0.0,0.0
2002-02-12,8.72,8.79,8.69,8.77,138700,0.0,0.0
2002-02-13,8.76,8.79,8.75,8.79,65400,0.0,0.0
2002-02-14,8.79,8.82,8.75,8.82,173400,0.0,0.0
2002-02-15,8.79,8.97,8.79,8.88,90300,0.0,0.0
2002-02-19,8.95,8.97,8.79,8.89,242600,0.0,0.0
2002-02-20,8.89,9.0,8.89,8.95,101100,0.0,0.0
2002-02-21,8.95,9.05,8.92,8.97,74100,0.0,0.0
2002-02-22,9.02,9.68,9.02,9.59,92600,0.0,0.0
2002-02-25,9.53,9.75,9.42,9.59,67300,0.0,0.0
2002-02-26,9.59,9.59,9.17,9.22,54500,0.0,0.0
2002-02-27,9.18,9.45,8.92,9.32,61000,0.0,0.0
2002-02-28,9.58,9.65,9.18,9.38,148300,0.0,0.0
2002-03-01,9.35,10.24,9.29,10.11,188500,0.0,0.0
2002-03-04,10.04,10.47,10.04,10.31,320000,0.0,0.0
2002-03-05,10.24,10.41,10.06,10.18,158400,0.0,0.0
2002-03-06,10.11,10.18,9.91,10.14,121500,0.0,0.0
2002-03-07,10.1,10.11,9.75,9.81,119300,0.0,0.0
2002-03-08,9.78,9.86,9.48,9.58,58600,0.0,0.0
2002-03-11,9.32,9.78,9.25,9.72,210400,0.0,0.0
2002-03-12,9.79,10.04,9.75,10.04,83300,0.0,0.0
2002-03-13,10.11,10.11,9.98,10.06,19800,0.0,0.0
