Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-04-18,0.0,0.12,0.12,0.12,15957000,0.0,0.0
1985-04-19,0.12,0.12,0.12,0.12,13064400,0.0,0.0
1985-04-22,0.12,0.12,0.12,0.12,2890800,0.0,0.0
1985-04-23,0.12,0.12,0.12,0.12,5718600,0.0,0.0
1985-04-24,0.12,0.12,0.12,0.12,2122200,0.0,0.0
1985-04-25,0.11,0.11,0.11,0.11,6172200,0.0,0.0
1985-04-26,0.11,0.11,0.11,0.11,2381400,0.0,0.0
1985-04-29,0.11,0.11,0.11,0.11,2502000,0.0,0.0
1985-04-30,0.11,0.11,0.11,0.11,2745000,0.0,0.0
1985-05-01,0.1,0.1,0.1,0.1,5029200,0.0,0.0
1985-05-02,0.1,0.1,0.1,0.1,1805400,0.0,0.0
1985-05-03,0.1,0.11,0.1,0.1,1740600,0.0,0.0
1985-05-06,0.1,0.11,0.1,0.1,217800,0.0,0.0
1985-05-07,0.11,0.11,0.11,0.11,1983600,0.0,0.0
1985-05-08,0.11,0.11,0.11,0.11,307800,0.0,0.0
1985-05-09,0.11,0.12,0.11,0.11,1701000,0.0,0.0
1985-05-10,0.11,0.12,0.11,0.11,2356200,0.0,0.0
1985-05-13,0.12,0.12,0.12,0.12,1247400,0.0,0.0
1985-05-14,0.12,0.12,0.12,0.12,437400,0.0,0.0
1985-05-15,0.12,0.12,0.12,0.12,1701000,0.0,0.0
1985-05-16,0.12,0.12,0.12,0.12,3101400,0.0,0.0
1985-05-17,0.13,0.13,0.13,0.13,3101400,0.0,0.0
1985-05-20,0.13,0.13,0.13,0.13,1895400,0.0,0.0
1985-05-21,0.13,0.13,0.12,0.12,1879200,0.0,0.0
1985-05-22,0.12,0.13,0.12,0.12,2948400,0.0,0.0
1985-05-23,0.12,0.13,0.12,0.12,2907000,0.0,0.0
1985-05-24,0.12,0.13,0.12,0.12,784800,0.0,0.0
1985-05-28,0.12,0.13,0.12,0.12,574200,0.0,0.0
1985-05-29,0.12,0.13,0.12,0.12,525600,0.0,0.0
1985-05-30,0.12,0.13,0.12,0.12,1652400,0.0,0.0
1985-05-31,0.13,0.13,0.13,0.13,1303200,0.0,0.0
1985-06-03,0.13,0.13,0.13,0.13,1360800,0.0,0.0
1985-06-04,0.13,0.13,0.13,0.13,1587600,0.0,0.0
1985-06-05,0.13,0.13,0.13,0.13,712800,0.0,0.0
1985-06-06,0.13,0.14,0.13,0.13,1837800,0.0,0.0
1985-06-07,0.13,0.14,0.13,0.13,826200,0.0,0.0
1985-06-10,0.13,0.14,0.13,0.13,486000,0.0,0.0
1985-06-11,0.14,0.14,0.14,0.14,2608200,0.0,0.0
1985-06-12,0.14,0.14,0.13,0.13,1465200,0.0,0.0
1985-06-13,0.13,0.13,0.12,0.12,1717200,0.0,0.0
1985-06-14,0.13,0.13,0.13,0.13,113400,0.0,0.0
1985-06-17,0.13,0.13,0.12,0.12,761400,0.0,0.0
1985-06-18,0.12,0.13,0.12,0.12,558000,0.0,0.0
1985-06-19,0.12,0.13,0.12,0.12,307800,0.0,0.0
