Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-10-01,9.6,9.77,9.6,9.68,3162400,0.0,0.0
1999-10-04,9.68,9.68,9.6,9.6,533400,0.0,0.0
1999-10-05,9.6,9.68,9.6,9.68,270600,0.0,0.0
1999-10-06,9.68,10.2,9.68,10.2,205400,0.0,0.0
1999-10-07,10.2,10.2,9.64,9.68,214200,0.0,0.0
1999-10-08,9.73,9.73,9.64,9.64,65600,0.0,0.0
1999-10-11,9.64,9.68,9.6,9.64,77500,0.0,0.0
1999-10-12,9.64,9.68,9.6,9.68,49200,0.0,0.0
1999-10-13,9.68,9.86,9.6,9.64,49900,0.0,0.0
1999-10-14,9.6,9.64,9.08,9.34,430900,0.0,0.0
1999-10-15,9.0,9.04,8.7,8.96,158200,0.0,0.0
1999-10-18,8.91,8.91,8.57,8.78,83800,0.0,0.0
1999-10-19,8.74,9.08,8.74,9.08,58200,0.0,0.0
1999-10-20,9.17,9.26,9.0,9.0,62600,0.0,0.0
1999-10-21,9.0,9.21,8.91,9.21,98200,0.0,0.0
1999-10-22,9.17,9.3,9.13,9.26,191200,0.0,0.0
1999-10-25,9.21,9.56,9.21,9.56,153100,0.0,0.0
1999-10-26,9.47,9.68,9.47,9.6,65600,0.0,0.0
1999-10-27,9.6,9.73,9.6,9.64,100900,0.0,0.0
1999-10-28,9.73,9.94,9.68,9.68,255300,0.0,0.0
1999-10-29,9.68,10.46,9.68,10.46,123200,0.0,0.0
1999-11-01,10.28,10.28,10.03,10.11,41800,0.0,0.0
1999-11-02,10.11,10.2,9.81,10.11,66600,0.0,0.0
1999-11-03,10.07,10.2,10.07,10.11,18500,0.0,0.0
1999-11-04,10.2,10.37,9.94,10.24,72100,0.0,0.0
1999-11-05,10.28,10.88,10.2,10.8,122900,0.0,0.0
1999-11-08,10.88,11.91,10.84,11.4,240000,0.0,0.0
1999-11-09,11.48,11.48,11.06,11.06,42400,0.0,0.0
1999-11-10,10.97,11.06,10.84,11.01,59900,0.0,0.0
1999-11-11,11.01,11.14,11.01,11.06,20000,0.0,0.0
1999-11-12,11.14,12.68,11.14,12.34,248500,0.0,0.0
1999-11-15,12.47,12.47,12.0,12.13,99200,0.0,0.0
1999-11-16,12.13,12.13,11.91,11.96,95300,0.0,0.0
1999-11-17,12.13,12.51,11.83,12.0,107900,0.0,0.0
1999-11-18,12.0,12.0,11.83,11.83,67500,0.0,0.0
1999-11-19,11.83,12.17,11.78,12.08,31200,0.0,0.0
1999-11-22,12.04,12.26,12.04,12.21,36500,0.0,0.0
1999-11-23,12.21,13.28,12.21,13.11,65500,0.0,0.0
1999-11-24,13.03,13.03,12.6,12.73,53800,0.0,0.0
1999-11-26,12.68,12.68,12.6,12.64,2600,0.0,0.0
1999-11-29,12.6,12.6,12.26,12.43,20200,0.0,0.0
1999-11-30,12.47,12.68,12.47,12.6,38100,0.0,0.0
1999-12-01,12.6,12.77,12.51,12.73,43800,0.0,0.0
1999-12-02,12.73,13.03,12.73,13.03,33200,0.0,0.0
1999-12-03,13.11,13.28,13.07,13.16,62000,0.0,0.0
