Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-08-13,0.68,0.69,0.67,0.67,14796800,0.0,0.0
1993-08-16,0.67,0.67,0.65,0.66,3422400,0.0,0.0
1993-08-17,0.66,0.66,0.65,0.65,732800,0.0,0.0
1993-08-18,0.65,0.67,0.65,0.66,1084800,0.0,0.0
1993-08-19,0.66,0.68,0.66,0.68,832800,0.0,0.0
1993-08-20,0.68,0.69,0.67,0.69,464000,0.0,0.0
1993-08-23,0.68,0.68,0.67,0.67,146400,0.0,0.0
1993-08-24,0.68,0.68,0.67,0.67,354400,0.0,0.0
1993-08-25,0.67,0.68,0.67,0.68,214400,0.0,0.0
1993-08-26,0.68,0.69,0.68,0.68,287200,0.0,0.0
1993-08-27,0.68,0.69,0.68,0.69,330400,0.0,0.0
1993-08-30,0.69,0.69,0.68,0.69,120800,0.0,0.0
1993-08-31,0.69,0.69,0.68,0.69,233600,0.0,0.0
1993-09-01,0.68,0.69,0.68,0.69,196800,0.0,0.0
1993-09-02,0.69,0.69,0.67,0.67,132000,0.0,0.0
1993-09-03,0.67,0.68,0.66,0.66,51200,0.0,0.0
1993-09-07,0.66,0.68,0.66,0.66,984800,0.0,0.0
1993-09-08,0.67,0.67,0.63,0.64,208800,0.0,0.0
1993-09-09,0.64,0.64,0.64,0.64,277600,0.0,0.0
1993-09-10,0.64,0.64,0.61,0.62,152000,0.0,0.0
1993-09-13,0.62,0.63,0.62,0.62,320800,0.0,0.0
1993-09-14,0.62,0.62,0.58,0.58,1212000,0.0,0.0
1993-09-15,0.57,0.62,0.55,0.62,1803200,0.0,0.0
1993-09-16,0.62,0.62,0.6,0.61,248000,0.0,0.0
1993-09-17,0.61,0.64,0.61,0.63,784800,0.0,0.0
1993-09-20,0.64,0.65,0.62,0.62,484800,0.0,0.0
1993-09-21,0.62,0.62,0.6,0.61,240000,0.0,0.0
1993-09-22,0.61,0.61,0.59,0.6,152000,0.0,0.0
1993-09-23,0.6,0.6,0.58,0.59,946400,0.0,0.0
1993-09-24,0.59,0.61,0.59,0.6,480800,0.0,0.0
1993-09-27,0.6,0.62,0.6,0.62,86400,0.0,0.0
1993-09-28,0.62,0.62,0.62,0.62,98400,0.0,0.0
1993-09-29,0.67,0.67,0.66,0.67,788800,0.0,0.0
1993-09-30,0.67,0.71,0.67,0.71,1268000,0.0,0.0
1993-10-01,0.71,0.71,0.69,0.7,548800,0.0,0.0
1993-10-04,0.69,0.7,0.69,0.69,387200,0.0,0.0
1993-10-05,0.67,0.67,0.65,0.65,482400,0.0,0.0
1993-10-06,0.65,0.66,0.65,0.66,42400,0.0,0.0
1993-10-07,0.65,0.66,0.65,0.66,8000,0.0,0.0
1993-10-08,0.66,0.67,0.66,0.67,905600,0.0,0.0
1993-10-11,0.67,0.71,0.67,0.71,713600,0.0,0.0
1993-10-12,0.7,0.71,0.7,0.71,176800,0.0,0.0
1993-10-13,0.71,0.71,0.7,0.7,346400,0.0,0.0
1993-10-14,0.71,0.72,0.71,0.71,383200,0.0,0.0
1993-10-15,0.71,0.72,0.71,0.71,144000,0.0,0.0
