Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-06-18,11.46,11.79,11.46,11.73,7918300,0.0,0
1997-06-19,11.79,11.84,11.62,11.68,1472400,0.0,0
1997-06-20,11.73,11.73,11.51,11.57,1030200,0.0,0
1997-06-23,11.57,11.57,11.46,11.46,628900,0.0,0
1997-06-24,11.48,11.51,11.43,11.43,541800,0.0,0
1997-06-25,11.51,11.65,11.51,11.59,570500,0.0,0
1997-06-26,11.73,11.84,11.65,11.84,488700,0.0,0
1997-06-27,11.84,11.9,11.73,11.79,586400,0.0,0
1997-06-30,11.76,12.06,11.51,11.95,629800,0.0,0
1997-07-01,11.9,11.9,11.68,11.68,269700,0.0,0
1997-07-02,11.57,11.68,11.57,11.57,350800,0.0,0
1997-07-03,11.59,11.73,11.59,11.68,173000,0.0,0
1997-07-07,11.79,11.81,11.62,11.73,449500,0.0,0
1997-07-08,11.7,11.79,11.68,11.7,239400,0.0,0
1997-07-09,11.68,11.7,11.62,11.65,226000,0.0,0
1997-07-10,11.62,11.62,11.54,11.57,425100,0.0,0
1997-07-11,11.57,11.62,11.54,11.59,326300,0.0,0
1997-07-14,11.7,11.92,11.68,11.73,311000,0.0,0
1997-07-15,11.81,11.81,11.65,11.7,534400,0.0,0
1997-07-16,11.7,11.84,11.68,11.79,443700,0.0,0
1997-07-17,11.81,11.92,11.81,11.87,443800,0.0,0
1997-07-18,11.84,11.87,11.57,11.68,359600,0.0,0
1997-07-21,11.57,11.79,11.51,11.76,422700,0.0,0
1997-07-22,11.76,11.81,11.73,11.76,246500,0.0,0
1997-07-23,11.81,11.81,11.76,11.76,196900,0.0,0
1997-07-24,11.81,11.9,11.73,11.87,481800,0.0,0
1997-07-25,11.92,12.0,11.9,11.98,225800,0.0,0
1997-07-28,11.92,12.0,11.84,11.98,127600,0.0,0
1997-07-29,11.95,12.09,11.92,12.03,350200,0.0,0
1997-07-30,12.03,12.11,11.84,12.09,126600,0.0,0
1997-07-31,12.09,12.28,12.06,12.22,203500,0.0,0
1997-08-01,12.25,12.25,11.95,12.22,85200,0.0,0
1997-08-04,12.25,12.28,11.92,12.22,115600,0.0,0
1997-08-05,12.14,12.42,12.09,12.33,152900,0.0,0
1997-08-06,12.28,12.88,12.25,12.88,234900,0.0,0
1997-08-07,12.85,12.88,12.83,12.83,358900,0.0,0
1997-08-08,12.72,12.72,12.28,12.72,387300,0.0,0
1997-08-11,12.66,12.69,12.11,12.36,164700,0.0,0
1997-08-12,12.39,12.44,12.25,12.25,437100,0.0,0
1997-08-13,12.28,12.39,12.06,12.14,323000,0.0,0
1997-08-14,12.09,12.17,12.06,12.06,89800,0.0,0
