Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,11.22,11.29,11.22,11.29,47800,0.0,0.0
1977-01-04,11.29,11.33,11.25,11.33,34200,0.0,0.0
1977-01-05,11.33,11.33,11.22,11.25,15300,0.0,0.0
1977-01-06,11.22,11.22,11.07,11.18,39000,0.0,0.0
1977-01-07,11.18,11.22,11.07,11.22,20400,0.0,0.0
1977-01-10,11.22,11.36,11.22,11.33,42800,0.0,0.0
1977-01-11,11.33,11.4,11.33,11.36,22000,0.0,0.0
1977-01-12,11.36,11.36,11.22,11.36,34900,0.0,0.0
1977-01-13,11.36,11.51,11.36,11.43,34400,0.0,0.0
1977-01-14,11.43,11.51,11.4,11.47,20600,0.0,0.0
1977-01-17,11.33,11.33,11.14,11.22,33700,0.0,0.0
1977-01-18,11.22,11.25,11.14,11.25,34200,0.0,0.0
1977-01-19,11.25,11.29,11.18,11.29,19600,0.0,0.0
1977-01-20,11.29,11.36,11.07,11.22,79400,0.0,0.0
1977-01-21,11.22,11.25,11.11,11.22,19200,0.0,0.0
1977-01-24,11.22,11.25,11.14,11.25,24000,0.0,0.0
1977-01-25,11.25,11.36,11.25,11.33,24900,0.0,0.0
1977-01-26,11.29,11.29,11.18,11.22,22800,0.0,0.0
1977-01-27,11.22,11.25,11.11,11.25,26400,0.0,0.0
1977-01-28,11.22,11.25,11.11,11.25,26400,0.0,0.0
1977-01-31,11.22,11.22,11.11,11.14,18000,0.0,0.0
1977-02-01,11.14,11.22,11.14,11.22,20100,0.0,0.0
1977-02-02,11.22,11.25,11.14,11.14,72000,0.0,0.0
1977-02-03,11.14,11.25,11.04,11.14,186900,0.0,0.0
1977-02-04,11.14,11.25,11.11,11.18,35600,0.0,0.0
1977-02-07,11.18,11.25,11.14,11.22,20600,0.0,0.0
1977-02-08,11.22,11.29,11.18,11.25,23500,0.0,0.0
1977-02-09,11.25,11.25,11.14,11.18,17200,0.0,0.0
1977-02-10,11.18,11.33,11.18,11.33,16300,0.0,0.0
1977-02-11,11.33,11.33,11.22,11.29,24700,0.0,0.0
1977-02-14,11.29,11.29,11.22,11.25,17200,0.0,0.0
1977-02-15,11.25,11.25,11.18,11.25,16800,0.0,0.0
1977-02-16,11.25,11.29,11.18,11.25,25200,0.0,0.0
1977-02-17,11.25,11.29,11.22,11.22,22300,0.0,0.0
1977-02-18,11.22,11.33,11.18,11.33,26100,0.0,0.0
1977-02-22,11.33,11.33,11.25,11.33,17500,0.0,0.0
1977-02-23,11.33,11.36,11.29,11.36,44200,0.0,0.0
1977-02-24,11.36,11.36,11.29,11.36,80600,0.0,0.0
1977-02-25,11.33,11.33,11.25,11.25,18000,0.0,0.0
1977-02-28,11.25,11.33,11.11,11.22,35100,0.0,0.0
1977-03-01,11.22,11.33,11.14,11.25,47100,0.0,0.0
1977-03-02,11.25,11.36,11.25,11.36,36300,0.0,0.0
1977-03-03,11.36,11.36,11.29,11.36,68400,0.0,0.0
1977-03-04,11.36,11.43,11.33,11.43,43500,0.0,0.0
1977-03-07,11.43,11.47,11.36,11.43,21100,0.0,0.0
1977-03-08,11.43,11.51,11.36,11.36,43500,0.0,0.0
1977-03-09,11.36,11.36,11.29,11.33,21600,0.0,0.0
1977-03-10,11.33,11.36,11.22,11.29,25400,0.0,0.0
1977-03-11,11.29,11.36,11.29,11.33,24700,0.0,0.0
1977-03-14,11.33,11.4,11.29,11.4,28800,0.0,0.0
1977-03-15,11.43,11.54,11.43,11.47,103500,0.0,0.0
1977-03-16,11.47,11.61,11.47,11.54,85900,0.0,0.0
1977-03-17,11.54,11.58,11.43,11.51,40900,0.0,0.0
1977-03-18,11.51,11.54,11.47,11.47,22500,0.0,0.0
1977-03-21,11.47,11.58,11.47,11.51,31800,0.0,0.0
1977-03-22,11.51,11.51,11.4,11.43,33200,0.0,0.0
1977-03-23,11.43,11.51,11.43,11.47,29200,0.0,0.0
1977-03-24,11.47,11.47,11.43,11.47,31000,0.0,0.0
1977-03-25,11.47,11.47,11.29,11.36,20400,0.0,0.0
1977-03-28,11.33,11.33,11.22,11.33,33700,0.0,0.0
1977-03-29,11.33,11.36,11.29,11.36,13600,0.0,0.0
1977-03-30,11.36,11.36,11.33,11.33,15800,0.0,0.0
1977-03-31,11.33,11.4,11.33,11.33,44000,0.0,0.0
1977-04-01,11.33,11.43,11.33,11.4,31500,0.0,0.0
1977-04-04,11.4,11.43,11.33,11.36,17700,0.0,0.0
1977-04-05,11.36,11.4,11.22,11.36,37500,0.0,0.0
1977-04-06,11.36,11.47,11.36,11.4,21300,0.0,0.0
