Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-09-07,0.86,0.86,0.85,0.85,118400,0.0,0.0
1984-09-10,0.85,0.85,0.84,0.85,254400,0.0,0.0
1984-09-11,0.86,0.87,0.86,0.86,747200,0.0,0.0
1984-09-12,0.86,0.88,0.85,0.87,1231200,0.0,0.0
1984-09-13,0.88,0.88,0.87,0.88,188000,0.0,0.0
1984-09-14,0.89,0.9,0.89,0.9,1092000,0.0,0.0
1984-09-17,0.91,0.91,0.9,0.91,1891200,0.0,0.0
1984-09-18,0.91,0.91,0.9,0.9,1260800,0.04583,0.0
1984-09-19,0.9,0.9,0.89,0.89,1030400,0.0,0.0
1984-09-20,0.89,0.9,0.89,0.9,144800,0.0,0.0
1984-09-21,0.9,0.9,0.89,0.89,518400,0.0,0.0
1984-09-24,0.89,0.89,0.88,0.88,663200,0.0,0.0
1984-09-25,0.89,0.89,0.87,0.88,147200,0.0,0.0
1984-09-26,0.88,0.89,0.87,0.88,240800,0.0,0.0
1984-09-27,0.88,0.88,0.88,0.88,120800,0.0,0.0
1984-09-28,0.88,0.88,0.87,0.87,208800,0.0,0.0
1984-10-01,0.87,0.87,0.85,0.85,796800,0.0,0.0
1984-10-02,0.85,0.85,0.83,0.85,1241600,0.0,0.0
1984-10-03,0.85,0.85,0.85,0.85,499200,0.0,0.0
1984-10-04,0.85,0.87,0.85,0.87,552800,0.0,0.0
1984-10-05,0.87,0.88,0.87,0.88,828800,0.0,0.0
1984-10-08,0.88,0.89,0.88,0.89,350400,0.0,0.0
1984-10-09,0.89,0.9,0.89,0.89,975200,0.0,0.0
1984-10-10,0.89,0.9,0.89,0.9,372800,0.0,0.0
1984-10-11,0.91,0.92,0.91,0.91,903200,0.0,0.0
1984-10-12,0.91,0.92,0.91,0.92,620000,0.0,0.0
1984-10-15,0.92,0.93,0.91,0.92,324800,0.0,0.0
1984-10-16,0.92,0.93,0.92,0.93,800000,0.0,0.0
1984-10-17,0.93,0.93,0.92,0.92,300800,0.0,0.0
1984-10-18,0.92,0.94,0.92,0.94,1124000,0.0,0.0
1984-10-19,0.95,0.98,0.95,0.95,2177600,0.0,0.0
1984-10-22,0.93,0.93,0.9,0.92,1527200,0.0,0.0
1984-10-23,0.92,0.93,0.88,0.89,6003200,0.0,0.0
1984-10-24,0.88,0.88,0.87,0.88,1577600,0.0,0.0
1984-10-25,0.88,0.88,0.87,0.87,2444000,0.0,0.0
1984-10-26,0.87,0.87,0.87,0.87,1730400,0.0,0.0
1984-10-29,0.87,0.87,0.87,0.87,1294400,0.0,0.0
1984-10-30,0.87,0.89,0.87,0.88,3240800,0.0,0.0
1984-10-31,0.88,0.89,0.88,0.88,713600,0.0,0.0
1984-11-01,0.88,0.88,0.87,0.87,476000,0.0,0.0
1984-11-02,0.87,0.88,0.86,0.86,1944800,0.0,0.0
1984-11-05,0.86,0.87,0.86,0.86,1296800,0.0,0.0
1984-11-06,0.87,0.89,0.87,0.89,792000,0.0,0.0
1984-11-07,0.89,0.9,0.89,0.89,5667200,0.0,0.0
1984-11-08,0.89,0.89,0.88,0.89,1802400,0.0,0.0
1984-11-09,0.89,0.89,0.89,0.89,2907200,0.0,0.0
1984-11-12,0.89,0.9,0.89,0.89,1001600,0.0,0.0
1984-11-13,0.89,0.89,0.89,0.89,257600,0.0,0.0
1984-11-14,0.89,0.9,0.89,0.9,2789600,0.0,0.0
1984-11-15,0.89,0.89,0.89,0.89,1570400,0.0,0.0
1984-11-16,0.89,0.89,0.88,0.88,1088000,0.0,0.0
1984-11-19,0.88,0.88,0.86,0.87,428000,0.0,0.0
1984-11-20,0.87,0.88,0.87,0.88,669600,0.0,0.0
1984-11-21,0.88,0.89,0.88,0.88,382400,0.0,0.0
1984-11-23,0.88,0.91,0.88,0.91,322400,0.0,0.0
1984-11-26,0.91,0.92,0.91,0.91,1167200,0.0,0.0
1984-11-27,0.91,0.91,0.9,0.9,405600,0.0,0.0
1984-11-28,0.9,0.91,0.89,0.89,608000,0.0,0.0
1984-11-29,0.89,0.89,0.89,0.89,571200,0.0,0.0
1984-11-30,0.89,0.89,0.87,0.88,2242400,0.0,0.0
1984-12-03,0.88,0.88,0.87,0.87,879200,0.0,0.0
1984-12-04,0.87,0.88,0.87,0.88,368000,0.0,0.0
1984-12-05,0.88,0.88,0.87,0.87,595200,0.0,0.0
1984-12-06,0.87,0.87,0.87,0.87,391200,0.0,0.0
1984-12-07,0.87,0.87,0.85,0.85,879200,0.0,0.0
1984-12-10,0.85,0.86,0.85,0.86,369600,0.0,0.0
1984-12-11,0.86,0.87,0.85,0.86,1697600,0.0,0.0
1984-12-12,0.86,0.86,0.85,0.86,1138400,0.0,0.0
1984-12-13,0.86,0.88,0.86,0.87,1263200,0.0,0.0
1984-12-14,0.87,0.89,0.87,0.89,537600,0.0,0.0
1984-12-17,0.89,0.89,0.89,0.89,641600,0.0,0.0
1984-12-18,0.9,0.92,0.9,0.92,1771200,0.0,0.0
1984-12-19,0.93,0.95,0.93,0.93,3152000,0.0,0.0
1984-12-20,0.93,0.93,0.92,0.93,1400000,0.0,0.0
1984-12-21,0.93,0.93,0.92,0.93,953600,0.0,0.0
1984-12-24,0.93,0.95,0.93,0.95,520800,0.0,0.0
1984-12-26,0.95,0.96,0.94,0.95,520800,0.0,0.0
1984-12-27,0.94,0.94,0.93,0.93,568800,0.0,0.0
1984-12-28,0.93,0.95,0.93,0.95,309600,0.0,0.0
1984-12-31,0.95,0.98,0.95,0.98,585600,0.0,0.0
1985-01-02,0.97,0.97,0.96,0.96,487200,0.0,0.0
1985-01-03,0.96,0.96,0.95,0.95,518400,0.0,0.0
1985-01-04,0.95,0.95,0.94,0.95,1140800,0.0,0.0
1985-01-07,0.95,0.96,0.95,0.96,501600,0.0,0.0
1985-01-08,0.96,0.96,0.95,0.95,1992800,0.0,0.0
1985-01-09,0.95,0.95,0.94,0.94,542400,0.0,0.0
1985-01-10,0.94,0.94,0.92,0.94,4253600,0.0,0.0
1985-01-11,0.94,0.95,0.94,0.95,1169600,0.0,0.0
1985-01-14,0.95,0.95,0.93,0.95,1786400,0.0,0.0
1985-01-15,0.95,0.95,0.94,0.94,2609600,0.0,0.0
1985-01-16,0.94,0.95,0.94,0.95,1912800,0.0,0.0
1985-01-17,0.95,0.95,0.94,0.94,934400,0.0,0.0
1985-01-18,0.94,0.94,0.94,0.94,284000,0.0,0.0
1985-01-21,0.94,0.96,0.94,0.96,542400,0.0,0.0
1985-01-22,0.97,0.98,0.97,0.98,1102400,0.0,0.0
1985-01-23,0.98,0.98,0.97,0.97,2102400,0.0,0.0
1985-01-24,0.97,0.98,0.97,0.98,148800,0.0,0.0
1985-01-25,0.98,0.98,0.97,0.98,312800,0.0,0.0
1985-01-28,0.98,0.99,0.98,0.98,874400,0.0,0.0
1985-01-29,0.98,0.98,0.97,0.97,141600,0.0,0.0
1985-01-30,0.98,1.04,0.98,1.04,896000,0.0,0.0
1985-01-31,1.04,1.05,1.02,1.05,1397600,0.0,0.0
1985-02-01,1.05,1.08,1.05,1.08,1692000,0.0,0.0
1985-02-04,1.08,1.11,1.07,1.11,1752000,0.0,0.0
1985-02-05,1.12,1.16,1.12,1.14,984800,0.0,0.0
1985-02-06,1.14,1.14,1.14,1.14,1131200,0.0,0.0
1985-02-07,1.14,1.14,1.14,1.14,718400,0.0,0.0
1985-02-08,1.14,1.14,1.11,1.11,689600,0.0,0.0
1985-02-11,1.11,1.11,1.11,1.11,293600,0.0,0.0
1985-02-12,1.11,1.11,1.1,1.1,598400,0.0,0.0
1985-02-13,1.1,1.1,1.1,1.1,214400,0.0,0.0
1985-02-14,1.1,1.11,1.1,1.11,1558400,0.0,0.0
1985-02-15,1.13,1.15,1.13,1.15,2688800,0.0,0.0
1985-02-19,1.15,1.15,1.14,1.15,329600,0.0,0.0
1985-02-20,1.14,1.14,1.13,1.14,199200,0.0,0.0
1985-02-21,1.14,1.14,1.09,1.09,235200,0.0,0.0
1985-02-22,1.09,1.11,1.09,1.1,267200,0.0,0.0
1985-02-25,1.09,1.09,1.07,1.09,410400,0.0,0.0
1985-02-26,1.09,1.11,1.09,1.11,586400,0.0,0.0
1985-02-27,1.12,1.13,1.12,1.12,640800,0.0,0.0
1985-02-28,1.12,1.12,1.12,1.12,317600,0.0,0.0
1985-03-01,1.12,1.14,1.12,1.13,724800,0.0,0.0
1985-03-04,1.13,1.14,1.11,1.11,860000,0.0,0.0
1985-03-05,1.11,1.12,1.1,1.11,393600,0.0,0.0
1985-03-06,1.11,1.11,1.1,1.1,72000,0.0,0.0
1985-03-07,1.09,1.09,1.08,1.09,117600,0.0,0.0
1985-03-08,1.09,1.1,1.09,1.09,619200,0.0,0.0
1985-03-11,1.09,1.09,1.08,1.09,804800,0.0,0.0
1985-03-12,1.09,1.09,1.08,1.09,677600,0.0,0.0
1985-03-13,1.08,1.08,1.07,1.08,388800,0.0,0.0
1985-03-14,1.08,1.08,1.08,1.08,226400,0.0,0.0
1985-03-15,1.08,1.09,1.07,1.07,872000,0.0,0.0
1985-03-18,1.06,1.06,1.04,1.05,504800,0.0,0.0
1985-03-19,1.05,1.08,1.05,1.08,224000,0.0,0.0
1985-03-20,1.08,1.09,1.07,1.09,206400,0.0,0.0
1985-03-21,1.09,1.1,1.09,1.09,185600,0.0,0.0
1985-03-22,1.08,1.08,1.07,1.07,141600,0.0,0.0
1985-03-25,1.07,1.07,1.06,1.06,127200,0.0,0.0
1985-03-26,1.06,1.06,1.05,1.05,156000,0.0,0.0
1985-03-27,1.05,1.06,1.05,1.05,2378400,0.0,0.0
1985-03-28,1.06,1.07,1.06,1.06,2007200,0.0,0.0
1985-03-29,1.06,1.06,1.05,1.06,470400,0.0,0.0
1985-04-01,1.06,1.07,1.06,1.07,547200,0.0,0.0
1985-04-02,1.08,1.09,1.08,1.08,9086400,0.0,0.0
1985-04-03,1.08,1.08,1.08,1.08,600800,0.0,0.0
1985-04-04,1.08,1.08,1.07,1.08,922400,0.0,0.0
1985-04-08,1.08,1.08,1.07,1.07,340800,0.0,0.0
1985-04-09,1.07,1.07,1.06,1.06,2163200,0.0,0.0
1985-04-10,1.06,1.08,1.06,1.08,1356800,0.0,0.0
1985-04-11,1.09,1.11,1.09,1.1,1088000,0.0,0.0
1985-04-12,1.1,1.1,1.1,1.1,939200,0.0,0.0
1985-04-15,1.1,1.1,1.1,1.1,380000,0.0,0.0
1985-04-16,1.1,1.1,1.09,1.09,437600,0.0,0.0
1985-04-17,1.09,1.1,1.09,1.1,708800,0.0,0.0
1985-04-18,1.1,1.1,1.09,1.1,548000,0.0,0.0
1985-04-19,1.09,1.09,1.08,1.09,304800,0.0,0.0
1985-04-22,1.09,1.09,1.08,1.09,783200,0.0,0.0
1985-04-23,1.1,1.16,1.1,1.16,2198400,0.0,0.0
1985-04-24,1.2,1.24,1.2,1.24,2596800,0.0,0.0
1985-04-25,1.24,1.26,1.24,1.26,1392800,0.0,0.0
1985-04-26,1.24,1.24,1.22,1.22,716000,0.0,0.0
1985-04-29,1.22,1.22,1.2,1.21,266400,0.0,0.0
1985-04-30,1.22,1.23,1.22,1.23,927200,0.0,0.0
1985-05-01,1.23,1.23,1.22,1.22,545600,0.0,0.0
1985-05-02,1.22,1.24,1.22,1.24,664800,0.0,0.0
1985-05-03,1.24,1.3,1.23,1.29,560000,0.0,0.0
1985-05-06,1.28,1.28,1.26,1.27,267200,0.0,0.0
1985-05-07,1.27,1.28,1.26,1.27,674400,0.0,0.0
1985-05-08,1.27,1.28,1.27,1.28,604800,0.0,0.0
1985-05-09,1.29,1.3,1.29,1.29,886400,0.0,0.0
1985-05-10,1.3,1.32,1.3,1.31,571200,0.0,0.0
1985-05-13,1.31,1.32,1.31,1.31,220800,0.0,0.0
1985-05-14,1.31,1.31,1.3,1.31,237600,0.0,0.0
1985-05-15,1.31,1.31,1.3,1.3,403200,0.0,0.0
1985-05-16,1.3,1.3,1.29,1.3,125600,0.0,0.0
1985-05-17,1.29,1.29,1.28,1.29,1347200,0.0,0.0
1985-05-20,1.29,1.29,1.28,1.29,524000,0.0,0.0
1985-05-21,1.28,1.28,1.27,1.28,284000,0.0,0.0
1985-05-22,1.28,1.28,1.27,1.27,619200,0.0,0.0
1985-05-23,1.27,1.28,1.26,1.27,956000,0.0,0.0
1985-05-24,1.27,1.28,1.27,1.28,156800,0.0,0.0
1985-05-28,1.28,1.28,1.27,1.28,566400,0.0,0.0
1985-05-29,1.28,1.3,1.28,1.3,252000,0.0,0.0
1985-05-30,1.3,1.32,1.3,1.32,200000,0.0,0.0
1985-05-31,1.32,1.36,1.31,1.36,425600,0.0,0.0
1985-06-03,1.36,1.38,1.36,1.38,547200,0.0,0.0
1985-06-04,1.38,1.38,1.37,1.37,792000,0.0,0.0
1985-06-05,1.37,1.37,1.34,1.35,1121600,0.0,0.0
1985-06-06,1.35,1.36,1.35,1.36,509600,0.0,0.0
1985-06-07,1.36,1.37,1.36,1.36,504000,0.0,0.0
1985-06-10,1.36,1.36,1.34,1.34,74400,0.0,0.0
1985-06-11,1.35,1.37,1.35,1.35,424800,0.0,0.0
1985-06-12,1.35,1.35,1.34,1.35,156800,0.0,0.0
1985-06-13,1.35,1.35,1.33,1.33,250400,0.0,0.0
1985-06-14,1.32,1.32,1.31,1.31,413600,0.0,0.0
1985-06-17,1.3,1.3,1.3,1.3,156800,0.0,0.0
1985-06-18,1.3,1.31,1.3,1.3,115200,0.0,0.0
1985-06-19,1.3,1.3,1.3,1.3,151200,0.0,0.0
1985-06-20,1.3,1.31,1.3,1.31,244800,0.0,0.0
1985-06-21,1.32,1.39,1.32,1.39,989600,0.0,0.0
1985-06-24,1.37,1.37,1.36,1.36,286400,0.0,0.0
1985-06-25,1.36,1.37,1.36,1.37,550400,0.0,0.0
1985-06-26,1.37,1.37,1.36,1.36,416000,0.0,0.0
1985-06-27,1.36,1.36,1.36,1.36,233600,0.0,0.0
1985-06-28,1.37,1.38,1.37,1.38,585600,0.0,0.0
1985-07-01,1.37,1.38,1.37,1.37,273600,0.0,0.0
1985-07-02,1.37,1.38,1.37,1.37,187200,0.0,0.0
1985-07-03,1.37,1.38,1.35,1.35,178400,0.0,0.0
1985-07-05,1.35,1.36,1.35,1.36,219200,0.0,0.0
1985-07-08,1.36,1.36,1.35,1.36,142400,0.0,0.0
1985-07-09,1.36,1.36,1.35,1.35,321600,0.0,0.0
1985-07-10,1.35,1.35,1.33,1.34,166400,0.0,0.0
1985-07-11,1.34,1.36,1.34,1.36,1424000,0.0,0.0
1985-07-12,1.36,1.39,1.36,1.37,749600,0.0,0.0
1985-07-15,1.37,1.4,1.37,1.39,268800,0.0,0.0
1985-07-16,1.39,1.41,1.39,1.41,895200,0.0,0.0
1985-07-17,1.41,1.43,1.4,1.4,566400,0.0,0.0
1985-07-18,1.4,1.4,1.37,1.37,423200,0.0,0.0
1985-07-19,1.36,1.36,1.33,1.34,364800,0.0,0.0
1985-07-22,1.34,1.34,1.32,1.33,619200,0.0,0.0
1985-07-23,1.33,1.33,1.3,1.31,405600,0.0,0.0
1985-07-24,1.3,1.3,1.26,1.27,482400,0.0,0.0
1985-07-25,1.27,1.27,1.24,1.24,1699200,0.0,0.0
1985-07-26,1.24,1.27,1.24,1.27,898400,0.0,0.0
1985-07-29,1.27,1.27,1.26,1.26,180800,0.0,0.0
1985-07-30,1.26,1.28,1.26,1.28,1162400,0.0,0.0
1985-07-31,1.28,1.3,1.27,1.3,3218400,0.0,0.0
1985-08-01,1.33,1.34,1.33,1.33,1567200,0.0,0.0
1985-08-02,1.33,1.34,1.33,1.33,668000,0.0,0.0
1985-08-05,1.33,1.33,1.32,1.32,224000,0.0,0.0
1985-08-06,1.32,1.32,1.3,1.31,408000,0.0,0.0
1985-08-07,1.31,1.31,1.27,1.27,439200,0.0,0.0
1985-08-08,1.27,1.3,1.27,1.3,876000,0.0,0.0
1985-08-09,1.3,1.3,1.29,1.3,430400,0.0,0.0
1985-08-12,1.3,1.3,1.29,1.29,327200,0.0,0.0
1985-08-13,1.29,1.3,1.28,1.29,132800,0.0,0.0
1985-08-14,1.29,1.31,1.29,1.3,380000,0.0,0.0
1985-08-15,1.3,1.31,1.3,1.3,224000,0.0,0.0
1985-08-16,1.3,1.31,1.29,1.29,998400,0.0,0.0
1985-08-19,1.29,1.3,1.29,1.3,204000,0.0,0.0
1985-08-20,1.3,1.31,1.3,1.3,1997600,0.0,0.0
1985-08-21,1.3,1.31,1.3,1.31,308000,0.0,0.0
1985-08-22,1.31,1.31,1.3,1.3,236000,0.0,0.0
1985-08-23,1.3,1.3,1.3,1.3,63200,0.0,0.0
1985-08-26,1.3,1.31,1.3,1.31,156000,0.0,0.0
1985-08-27,1.31,1.33,1.31,1.32,99200,0.0,0.0
1985-08-28,1.32,1.33,1.32,1.33,86400,0.0,0.0
1985-08-29,1.33,1.36,1.33,1.36,324000,0.0,0.0
1985-08-30,1.36,1.37,1.34,1.35,391200,0.0,0.0
1985-09-03,1.35,1.36,1.35,1.35,341600,0.0,0.0
1985-09-04,1.35,1.35,1.34,1.34,1371200,0.0,0.0
1985-09-05,1.34,1.34,1.34,1.34,1327200,0.0,0.0
1985-09-06,1.34,1.35,1.33,1.35,670400,0.0,0.0
1985-09-09,1.35,1.35,1.32,1.34,336800,0.0,0.0
1985-09-10,1.33,1.33,1.32,1.32,408000,0.0,0.0
1985-09-11,1.32,1.32,1.29,1.3,708800,0.0,0.0
1985-09-12,1.3,1.31,1.3,1.3,1761600,0.0,0.0
1985-09-13,1.3,1.3,1.28,1.3,2632800,0.0,0.0
1985-09-16,1.3,1.3,1.3,1.3,135200,0.0,0.0
1985-09-17,1.31,1.31,1.3,1.31,394400,0.04875,0.0
1985-09-18,1.31,1.31,1.3,1.31,1803200,0.0,0.0
