Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-08-18,10.35,10.56,10.35,10.46,5783000,0.0,0
1998-08-19,10.46,10.66,10.46,10.46,388700,0.0,0
1998-08-20,10.56,10.66,10.46,10.46,348500,0.0,0
1998-08-21,10.46,10.46,10.46,10.46,804000,0.0,0
1998-08-24,10.46,10.46,10.46,10.46,119700,0.0,0
1998-08-25,10.46,10.46,10.35,10.46,294100,0.0,0
1998-08-26,10.46,10.46,9.75,9.85,383800,0.0,0
1998-08-27,9.85,9.95,8.65,8.95,435300,0.0,0
1998-08-28,9.15,9.15,8.04,8.04,192400,0.0,0
1998-08-31,8.04,8.14,6.13,6.53,150800,0.0,0
1998-09-01,6.63,7.24,5.38,6.84,440700,0.0,0
1998-09-02,6.84,8.44,6.84,7.69,509200,0.0,0
1998-09-03,7.84,7.84,6.84,7.04,165900,0.0,0
1998-09-04,7.24,7.24,6.53,6.74,155700,0.0,0
1998-09-08,7.24,8.04,7.04,7.94,149300,0.0,0
1998-09-09,7.94,8.04,7.64,7.64,116900,0.0,0
1998-09-10,7.54,7.54,7.24,7.44,80700,0.0,0
1998-09-11,7.49,7.54,7.24,7.24,84800,0.0,0
1998-09-14,7.44,7.74,7.24,7.24,90800,0.0,0
1998-09-15,7.34,7.44,6.94,7.04,200400,0.0,0
1998-09-16,7.04,7.04,6.23,6.33,221300,0.0,0
1998-09-17,6.33,6.94,6.33,6.66,87300,0.0,0
1998-09-18,6.74,6.99,6.23,6.63,147300,0.0,0
1998-09-21,6.33,6.43,5.53,5.63,472900,0.0,0
1998-09-22,5.73,6.53,5.68,6.43,728300,0.0,0
1998-09-23,6.63,6.94,6.43,6.74,382500,0.0,0
1998-09-24,6.84,7.54,6.84,7.29,280800,0.0,0
1998-09-25,7.04,7.59,7.04,7.54,44400,0.0,0
1998-09-28,7.64,7.94,7.54,7.54,26500,0.0,0
1998-09-29,7.64,7.84,7.44,7.67,88300,0.0,0
1998-09-30,7.64,8.09,7.54,7.74,172300,0.0,0
1998-10-01,7.74,7.74,7.14,7.14,85500,0.0,0
1998-10-02,7.14,7.44,7.14,7.14,58700,0.0,0
1998-10-05,7.04,7.14,6.43,6.43,63000,0.0,0
1998-10-06,7.24,7.34,6.43,6.74,129500,0.0,0
1998-10-07,6.74,6.94,6.28,6.28,340400,0.0,0
1998-10-08,6.23,6.28,4.83,5.08,346800,0.0,0
1998-10-09,5.63,5.73,4.93,5.03,271500,0.0,0
1998-10-12,5.23,5.23,4.83,5.03,660400,0.0,0
1998-10-13,5.03,6.03,5.03,5.63,228600,0.0,0
1998-10-14,5.53,6.13,5.53,6.13,46400,0.0,0
1998-10-15,6.03,6.13,5.93,6.08,44100,0.0,0
1998-10-16,6.28,6.74,6.03,6.33,421600,0.0,0
1998-10-19,6.53,6.89,6.43,6.89,50600,0.0,0
1998-10-20,6.94,7.64,6.84,7.54,354800,0.0,0
1998-10-21,7.59,8.34,7.59,8.04,156000,0.0,0
1998-10-22,8.14,9.25,8.04,9.2,134600,0.0,0
1998-10-23,9.35,10.56,9.15,10.46,411400,0.0,0
1998-10-26,10.46,10.46,10.15,10.25,125500,0.0,0
1998-10-27,10.35,10.76,9.95,10.0,417500,0.0,0
1998-10-28,9.95,10.25,9.85,10.25,53000,0.0,0
1998-10-29,10.15,10.51,9.45,9.65,280000,0.0,0
1998-10-30,9.65,10.35,9.55,10.35,198600,0.0,0
1998-11-02,10.4,10.71,10.15,10.35,105900,0.0,0
1998-11-03,10.3,10.35,10.15,10.25,24900,0.0,0
1998-11-04,10.35,10.35,9.85,10.05,105800,0.0,0
1998-11-05,10.05,10.66,9.9,10.66,81800,0.0,0
1998-11-06,10.66,10.71,10.35,10.66,55600,0.0,0
1998-11-09,10.35,10.71,10.25,10.66,84200,0.0,0
1998-11-10,10.66,10.71,10.35,10.46,22600,0.0,0
1998-11-11,10.35,10.56,10.15,10.25,22200,0.0,0
1998-11-12,10.25,10.25,9.85,10.05,23700,0.0,0
1998-11-13,10.1,10.1,8.44,9.5,96600,0.0,0
1998-11-16,9.4,9.85,9.05,9.25,70500,0.0,0
1998-11-17,9.45,9.65,8.95,9.45,188500,0.0,0
1998-11-18,9.25,9.65,9.25,9.6,22500,0.0,0
1998-11-19,9.65,9.65,8.65,8.75,41700,0.0,0
1998-11-20,8.85,8.85,7.94,8.55,148500,0.0,0
1998-11-23,8.65,10.05,8.65,9.35,151200,0.0,0
1998-11-24,9.2,9.2,9.0,9.1,33400,0.0,0
1998-11-25,9.15,10.15,9.0,9.65,66200,0.0,0
1998-11-27,9.55,10.66,9.55,10.4,203200,0.0,0
1998-11-30,10.66,10.96,10.35,10.81,265900,0.0,0
1998-12-01,10.66,10.86,10.15,10.71,73100,0.0,0
1998-12-02,10.56,11.06,10.4,10.71,142400,0.0,0
1998-12-03,10.86,10.96,10.66,10.96,100000,0.0,0
1998-12-04,11.56,13.37,11.21,13.17,377200,0.0,0
1998-12-07,13.27,13.47,12.47,12.62,193400,0.0,0
1998-12-08,12.77,12.82,11.96,12.21,140300,0.0,0
1998-12-09,11.86,15.58,11.86,14.17,412500,0.0,0
1998-12-10,14.28,14.38,13.37,13.62,200200,0.0,0
1998-12-11,13.27,13.37,12.16,12.82,227800,0.0,0
1998-12-14,12.87,13.07,12.26,12.26,84400,0.0,0
1998-12-15,12.97,13.17,12.06,12.84,276900,0.0,0
1998-12-16,12.82,13.67,12.67,13.57,226900,0.0,0
1998-12-17,13.77,13.87,13.47,13.72,222700,0.0,0
1998-12-18,13.87,13.87,13.57,13.67,47500,0.0,0
1998-12-21,13.77,15.28,13.57,14.88,145100,0.0,0
1998-12-22,15.13,15.13,14.28,14.4,652100,0.0,0
1998-12-23,14.78,15.08,14.28,14.88,340000,0.0,0
1998-12-24,14.78,15.08,14.38,14.48,27100,0.0,0
1998-12-28,14.63,16.08,14.38,16.08,139100,0.0,0
1998-12-29,16.19,16.79,14.88,16.79,103600,0.0,0
1998-12-30,16.59,17.09,16.29,16.79,28700,0.0,0
1998-12-31,16.94,18.9,16.79,18.9,96100,0.0,0
1999-01-04,18.5,18.9,16.08,16.94,199200,0.0,0
1999-01-05,16.54,16.64,15.93,16.03,116900,0.0,0
1999-01-06,15.98,17.69,15.98,16.69,160300,0.0,0
1999-01-07,16.89,18.7,16.29,18.1,211200,0.0,0
1999-01-08,18.7,18.9,17.99,18.02,94600,0.0,0
1999-01-11,18.1,18.1,17.49,17.59,37200,0.0,0
1999-01-12,17.74,17.74,16.29,16.89,79800,0.0,0
1999-01-13,15.88,16.79,15.48,16.29,113400,0.0,0
1999-01-14,16.49,17.09,16.29,16.84,212300,0.0,0
1999-01-15,16.59,17.49,16.59,17.49,42700,0.0,0
1999-01-19,17.49,18.4,16.99,17.79,178900,0.0,0
1999-01-20,17.89,18.45,17.89,18.3,104800,0.0,0
1999-01-21,18.05,18.1,17.29,17.29,128100,0.0,0
1999-01-22,16.99,17.09,15.98,16.08,72800,0.0,0
1999-01-25,16.08,17.39,15.68,17.39,70400,0.0,0
1999-01-26,17.59,18.3,16.89,17.29,123800,0.0,0
1999-01-27,17.49,17.89,16.69,17.34,15000,0.0,0
1999-01-28,17.39,17.69,16.89,17.19,31000,0.0,0
1999-01-29,17.39,17.49,17.19,17.39,51900,0.0,0
1999-02-01,17.39,17.49,17.19,17.34,73100,0.0,0
1999-02-02,17.34,17.69,17.34,17.59,13300,0.0,0
1999-02-03,17.89,17.89,17.29,17.39,9800,0.0,0
1999-02-04,17.19,17.49,17.19,17.49,28800,0.0,0
1999-02-05,17.49,17.69,17.19,17.49,25400,0.0,0
1999-02-08,17.59,18.6,17.09,17.49,193600,0.0,0
1999-02-09,17.29,17.49,16.89,16.99,23800,0.0,0
1999-02-10,16.99,17.29,16.69,16.89,5400,0.0,0
1999-02-11,17.19,17.29,15.68,15.83,96500,0.0,0
1999-02-12,15.83,15.83,14.58,15.08,85500,0.0,0
1999-02-16,15.58,15.58,14.48,15.28,78800,0.0,0
1999-02-17,15.38,15.38,14.07,14.78,28400,0.0,0
