Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-07-28,0.0,0.48,0.48,0.48,7893600,0,0.0
1987-07-29,0.0,0.49,0.48,0.48,2196000,0,0.0
1987-07-30,0.0,0.49,0.48,0.48,1936800,0,0.0
1987-07-31,0.0,0.51,0.51,0.51,1514400,0,0.0
1987-08-03,0.0,0.56,0.54,0.54,1888800,0,0.0
1987-08-04,0.0,0.62,0.61,0.61,5001600,0,0.0
1987-08-05,0.0,0.68,0.67,0.67,3206400,0,0.0
1987-08-06,0.0,0.67,0.65,0.65,1728000,0,0.0
1987-08-07,0.0,0.67,0.66,0.66,1228800,0,0.0
1987-08-10,0.0,0.65,0.64,0.64,912000,0,0.0
1987-08-11,0.0,0.61,0.61,0.61,1132800,0,0.0
1987-08-12,0.0,0.61,0.61,0.61,518400,0,0.0
1987-08-13,0.0,0.64,0.62,0.62,688800,0,0.0
1987-08-14,0.0,0.67,0.66,0.66,1096800,0,0.0
1987-08-17,0.0,0.67,0.66,0.66,273600,0,0.0
1987-08-18,0.0,0.67,0.66,0.66,372000,0,0.0
1987-08-19,0.0,0.67,0.66,0.66,369600,0,0.0
1987-08-20,0.0,0.66,0.66,0.66,676800,0,0.0
1987-08-21,0.0,0.65,0.65,0.65,684000,0,0.0
1987-08-24,0.0,0.66,0.65,0.65,528000,0,0.0
1987-08-25,0.0,0.67,0.66,0.66,1173600,0,0.0
1987-08-26,0.0,0.7,0.69,0.69,842400,0,0.0
1987-08-27,0.0,0.74,0.73,0.73,1005600,0,0.0
1987-08-28,0.0,0.8,0.79,0.79,1735200,0,0.0
1987-08-31,0.0,0.8,0.79,0.79,842400,0,0.0
1987-09-01,0.0,0.83,0.79,0.81,924000,0,0.0
1987-09-02,0.0,0.82,0.8,0.82,739200,0,0.0
1987-09-03,0.0,0.84,0.81,0.84,703200,0,0.0
1987-09-04,0.0,0.84,0.81,0.83,878400,0,0.0
1987-09-08,0.0,0.83,0.78,0.79,736800,0,0.0
1987-09-09,0.0,0.8,0.77,0.77,499200,0,0.0
1987-09-10,0.0,0.8,0.74,0.76,1099200,0,0.0
1987-09-11,0.0,0.76,0.73,0.76,794400,0,0.0
1987-09-14,0.0,0.82,0.76,0.8,775200,0,0.0
1987-09-15,0.0,0.82,0.8,0.81,350400,0,0.0
1987-09-16,0.0,0.9,0.81,0.89,1603200,0,0.0
1987-09-17,0.0,0.94,0.88,0.94,1075200,0,0.0
1987-09-18,0.0,0.96,0.94,0.96,780000,0,0.0
1987-09-21,0.0,0.96,0.91,0.93,900000,0,0.0
1987-09-22,0.0,0.95,0.92,0.95,811200,0,0.0
1987-09-23,0.0,0.95,0.92,0.92,561600,0,0.0
1987-09-24,0.0,0.92,0.91,0.92,64800,0,0.0
1987-09-25,0.0,0.92,0.85,0.89,660000,0,0.0
1987-09-28,0.0,0.89,0.87,0.88,410400,0,0.0
1987-09-29,0.0,0.88,0.86,0.86,206400,0,0.0
1987-09-30,0.0,0.88,0.85,0.85,400800,0,0.0
1987-10-01,0.0,0.89,0.84,0.88,1298400,0,0.0
1987-10-02,0.0,0.89,0.88,0.88,357600,0,0.0
1987-10-05,0.0,0.94,0.88,0.94,1735200,0,0.0
1987-10-06,0.0,0.95,0.93,0.94,256800,0,0.0
1987-10-07,0.0,0.95,0.93,0.94,451200,0,0.0
1987-10-08,0.0,0.95,0.93,0.93,842400,0,0.0
1987-10-09,0.0,0.92,0.91,0.91,211200,0,0.0
1987-10-12,0.0,0.91,0.89,0.91,132000,0,0.0
1987-10-13,0.0,0.91,0.9,0.91,50400,0,0.0
1987-10-14,0.0,0.91,0.9,0.9,304800,0,0.0
1987-10-15,0.0,0.89,0.85,0.85,321600,0,0.0
