Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-08-11,1.88,1.92,1.86,1.88,76671500,0.0,0.0
2005-08-12,1.88,2.09,1.88,2.08,29113500,0.0,0.0
2005-08-15,2.06,2.07,2.0,2.01,10596500,0.0,0.0
2005-08-16,1.96,2.01,1.96,1.99,5141000,0.0,0.0
2005-08-17,1.99,1.99,1.95,1.95,6423500,0.0,0.0
2005-08-18,1.97,1.97,1.88,1.9,12727000,0.0,0.0
2005-08-19,1.91,1.94,1.88,1.92,3029500,0.0,0.0
2005-08-22,1.93,1.97,1.9,1.97,2909500,0.0,0.0
2005-08-23,2.03,2.08,2.01,2.04,13466000,0.0,0.0
2005-08-24,2.03,2.06,2.01,2.03,3083000,0.0,0.0
2005-08-25,2.05,2.06,2.02,2.02,4667000,0.0,0.0
2005-08-26,2.03,2.04,2.02,2.03,2704000,0.0,0.0
2005-08-29,1.96,1.99,1.95,1.97,5458000,0.0,0.0
2005-08-30,1.98,2.02,1.97,1.97,2581000,0.0,0.0
2005-08-31,1.98,1.98,1.93,1.95,3004500,0.0,0.0
2005-09-01,1.95,1.95,1.8,1.88,12468500,0.0,0.0
2005-09-02,1.9,1.92,1.86,1.86,5748500,0.0,0.0
2005-09-06,1.88,1.91,1.87,1.9,2726500,0.0,0.0
2005-09-07,1.9,1.91,1.86,1.88,3643500,0.0,0.0
2005-09-08,1.88,1.92,1.88,1.89,2558500,0.0,0.0
2005-09-09,1.92,1.92,1.9,1.92,2468500,0.0,0.0
2005-09-12,1.91,1.92,1.86,1.87,3300500,0.0,0.0
2005-09-13,1.87,1.87,1.82,1.84,3798500,0.0,0.0
2005-09-14,1.83,1.84,1.81,1.82,2055500,0.0,0.0
2005-09-15,1.83,1.83,1.74,1.75,6004000,0.0,0.0
2005-09-16,1.75,1.78,1.69,1.78,9555000,0.0,0.0
2005-09-19,1.77,1.85,1.76,1.8,5559000,0.0,0.0
2005-09-20,1.8,1.86,1.79,1.83,4178000,0.0,0.0
2005-09-21,1.82,1.82,1.7,1.74,8313500,0.0,0.0
2005-09-22,1.74,1.75,1.68,1.68,7184000,0.0,0.0
2005-09-23,1.68,1.82,1.68,1.81,4830500,0.0,0.0
2005-09-26,1.81,1.83,1.77,1.8,7826500,0.0,0.0
2005-09-27,1.79,1.8,1.78,1.79,4505000,0.0,0.0
2005-09-28,1.78,1.78,1.74,1.76,3055000,0.0,0.0
2005-09-29,1.76,1.8,1.72,1.74,6141000,0.0,0.0
2005-09-30,1.74,1.75,1.7,1.72,12109000,0.0,0.0
2005-10-03,1.72,1.72,1.66,1.68,4279000,0.0,0.0
2005-10-04,1.68,1.68,1.63,1.63,2002000,0.0,0.0
2005-10-05,1.62,1.62,1.49,1.52,10826000,0.0,0.0
2005-10-06,1.53,1.56,1.52,1.55,4121000,0.0,0.0
