Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-24,18.88,20.39,18.75,20.27,60450900,0.0,0
2014-09-25,19.81,20.56,19.71,20.24,8430000,0.0,0
2014-09-26,20.35,20.52,20.12,20.41,2504400,0.0,0
2014-09-29,20.32,20.59,20.12,20.4,4832600,0.0,0
2014-09-30,20.29,20.7,20.24,20.56,4103100,0.0,0
2014-10-01,20.39,20.73,20.29,20.58,3915500,0.0,0
2014-10-02,20.49,20.71,20.46,20.49,3121400,0.0,0
2014-10-03,20.53,20.61,20.2,20.4,1585900,0.0,0
2014-10-06,20.44,20.52,19.85,19.88,1208400,0.0,0
2014-10-07,19.81,19.97,19.55,19.77,1508400,0.0,0
2014-10-08,19.41,20.33,19.41,19.98,1649200,0.0,0
2014-10-09,20.2,20.2,19.53,19.74,1229100,0.0,0
2014-10-10,19.66,19.81,19.44,19.56,924000,0.0,0
2014-10-13,19.43,19.9,19.42,19.71,1382800,0.0,0
2014-10-14,19.76,20.01,19.58,19.71,1605800,0.0,0
2014-10-15,19.43,19.49,18.88,19.19,3405400,0.0,0
2014-10-16,18.89,19.27,18.85,19.14,3105800,0.0,0
2014-10-17,19.22,19.38,19.08,19.25,2750600,0.0,0
2014-10-20,19.16,19.65,19.16,19.65,1870600,0.0,0
2014-10-21,19.41,20.13,19.41,20.04,1165500,0.0,0
2014-10-22,20.0,20.2,19.67,19.84,884700,0.0,0
2014-10-23,20.17,20.27,19.84,20.22,1154200,0.0,0
2014-10-24,20.48,20.63,19.99,20.35,1357800,0.0,0
2014-10-27,20.33,20.36,19.95,20.06,2898800,0.0,0
2014-10-28,20.34,20.71,20.13,20.44,1500600,0.0,0
2014-10-29,20.5,20.66,20.37,20.62,1302300,0.0,0
2014-10-30,20.6,20.8,20.46,20.58,1153600,0.0,0
2014-10-31,20.71,21.0,20.52,20.74,1238600,0.0,0
2014-11-03,20.63,21.07,20.34,21.07,1826900,0.0,0
2014-11-04,20.93,21.08,20.66,20.81,1474500,0.1,0
2014-11-05,20.99,21.12,20.76,21.07,1097600,0.0,0
2014-11-06,20.98,21.57,20.94,21.43,1010700,0.0,0
2014-11-07,21.58,21.58,21.13,21.14,600700,0.0,0
2014-11-10,21.2,21.38,20.94,21.12,1531300,0.0,0
2014-11-11,21.14,21.36,20.94,21.11,658300,0.0,0
2014-11-12,20.94,21.14,20.73,21.04,940800,0.0,0
2014-11-13,20.83,21.13,20.79,21.0,1149700,0.0,0
2014-11-14,20.93,21.16,20.93,21.13,1111500,0.0,0
2014-11-17,21.26,21.26,20.77,21.16,992400,0.0,0
2014-11-18,21.2,21.2,20.91,20.92,586000,0.0,0
2014-11-19,20.99,21.16,20.73,20.91,812800,0.0,0
2014-11-20,20.78,21.05,20.72,20.91,745800,0.0,0
2014-11-21,21.12,21.35,20.89,20.96,725200,0.0,0
2014-11-24,20.99,21.48,20.88,21.38,836800,0.0,0
2014-11-25,21.37,21.43,21.18,21.19,701600,0.0,0
2014-11-26,21.26,21.4,21.09,21.36,703700,0.0,0
2014-11-28,21.36,22.12,21.21,21.72,713400,0.0,0
2014-12-01,21.71,21.95,20.71,21.14,2282600,0.0,0
2014-12-02,21.18,21.54,20.99,21.34,1369300,0.0,0
2014-12-03,21.45,21.68,21.33,21.36,1854500,0.0,0
2014-12-04,21.44,21.66,21.24,21.51,1433700,0.0,0
2014-12-05,21.56,22.24,21.56,22.18,1008400,0.0,0
2014-12-08,22.11,22.17,21.76,22.08,2244900,0.0,0
2014-12-09,21.79,22.33,21.6,22.18,1141800,0.0,0
2014-12-10,22.18,22.4,21.71,21.73,631000,0.0,0
2014-12-11,21.91,22.29,21.61,21.77,1709100,0.0,0
2014-12-12,21.62,21.89,21.51,21.57,950800,0.0,0
2014-12-15,21.76,21.87,21.4,21.59,1175100,0.0,0
2014-12-16,21.63,21.93,21.36,21.38,1313900,0.0,0
2014-12-17,21.36,21.87,21.36,21.66,2160100,0.0,0
2014-12-18,21.82,22.17,21.76,22.11,1768500,0.0,0
2014-12-19,22.08,22.57,21.9,22.04,7523100,0.0,0
2014-12-22,22.18,22.29,21.74,22.13,1689600,0.0,0
2014-12-23,22.32,22.48,22.15,22.43,1174600,0.0,0
2014-12-24,22.44,22.56,22.2,22.49,547200,0.0,0
2014-12-26,22.49,22.49,22.26,22.32,304000,0.0,0
2014-12-29,22.22,22.49,22.2,22.37,1071000,0.0,0
2014-12-30,22.45,22.48,22.18,22.21,511800,0.0,0
2014-12-31,22.26,22.29,21.89,21.92,621600,0.0,0
2015-01-02,22.02,22.04,21.42,21.83,643500,0.0,0
2015-01-05,21.67,21.76,21.02,21.32,1330400,0.0,0
2015-01-06,21.31,21.36,20.9,21.08,2075000,0.0,0
2015-01-07,21.15,21.28,20.98,21.16,1160200,0.0,0
2015-01-08,21.22,21.58,21.11,21.32,661500,0.0,0
2015-01-09,21.29,21.32,20.97,21.06,724700,0.0,0
2015-01-12,20.99,21.2,20.83,21.06,941100,0.0,0
2015-01-13,21.11,21.33,20.82,21.05,989800,0.0,0
2015-01-14,20.81,20.94,20.37,20.67,962500,0.0,0
2015-01-15,20.61,20.82,19.99,20.24,1558000,0.0,0
2015-01-16,20.13,20.49,20.09,20.45,1951800,0.0,0
2015-01-20,20.42,21.03,20.2,20.37,1742100,0.0,0
2015-01-21,20.34,20.8,20.29,20.53,787300,0.0,0
2015-01-22,20.54,21.3,20.53,21.29,486500,0.0,0
2015-01-23,21.2,21.2,20.87,20.91,651800,0.0,0
2015-01-26,20.94,21.43,20.75,21.24,1167800,0.0,0
2015-01-27,21.04,21.73,20.95,21.29,1308200,0.0,0
2015-01-28,21.31,21.47,21.02,21.04,1301900,0.0,0
2015-01-29,21.09,21.47,20.51,21.37,1818600,0.0,0
2015-01-30,21.25,21.37,20.99,21.07,1882300,0.0,0
2015-02-02,21.03,21.3,20.89,21.16,1445800,0.0,0
2015-02-03,21.17,21.65,21.07,21.51,1351800,0.1,0
2015-02-04,21.49,21.59,21.19,21.26,1101600,0.0,0
2015-02-05,21.33,21.61,21.23,21.56,984600,0.0,0
2015-02-06,21.61,22.14,21.44,21.69,1748400,0.0,0
2015-02-09,21.68,21.72,21.35,21.48,781600,0.0,0
2015-02-10,21.9,22.1,21.72,21.98,1384900,0.0,0
2015-02-11,22.03,22.14,21.74,22.11,1393100,0.0,0
2015-02-12,21.96,22.46,21.91,22.43,985100,0.0,0
2015-02-13,22.38,22.73,22.26,22.53,1164500,0.0,0
2015-02-17,22.76,22.79,22.37,22.63,1807100,0.0,0
2015-02-18,22.69,22.69,22.19,22.32,1783500,0.0,0
2015-02-19,22.15,22.33,22.0,22.15,896800,0.0,0
2015-02-20,22.22,22.37,22.01,22.36,744800,0.0,0
2015-02-23,22.22,22.22,21.85,22.06,743600,0.0,0
2015-02-24,22.01,22.2,21.93,22.07,530700,0.0,0
2015-02-25,22.02,22.14,21.89,22.1,612600,0.0,0
2015-02-26,22.08,22.13,21.79,22.0,702900,0.0,0
2015-02-27,21.96,22.14,21.88,21.99,468500,0.0,0
2015-03-02,21.99,22.29,21.8,22.0,1408600,0.0,0
