Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-10-16,4.01,4.01,3.84,3.92,7436400,0.0,0.0
1997-10-17,3.9,3.97,3.73,3.86,3390400,0.0,0.0
1997-10-20,3.79,3.88,3.77,3.81,3068000,0.0,0.0
1997-10-21,3.84,3.92,3.79,3.86,2382400,0.0,0.0
1997-10-22,3.92,3.97,3.86,3.94,1525200,0.0,0.0
1997-10-23,3.92,3.92,3.81,3.86,1622400,0.0,0.0
1997-10-24,3.9,3.94,3.84,3.94,813600,0.0,0.0
1997-10-27,3.9,3.97,3.71,3.74,1507200,0.0,0.0
1997-10-28,3.62,3.92,3.41,3.86,2955600,0.0,0.0
1997-10-29,3.92,3.94,3.86,3.9,1859200,0.0,0.0
1997-10-30,3.81,3.84,3.71,3.79,856000,0.0,0.0
1997-10-31,3.75,3.89,3.75,3.79,561600,0.0,0.0
1997-11-03,3.88,4.03,3.81,3.95,1004000,0.0,0.0
1997-11-04,3.97,4.05,3.92,3.99,364000,0.0,0.0
1997-11-05,4.01,4.18,3.99,4.07,324400,0.0,0.0
1997-11-06,4.05,4.31,4.05,4.31,361600,0.0,0.0
1997-11-07,4.27,4.57,4.16,4.44,662400,0.0,0.0
1997-11-10,4.35,4.48,4.25,4.25,266800,0.0,0.0
1997-11-11,4.1,4.14,3.97,4.14,618000,0.0,0.0
1997-11-12,4.14,4.14,3.84,3.92,314800,0.0,0.0
1997-11-13,3.84,3.88,3.77,3.79,500000,0.0,0.0
1997-11-14,3.75,3.79,3.66,3.75,438000,0.0,0.0
1997-11-17,3.79,4.03,3.79,4.01,284000,0.0,0.0
1997-11-18,4.05,4.05,3.92,3.94,1429600,0.0,0.0
1997-11-19,3.94,4.01,3.84,3.84,148400,0.0,0.0
1997-11-20,3.88,3.88,3.66,3.84,1268000,0.0,0.0
1997-11-21,3.84,3.88,3.79,3.81,640800,0.0,0.0
1997-11-24,3.79,3.86,3.79,3.81,64400,0.0,0.0
1997-11-25,3.84,3.88,3.79,3.8,326800,0.0,0.0
1997-11-26,3.79,3.81,3.61,3.62,463200,0.0,0.0
1997-11-28,3.64,3.66,3.62,3.62,212800,0.0,0.0
1997-12-01,3.62,3.71,3.62,3.63,475200,0.0,0.0
1997-12-02,3.71,3.79,3.64,3.69,1280800,0.0,0.0
1997-12-03,3.75,3.79,3.69,3.79,934400,0.0,0.0
1997-12-04,3.79,3.88,3.73,3.83,681600,0.0,0.0
1997-12-05,3.79,3.97,3.75,3.92,282800,0.0,0.0
1997-12-08,3.92,3.97,3.9,3.94,227600,0.0,0.0
1997-12-09,3.97,4.01,3.86,3.86,124000,0.0,0.0
1997-12-10,3.89,3.89,3.67,3.72,269600,0.015,0.0
1997-12-11,3.63,3.72,3.57,3.67,400800,0.0,0.0
1997-12-12,3.72,3.72,3.57,3.57,412400,0.0,0.0
1997-12-15,3.63,3.72,3.58,3.61,289200,0.0,0.0
1997-12-16,3.54,3.67,3.54,3.61,190800,0.0,0.0
1997-12-17,3.57,3.59,3.48,3.48,584800,0.0,0.0
1997-12-18,3.52,3.52,3.44,3.46,272400,0.0,0.0
1997-12-19,3.48,3.48,3.41,3.41,921600,0.0,0.0
1997-12-22,3.41,3.67,3.41,3.5,924000,0.0,0.0
1997-12-23,3.59,3.59,3.41,3.46,2331200,0.0,0.0
1997-12-24,3.48,3.48,3.41,3.41,50400,0.0,0.0
1997-12-26,3.46,3.5,3.44,3.5,1248400,0.0,0.0
1997-12-29,3.5,3.65,3.46,3.65,430800,0.0,0.0
1997-12-30,3.5,3.7,3.5,3.65,662800,0.0,0.0
1997-12-31,3.74,3.93,3.63,3.87,911600,0.0,0.0
1998-01-02,3.83,4.0,3.83,4.0,112400,0.0,0.0
1998-01-05,4.17,4.21,3.89,3.89,629600,0.0,0.0
1998-01-06,3.87,3.87,3.63,3.75,915200,0.0,0.0
1998-01-07,3.75,3.98,3.75,3.85,164800,0.0,0.0
1998-01-08,3.8,4.0,3.8,3.98,236000,0.0,0.0
1998-01-09,3.91,3.98,3.8,3.8,140400,0.0,0.0
1998-01-12,3.72,3.83,3.7,3.7,927200,0.0,0.0
