Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-03-31,1.53,1.56,1.49,1.56,1474200,0.0,0.0
1982-04-01,1.53,1.56,1.49,1.56,1474200,0.0,0.0
1982-04-02,1.6,1.63,1.57,1.61,1710900,0.0,0.0
1982-04-05,1.63,1.64,1.61,1.63,1604700,0.0,0.0
1982-04-06,1.61,1.62,1.6,1.62,1361700,0.0,0.0
1982-04-07,1.63,1.64,1.62,1.63,1206000,0.0,0.0
1982-04-08,1.64,1.65,1.62,1.64,1188000,0.0,0.0
1982-04-12,1.64,1.65,1.62,1.62,805500,0.0,0.0
1982-04-13,1.63,1.64,1.62,1.64,1282500,0.0,0.0
1982-04-14,1.62,1.63,1.62,1.63,207000,0.0,0.0
1982-04-15,1.62,1.63,1.61,1.62,331200,0.0,0.0
1982-04-16,1.63,1.64,1.62,1.62,576900,0.0,0.0
1982-04-19,1.64,1.64,1.62,1.63,713700,0.0,0.0
1982-04-20,1.62,1.63,1.62,1.62,508500,0.0,0.0
1982-04-21,1.61,1.62,1.61,1.61,254700,0.0,0.0
1982-04-22,1.61,1.62,1.6,1.61,576000,0.0,0.0
1982-04-23,1.53,1.53,1.52,1.53,3060900,0.0,0.0
1982-04-26,1.51,1.53,1.48,1.5,3427200,0.0,0.0
1982-04-27,1.48,1.5,1.47,1.47,2219400,0.0,0.0
1982-04-28,1.48,1.49,1.46,1.46,542700,0.0,0.0
1982-04-29,1.47,1.48,1.46,1.46,423900,0.0,0.0
1982-04-30,1.44,1.45,1.43,1.44,2470500,0.0,0.0
1982-05-03,1.43,1.44,1.42,1.42,1687500,0.0,0.0
1982-05-04,1.42,1.43,1.42,1.43,1632600,0.0,0.0
1982-05-05,1.42,1.43,1.41,1.42,587700,0.0,0.0
1982-05-06,1.42,1.43,1.41,1.43,1586700,0.0,0.0
1982-05-07,1.41,1.43,1.4,1.4,2665800,0.0,0.0
1982-05-10,1.41,1.42,1.4,1.41,1100700,0.0,0.0
1982-05-11,1.43,1.44,1.42,1.44,941400,0.0,0.0
1982-05-12,1.4,1.44,1.37,1.37,2474100,0.0,0.0
1982-05-13,1.24,1.25,1.22,1.23,15327900,0.0,0.0
1982-05-14,1.26,1.27,1.25,1.26,4312800,0.0,0.0
1982-05-17,1.26,1.27,1.26,1.26,1360800,0.0,0.0
1982-05-18,1.26,1.26,1.25,1.26,1487700,0.0,0.0
1982-05-19,1.24,1.25,1.23,1.23,2322900,0.0,0.0
1982-05-20,1.22,1.23,1.21,1.23,2007900,0.0,0.0
1982-05-21,1.21,1.22,1.2,1.21,1656000,0.0,0.0
1982-05-24,1.19,1.21,1.17,1.18,3863700,0.0,0.0
1982-05-25,1.19,1.2,1.18,1.18,2444400,0.0,0.0
1982-05-26,1.17,1.18,1.15,1.16,2028600,0.0,0.0
1982-05-27,1.15,1.16,1.15,1.16,1105200,0.0,0.0
1982-05-28,1.15,1.16,1.14,1.15,1545300,0.0,0.0
1982-06-01,1.14,1.14,1.12,1.14,1088100,0.0,0.0
1982-06-02,1.14,1.15,1.14,1.14,1796400,0.0,0.0
1982-06-03,1.14,1.15,1.12,1.14,1359000,0.0,0.0
1982-06-04,1.12,1.14,1.09,1.1,1927800,0.0,0.0
1982-06-07,1.09,1.1,1.07,1.09,1387800,0.06389,0.0
1982-06-08,1.05,1.08,1.03,1.05,1832400,0.0,0.0
1982-06-09,1.04,1.05,1.02,1.02,3247200,0.0,0.0
1982-06-10,1.04,1.05,1.02,1.02,2754900,0.0,0.0
1982-06-11,1.05,1.06,1.03,1.05,3304800,0.0,0.0
1982-06-14,1.02,1.04,1.0,1.0,4736700,0.0,0.0
1982-06-15,1.02,1.02,1.01,1.02,1662300,0.0,0.0
1982-06-16,1.02,1.04,1.01,1.03,1773000,0.0,0.0
1982-06-17,1.01,1.03,0.99,1.0,3891600,0.0,0.0
1982-06-18,0.99,1.0,0.97,0.97,1819800,0.0,0.0
1982-06-21,0.98,0.99,0.97,0.97,1149300,0.0,0.0
1982-06-22,0.99,1.01,0.96,1.01,2377800,0.0,0.0
1982-06-23,1.01,1.02,1.0,1.02,1052100,0.0,0.0
1982-06-24,1.04,1.05,1.02,1.02,1432800,0.0,0.0
1982-06-25,1.04,1.05,1.02,1.04,535500,0.0,0.0
1982-06-28,1.04,1.04,1.03,1.04,373500,0.0,0.0
1982-06-29,1.03,1.04,1.02,1.03,1080000,0.0,0.0
1982-06-30,1.04,1.05,1.03,1.03,1343700,0.0,0.0
1982-07-01,1.02,1.03,1.01,1.02,2231100,0.0,0.0
1982-07-02,1.0,1.01,0.99,1.0,353700,0.0,0.0
1982-07-06,0.97,0.99,0.94,0.98,1067400,0.0,0.0
1982-07-07,0.96,0.98,0.95,0.95,2426400,0.0,0.0
1982-07-08,0.98,1.01,0.94,0.99,3788100,0.0,0.0
1982-07-09,1.0,1.02,0.99,0.99,2414700,0.0,0.0
1982-07-12,0.98,0.99,0.97,0.99,5817600,0.0,0.0
1982-07-13,0.99,1.01,0.97,0.98,2309400,0.0,0.0
1982-07-14,0.98,0.99,0.97,0.99,5817600,0.0,0.0
1982-07-15,0.99,1.0,0.99,1.0,5258700,0.0,0.0
1982-07-16,1.0,1.01,0.99,1.01,2407500,0.0,0.0
1982-07-19,1.01,1.02,1.0,1.01,729000,0.0,0.0
1982-07-20,1.01,1.01,1.0,1.0,1065600,0.0,0.0
1982-07-21,1.01,1.02,1.01,1.01,2344500,0.0,0.0
1982-07-22,1.02,1.04,1.0,1.04,2825100,0.0,0.0
1982-07-23,1.05,1.06,1.04,1.05,1725300,0.0,0.0
1982-07-26,1.04,1.05,1.02,1.02,655200,0.0,0.0
1982-07-27,1.02,1.02,1.02,1.02,2628900,0.0,0.0
1982-07-28,1.01,1.02,1.0,1.01,2241900,0.0,0.0
1982-07-29,1.02,1.04,1.01,1.03,2802600,0.0,0.0
1982-07-30,1.03,1.04,1.02,1.02,583200,0.0,0.0
1982-08-02,1.04,1.04,1.02,1.04,3060000,0.0,0.0
1982-08-03,1.04,1.05,1.03,1.03,851400,0.0,0.0
1982-08-04,1.04,1.04,1.02,1.04,1365300,0.0,0.0
1982-08-05,1.02,1.03,1.02,1.02,1467900,0.0,0.0
