Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.5,0.48,0.49,115200,0.0,0.0
1973-02-22,0.0,0.48,0.48,0.48,178400,0.0,0.0
1973-02-23,0.0,0.48,0.47,0.48,75200,0.0,0.0
1973-02-26,0.0,0.48,0.46,0.47,157600,0.0,0.0
1973-02-27,0.0,0.47,0.43,0.43,248800,0.0,0.0
1973-02-28,0.0,0.44,0.42,0.44,460800,0.0,0.0
1973-03-01,0.0,0.46,0.42,0.42,287200,0.0,0.0
1973-03-02,0.0,0.43,0.4,0.43,338400,0.0,0.0
1973-03-05,0.0,0.45,0.43,0.45,392800,0.0,0.0
1973-03-06,0.0,0.46,0.45,0.46,175200,0.0,0.0
1973-03-07,0.0,0.47,0.46,0.47,280800,0.0,0.0
1973-03-08,0.0,0.47,0.47,0.47,185600,0.0,0.0
1973-03-09,0.0,0.47,0.47,0.47,331200,0.0,0.0
1973-03-12,0.0,0.48,0.47,0.47,108000,0.0,0.0
1973-03-13,0.0,0.48,0.47,0.47,186400,0.0,0.0
1973-03-14,0.0,0.49,0.48,0.49,115200,0.0,0.0
1973-03-15,0.0,0.49,0.48,0.48,63200,0.0,0.0
1973-03-16,0.0,0.49,0.47,0.48,200800,0.0,0.0
1973-03-19,0.0,0.48,0.47,0.47,100000,0.0,0.0
1973-03-20,0.0,0.47,0.46,0.46,131200,0.0,0.0
1973-03-21,0.0,0.47,0.43,0.43,92800,0.0,0.0
1973-03-22,0.0,0.44,0.43,0.44,111200,0.0,0.0
1973-03-23,0.0,0.44,0.43,0.44,154400,0.0,0.0
1973-03-26,0.0,0.46,0.44,0.46,88800,0.0,0.0
1973-03-27,0.0,0.46,0.45,0.45,130400,0.0,0.0
1973-03-28,0.0,0.45,0.44,0.45,155200,0.0,0.0
1973-03-29,0.0,0.46,0.45,0.45,272000,0.0,0.0
1973-03-30,0.0,0.45,0.44,0.45,103200,0.0,0.0
1973-04-02,0.0,0.45,0.44,0.44,73600,0.0,0.0
1973-04-03,0.0,0.44,0.43,0.43,184800,0.0,0.0
1973-04-04,0.0,0.43,0.42,0.43,143200,0.0,0.0
1973-04-05,0.0,0.43,0.42,0.43,66400,0.0,0.0
1973-04-06,0.0,0.43,0.32,0.43,49600,0.0,0.0
1973-04-09,0.0,0.45,0.43,0.45,94400,0.0,0.0
1973-04-10,0.0,0.46,0.44,0.45,96000,0.0,0.0
1973-04-11,0.0,0.45,0.44,0.44,87200,0.0,0.0
1973-04-12,0.0,0.45,0.42,0.42,282400,0.0,0.0
1973-04-13,0.0,0.43,0.41,0.41,164000,0.0,0.0
1973-04-16,0.0,0.41,0.38,0.38,437600,0.0,0.0
1973-04-17,0.0,0.37,0.35,0.37,1050400,0.0,0.0
1973-04-18,0.0,0.41,0.38,0.4,316800,0.065,0.0
1973-04-19,0.0,0.42,0.4,0.42,110400,0.0,0.0
1973-04-23,0.0,0.42,0.4,0.41,181600,0.0,0.0
1973-04-24,0.0,0.42,0.4,0.41,180800,0.0,0.0
1973-04-25,0.0,0.4,0.37,0.37,178400,0.0,0.0
1973-04-26,0.0,0.4,0.37,0.39,660000,0.0,0.0
1973-04-27,0.0,0.4,0.37,0.38,150400,0.0,0.0
1973-04-30,0.0,0.39,0.38,0.39,164000,0.0,0.0
1973-05-01,0.0,0.39,0.33,0.34,477600,0.0,0.0
1973-05-02,0.0,0.28,0.27,0.28,5872000,0.0,0.0
1973-05-03,0.0,0.29,0.26,0.28,2609600,0.0,0.0
1973-05-04,0.0,0.29,0.27,0.27,1179200,0.0,0.0
1973-05-07,0.0,0.28,0.27,0.28,659200,0.0,0.0
1973-05-08,0.0,0.28,0.27,0.28,340000,0.0,0.0
1973-05-09,0.0,0.28,0.28,0.28,358400,0.0,0.0
1973-05-10,0.0,0.28,0.27,0.28,220000,0.0,0.0
1973-05-11,0.0,0.28,0.28,0.28,91200,0.0,0.0
1973-05-14,0.0,0.28,0.25,0.25,607200,0.0,0.0
1973-05-15,0.0,0.25,0.23,0.25,1154400,0.0,0.0
1973-05-16,0.0,0.25,0.23,0.23,434400,0.0,0.0
1973-05-17,0.0,0.23,0.21,0.22,560000,0.0,0.0
1973-05-18,0.0,0.22,0.21,0.21,466400,0.0,0.0
1973-05-21,0.0,0.21,0.21,0.21,330400,0.0,0.0
1973-05-22,0.0,0.23,0.21,0.22,312800,0.0,0.0
1973-05-23,0.0,0.24,0.22,0.24,914400,0.0,0.0
1973-05-24,0.0,0.26,0.24,0.26,448000,0.0,0.0
1973-05-25,0.0,0.28,0.26,0.28,417600,0.0,0.0
1973-05-29,0.0,0.28,0.26,0.26,384800,0.0,0.0
1973-05-30,0.0,0.26,0.24,0.24,308800,0.0,0.0
1973-05-31,0.0,0.24,0.22,0.23,452000,0.0,0.0
1973-06-01,0.0,0.23,0.22,0.22,156800,0.0,0.0
1973-06-04,0.0,0.23,0.22,0.23,272800,0.0,0.0
1973-06-05,0.0,0.26,0.23,0.25,214400,0.0,0.0
1973-06-06,0.0,0.26,0.25,0.26,406400,0.0,0.0
1973-06-07,0.0,0.28,0.26,0.28,596000,0.0,0.0
1973-06-08,0.0,0.3,0.27,0.29,399200,0.0,0.0
1973-06-11,0.0,0.3,0.28,0.28,156000,0.0,0.0
1973-06-12,0.0,0.29,0.28,0.29,160800,0.0,0.0
