Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-06,4.77,5.29,4.76,5.25,27551000,0.0,0.0
2002-12-09,5.23,5.24,5.04,5.14,3149500,0.0,0.0
2002-12-10,5.15,5.3,5.1,5.23,1723000,0.0,0.0
2002-12-11,5.23,5.57,5.18,5.52,2549000,0.0,0.0
2002-12-12,5.52,5.52,5.34,5.37,1355500,0.0,0.0
2002-12-13,5.37,5.38,5.29,5.34,987500,0.0,0.0
2002-12-16,5.32,5.36,5.26,5.28,798000,0.0,0.0
2002-12-17,5.26,5.39,5.24,5.3,1646000,0.0,0.0
2002-12-18,5.29,5.29,5.21,5.22,742000,0.0,0.0
2002-12-19,5.21,5.23,5.16,5.18,684000,0.0,0.0
2002-12-20,5.19,5.46,5.14,5.44,904500,0.0,0.0
2002-12-23,5.43,5.45,5.31,5.31,638500,0.0,0.0
2002-12-24,5.34,5.34,5.26,5.27,218000,0.0,0.0
2002-12-26,5.28,5.28,5.21,5.21,325000,0.0,0.0
2002-12-27,5.2,5.2,5.11,5.14,830500,0.0,0.0
2002-12-30,5.18,5.25,5.15,5.18,1076500,0.0,0.0
2002-12-31,5.17,5.36,5.17,5.34,1778000,0.0,0.0
2003-01-02,5.34,5.38,5.32,5.35,315000,0.0,0.0
2003-01-03,5.35,5.61,5.33,5.61,861500,0.0,0.0
2003-01-06,5.51,5.92,5.51,5.89,1874500,0.0,0.0
2003-01-07,5.88,5.95,5.78,5.88,1383000,0.0,0.0
2003-01-08,5.88,5.91,5.84,5.88,411000,0.0,0.0
2003-01-09,5.89,6.02,5.83,6.0,649000,0.0,0.0
2003-01-10,5.98,6.04,5.96,6.0,844000,0.0,0.0
2003-01-13,6.0,6.08,5.98,6.07,810000,0.0,0.0
2003-01-14,6.07,6.12,6.01,6.01,554000,0.0,0.0
2003-01-15,5.92,5.92,5.72,5.76,1459000,0.0,0.0
2003-01-16,5.75,5.75,5.54,5.55,725000,0.0,0.0
2003-01-17,5.54,5.57,5.48,5.51,590500,0.0,0.0
2003-01-21,5.51,5.53,5.42,5.44,468000,0.0,0.0
2003-01-22,5.42,5.43,5.4,5.4,163500,0.0,0.0
2003-01-23,5.41,5.6,5.4,5.56,476000,0.0,0.0
2003-01-24,5.55,5.77,5.51,5.75,685000,0.0,0.0
2003-01-27,5.73,5.74,5.66,5.66,209000,0.0,0.0
2003-01-28,5.67,5.7,5.63,5.63,364500,0.0,0.0
2003-01-29,5.62,5.75,5.6,5.69,401500,0.0,0.0
2003-01-30,5.69,5.7,5.36,5.41,735000,0.0,0.0
2003-01-31,5.39,5.39,5.14,5.2,2886000,0.0,0.0
2003-02-03,5.2,5.25,5.16,5.18,780000,0.0,0.0
2003-02-04,5.17,5.17,5.09,5.14,740000,0.0,0.0
2003-02-05,5.14,5.14,5.06,5.11,1159000,0.0,0.0
2003-02-06,5.1,5.14,5.07,5.08,1077500,0.0,0.0
2003-02-07,5.09,5.16,5.09,5.15,744500,0.0,0.0
2003-02-10,5.15,5.31,5.15,5.26,278500,0.0,0.0
2003-02-11,5.26,5.33,5.25,5.25,222500,0.0,0.0
2003-02-12,5.23,5.26,5.2,5.25,355500,0.0,0.0
2003-02-13,5.25,5.35,5.24,5.32,265500,0.0,0.0
2003-02-14,5.35,5.48,5.35,5.45,958000,0.0,0.0
2003-02-18,5.48,5.48,5.4,5.45,753500,0.0,0.0
2003-02-19,5.45,5.51,5.43,5.48,420500,0.0,0.0
2003-02-20,5.48,5.52,5.47,5.51,159000,0.0,0.0
2003-02-21,5.51,5.59,5.51,5.55,206000,0.0,0.0
2003-02-24,5.51,5.61,5.51,5.57,182500,0.0,0.0
2003-02-25,5.57,5.61,5.55,5.6,144500,0.0,0.0
2003-02-26,5.6,5.63,5.52,5.55,214000,0.0,0.0
2003-02-27,5.54,5.54,5.3,5.3,945000,0.0,0.0
2003-02-28,5.29,5.36,5.25,5.27,565000,0.0,0.0
2003-03-03,5.27,5.33,5.26,5.28,211000,0.0,0.0
2003-03-04,5.28,5.29,5.24,5.24,151000,0.0,0.0
2003-03-05,5.24,5.26,5.17,5.17,269500,0.0,0.0
2003-03-06,5.17,5.24,5.17,5.2,352500,0.028,0.0
2003-03-07,5.2,5.25,5.18,5.2,175500,0.0,0.0
2003-03-10,5.19,5.24,5.19,5.2,163000,0.0,0.0
2003-03-11,5.2,5.24,5.18,5.19,104500,0.0,0.0
2003-03-12,5.21,5.23,5.15,5.2,312000,0.0,0.0
2003-03-13,5.22,5.24,5.21,5.22,204000,0.0,0.0
2003-03-14,5.22,5.33,5.22,5.31,471500,0.0,0.0
2003-03-17,5.31,5.67,5.31,5.64,607000,0.0,0.0
2003-03-18,5.65,5.75,5.61,5.66,478500,0.0,0.0
2003-03-19,5.66,5.77,5.66,5.77,149500,0.0,0.0
2003-03-20,5.77,5.77,5.59,5.59,571000,0.0,0.0
2003-03-21,5.61,5.79,5.61,5.78,632500,0.0,0.0
2003-03-24,5.77,5.92,5.74,5.9,1112000,0.0,0.0
2003-03-25,5.89,5.96,5.89,5.95,545500,0.0,0.0
2003-03-26,5.94,6.01,5.94,5.96,1076000,0.0,0.0
2003-03-27,5.94,6.01,5.87,6.01,777500,0.0,0.0
2003-03-28,5.99,5.99,5.94,5.97,306500,0.0,0.0
2003-03-31,5.96,5.96,5.87,5.91,435000,0.0,0.0
2003-04-01,5.91,5.92,5.84,5.89,232000,0.0,0.0
2003-04-02,5.82,5.93,5.8,5.91,536000,0.0,0.0
2003-04-03,5.92,6.04,5.92,5.93,633000,0.0,0.0
2003-04-04,5.94,5.99,5.93,5.94,321500,0.0,0.0
2003-04-07,5.98,6.0,5.73,5.74,1109500,0.0,0.0
2003-04-08,5.72,5.74,5.67,5.71,398000,0.0,0.0
2003-04-09,5.72,5.76,5.68,5.74,390000,0.0,0.0
2003-04-10,5.75,5.79,5.72,5.79,224500,0.0,0.0
2003-04-11,5.8,5.8,5.73,5.74,178500,0.0,0.0
2003-04-14,5.74,5.85,5.74,5.83,212500,0.0,0.0
2003-04-15,5.83,5.85,5.83,5.83,198500,0.0,0.0
2003-04-16,5.84,5.88,5.84,5.85,280000,0.0,0.0
2003-04-17,5.97,6.1,5.96,6.02,1067500,0.0,0.0
2003-04-21,6.0,6.0,5.93,5.98,243500,0.0,0.0
2003-04-22,6.02,6.21,5.92,6.11,1607000,0.0,0.0
2003-04-23,6.18,6.29,6.14,6.2,1540000,0.0,0.0
2003-04-24,6.2,6.34,6.2,6.34,644000,0.0,0.0
2003-04-25,6.34,6.47,6.34,6.44,905000,0.0,0.0
2003-04-28,6.47,6.9,6.47,6.8,2717500,0.0,0.0
2003-04-29,6.81,6.89,6.73,6.83,1455000,0.0,0.0
2003-04-30,6.83,6.97,6.77,6.94,885500,0.0,0.0
2003-05-01,6.94,6.98,6.85,6.85,1156500,0.0,0.0
2003-05-02,6.83,7.06,6.83,7.0,740500,0.0,0.0
2003-05-05,7.01,7.12,6.96,6.98,693000,0.0,0.0
2003-05-06,6.98,6.98,6.88,6.94,661000,0.0,0.0
2003-05-07,6.91,6.95,6.79,6.83,704500,0.0,0.0
2003-05-08,6.8,6.83,6.75,6.8,707000,0.0,0.0
2003-05-09,6.82,6.91,6.76,6.84,461000,0.0,0.0
2003-05-12,6.83,7.03,6.82,6.96,457500,0.0,0.0
2003-05-13,6.95,7.25,6.95,7.2,1083500,0.0,0.0
2003-05-14,7.19,7.28,7.17,7.18,763000,0.0,0.0
2003-05-15,7.18,7.23,7.15,7.2,279500,0.0,0.0
2003-05-16,7.19,7.37,7.14,7.37,498000,0.0,0.0
2003-05-19,7.3,7.31,7.17,7.19,547500,0.0,0.0
2003-05-20,7.18,7.28,7.18,7.19,461500,0.0,0.0
2003-05-21,7.18,7.27,7.13,7.27,355000,0.0,0.0
2003-05-22,7.3,7.39,7.28,7.33,583000,0.0,0.0
2003-05-23,7.34,7.4,7.33,7.39,161000,0.0,0.0
2003-05-27,7.33,7.33,7.27,7.31,409000,0.0,0.0
2003-05-28,7.31,7.45,7.31,7.42,506500,0.0,0.0
