Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,11.01,10.82,10.96,16000,0.0,0
1973-02-22,0.0,11.01,10.92,10.92,7100,0.0,0
1973-02-23,0.0,10.96,10.78,10.78,23000,0.0,0
1973-02-26,0.0,10.82,10.73,10.73,6500,0.0,0
1973-02-27,0.0,10.82,10.78,10.78,5800,0.0,0
1973-02-28,0.0,10.78,10.68,10.73,5100,0.0,0
1973-03-01,0.0,10.73,10.54,10.59,15400,0.0,0
1973-03-02,0.0,10.73,10.59,10.73,6400,0.0,0
1973-03-05,0.0,10.78,10.64,10.64,7200,0.0,0
1973-03-06,0.0,10.78,10.68,10.68,3800,0.0,0
1973-03-07,0.0,10.78,10.64,10.64,4300,0.0,0
1973-03-08,0.0,10.78,10.64,10.78,5000,0.0,0
1973-03-09,0.0,10.82,10.68,10.73,4800,0.0,0
1973-03-12,0.0,10.82,10.68,10.68,18700,0.0,0
1973-03-13,0.0,10.73,10.64,10.68,11800,0.0,0
1973-03-14,0.0,10.78,10.68,10.73,4000,0.0,0
1973-03-15,0.0,10.73,10.64,10.68,5700,0.0,0
1973-03-16,0.0,10.78,10.64,10.73,5300,0.0,0
1973-03-19,0.0,10.78,10.59,10.64,6300,0.0,0
1973-03-20,0.0,10.64,10.59,10.59,20100,0.0,0
1973-03-21,0.0,10.68,10.59,10.59,3500,0.0,0
1973-03-22,0.0,10.59,10.54,10.54,19100,0.0,0
1973-03-23,0.0,10.64,10.54,10.54,10800,0.0,0
1973-03-26,0.0,10.59,10.54,10.59,9100,0.0,0
1973-03-27,0.0,10.68,10.59,10.59,11400,0.0,0
1973-03-28,0.0,10.73,10.59,10.73,3500,0.0,0
1973-03-29,0.0,10.73,10.64,10.68,9700,0.0,0
1973-03-30,0.0,10.78,10.64,10.68,1300,0.0,0
1973-04-02,0.0,10.68,10.59,10.68,7800,0.0,0
1973-04-03,0.0,10.73,10.59,10.64,4300,0.0,0
1973-04-04,0.0,10.64,10.54,10.54,7800,0.0,0
1973-04-05,0.0,10.64,10.54,10.59,5500,0.0,0
1973-04-06,0.0,10.68,10.5,10.5,29300,0.0,0
1973-04-09,0.0,10.45,10.31,10.35,10300,0.0,0
1973-04-10,0.0,10.5,10.4,10.45,10100,0.0,0
1973-04-11,0.0,10.64,10.5,10.64,4300,0.0,0
1973-04-12,0.0,10.59,10.4,10.54,10700,0.0,0
1973-04-13,0.0,10.69,10.59,10.69,5800,0.5,0
1973-04-16,0.0,10.69,10.59,10.64,5400,0.0,0
1973-04-17,0.0,10.69,10.59,10.59,8500,0.0,0
1973-04-18,0.0,10.69,10.59,10.59,3200,0.0,0
1973-04-19,0.0,10.69,10.59,10.59,11000,0.0,0
1973-04-23,0.0,10.64,10.54,10.59,6300,0.0,0
1973-04-24,0.0,10.64,10.54,10.54,2700,0.0,0
1973-04-25,0.0,10.64,10.54,10.54,4500,0.0,0
1973-04-26,0.0,10.64,10.54,10.59,6300,0.0,0
1973-04-27,0.0,10.64,10.59,10.59,3400,0.0,0
1973-04-30,0.0,10.64,10.54,10.54,9800,0.0,0
1973-05-01,0.0,10.64,10.59,10.64,3600,0.0,0
1973-05-02,0.0,10.64,10.59,10.64,6500,0.0,0
1973-05-03,0.0,10.78,10.59,10.73,6100,0.0,0
1973-05-04,0.0,10.78,10.64,10.64,5100,0.0,0
1973-05-07,0.0,10.69,10.64,10.64,4600,0.0,0
1973-05-08,0.0,10.73,10.64,10.73,1700,0.0,0
1973-05-09,0.0,10.78,10.69,10.69,3200,0.0,0
1973-05-10,0.0,10.64,10.59,10.64,6600,0.0,0
1973-05-11,0.0,10.69,10.64,10.69,3300,0.0,0
1973-05-14,0.0,10.64,10.59,10.64,4100,0.0,0
1973-05-15,0.0,10.64,10.54,10.59,3900,0.0,0
1973-05-16,0.0,10.64,10.59,10.64,9200,0.0,0
1973-05-17,0.0,10.64,10.54,10.54,4200,0.0,0
1973-05-18,0.0,10.64,10.54,10.59,9900,0.0,0
1973-05-21,0.0,10.64,10.54,10.54,15100,0.0,0
1973-05-22,0.0,10.69,10.49,10.54,11500,0.0,0
1973-05-23,0.0,10.59,10.49,10.54,6700,0.0,0
1973-05-24,0.0,10.59,10.49,10.59,7500,0.0,0
1973-05-25,0.0,10.59,10.4,10.45,65600,0.0,0
1973-05-29,0.0,10.45,10.35,10.45,3600,0.0,0
1973-05-30,0.0,10.45,10.3,10.3,26900,0.0,0
1973-05-31,0.0,10.3,10.21,10.26,4700,0.0,0
1973-06-01,0.0,10.3,10.21,10.26,6900,0.0,0
1973-06-04,0.0,10.26,10.16,10.21,6700,0.0,0
1973-06-05,0.0,10.26,10.16,10.21,6800,0.0,0
1973-06-06,0.0,10.3,10.16,10.26,9200,0.0,0
1973-06-07,0.0,10.3,10.21,10.26,4600,0.0,0
1973-06-08,0.0,10.3,10.26,10.3,5000,0.0,0
1973-06-11,0.0,10.35,10.26,10.26,8300,0.0,0
1973-06-12,0.0,10.3,10.26,10.3,4200,0.0,0
1973-06-13,0.0,10.3,10.16,10.21,12400,0.0,0
1973-06-14,0.0,10.4,10.21,10.35,20200,0.0,0
1973-06-15,0.0,10.4,10.35,10.4,3800,0.0,0
1973-06-18,0.0,10.35,10.26,10.3,5700,0.0,0
1973-06-19,0.0,10.4,10.21,10.4,4300,0.0,0
1973-06-20,0.0,10.4,10.3,10.3,3400,0.0,0
1973-06-21,0.0,10.3,10.26,10.3,1800,0.0,0
1973-06-22,0.0,10.4,10.3,10.4,39300,0.0,0
1973-06-25,0.0,10.45,10.3,10.35,3200,0.0,0
1973-06-26,0.0,10.4,10.3,10.3,6900,0.0,0
1973-06-27,0.0,10.35,10.3,10.3,4400,0.0,0
1973-06-28,0.0,10.45,10.35,10.45,3000,0.0,0
1973-06-29,0.0,10.4,10.3,10.3,4500,0.0,0
1973-07-02,0.0,10.49,10.35,10.4,6800,0.0,0
1973-07-03,0.0,10.45,10.35,10.45,3600,0.0,0
1973-07-05,0.0,10.54,10.4,10.54,2400,0.0,0
1973-07-06,0.0,10.64,10.45,10.49,32300,0.0,0
1973-07-09,0.0,10.64,10.45,10.64,4400,0.0,0
1973-07-10,0.0,10.69,10.54,10.64,5500,0.0,0
1973-07-11,0.0,10.73,10.64,10.69,5500,0.0,0
1973-07-12,0.0,10.69,10.54,10.54,9200,0.0,0
1973-07-13,0.0,10.59,10.49,10.54,5600,0.0,0
1973-07-16,0.0,10.59,10.45,10.54,7000,0.0,0
1973-07-17,0.0,10.45,10.21,10.26,9400,0.0,0
1973-07-18,0.0,10.3,10.16,10.21,6400,0.0,0
1973-07-19,0.0,10.26,10.11,10.11,7200,0.0,0
1973-07-20,0.0,10.21,10.02,10.02,8900,0.0,0
1973-07-23,0.0,10.11,10.02,10.07,4000,0.0,0
1973-07-24,0.0,10.11,10.02,10.07,5300,0.0,0
1973-07-25,0.0,10.07,9.87,9.92,18900,0.0,0
1973-07-26,0.0,9.97,9.92,9.97,3800,0.0,0
1973-07-27,0.0,9.97,9.87,9.87,8600,0.0,0
1973-07-30,0.0,9.92,9.78,9.83,9200,0.0,0
1973-07-31,0.0,9.92,9.83,9.83,4400,0.0,0
1973-08-01,0.0,9.83,9.73,9.83,8400,0.0,0
1973-08-02,0.0,9.68,9.54,9.64,11100,0.0,0
1973-08-03,0.0,9.73,9.59,9.73,3300,0.0,0
1973-08-06,0.0,9.83,9.64,9.73,4000,0.0,0
1973-08-07,0.0,9.83,9.64,9.73,5300,0.0,0
1973-08-08,0.0,9.73,9.59,9.59,5200,0.0,0
1973-08-09,0.0,9.73,9.59,9.64,3600,0.0,0
1973-08-10,0.0,9.73,9.64,9.64,4100,0.0,0
1973-08-13,0.0,9.83,9.59,9.78,7600,0.0,0
1973-08-14,0.0,9.78,9.59,9.59,6900,0.0,0
1973-08-15,0.0,9.73,9.59,9.64,7700,0.0,0
1973-08-16,0.0,9.83,9.59,9.64,4400,0.0,0
1973-08-17,0.0,9.68,9.59,9.64,3800,0.0,0
1973-08-20,0.0,9.78,9.64,9.73,3800,0.0,0
1973-08-21,0.0,9.83,9.64,9.64,5700,0.0,0
1973-08-22,0.0,9.78,9.64,9.78,3800,0.0,0
1973-08-23,0.0,9.83,9.68,9.68,6200,0.0,0
1973-08-24,0.0,9.78,9.73,9.73,2800,0.0,0
1973-08-27,0.0,9.83,9.68,9.68,5800,0.0,0
1973-08-28,0.0,9.78,9.73,9.73,3900,0.0,0
1973-08-29,0.0,9.87,9.73,9.83,14900,0.0,0
1973-08-30,0.0,10.16,9.78,9.97,16200,0.0,0
1973-08-31,0.0,10.07,9.92,10.02,6000,0.0,0
1973-09-04,0.0,10.07,9.97,9.97,5500,0.0,0
1973-09-05,0.0,10.11,9.97,10.07,3200,0.0,0
