Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-11-16,3.72,3.75,3.72,3.72,8343900,0.0,0.0
1994-11-17,3.72,3.78,3.69,3.78,4872000,0.0,0.0
1994-11-18,3.8,3.86,3.78,3.83,1468800,0.0,0.0
1994-11-21,3.86,3.86,3.75,3.75,348600,0.0,0.0
1994-11-22,3.72,3.75,3.57,3.57,709800,0.0,0.0
1994-11-23,3.54,3.6,3.51,3.54,906600,0.0,0.0
1994-11-25,3.54,3.6,3.54,3.6,132600,0.0,0.0
1994-11-28,3.63,3.63,3.54,3.54,280500,0.0,0.0
1994-11-29,3.54,3.57,3.54,3.57,187500,0.0,0.0
1994-11-30,3.54,3.57,3.54,3.54,130800,0.0,0.0
1994-12-01,3.57,3.57,3.43,3.43,794400,0.0,0.0
1994-12-02,3.43,3.43,3.4,3.43,54600,0.0,0.0
1994-12-05,3.43,3.43,3.4,3.43,19800,0.0,0.0
1994-12-06,3.43,3.43,3.4,3.4,91200,0.0,0.0
1994-12-07,3.43,3.43,3.37,3.37,77700,0.0,0.0
1994-12-08,3.37,3.4,3.34,3.34,169200,0.0,0.0
1994-12-09,3.31,3.31,3.22,3.25,272100,0.0,0.0
1994-12-12,3.31,3.4,3.28,3.31,284400,0.0,0.0
1994-12-13,3.31,3.31,3.28,3.28,146100,0.0,0.0
1994-12-14,3.31,3.37,3.31,3.34,442200,0.0,0.0
1994-12-15,3.34,3.4,3.34,3.37,274200,0.0,0.0
1994-12-16,3.4,3.57,3.4,3.57,442500,0.0,0.0
1994-12-19,3.54,3.54,3.49,3.51,47400,0.0,0.0
1994-12-20,3.51,3.57,3.51,3.51,128400,0.0,0.0
1994-12-21,3.54,3.6,3.54,3.6,96600,0.0,0.0
1994-12-22,3.6,3.63,3.54,3.63,248400,0.0,0.0
1994-12-23,3.66,3.72,3.66,3.72,189600,0.0,0.0
1994-12-27,3.72,3.78,3.69,3.75,113700,0.0,0.0
1994-12-28,3.72,3.75,3.72,3.75,62100,0.0,0.0
1994-12-29,3.75,3.75,3.72,3.72,190800,0.0,0.0
1994-12-30,3.72,3.72,3.72,3.72,15900,0.0,0.0
1995-01-03,3.75,3.75,3.66,3.72,93300,0.0,0.0
1995-01-04,3.72,3.75,3.69,3.75,45300,0.0,0.0
1995-01-05,3.75,3.78,3.69,3.75,54300,0.0,0.0
1995-01-06,3.69,3.69,3.63,3.66,294000,0.0,0.0
1995-01-09,3.69,3.69,3.66,3.66,24000,0.0,0.0
1995-01-10,3.66,3.69,3.66,3.69,19200,0.0,0.0
1995-01-11,3.66,3.66,3.66,3.66,10800,0.0,0.0
1995-01-12,3.66,3.66,3.66,3.66,76200,0.0,0.0
1995-01-13,3.66,3.66,3.6,3.66,84600,0.0,0.0
1995-01-16,3.69,3.75,3.69,3.72,834300,0.0,0.0
1995-01-17,3.72,3.72,3.72,3.72,186300,0.0,0.0
1995-01-18,3.72,3.72,3.63,3.66,60900,0.0,0.0
1995-01-19,3.66,3.66,3.63,3.63,48600,0.0,0.0
1995-01-20,3.63,3.63,3.6,3.6,43500,0.0,0.0
1995-01-23,3.63,3.63,3.57,3.6,115200,0.0,0.0
1995-01-24,3.63,3.63,3.63,3.63,35100,0.0,0.0
1995-01-25,3.63,3.8,3.63,3.75,83100,0.0,0.0
1995-01-26,3.75,3.78,3.72,3.72,92100,0.0,0.0
1995-01-27,3.75,3.75,3.72,3.75,24300,0.0,0.0
1995-01-30,3.75,3.75,3.72,3.75,70800,0.0,0.0
1995-01-31,3.75,3.76,3.72,3.76,354000,0.0,0.0
1995-02-01,3.78,3.8,3.75,3.8,133200,0.0,0.0
1995-02-02,3.8,3.92,3.8,3.89,306600,0.0,0.0
1995-02-03,3.86,3.89,3.83,3.89,278700,0.0,0.0
1995-02-06,3.89,3.92,3.86,3.89,227100,0.0,0.0
1995-02-07,3.89,3.89,3.83,3.86,361500,0.0,0.0
1995-02-08,3.86,3.98,3.83,3.95,494400,0.0,0.0
1995-02-09,4.01,4.12,4.01,4.04,214200,0.0,0.0
1995-02-10,4.07,4.07,3.95,3.98,137400,0.0,0.0
1995-02-13,3.98,3.98,3.89,3.92,516300,0.0,0.0
1995-02-14,3.89,3.89,3.78,3.8,1084800,0.0,0.0
1995-02-15,3.8,3.98,3.8,3.98,870000,0.0,0.0
1995-02-16,3.98,3.98,3.92,3.95,347700,0.0,0.0
1995-02-17,3.95,3.95,3.92,3.95,154200,0.0,0.0
1995-02-21,3.95,3.98,3.92,3.98,644400,0.0,0.0
