Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,135.42,135.66,135.09,135.11,587634.0,0.0,0
2018-02-09,,,,,,0.33,0
2018-03-05,134.43,136.12,134.17,135.68,1433432.0,0.0,0
2018-03-13,135.64,135.7,134.63,134.72,897067.0,0.0,0
2018-03-14,88.54,88.54,87.15,87.15,40.0,0.0,0
2018-03-15,88.04,88.04,88.04,88.04,7.0,0.0,0
2018-03-16,134.28,135.27,134.07,134.55,1927028.0,0.0,0
2018-03-19,134.38,135.22,133.67,135.06,1049522.0,0.0,0
2018-03-20,135.15,135.67,134.69,135.2,1252067.0,0.0,0
2018-03-21,135.35,135.6,134.6,134.74,1015819.0,0.0,0
2018-03-22,134.46,134.77,133.2,133.66,1599941.0,0.0,0
2018-03-23,133.59,134.23,133.1,133.23,1240146.0,0.0,0
2018-03-26,133.82,135.04,133.48,134.75,820717.0,0.0,0
2018-03-27,134.67,135.32,134.08,134.65,1997387.0,0.0,0
2018-03-28,134.88,135.11,133.63,133.99,1289044.0,0.0,0
2018-03-29,134.23,134.51,133.54,133.54,1299280.0,0.0,0
2018-04-02,133.59,133.98,132.41,133.11,2145657.0,0.0,0
2018-04-03,133.14,134.13,132.41,134.07,1124356.0,0.0,0
2018-04-04,133.17,133.7,132.66,133.7,1291120.0,0.0,0
2018-04-05,133.94,134.33,133.68,134.0,1413827.0,0.0,0
2018-04-06,133.7,134.15,132.41,132.6,1252101.0,0.0,0
2018-04-09,132.7,133.58,132.49,132.57,1084004.0,0.0,0
2018-04-10,133.19,133.42,132.46,132.55,1691839.0,0.0,0
2018-04-11,132.3,132.75,132.21,132.64,901975.0,0.0,0
2018-04-12,132.9,133.21,132.44,132.66,960305.0,0.0,0
2018-04-13,132.9,133.12,132.12,132.47,772878.0,0.0,0
2018-04-16,132.67,133.51,132.43,133.35,1045716.0,0.0,0
2018-04-17,133.59,134.06,133.26,133.71,2434224.0,0.0,0
2018-04-18,133.95,134.12,133.49,133.7,1668797.0,0.0,0
2018-04-19,133.76,133.97,131.6,132.07,1731128.0,0.0,0
2018-04-20,132.07,132.84,131.35,131.75,1794643.0,0.0,0
2018-04-23,131.96,132.14,130.7,131.74,1448729.0,0.0,0
2018-04-24,132.03,133.15,131.23,131.74,2234629.0,0.0,0
2018-04-25,132.04,132.04,130.81,132.01,1841263.0,0.0,0
2018-04-26,131.84,132.54,131.43,131.67,991332.0,0.0,0
2018-04-27,131.78,132.1,130.51,131.71,1816657.0,0.0,0
2018-04-30,131.89,131.98,130.83,131.25,981557.0,0.0,0
2018-05-01,131.13,131.19,129.36,130.95,1067096.0,0.0,0
2018-05-02,130.99,131.37,130.28,130.46,1239324.0,0.0,0
2018-05-03,130.22,130.61,128.75,130.34,1170906.0,0.0,0
2018-05-04,129.93,131.62,129.73,131.25,2079040.0,0.0,0
2018-05-07,131.79,132.25,131.12,132.15,2065256.0,0.0,0
2018-05-08,131.81,132.23,131.36,132.01,1778402.0,0.0,0
2018-05-09,132.54,132.74,131.97,132.63,1014509.0,0.0,0
2018-05-10,132.79,133.07,132.32,133.03,632043.0,0.0,0
2018-05-11,132.91,133.29,132.5,133.0,803472.0,0.0,0
2018-05-14,133.1,134.91,133.04,134.21,1929634.0,0.33,0
2018-05-15,134.11,134.65,133.88,134.22,1457857.0,0.0,0
2018-05-16,134.37,134.63,134.1,134.1,1027447.0,0.0,0
2018-05-17,134.02,135.12,134.02,134.99,1277919.0,0.0,0
2018-05-18,83.12,88.35,83.12,88.35,1324.0,0.0,0
2018-05-21,135.41,136.61,135.41,136.48,2021047.0,0.0,0
2018-05-22,84.38,84.38,83.19,83.19,347.0,0.0,0
2018-05-23,136.8,137.01,135.97,136.86,1713634.0,0.0,0
2018-05-24,87.16,87.16,83.49,83.49,14.0,0.0,0
2018-05-25,136.79,137.33,136.67,137.1,997321.0,0.0,0
2018-05-29,136.77,137.18,136.31,136.69,915003.0,0.0,0
2018-05-30,87.85,87.85,87.85,87.85,199.0,0.0,0
2018-05-31,87.36,87.36,87.36,87.36,2.0,0.0,0
2018-06-01,136.8,137.25,136.52,137.25,1005385.0,0.0,0
2018-06-04,137.39,137.59,136.44,137.09,704285.0,0.0,0
2018-06-05,137.09,137.2,136.38,136.65,945632.0,0.0,0
2018-06-06,136.8,137.25,136.68,137.22,1100802.0,0.0,0
2018-06-07,137.14,138.07,137.14,138.05,1614491.0,0.0,0
2018-06-08,138.09,138.24,137.45,138.17,984975.0,0.0,0
2018-06-11,138.09,138.23,137.77,137.94,1686427.0,0.0,0
2018-06-12,137.98,138.21,137.33,137.41,550524.0,0.0,0
2018-06-13,137.43,137.56,136.59,136.64,1574911.0,0.0,0
2018-06-14,136.75,137.13,136.29,136.88,1082685.0,0.0,0
2018-06-15,136.67,136.77,136.06,136.61,1535955.0,0.0,0
2018-06-18,136.31,136.32,135.87,136.29,1525618.0,0.0,0
2018-06-19,135.85,135.97,133.08,133.62,2891201.0,0.0,0
2018-06-20,133.62,134.58,133.16,133.9,1531772.0,0.0,0
2018-06-21,133.74,133.8,132.98,133.24,1297776.0,0.0,0
2018-06-22,133.42,134.1,133.29,133.49,2917891.0,0.0,0
2018-06-25,133.05,133.59,132.55,132.7,1734835.0,0.0,0
2018-06-26,132.69,133.83,132.69,133.37,1325357.0,0.0,0
2018-06-27,133.76,134.51,133.14,133.26,946788.0,0.0,0
2018-06-28,133.25,134.03,133.19,133.59,891715.0,0.0,0
2018-06-29,133.62,134.33,132.96,133.7,1512575.0,0.0,0
2018-07-02,133.38,134.28,132.92,134.2,1218038.0,0.0,0
2018-07-03,81.26,81.26,81.26,81.26,10.0,0.0,0
2018-07-05,134.52,134.52,133.32,134.06,978479.0,0.0,0
2018-07-06,134.02,134.88,133.55,134.38,951354.0,0.0,0
2018-07-09,134.66,135.82,134.44,135.29,1214925.0,0.0,0
2018-07-10,135.61,135.97,135.27,135.7,468266.0,0.0,0
2018-07-11,135.48,135.61,133.6,133.8,735546.0,0.0,0
2018-07-12,134.4,136.09,134.08,135.95,1324786.0,0.0,0
2018-07-13,135.91,136.95,135.91,136.86,584057.0,0.0,0
2018-07-16,136.75,137.17,136.54,136.83,385045.0,0.0,0
2018-07-17,136.95,137.0,136.32,136.32,823452.0,0.0,0
2018-07-18,136.37,137.57,136.3,136.76,968218.0,0.0,0
2018-07-19,136.47,136.68,136.02,136.15,440840.0,0.0,0
2018-07-20,135.81,136.09,135.3,135.41,879003.0,0.0,0
2018-07-23,135.51,137.02,134.55,135.23,1021967.0,0.0,0
2018-07-24,135.51,137.27,135.14,136.66,1624106.0,0.0,0
2018-07-25,136.32,136.88,135.11,136.3,1177280.0,0.0,0
