Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,30.67,30.97,30.62,30.81,1088872,0,0
2018-03-05,40.54,40.7,40.53,40.7,4592253,0,0
2018-03-13,40.6,40.65,40.57,40.58,3520974,0,0
2018-03-14,40.67,40.72,40.66,40.67,3323305,0,0
2018-03-15,40.68,40.7,40.67,40.67,1673607,0,0
2018-03-16,40.67,40.7,40.65,40.65,4511970,0,0
2018-03-19,41.32,41.46,40.92,41.02,9343514,0,0
2018-03-20,41.4,41.48,41.31,41.48,7697143,0,0
2018-03-21,41.46,41.57,41.46,41.57,2591316,0,0
2018-03-22,41.48,41.56,41.42,41.44,7106860,0,0
2018-03-23,41.5,41.6,41.4,41.44,6470417,0,0
2018-03-26,41.55,41.56,41.36,41.4,2469436,0,0
2018-03-27,41.4,41.46,41.32,41.33,4994005,0,0
2018-03-28,41.23,41.24,41.21,41.23,11454381,0,0
2018-03-29,41.22,41.23,41.21,41.23,4044048,0,0
2018-04-02,41.22,41.24,41.22,41.22,7243468,0,0
2018-04-03,41.26,41.26,41.23,41.23,17928678,0,0
