Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-11-03,0.36,0.36,0.35,0.36,1486800,0.0,0.0
1980-11-05,0.36,0.38,0.36,0.36,2736000,0.0,0.0
1980-11-06,0.36,0.36,0.35,0.35,871200,0.0,0.0
1980-11-07,0.35,0.35,0.35,0.35,662400,0.0,0.0
1980-11-10,0.35,0.35,0.35,0.35,1087200,0.0,0.0
1980-11-11,0.35,0.37,0.35,0.36,2221200,0.0,0.0
1980-11-12,0.37,0.38,0.37,0.38,2869200,0.0,0.0
1980-11-13,0.38,0.39,0.38,0.39,2026800,0.0,0.0
1980-11-14,0.39,0.39,0.38,0.39,2088000,0.0,0.0
1980-11-17,0.38,0.38,0.38,0.38,2599200,0.0,0.0
1980-11-18,0.38,0.39,0.38,0.39,2901600,0.0,0.0
1980-11-19,0.39,0.39,0.39,0.39,5814000,0.0,0.0
1980-11-20,0.39,0.39,0.38,0.38,1476000,0.0,0.0
1980-11-21,0.38,0.39,0.38,0.39,5025600,0.0,0.0
1980-11-24,0.39,0.39,0.38,0.38,3434400,0.0,0.0
1980-11-25,0.38,0.39,0.38,0.39,2376000,0.0,0.0
1980-11-26,0.39,0.39,0.38,0.38,2937600,0.0,0.0
1980-11-28,0.38,0.39,0.38,0.39,1544400,0.0,0.0
1980-12-01,0.39,0.39,0.38,0.38,4197600,0.0,0.0
1980-12-02,0.38,0.38,0.37,0.38,2178000,0.0,0.0
1980-12-03,0.38,0.38,0.37,0.38,2055600,0.0,0.0
1980-12-04,0.38,0.39,0.38,0.38,2714400,0.0,0.0
1980-12-05,0.38,0.38,0.37,0.38,2602800,0.0,0.0
1980-12-08,0.37,0.37,0.36,0.37,2916000,0.0,0.0
1980-12-09,0.37,0.37,0.36,0.37,2455200,0.0,0.0
1980-12-10,0.37,0.38,0.37,0.37,3308400,0.0,0.0
1980-12-11,0.37,0.37,0.35,0.36,3258000,0.0,0.0
1980-12-12,0.36,0.37,0.36,0.36,1926000,0.0,0.0
1980-12-15,0.37,0.37,0.37,0.37,3794400,0.0,0.0
1980-12-16,0.37,0.37,0.36,0.37,20577600,0.0,0.0
1980-12-17,0.37,0.37,0.36,0.37,1976400,0.0,0.0
1980-12-18,0.37,0.38,0.37,0.38,2988000,0.0,0.0
1980-12-19,0.38,0.38,0.38,0.38,687600,0.0,0.0
1980-12-22,0.38,0.39,0.38,0.39,1677600,0.0,0.0
1980-12-23,0.39,0.4,0.39,0.4,2552400,0.0,0.0
1980-12-24,0.4,0.41,0.4,0.41,2602800,0.0,0.0
1980-12-26,0.41,0.42,0.4,0.41,1198800,0.0,0.0
1980-12-29,0.41,0.42,0.4,0.4,1886400,0.0,0.0
1980-12-30,0.4,0.4,0.39,0.4,889200,0.0,0.0
1980-12-31,0.4,0.4,0.4,0.4,1584000,0.0,0.0
1981-01-02,0.4,0.41,0.4,0.41,1087200,0.0,0.0
1981-01-05,0.41,0.41,0.4,0.41,2239200,0.0,0.0
1981-01-06,0.41,0.42,0.41,0.41,4129200,0.0,0.0
1981-01-07,0.41,0.41,0.38,0.41,8031600,0.0,0.0
1981-01-08,0.41,0.41,0.4,0.4,5137200,0.0,0.0
1981-01-09,0.4,0.41,0.39,0.4,5760000,0.0,0.0
1981-01-12,0.4,0.4,0.4,0.4,6613200,0.0,0.0
1981-01-13,0.4,0.4,0.39,0.4,4748400,0.0,0.0
1981-01-14,0.4,0.4,0.39,0.39,2764800,0.0,0.0
1981-01-15,0.4,0.4,0.4,0.4,1634400,0.0,0.0
1981-01-16,0.4,0.41,0.4,0.41,2995200,0.0,0.0
1981-01-19,0.41,0.42,0.41,0.42,3621600,0.0,0.0
1981-01-20,0.42,0.44,0.42,0.42,4039200,0.0,0.0
1981-01-21,0.42,0.43,0.42,0.42,4212000,0.0,0.0
1981-01-22,0.42,0.43,0.42,0.42,1519200,0.0,0.0
1981-01-23,0.42,0.43,0.42,0.42,2563200,0.0,0.0
1981-01-26,0.42,0.42,0.41,0.41,1994400,0.0,0.0
1981-01-27,0.41,0.43,0.41,0.43,1854000,0.0,0.0
1981-01-28,0.43,0.43,0.42,0.43,1807200,0.0,0.0
1981-01-29,0.43,0.43,0.43,0.43,1771200,0.0,0.0
1981-01-30,0.44,0.45,0.44,0.44,5742000,0.0,0.0
1981-02-02,0.44,0.44,0.43,0.43,3632400,0.0,0.0
1981-02-03,0.43,0.43,0.43,0.43,4492800,0.0,0.0
1981-02-04,0.43,0.44,0.43,0.44,7491600,0.0,0.0
1981-02-05,0.44,0.44,0.44,0.44,4186800,0.0,0.0
1981-02-06,0.44,0.45,0.43,0.44,9828000,0.0,0.0
1981-02-09,0.44,0.44,0.42,0.42,1897200,0.0,0.0
1981-02-10,0.42,0.42,0.42,0.42,2811600,0.0,0.0
1981-02-11,0.42,0.42,0.41,0.41,2217600,0.0,0.0
1981-02-12,0.41,0.41,0.39,0.39,3286800,0.0,0.0
1981-02-13,0.39,0.39,0.38,0.38,3070800,0.0,0.0
1981-02-17,0.39,0.4,0.39,0.4,4014000,0.01778,0.0
1981-02-18,0.4,0.41,0.4,0.41,2206800,0.0,0.0
1981-02-19,0.41,0.41,0.4,0.4,2257200,0.0,0.0
1981-02-20,0.4,0.41,0.39,0.39,1616400,0.0,0.0
1981-02-23,0.39,0.41,0.39,0.4,1720800,0.0,0.0
1981-02-24,0.41,0.42,0.41,0.41,3744000,0.0,0.0
1981-02-25,0.41,0.41,0.4,0.4,2246400,0.0,0.0
1981-02-26,0.41,0.41,0.41,0.41,1854000,0.0,0.0
1981-02-27,0.41,0.41,0.4,0.4,3016800,0.0,0.0
1981-03-02,0.4,0.4,0.39,0.4,2278800,0.0,0.0
1981-03-03,0.4,0.41,0.4,0.4,2739600,0.0,0.0
1981-03-04,0.4,0.41,0.4,0.4,1317600,0.0,0.0
1981-03-05,0.4,0.41,0.4,0.4,1054800,0.0,0.0
1981-03-06,0.4,0.4,0.4,0.4,453600,0.0,0.0
1981-03-09,0.4,0.4,0.4,0.4,1238400,0.0,0.0
1981-03-10,0.4,0.4,0.4,0.4,2552400,0.0,0.0
1981-03-11,0.4,0.4,0.39,0.39,2311200,0.0,0.0
1981-03-12,0.41,0.42,0.41,0.42,5151600,0.0,0.0
1981-03-13,0.43,0.43,0.43,0.43,5324400,0.0,0.0
1981-03-16,0.43,0.44,0.43,0.44,1782000,0.0,0.0
1981-03-17,0.44,0.44,0.43,0.44,2541600,0.0,0.0
1981-03-18,0.44,0.44,0.42,0.44,2322000,0.0,0.0
1981-03-19,0.43,0.43,0.43,0.43,3243600,0.0,0.0
1981-03-20,0.43,0.44,0.43,0.44,3103200,0.0,0.0
1981-03-23,0.44,0.44,0.44,0.44,5547600,0.0,0.0
1981-03-24,0.44,0.45,0.44,0.45,5846400,0.0,0.0
1981-03-25,0.45,0.46,0.44,0.46,6897600,0.0,0.0
1981-03-26,0.46,0.47,0.46,0.47,4532400,0.0,0.0
1981-03-27,0.47,0.47,0.46,0.46,3355200,0.0,0.0
1981-03-30,0.46,0.48,0.45,0.47,2894400,0.0,0.0
1981-03-31,0.47,0.48,0.47,0.48,2296800,0.0,0.0
1981-04-01,0.47,0.47,0.46,0.46,8596800,0.0,0.0
1981-04-02,0.45,0.45,0.44,0.45,8632800,0.0,0.0
1981-04-03,0.45,0.45,0.45,0.45,4161600,0.0,0.0
1981-04-06,0.44,0.44,0.43,0.44,2160000,0.0,0.0
1981-04-07,0.44,0.45,0.44,0.45,2044800,0.0,0.0
1981-04-08,0.45,0.46,0.44,0.46,2959200,0.0,0.0
1981-04-09,0.46,0.47,0.46,0.47,2307600,0.0,0.0
1981-04-10,0.47,0.47,0.46,0.46,2214000,0.0,0.0
1981-04-13,0.46,0.46,0.45,0.45,925200,0.0,0.0
1981-04-14,0.45,0.46,0.45,0.46,1515600,0.0,0.0
1981-04-15,0.46,0.47,0.45,0.47,1141200,0.0,0.0
1981-04-16,0.47,0.47,0.46,0.46,1857600,0.0,0.0
1981-04-20,0.46,0.46,0.46,0.46,1468800,0.0,0.0
1981-04-21,0.46,0.46,0.45,0.45,4471200,0.0,0.0
