Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.13,0.13,0.13,0.13,420800,0.0,0.0
1973-02-22,0.13,0.13,0.13,0.13,92800,0.0,0.0
1973-02-23,0.14,0.14,0.14,0.14,400000,0.0,0.0
1973-02-26,0.14,0.14,0.14,0.14,187200,0.0,0.0
1973-02-27,0.13,0.13,0.13,0.13,657600,0.0,0.0
1973-02-28,0.13,0.13,0.13,0.13,235200,0.0,0.0
1973-03-01,0.14,0.14,0.14,0.14,235200,0.0,0.0
1973-03-02,0.14,0.14,0.14,0.14,128000,0.0,0.0
1973-03-05,0.13,0.13,0.13,0.13,244800,0.0,0.0
1973-03-06,0.13,0.13,0.13,0.13,235200,0.0,0.0
1973-03-07,0.14,0.14,0.14,0.14,478400,0.0,0.0
1973-03-08,0.14,0.14,0.14,0.14,299200,0.0,0.0
1973-03-09,0.14,0.14,0.14,0.14,726400,0.0,0.0
1973-03-12,0.14,0.14,0.14,0.14,166400,0.0,0.0
1973-03-13,0.14,0.14,0.14,0.14,115200,0.0,0.0
1973-03-14,0.14,0.14,0.14,0.14,36800,0.0,0.0
1973-03-15,0.14,0.14,0.14,0.14,80000,0.0,0.0
1973-03-16,0.14,0.14,0.14,0.14,86400,0.0,0.0
1973-03-19,0.14,0.14,0.14,0.14,67200,0.0,0.0
1973-03-20,0.15,0.15,0.15,0.15,72000,0.0,0.0
1973-03-21,0.14,0.14,0.14,0.14,62400,0.0,0.0
1973-03-22,0.14,0.14,0.14,0.14,516800,0.0,0.0
1973-03-23,0.14,0.14,0.14,0.14,89600,0.0,0.0
1973-03-26,0.14,0.14,0.14,0.14,75200,0.0,0.0
1973-03-27,0.14,0.14,0.14,0.14,168000,0.0,0.0
1973-03-28,0.14,0.14,0.14,0.14,148800,0.0,0.0
1973-03-29,0.14,0.14,0.14,0.14,217600,0.0,0.0
1973-03-30,0.14,0.14,0.14,0.14,222400,0.0,0.0
1973-04-02,0.14,0.14,0.14,0.14,193600,0.0,0.0
1973-04-03,0.14,0.14,0.14,0.14,307200,0.0,0.0
1973-04-04,0.14,0.14,0.14,0.14,112000,0.0,0.0
1973-04-05,0.13,0.13,0.13,0.13,507200,0.0,0.0
1973-04-06,0.14,0.14,0.14,0.14,336000,0.0,0.0
1973-04-09,0.14,0.14,0.14,0.14,121600,0.0,0.0
1973-04-10,0.14,0.14,0.14,0.14,145600,0.0,0.0
1973-04-11,0.14,0.14,0.14,0.14,94400,0.0,0.0
