Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.13,0.13,0.13,375600,0.0,0.0
1980-03-18,0.0,0.13,0.13,0.13,429000,0.0,0.0
1980-03-19,0.0,0.13,0.13,0.13,223200,0.0,0.0
1980-03-20,0.0,0.13,0.13,0.13,207200,0.0,0.0
1980-03-21,0.0,0.13,0.13,0.13,305600,0.0,0.0
1980-03-24,0.0,0.13,0.13,0.13,385400,0.0,0.0
1980-03-25,0.0,0.13,0.13,0.13,206600,0.0,0.0
1980-03-26,0.0,0.13,0.13,0.13,131600,0.0,0.0
1980-03-27,0.0,0.13,0.12,0.13,380400,0.0,0.0
1980-03-28,0.0,0.13,0.13,0.13,234000,0.0,0.0
1980-03-31,0.0,0.13,0.13,0.13,172200,0.0,0.0
1980-04-01,0.0,0.14,0.13,0.14,1267800,0.0,0.0
1980-04-02,0.0,0.14,0.14,0.14,236400,0.0,0.0
1980-04-03,0.0,0.14,0.14,0.14,199400,0.0,0.0
1980-04-07,0.0,0.14,0.14,0.14,250200,0.0,0.0
1980-04-08,0.0,0.14,0.13,0.14,513600,0.0,0.0
1980-04-09,0.0,0.14,0.13,0.14,222800,0.0,0.0
1980-04-10,0.0,0.15,0.14,0.15,970200,0.0,0.0
1980-04-11,0.0,0.15,0.15,0.15,209000,0.0,0.0
1980-04-14,0.0,0.15,0.14,0.15,156600,0.0,0.0
1980-04-15,0.0,0.15,0.14,0.14,151400,0.0,0.0
1980-04-16,0.0,0.15,0.14,0.15,350000,0.0,0.0
1980-04-17,0.0,0.15,0.15,0.15,300200,0.0,0.0
1980-04-18,0.0,0.15,0.15,0.15,306800,0.0,0.0
1980-04-21,0.0,0.15,0.15,0.15,212000,0.0,0.0
1980-04-22,0.0,0.15,0.15,0.15,275400,0.0,0.0
1980-04-23,0.0,0.15,0.15,0.15,490800,0.0,0.0
1980-04-24,0.0,0.15,0.15,0.15,412400,0.0,0.0
1980-04-25,0.0,0.15,0.15,0.15,951200,0.0,0.0
1980-04-28,0.0,0.15,0.15,0.15,237600,0.0,0.0
1980-04-29,0.0,0.15,0.15,0.15,187800,0.0,0.0
1980-04-30,0.0,0.15,0.15,0.15,185400,0.0,0.0
1980-05-01,0.0,0.15,0.15,0.15,141200,0.0,0.0
1980-05-02,0.0,0.15,0.15,0.15,503000,0.0,0.0
1980-05-05,0.0,0.16,0.15,0.16,233400,0.0,0.0
1980-05-06,0.0,0.16,0.15,0.15,310200,0.0,0.0
1980-05-07,0.0,0.16,0.16,0.16,513600,0.0,0.0
1980-05-08,0.0,0.16,0.16,0.16,322800,0.0,0.0
1980-05-09,0.0,0.16,0.15,0.15,166200,0.0,0.0
1980-05-12,0.0,0.16,0.15,0.15,176400,0.0,0.0
1980-05-13,0.0,0.16,0.15,0.16,157200,0.0,0.0
1980-05-14,0.0,0.16,0.16,0.16,300800,0.0,0.0
1980-05-15,0.0,0.16,0.16,0.16,183800,0.0,0.0
1980-05-16,0.0,0.16,0.16,0.16,191600,0.0,0.0
1980-05-19,0.0,0.16,0.16,0.16,155600,0.0,0.0
1980-05-20,0.0,0.16,0.15,0.15,310800,0.0,0.0
1980-05-21,0.0,0.16,0.15,0.16,365000,0.0,0.0
1980-05-22,0.0,0.16,0.15,0.16,984000,0.0,0.0
1980-05-23,0.0,0.15,0.15,0.15,532400,0.0,0.0
1980-05-27,0.0,0.15,0.15,0.15,404000,0.0,0.0
1980-05-28,0.0,0.15,0.15,0.15,657600,0.0,0.0
1980-05-29,0.0,0.15,0.15,0.15,1818800,0.0,0.0
1980-05-30,0.0,0.15,0.15,0.15,523400,0.0,0.0
1980-06-02,0.0,0.15,0.15,0.15,219000,0.0,0.0
1980-06-03,0.0,0.15,0.15,0.15,243000,0.0,0.0
1980-06-04,0.0,0.15,0.15,0.15,242000,0.0,0.0
1980-06-05,0.0,0.15,0.15,0.15,452000,0.0,0.0
1980-06-06,0.0,0.16,0.15,0.16,666000,0.0,0.0
1980-06-09,0.0,0.16,0.15,0.16,176400,0.0,0.0
1980-06-10,0.0,0.16,0.15,0.16,452600,0.0,0.0
1980-06-11,0.0,0.16,0.14,0.15,254600,0.0,0.0
1980-06-12,0.0,0.16,0.15,0.15,229200,0.0,0.0
1980-06-13,0.0,0.16,0.15,0.16,644600,0.0,0.0
1980-06-16,0.0,0.16,0.16,0.16,423200,0.0,0.0
1980-06-17,0.0,0.16,0.16,0.16,285200,0.0,0.0
1980-06-18,0.0,0.16,0.16,0.16,557400,0.0,0.0
1980-06-19,0.0,0.16,0.16,0.16,450800,0.0,0.0
1980-06-20,0.0,0.16,0.16,0.16,266000,0.0,0.0
1980-06-23,0.0,0.16,0.16,0.16,299600,0.0,0.0
1980-06-24,0.0,0.16,0.16,0.16,291600,0.0,0.0
1980-06-25,0.0,0.16,0.16,0.16,195000,0.0,0.0
1980-06-26,0.0,0.16,0.16,0.16,233000,0.0,0.0
1980-06-27,0.0,0.16,0.16,0.16,156200,0.0,0.0
1980-06-30,0.0,0.16,0.16,0.16,173400,0.0,0.0
1980-07-01,0.0,0.16,0.16,0.16,297200,0.0,0.0
1980-07-02,0.0,0.16,0.16,0.16,294000,0.0,0.0
1980-07-03,0.0,0.16,0.16,0.16,195200,0.0,0.0
1980-07-07,0.0,0.16,0.15,0.16,266600,0.0,0.0
1980-07-08,0.0,0.16,0.16,0.16,224400,0.0,0.0
1980-07-09,0.0,0.16,0.16,0.16,248400,0.0,0.0
1980-07-10,0.0,0.16,0.16,0.16,166200,0.0,0.0
1980-07-11,0.0,0.16,0.15,0.16,582600,0.0,0.0
1980-07-14,0.0,0.16,0.15,0.16,223400,0.0,0.0
1980-07-15,0.0,0.16,0.15,0.15,657800,0.0,0.0
1980-07-16,0.0,0.16,0.15,0.15,379400,0.0,0.0
1980-07-17,0.0,0.15,0.15,0.15,392600,0.0,0.0
1980-07-18,0.0,0.15,0.15,0.15,305000,0.0,0.0
1980-07-21,0.0,0.15,0.15,0.15,347600,0.0,0.0
1980-07-22,0.0,0.15,0.15,0.15,363800,0.0,0.0
1980-07-23,0.0,0.15,0.15,0.15,361800,0.0,0.0
1980-07-24,0.0,0.15,0.15,0.15,158400,0.0,0.0
1980-07-25,0.0,0.15,0.15,0.15,365400,0.0,0.0
1980-07-28,0.0,0.15,0.15,0.15,422000,0.0,0.0
1980-07-29,0.0,0.15,0.15,0.15,223800,0.0,0.0
1980-07-30,0.0,0.15,0.15,0.15,173000,0.0,0.0
1980-07-31,0.0,0.15,0.15,0.15,306000,0.0,0.0
1980-08-01,0.0,0.15,0.15,0.15,161400,0.0,0.0
1980-08-04,0.0,0.15,0.15,0.15,200600,0.0,0.0
1980-08-05,0.0,0.15,0.15,0.15,295800,0.0,0.0
1980-08-06,0.0,0.15,0.15,0.15,371400,0.0,0.0
1980-08-07,0.0,0.15,0.15,0.15,513200,0.0,0.0
1980-08-08,0.0,0.15,0.15,0.15,143600,0.0,0.0
1980-08-11,0.0,0.15,0.15,0.15,143400,0.0,0.0
1980-08-12,0.0,0.15,0.15,0.15,183800,0.0,0.0
1980-08-13,0.0,0.16,0.15,0.16,530000,0.0,0.0
1980-08-14,0.0,0.16,0.15,0.15,159200,0.0,0.0
1980-08-15,0.0,0.15,0.15,0.15,184200,0.0,0.0
1980-08-18,0.0,0.15,0.15,0.15,232400,0.0,0.0
1980-08-19,0.0,0.15,0.15,0.15,320400,0.0,0.0
1980-08-20,0.0,0.15,0.15,0.15,262200,0.0,0.0
1980-08-21,0.0,0.16,0.15,0.16,812400,0.0,0.0
1980-08-22,0.0,0.16,0.15,0.15,467600,0.0,0.0
1980-08-25,0.0,0.15,0.15,0.15,444600,0.0,0.0
1980-08-26,0.0,0.15,0.15,0.15,237000,0.0,0.0
1980-08-27,0.0,0.15,0.15,0.15,138200,0.0,0.0
1980-08-28,0.0,0.15,0.15,0.15,177600,0.0,0.0
1980-08-29,0.0,0.15,0.15,0.15,769400,0.0,0.0
1980-09-02,0.0,0.15,0.15,0.15,152000,0.0,0.0
1980-09-03,0.0,0.15,0.15,0.15,265400,0.0,0.0
1980-09-04,0.0,0.15,0.15,0.15,189600,0.0,0.0
1980-09-05,0.0,0.15,0.15,0.15,95400,0.0,0.0
1980-09-08,0.0,0.15,0.15,0.15,125000,0.0,0.0
1980-09-09,0.0,0.15,0.15,0.15,158400,0.0,0.0
1980-09-10,0.0,0.15,0.15,0.15,122600,0.0,0.0
1980-09-11,0.0,0.15,0.15,0.15,117000,0.0,0.0
1980-09-12,0.0,0.15,0.15,0.15,326600,0.0,0.0
1980-09-15,0.0,0.15,0.15,0.15,177600,0.0,0.0
1980-09-16,0.0,0.15,0.15,0.15,543000,0.0,0.0
1980-09-17,0.0,0.15,0.15,0.15,466800,0.0,0.0
1980-09-18,0.0,0.15,0.15,0.15,1552800,0.0,0.0
1980-09-19,0.0,0.15,0.15,0.15,278400,0.0,0.0
1980-09-22,0.0,0.15,0.14,0.15,857000,0.0,0.0
1980-09-23,0.0,0.15,0.14,0.15,201000,0.0,0.0
1980-09-24,0.0,0.15,0.14,0.14,172200,0.0,0.0
1980-09-25,0.0,0.15,0.14,0.14,361400,0.0,0.0
1980-09-26,0.0,0.14,0.14,0.14,158600,0.0,0.0
1980-09-29,0.0,0.14,0.14,0.14,222000,0.0,0.0
1980-09-30,0.0,0.14,0.14,0.14,150000,0.0,0.0
1980-10-01,0.0,0.14,0.14,0.14,638400,0.0,0.0
