Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-12-17,2.95,2.95,2.75,2.75,1272400,0.0,0.0
1996-12-18,2.75,2.82,2.6,2.8,1186800,0.0,0.0
1996-12-19,2.82,2.92,2.82,2.87,528800,0.0,0.0
1996-12-20,2.85,2.92,2.85,2.92,233200,0.0,0.0
1996-12-23,2.95,3.02,2.92,3.0,57200,0.0,0.0
1996-12-24,3.02,3.07,3.02,3.07,14000,0.0,0.0
1996-12-26,3.07,3.09,3.0,3.0,22000,0.0,0.0
1996-12-27,3.0,3.0,3.0,3.0,800,0.0,0.0
1996-12-30,3.02,3.02,2.97,2.97,28400,0.0,0.0
1996-12-31,2.95,2.97,2.95,2.97,15600,0.0,0.0
1997-01-02,2.95,2.95,2.87,2.87,710000,0.0,0.0
1997-01-03,2.87,2.97,2.87,2.95,1579600,0.0,0.0
1997-01-06,2.97,3.0,2.95,2.97,2490800,0.0,0.0
1997-01-07,3.0,3.14,2.97,3.14,641200,0.0,0.0
1997-01-08,3.19,3.29,3.17,3.17,336000,0.0,0.0
1997-01-09,3.17,3.22,3.17,3.19,459200,0.0,0.0
1997-01-10,3.22,3.24,3.19,3.22,812800,0.0,0.0
1997-01-13,3.22,3.22,3.14,3.19,3370000,0.0,0.0
1997-01-14,3.32,3.49,3.29,3.49,2018000,0.0,0.0
1997-01-15,3.39,3.41,3.22,3.22,2648400,0.0,0.0
1997-01-16,3.14,3.19,3.12,3.14,2926000,0.0,0.0
1997-01-17,3.14,3.19,3.12,3.17,1323600,0.0,0.0
1997-01-20,3.14,3.17,3.12,3.12,2368400,0.0,0.0
1997-01-21,3.14,3.17,3.14,3.14,2347200,0.0,0.0
1997-01-22,3.17,3.17,3.14,3.14,2797600,0.0,0.0
1997-01-23,3.19,3.27,3.19,3.22,1058800,0.0,0.0
1997-01-24,3.22,3.36,3.17,3.17,1254800,0.0,0.0
1997-01-27,3.17,3.22,3.17,3.17,1658000,0.0,0.0
1997-01-28,3.17,3.29,3.14,3.14,1005600,0.0,0.0
1997-01-29,3.14,3.22,3.12,3.14,1512000,0.0,0.0
1997-01-30,3.14,3.19,3.12,3.14,2211200,0.0,0.0
1997-01-31,3.09,3.14,3.07,3.09,1540400,0.0,0.0
1997-02-03,3.09,3.19,3.07,3.19,1889600,0.0,0.0
1997-02-04,3.19,3.24,3.17,3.24,1865600,0.0,0.0
1997-02-05,3.24,3.27,3.22,3.27,458400,0.0,0.0
1997-02-06,3.24,3.27,3.24,3.24,643600,0.0,0.0
1997-02-07,3.24,3.32,3.22,3.29,2542800,0.0,0.0
1997-02-10,3.24,3.27,3.22,3.24,944000,0.0,0.0
1997-02-11,3.19,3.27,3.19,3.24,772000,0.0,0.0
1997-02-12,3.22,3.24,3.19,3.22,400400,0.0,0.0
1997-02-13,3.22,3.36,3.22,3.32,1190800,0.0,0.0
1997-02-14,3.32,3.32,3.22,3.24,1210800,0.0,0.0
1997-02-18,3.19,3.27,3.19,3.24,2076800,0.0,0.0
1997-02-19,3.22,3.29,3.22,3.27,830800,0.0,0.0
1997-02-20,3.24,3.44,3.24,3.32,1074000,0.0,0.0
1997-02-21,3.32,3.36,3.29,3.34,638800,0.0,0.0
1997-02-24,3.34,3.46,3.34,3.46,1108000,0.0,0.0
1997-02-25,3.46,3.51,3.44,3.49,462000,0.0,0.0
1997-02-26,3.44,3.46,3.39,3.41,525600,0.0,0.0
1997-02-27,3.39,3.49,3.34,3.36,854800,0.0,0.0
1997-02-28,3.27,3.36,3.19,3.32,514400,0.0,0.0
1997-03-03,3.27,3.39,3.27,3.32,385600,0.0,0.0
1997-03-04,3.34,3.34,3.29,3.32,803600,0.0,0.0
1997-03-05,3.29,3.32,3.22,3.27,1542000,0.0,0.0
1997-03-06,3.27,3.27,3.22,3.24,408800,0.0,0.0
1997-03-07,3.22,3.24,3.12,3.19,968400,0.0,0.0
1997-03-10,3.19,3.24,3.19,3.22,331200,0.0,0.0
1997-03-11,3.22,3.27,3.22,3.22,1434000,0.0,0.0
1997-03-12,3.22,3.24,3.22,3.24,558000,0.0,0.0
1997-03-13,3.19,3.22,3.19,3.19,362800,0.0,0.0
1997-03-14,3.19,3.24,3.19,3.22,964800,0.0,0.0
1997-03-17,3.22,3.22,3.14,3.14,387600,0.0,0.0
1997-03-18,3.19,3.19,3.14,3.17,303600,0.0,0.0
1997-03-19,3.17,3.22,3.17,3.22,2478000,0.0,0.0
1997-03-20,3.22,3.22,3.17,3.19,196000,0.0,0.0
1997-03-21,3.17,3.22,3.12,3.14,806000,0.0,0.0
1997-03-24,3.12,3.14,3.07,3.07,227600,0.0,0.0
1997-03-25,3.02,3.09,2.97,3.0,256400,0.0,0.0
1997-03-26,2.95,2.97,2.87,2.97,317600,0.0,0.0
1997-03-27,2.95,3.02,2.95,3.0,231200,0.0,0.0
1997-03-31,2.97,3.02,2.92,2.92,335200,0.0,0.0
1997-04-01,2.92,2.95,2.9,2.9,514400,0.0,0.0
1997-04-02,2.9,2.92,2.87,2.87,270000,0.0,0.0
1997-04-03,2.9,2.92,2.87,2.9,285600,0.0,0.0
1997-04-04,2.9,2.92,2.9,2.9,2198000,0.0,0.0
1997-04-07,2.9,2.9,2.85,2.87,146800,0.0,0.0
1997-04-08,2.85,2.92,2.8,2.92,271200,0.0,0.0
1997-04-09,2.9,2.97,2.87,2.97,386400,0.0,0.0
