Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-05,1.03,1.05,1.03,1.03,14559600,0.0,0.0
1992-06-08,1.03,1.05,1.03,1.03,1305600,0.0,0.0
1992-06-09,1.03,1.03,0.98,0.98,1940500,0.0,0.0
1992-06-10,0.98,1.02,0.98,0.98,665300,0.0,0.0
1992-06-11,0.98,0.98,0.93,0.93,1381300,0.0,0.0
1992-06-12,0.93,0.97,0.93,0.93,500900,0.0,0.0
1992-06-15,0.93,0.97,0.93,0.97,207700,0.0,0.0
1992-06-16,0.95,0.98,0.93,0.95,339700,0.0,0.0
1992-06-17,0.95,0.98,0.95,0.95,522100,0.0,0.0
1992-06-18,0.93,0.98,0.93,0.93,321700,0.0,0.0
1992-06-19,0.93,0.98,0.93,0.93,985300,0.0,0.0
1992-06-22,0.93,0.96,0.93,0.93,628400,0.0,0.0
1992-06-23,0.93,0.96,0.93,0.93,330100,0.0,0.0
1992-06-24,0.96,0.96,0.93,0.93,300500,0.0,0.0
1992-06-25,0.93,0.96,0.93,0.93,349700,0.0,0.0
1992-06-26,0.93,0.96,0.93,0.96,422400,0.0,0.0
1992-06-29,0.95,0.96,0.93,0.93,214100,0.0,0.0
1992-06-30,0.96,0.96,0.93,0.96,189600,0.0,0.0
1992-07-01,0.93,0.98,0.93,0.96,288000,0.0,0.0
1992-07-02,0.98,0.98,0.93,0.93,516800,0.0,0.0
1992-07-06,0.93,0.96,0.93,0.96,94800,0.0,0.0
1992-07-07,0.93,0.96,0.93,0.93,228000,0.0,0.0
1992-07-08,0.93,0.93,0.89,0.89,448400,0.0,0.0
1992-07-09,0.89,0.92,0.86,0.86,94900,0.0,0.0
1992-07-10,0.86,0.91,0.86,0.86,175200,0.0,0.0
1992-07-13,0.88,0.91,0.86,0.91,149300,0.0,0.0
1992-07-14,0.89,0.93,0.86,0.91,381700,0.0,0.0
1992-07-15,0.96,0.96,0.91,0.96,94800,0.0,0.0
1992-07-16,0.91,0.93,0.91,0.93,13700,0.0,0.0
1992-07-17,0.91,0.96,0.91,0.96,168100,0.0,0.0
1992-07-20,0.95,0.96,0.91,0.96,216100,0.0,0.0
1992-07-21,0.91,0.96,0.91,0.91,44400,0.0,0.0
1992-07-22,0.91,0.96,0.91,0.91,56900,0.0,0.0
1992-07-23,0.93,0.96,0.93,0.93,63600,0.0,0.0
1992-07-24,0.93,0.96,0.89,0.93,149600,0.0,0.0
1992-07-27,0.89,0.9,0.89,0.9,232900,0.0,0.0
1992-07-28,0.93,0.93,0.89,0.93,257600,0.0,0.0
1992-07-29,0.89,0.98,0.89,0.98,261600,0.0,0.0
1992-07-30,0.93,1.0,0.93,0.96,546000,0.0,0.0
1992-07-31,0.97,1.02,0.97,0.98,394900,0.0,0.0
1992-08-03,1.0,1.0,0.98,0.98,88100,0.0,0.0
1992-08-04,0.98,1.0,0.97,0.97,114500,0.0,0.0
1992-08-05,0.97,1.0,0.96,1.0,164000,0.0,0.0
1992-08-06,0.99,0.99,0.97,0.97,267600,0.0,0.0
1992-08-07,0.96,0.99,0.96,0.96,314400,0.0,0.0
1992-08-10,0.96,0.98,0.96,0.98,144800,0.0,0.0
1992-08-11,0.97,0.99,0.96,0.96,47300,0.0,0.0
1992-08-12,0.96,0.99,0.96,0.96,1644500,0.0,0.0
1992-08-13,0.96,0.96,0.96,0.96,127300,0.0,0.0
1992-08-14,0.96,1.0,0.96,1.0,343200,0.0,0.0
1992-08-17,0.98,1.0,0.96,0.96,82100,0.0,0.0
1992-08-18,0.96,0.96,0.96,0.96,64400,0.0,0.0
1992-08-19,0.96,1.0,0.91,0.93,456500,0.0,0.0
1992-08-20,0.93,0.96,0.89,0.93,334900,0.0,0.0
1992-08-21,0.93,0.93,0.89,0.91,252500,0.0,0.0
1992-08-24,0.93,0.93,0.91,0.91,17300,0.0,0.0
1992-08-25,0.93,0.93,0.93,0.93,500,0.0,0.0
1992-08-26,0.89,0.9,0.89,0.89,93200,0.0,0.0
1992-08-27,0.93,0.93,0.89,0.93,188000,0.0,0.0
1992-08-28,0.92,0.96,0.91,0.96,248900,0.0,0.0
1992-08-31,0.91,0.96,0.91,0.96,289300,0.0,0.0
1992-09-01,0.96,0.96,0.91,0.91,49300,0.0,0.0
1992-09-02,0.92,0.92,0.91,0.91,88100,0.0,0.0
1992-09-03,0.89,0.93,0.89,0.89,520900,0.0,0.0
1992-09-04,0.86,0.89,0.79,0.84,855600,0.0,0.0
1992-09-08,0.86,0.86,0.79,0.79,116400,0.0,0.0
1992-09-09,0.82,0.86,0.75,0.75,453600,0.0,0.0
1992-09-10,0.75,0.82,0.72,0.75,816000,0.0,0.0
1992-09-11,0.72,0.75,0.72,0.75,895300,0.0,0.0
1992-09-14,0.72,0.77,0.72,0.77,673700,0.0,0.0
1992-09-15,0.77,0.79,0.75,0.77,990500,0.0,0.0
1992-09-16,0.75,0.79,0.75,0.76,26000,0.0,0.0
1992-09-17,0.78,0.83,0.78,0.82,631200,0.0,0.0
1992-09-18,0.79,0.83,0.79,0.83,22900,0.0,0.0
1992-09-21,0.83,0.84,0.79,0.83,45700,0.0,0.0
1992-09-22,0.79,0.84,0.79,0.82,142800,0.0,0.0
1992-09-23,0.79,0.83,0.79,0.82,1380000,0.0,0.0
1992-09-24,0.84,0.84,0.82,0.82,131300,0.0,0.0
1992-09-25,0.82,0.84,0.82,0.82,405700,0.0,0.0
1992-09-28,0.82,0.84,0.82,0.82,60800,0.0,0.0
1992-09-29,0.86,0.86,0.82,0.83,113600,0.0,0.0
1992-09-30,0.82,0.85,0.82,0.82,372500,0.0,0.0
1992-10-01,0.82,0.82,0.82,0.82,21700,0.0,0.0
1992-10-02,0.82,0.86,0.82,0.84,8400,0.0,0.0
1992-10-05,0.78,0.78,0.77,0.77,16800,0.0,0.0
1992-10-06,0.79,0.79,0.77,0.77,201700,0.0,0.0
1992-10-07,0.77,0.77,0.77,0.77,0,0.0,0.0
1992-10-08,0.77,0.84,0.77,0.77,156100,0.0,0.0
1992-10-09,0.77,0.79,0.75,0.75,335600,0.0,0.0
1992-10-12,0.74,0.77,0.74,0.76,159700,0.0,0.0
1992-10-13,0.77,0.77,0.75,0.75,106400,0.0,0.0
1992-10-14,0.75,0.77,0.65,0.68,545600,0.0,0.0
1992-10-15,0.65,0.72,0.65,0.72,271700,0.0,0.0
1992-10-16,0.65,0.72,0.65,0.72,616900,0.0,0.0
1992-10-19,0.72,0.72,0.65,0.72,70100,0.0,0.0
1992-10-20,0.65,0.72,0.65,0.68,192800,0.0,0.0
1992-10-21,0.72,0.72,0.65,0.72,47300,0.0,0.0
1992-10-22,0.72,0.72,0.67,0.68,80900,0.0,0.0
1992-10-23,0.72,0.72,0.68,0.68,54800,0.0,0.0
1992-10-26,0.68,0.72,0.68,0.68,134500,0.0,0.0
1992-10-27,0.72,0.72,0.68,0.72,25200,0.0,0.0
1992-10-28,0.68,0.75,0.68,0.75,188000,0.0,0.0
1992-10-29,0.7,0.75,0.7,0.75,76100,0.0,0.0
1992-10-30,0.75,0.75,0.7,0.71,97200,0.0,0.0
1992-11-02,0.75,0.77,0.75,0.77,70100,0.0,0.0
1992-11-03,0.77,0.77,0.75,0.75,10800,0.0,0.0
1992-11-04,0.79,0.84,0.79,0.84,242500,0.0,0.0
1992-11-05,0.79,0.84,0.79,0.82,162000,0.0,0.0
1992-11-06,0.82,0.82,0.72,0.77,134500,0.0,0.0
1992-11-09,0.77,0.77,0.72,0.77,36800,0.0,0.0
1992-11-10,0.77,0.77,0.7,0.7,134500,0.0,0.0
1992-11-11,0.75,0.77,0.7,0.77,118900,0.0,0.0
1992-11-12,0.77,0.77,0.75,0.77,233300,0.0,0.0
1992-11-13,0.75,0.77,0.75,0.77,45700,0.0,0.0
1992-11-16,0.75,0.77,0.72,0.75,133300,0.0,0.0
1992-11-17,0.75,0.82,0.75,0.82,189600,0.0,0.0
1992-11-18,0.82,0.84,0.79,0.82,88100,0.0,0.0
1992-11-19,0.79,0.89,0.79,0.89,328100,0.0,0.0
1992-11-20,0.89,0.89,0.82,0.89,223300,0.0,0.0
1992-11-23,0.89,0.89,0.84,0.84,17300,0.0,0.0
1992-11-24,0.89,0.89,0.84,0.84,139700,0.0,0.0
1992-11-25,0.84,0.89,0.84,0.85,60500,0.0,0.0
1992-11-27,0.86,0.86,0.86,0.86,13700,0.0,0.0
1992-11-30,0.89,0.89,0.89,0.89,10800,0.0,0.0
1992-12-01,0.84,0.89,0.84,0.84,64400,0.0,0.0
1992-12-02,0.86,0.89,0.84,0.84,55200,0.0,0.0
1992-12-03,0.84,0.89,0.84,0.84,61300,0.0,0.0
1992-12-04,0.89,0.89,0.84,0.86,855700,0.0,0.0
1992-12-07,0.89,0.89,0.84,0.84,100900,0.0,0.0
1992-12-08,0.86,0.89,0.84,0.84,758400,0.0,0.0
1992-12-09,0.84,0.89,0.84,0.84,78100,0.0,0.0
1992-12-10,0.84,0.89,0.84,0.89,85200,0.0,0.0
1992-12-11,0.89,0.89,0.79,0.79,53600,0.0,0.0
1992-12-14,0.79,0.79,0.75,0.77,68900,0.0,0.0
1992-12-15,0.75,0.79,0.75,0.75,268100,0.0,0.0
1992-12-16,0.79,0.79,0.75,0.79,825200,0.0,0.0
1992-12-17,0.79,0.79,0.75,0.75,58900,0.0,0.0
1992-12-18,0.79,0.79,0.75,0.79,354100,0.0,0.0
1992-12-21,0.75,0.78,0.75,0.78,134000,0.0,0.0
1992-12-22,0.75,0.86,0.75,0.84,295200,0.0,0.0
1992-12-23,0.88,0.91,0.86,0.86,428000,0.0,0.0
1992-12-24,0.93,0.93,0.86,0.86,16800,0.0,0.0
1992-12-28,0.86,0.91,0.86,0.86,109300,0.0,0.0
1992-12-29,0.86,0.93,0.86,0.86,81700,0.0,0.0
1992-12-30,0.86,0.93,0.86,0.86,202900,0.0,0.0
1992-12-31,0.89,0.93,0.89,0.91,1239700,0.0,0.0
