Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-02-06,0.0,1.94,1.94,1.94,0,0.0,0.0
1986-02-07,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-10,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-11,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-12,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-13,0.0,1.94,1.94,1.94,0,0.0,0.0
1986-02-14,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-18,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-19,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-20,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-21,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-24,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-25,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-26,1.94,1.94,1.94,1.94,0,0.0,0.0
1986-02-27,0.0,1.94,1.94,1.94,400,0.0,0.0
1986-02-28,0.0,1.94,1.94,1.94,400,0.0,0.0
1986-03-03,0.0,1.94,1.91,1.91,4200,0.0,0.0
1986-03-04,0.0,1.94,1.91,1.91,12400,0.0,0.0
1986-03-05,0.0,1.94,1.91,1.94,9000,0.0,0.0
1986-03-06,0.0,1.94,1.91,1.94,2000,0.0,0.0
1986-03-07,0.0,1.94,1.91,1.91,3600,0.0,0.0
1986-03-10,0.0,1.94,1.91,1.94,3000,0.0,0.0
1986-03-11,0.0,1.94,1.91,1.91,5800,0.0,0.0
1986-03-12,0.0,1.94,1.91,1.91,33200,0.0,0.0
1986-03-13,0.0,1.94,1.91,1.91,3800,0.0,0.0
1986-03-14,0.0,1.94,1.91,1.94,3000,0.0,0.0
1986-03-17,0.0,1.94,1.91,1.94,3800,0.0,0.0
1986-03-18,0.0,1.94,1.91,1.91,5000,0.0,0.0
1986-03-19,0.0,1.94,1.91,1.91,1800,0.0,0.0
1986-03-20,0.0,1.94,1.91,1.91,5200,0.0,0.0
1986-03-21,0.0,1.94,1.91,1.94,9000,0.0,0.0
1986-03-24,0.0,1.94,1.91,1.91,4200,0.0,0.0
1986-03-25,0.0,1.94,1.91,1.91,4400,0.0,0.0
1986-03-26,0.0,1.94,1.91,1.94,3200,0.0,0.0
1986-03-27,0.0,1.91,1.91,1.91,8200,0.0,0.0
1986-03-31,0.0,1.94,1.91,1.91,6600,0.0,0.0
1986-04-01,0.0,1.91,1.91,1.91,6800,0.0,0.0
1986-04-02,0.0,1.91,1.91,1.91,5600,0.0,0.0
1986-04-03,0.0,1.94,1.91,1.91,2800,0.0,0.0
1986-04-04,0.0,1.94,1.91,1.91,5800,0.0,0.0
1986-04-07,0.0,1.94,1.88,1.88,4000,0.0,0.0
1986-04-08,0.0,1.91,1.88,1.88,3000,0.0,0.0
1986-04-09,0.0,1.91,1.88,1.88,1800,0.0,0.0
1986-04-10,0.0,1.91,1.88,1.91,7200,0.0,0.0
1986-04-11,0.0,1.91,1.88,1.88,3600,0.0,0.0
1986-04-14,0.0,1.91,1.88,1.88,9800,0.0,0.0
1986-04-15,0.0,1.88,1.85,1.88,4800,0.0,0.0
1986-04-16,0.0,1.88,1.85,1.88,3200,0.0,0.0
1986-04-17,0.0,1.88,1.85,1.85,14400,0.0,0.0
1986-04-18,0.0,1.88,1.79,1.82,8000,0.0,0.0
1986-04-21,0.0,1.82,1.76,1.79,12200,0.0,0.0
1986-04-22,0.0,1.82,1.79,1.82,2200,0.0,0.0
1986-04-23,0.0,1.82,1.79,1.79,2200,0.0,0.0
1986-04-24,0.0,1.85,1.82,1.85,8600,0.0,0.0
1986-04-25,0.0,1.85,1.76,1.79,8800,0.0,0.0
1986-04-28,0.0,1.85,1.73,1.82,14800,0.0,0.0
1986-04-29,0.0,1.82,1.76,1.76,4000,0.0,0.0
1986-04-30,0.0,1.82,1.73,1.82,3000,0.0,0.0
1986-05-01,0.0,1.82,1.76,1.82,5400,0.0,0.0
1986-05-02,0.0,1.82,1.79,1.82,3200,0.0,0.0
1986-05-05,0.0,1.88,1.82,1.88,7000,0.0,0.0
1986-05-06,0.0,1.97,1.88,1.97,13600,0.0,0.0
1986-05-07,0.0,1.97,1.94,1.97,4800,0.0,0.0
1986-05-08,0.0,2.01,1.97,2.01,5400,0.0,0.0
1986-05-09,0.0,2.04,2.01,2.01,3000,0.0,0.0
1986-05-12,0.0,2.04,1.97,2.04,4200,0.0,0.0
1986-05-13,0.0,2.04,2.01,2.01,1600,0.0,0.0
1986-05-14,0.0,2.01,2.01,2.01,200,0.0,0.0
1986-05-15,0.0,2.01,1.97,1.97,2000,0.0,0.0
1986-05-16,0.0,1.97,1.94,1.97,1600,0.0,0.0
1986-05-19,0.0,1.97,1.88,1.88,1800,0.0,0.0
1986-05-20,0.0,1.88,1.85,1.88,1000,0.0,0.0
1986-05-21,0.0,1.82,1.76,1.82,4400,0.0,0.0
1986-05-22,0.0,1.88,1.79,1.82,6400,0.0,0.0
1986-05-23,0.0,1.85,1.79,1.82,3200,0.0,0.0
1986-05-27,0.0,1.91,1.85,1.91,600,0.0,0.0
1986-05-28,0.0,1.91,1.85,1.85,2000,0.0,0.0
1986-05-29,0.0,1.91,1.85,1.91,1800,0.0,0.0
1986-05-30,0.0,1.91,1.88,1.91,1200,0.0,0.0
1986-06-02,0.0,1.91,1.85,1.85,2200,0.0,0.0
1986-06-03,0.0,1.85,1.79,1.79,6600,0.0,0.0
1986-06-04,0.0,1.82,1.79,1.79,3800,0.0,0.0
1986-06-05,1.79,1.79,1.79,1.79,0,0.0,0.0
1986-06-06,0.0,1.82,1.82,1.82,800,0.0,0.0
1986-06-09,0.0,1.85,1.85,1.85,0,0.0,0.0
1986-06-10,0.0,1.85,1.82,1.82,2200,0.0,0.0
1986-06-11,0.0,1.85,1.82,1.82,1000,0.0,0.0
1986-06-12,0.0,1.85,1.82,1.85,1800,0.0,0.0
1986-06-13,0.0,1.91,1.82,1.82,3600,0.0,0.0
1986-06-16,0.0,1.88,1.79,1.88,4400,0.0,0.0
1986-06-17,0.0,1.88,1.88,1.88,200,0.0,0.0
