Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.52,0.51,0.51,1600,0.0,0.0
1962-01-03,0.0,0.51,0.51,0.51,4400,0.0,0.0
1962-01-04,0.0,0.51,0.5,0.5,6600,0.0,0.0
1962-01-05,0.0,0.5,0.49,0.49,9000,0.0,0.0
1962-01-08,0.0,0.49,0.49,0.49,5800,0.0,0.0
1962-01-09,0.0,0.5,0.49,0.5,4400,0.0,0.0
1962-01-10,0.0,0.5,0.49,0.5,4000,0.0,0.0
1962-01-11,0.0,0.5,0.49,0.5,3600,0.0,0.0
1962-01-12,0.0,0.51,0.5,0.51,3000,0.0,0.0
1962-01-15,0.0,0.5,0.5,0.5,3000,0.0,0.0
1962-01-16,0.0,0.5,0.5,0.5,3800,0.0,0.0
1962-01-17,0.0,0.5,0.5,0.5,1000,0.0,0.0
1962-01-18,0.0,0.5,0.49,0.49,3400,0.0,0.0
1962-01-19,0.0,0.49,0.49,0.49,800,0.0,0.0
1962-01-22,0.0,0.5,0.49,0.5,5400,0.0,0.0
1962-01-23,0.0,0.5,0.49,0.49,5800,0.0,0.0
1962-01-24,0.0,0.49,0.49,0.49,4400,0.0,0.0
1962-01-25,0.0,0.49,0.49,0.49,3400,0.0,0.0
1962-01-26,0.0,0.49,0.49,0.49,2200,0.0,0.0
1962-01-29,0.0,0.49,0.48,0.48,2000,0.0,0.0
1962-01-30,0.0,0.48,0.48,0.48,3600,0.0,0.0
1962-01-31,0.0,0.48,0.47,0.48,5400,0.0,0.0
1962-02-01,0.0,0.48,0.48,0.48,4600,0.0,0.0
1962-02-02,0.0,0.48,0.48,0.48,2200,0.0,0.0
1962-02-05,0.0,0.49,0.48,0.48,8800,0.0,0.0
1962-02-06,0.0,0.49,0.48,0.48,4400,0.0,0.0
1962-02-07,0.0,0.49,0.49,0.49,5800,0.0,0.0
1962-02-08,0.0,0.5,0.5,0.5,3800,0.0,0.0
1962-02-09,0.0,0.5,0.5,0.5,2600,0.0,0.0
1962-02-12,0.0,0.51,0.5,0.51,3000,0.0,0.0
1962-02-13,0.0,0.51,0.5,0.51,8400,0.0,0.0
1962-02-14,0.0,0.51,0.5,0.5,2000,0.0,0.0
1962-02-15,0.0,0.51,0.5,0.51,1800,0.0,0.0
1962-02-16,0.0,0.51,0.5,0.5,800,0.0,0.0
1962-02-19,0.0,0.51,0.5,0.51,1600,0.0,0.0
1962-02-20,0.0,0.51,0.5,0.5,1000,0.0,0.0
1962-02-21,0.0,0.51,0.5,0.5,5000,0.0,0.0
1962-02-23,0.0,0.51,0.5,0.5,3600,0.0,0.0
1962-02-26,0.0,0.51,0.5,0.51,2000,0.0,0.0
1962-02-27,0.0,0.51,0.5,0.51,1600,0.0,0.0
1962-02-28,0.0,0.51,0.51,0.51,1600,0.0,0.0
1962-03-01,0.0,0.51,0.5,0.5,3200,0.0,0.0
1962-03-02,0.0,0.5,0.5,0.5,1800,0.0,0.0
1962-03-05,0.0,0.5,0.5,0.5,3000,0.0,0.0
1962-03-06,0.0,0.5,0.5,0.5,1200,0.0,0.0
1962-03-07,0.0,0.5,0.5,0.5,1400,0.0,0.0
1962-03-08,0.0,0.5,0.5,0.5,1000,0.0,0.0
1962-03-09,0.0,0.5,0.5,0.5,1200,0.0,0.0
1962-03-12,0.0,0.5,0.49,0.49,2200,0.0,0.0
1962-03-13,0.0,0.5,0.49,0.5,2000,0.0,0.0
1962-03-14,0.0,0.5,0.49,0.5,3800,0.0,0.0
1962-03-15,0.0,0.5,0.5,0.5,6400,0.0,0.0
1962-03-16,0.0,0.51,0.5,0.51,2600,0.0,0.0
1962-03-19,0.0,0.51,0.5,0.5,1600,0.0,0.0
1962-03-20,0.0,0.51,0.5,0.5,1200,0.0,0.0
1962-03-21,0.0,0.51,0.5,0.51,2600,0.0,0.0
1962-03-22,0.0,0.51,0.51,0.51,3600,0.0,0.0
1962-03-23,0.0,0.51,0.51,0.51,1400,0.0,0.0
1962-03-26,0.0,0.51,0.51,0.51,2400,0.275,0.0
1962-03-27,0.0,0.51,0.5,0.51,6400,0.0,0.0
1962-03-28,0.0,0.51,0.5,0.5,1800,0.0,0.0
1962-03-29,0.0,0.5,0.5,0.5,2400,0.0,0.0
1962-03-30,0.0,0.5,0.49,0.5,2000,0.0,0.0
1962-04-02,0.0,0.5,0.5,0.5,1800,0.0,0.0
1962-04-03,0.0,0.5,0.49,0.49,2200,0.0,0.0
1962-04-04,0.0,0.49,0.49,0.49,1400,0.0,0.0
1962-04-05,0.0,0.49,0.49,0.49,3400,0.0,0.0
1962-04-06,0.0,0.49,0.49,0.49,2000,0.0,0.0
1962-04-09,0.0,0.49,0.48,0.48,2400,0.0,0.0
1962-04-10,0.0,0.49,0.48,0.49,1000,0.0,0.0
1962-04-11,0.0,0.5,0.49,0.49,3400,0.0,0.0
1962-04-12,0.0,0.49,0.48,0.49,4000,0.0,0.0
1962-04-13,0.0,0.49,0.49,0.49,1600,0.0,0.0
1962-04-16,0.0,0.49,0.48,0.49,2400,0.0,0.0
