Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.23,0.23,0.23,0.23,54400.0,0.0,0.0
1973-02-22,0.23,0.23,0.23,0.23,56000.0,0.0,0.0
1973-02-23,0.23,0.23,0.23,0.23,113600.0,0.0,0.0
1973-02-26,0.23,0.23,0.23,0.23,280000.0,0.0,0.0
1973-02-27,0.23,0.23,0.23,0.23,387200.0,0.0,0.0
1973-02-28,0.23,0.23,0.23,0.23,144000.0,0.0,0.0
1973-03-01,0.23,0.23,0.23,0.23,80000.0,0.0,0.0
1973-03-02,0.23,0.23,0.23,0.23,422400.0,0.0,0.0
1973-03-05,0.23,0.23,0.23,0.23,281600.0,0.0,0.0
1973-03-06,0.23,0.23,0.23,0.23,184000.0,0.0,0.0
1973-03-07,0.23,0.23,0.23,0.23,91200.0,0.0,0.0
1973-03-08,0.22,0.22,0.22,0.22,38400.0,0.0,0.0
1973-03-09,0.22,0.22,0.22,0.22,140800.0,0.0,0.0
1973-03-12,0.22,0.22,0.22,0.22,432000.0,0.0,0.0
1973-03-13,0.22,0.22,0.22,0.22,88000.0,0.0,0.0
1973-03-14,0.22,0.22,0.22,0.22,48000.0,0.0,0.0
1973-03-15,0.23,0.23,0.23,0.23,40000.0,0.0,0.0
1973-03-16,0.23,0.23,0.23,0.23,137600.0,0.0,0.0
1973-03-19,0.23,0.23,0.23,0.23,155200.0,0.0,0.0
1973-03-20,0.22,0.22,0.22,0.22,441600.0,0.0,0.0
1973-03-21,0.22,0.22,0.22,0.22,384000.0,0.0,0.0
1973-03-22,0.22,0.22,0.22,0.22,225600.0,0.0,0.0
1973-03-23,0.21,0.21,0.21,0.21,192000.0,0.0,0.0
1973-03-26,0.21,0.21,0.21,0.21,384000.0,0.0,0.0
1973-03-27,0.21,0.21,0.21,0.21,304000.0,0.0,0.0
1973-03-28,0.22,0.22,0.22,0.22,326400.0,0.0,0.0
1973-03-29,0.22,0.22,0.22,0.22,329600.0,0.0,0.0
1973-03-30,0.22,0.22,0.22,0.22,102400.0,0.0,0.0
1973-04-02,0.22,0.22,0.22,0.22,195200.0,0.0,0.0
1973-04-03,0.21,0.21,0.21,0.21,73600.0,0.0,0.0
1973-04-04,0.21,0.21,0.21,0.21,110400.0,0.0,0.0
1973-04-05,0.21,0.21,0.21,0.21,112000.0,0.0,0.0
1973-04-06,0.21,0.21,0.21,0.21,136000.0,0.0,0.0
1973-04-09,0.21,0.21,0.21,0.21,120000.0,0.0,0.0
1973-04-10,0.22,0.22,0.22,0.22,196800.0,0.0,0.0
1973-04-11,0.23,0.23,0.23,0.23,270400.0,0.0,0.0
1973-04-12,0.23,0.23,0.23,0.23,267200.0,0.0,0.0
1973-04-13,0.22,0.22,0.22,0.22,112000.0,0.0,0.0
1973-04-16,0.22,0.22,0.22,0.22,155200.0,0.0,0.0
1973-04-17,0.22,0.22,0.22,0.22,30400.0,0.0,0.0
1973-04-18,0.22,0.22,0.22,0.22,59200.0,0.0,0.0
1973-04-19,0.22,0.22,0.22,0.22,134400.0,0.0,0.0
1973-04-23,0.22,0.22,0.22,0.22,193600.0,0.0,0.0
1973-04-24,0.21,0.21,0.21,0.21,462400.0,0.0,0.0
1973-04-25,0.2,0.2,0.2,0.2,504000.0,0.0,0.0
1973-04-26,0.2,0.2,0.2,0.2,144000.0,0.0,0.0
1973-04-27,0.2,0.2,0.2,0.2,230400.0,0.0,0.0
1973-04-30,0.2,0.2,0.2,0.2,97600.0,0.0,0.0
1973-05-01,0.2,0.2,0.2,0.2,393600.0,0.0,0.0
1973-05-02,0.21,0.21,0.21,0.21,200000.0,0.0,0.0
1973-05-03,0.0,0.22,0.22,0.22,176000.0,0.0,0.0
1973-05-04,0.0,0.22,0.22,0.22,246400.0,0.0,0.0
