Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.23,0.23,0.23,25600,0.0,0.0
1962-01-03,0.0,0.23,0.23,0.23,28800,0.0,0.0
1962-01-04,0.0,0.23,0.23,0.23,21600,0.0,0.0
1962-01-05,0.0,0.23,0.22,0.22,46400,0.0,0.0
1962-01-08,0.0,0.23,0.22,0.22,29600,0.0,0.0
1962-01-09,0.0,0.23,0.22,0.22,40000,0.0,0.0
1962-01-10,0.0,0.22,0.21,0.22,20800,0.0,0.0
1962-01-11,0.0,0.22,0.22,0.22,25600,0.0,0.0
1962-01-12,0.0,0.23,0.22,0.22,16000,0.0,0.0
1962-01-15,0.0,0.23,0.22,0.23,34400,0.0,0.0
1962-01-16,0.0,0.22,0.22,0.22,57600,0.0,0.0
1962-01-17,0.0,0.22,0.22,0.22,24800,0.0,0.0
1962-01-18,0.0,0.22,0.22,0.22,37600,0.0,0.0
1962-01-19,0.0,0.22,0.22,0.22,29600,0.0,0.0
1962-01-22,0.0,0.22,0.22,0.22,24800,0.0,0.0
1962-01-23,0.0,0.22,0.22,0.22,32000,0.0,0.0
1962-01-24,0.0,0.22,0.22,0.22,40000,0.0,0.0
1962-01-25,0.0,0.22,0.21,0.21,72000,0.0,0.0
1962-01-26,0.0,0.22,0.21,0.21,35200,0.0,0.0
1962-01-29,0.0,0.22,0.21,0.22,39200,0.0,0.0
1962-01-30,0.0,0.22,0.22,0.22,40800,0.09375,0.0
1962-01-31,0.0,0.22,0.22,0.22,24000,0.0,0.0
1962-02-01,0.0,0.22,0.22,0.22,38400,0.0,0.0
1962-02-02,0.0,0.22,0.22,0.22,33600,0.0,0.0
1962-02-05,0.0,0.22,0.22,0.22,24000,0.0,0.0
1962-02-06,0.0,0.22,0.22,0.22,38400,0.0,0.0
1962-02-07,0.0,0.22,0.22,0.22,28000,0.0,0.0
1962-02-08,0.0,0.22,0.22,0.22,24000,0.0,0.0
1962-02-09,0.0,0.22,0.22,0.22,17600,0.0,0.0
1962-02-12,0.0,0.22,0.22,0.22,22400,0.0,0.0
1962-02-13,0.0,0.22,0.22,0.22,36000,0.0,0.0
1962-02-14,0.0,0.22,0.22,0.22,41600,0.0,0.0
1962-02-15,0.0,0.23,0.22,0.23,38400,0.0,0.0
1962-02-16,0.0,0.23,0.22,0.22,38400,0.0,0.0
1962-02-19,0.0,0.22,0.22,0.22,8800,0.0,0.0
1962-02-20,0.0,0.23,0.22,0.23,26400,0.0,0.0
1962-02-21,0.0,0.23,0.22,0.22,68000,0.0,0.0
1962-02-23,0.0,0.22,0.22,0.22,61600,0.0,0.0
1962-02-26,0.0,0.22,0.22,0.22,25600,0.0,0.0
1962-02-27,0.0,0.22,0.22,0.22,35200,0.0,0.0
1962-02-28,0.0,0.22,0.22,0.22,18400,0.0,0.0
1962-03-01,0.0,0.22,0.22,0.22,19200,0.0,0.0
1962-03-02,0.0,0.22,0.22,0.22,23200,0.0,0.0
1962-03-05,0.0,0.22,0.22,0.22,29600,0.0,0.0
1962-03-06,0.0,0.22,0.22,0.22,38400,0.0,0.0
1962-03-07,0.0,0.22,0.22,0.22,64800,0.0,0.0
1962-03-08,0.0,0.22,0.22,0.22,23200,0.0,0.0
1962-03-09,0.0,0.23,0.22,0.23,52800,0.0,0.0
1962-03-12,0.0,0.23,0.23,0.23,31200,0.0,0.0
1962-03-13,0.0,0.23,0.23,0.23,24000,0.0,0.0
1962-03-14,0.0,0.23,0.23,0.23,23200,0.0,0.0
1962-03-15,0.0,0.23,0.23,0.23,16000,0.0,0.0
1962-03-16,0.0,0.23,0.23,0.23,28800,0.0,0.0
1962-03-19,0.0,0.23,0.23,0.23,12800,0.0,0.0
1962-03-20,0.0,0.23,0.23,0.23,20800,0.0,0.0
1962-03-21,0.0,0.23,0.23,0.23,44800,0.0,0.0
1962-03-22,0.0,0.23,0.23,0.23,35200,0.0,0.0
1962-03-23,0.0,0.23,0.23,0.23,32000,0.0,0.0
1962-03-26,0.0,0.23,0.23,0.23,43200,0.0,0.0
1962-03-27,0.0,0.23,0.23,0.23,41600,0.0,0.0
1962-03-28,0.0,0.23,0.23,0.23,45600,0.0,0.0
1962-03-29,0.0,0.23,0.23,0.23,16000,0.0,0.0
1962-03-30,0.0,0.23,0.23,0.23,38400,0.0,0.0
1962-04-02,0.0,0.23,0.23,0.23,16000,0.0,0.0
1962-04-03,0.0,0.23,0.23,0.23,27200,0.0,0.0
1962-04-04,0.0,0.23,0.23,0.23,30400,0.0,0.0
1962-04-05,0.0,0.23,0.23,0.23,24000,0.0,0.0
1962-04-06,0.0,0.23,0.23,0.23,31200,0.0,0.0
1962-04-09,0.0,0.23,0.22,0.22,28800,0.0,0.0
1962-04-10,0.0,0.23,0.22,0.23,16000,0.0,0.0
1962-04-11,0.0,0.23,0.23,0.23,25600,0.0,0.0
1962-04-12,0.0,0.22,0.22,0.23,13600,0.0,0.0
1962-04-13,0.0,0.23,0.22,0.23,31200,0.0,0.0
1962-04-16,0.0,0.23,0.22,0.23,23200,0.0,0.0
1962-04-17,0.0,0.23,0.23,0.23,12800,0.0,0.0
1962-04-18,0.0,0.23,0.23,0.23,36000,0.0,0.0
1962-04-19,0.0,0.23,0.23,0.23,7200,0.0,0.0
1962-04-23,0.0,0.23,0.23,0.23,19200,0.0,0.0
1962-04-24,0.0,0.23,0.23,0.23,5600,0.0,0.0
