Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.1,0.1,0.1,57600,0.0,0.0
1980-03-18,0.0,0.1,0.1,0.1,19200,0.0,0.0
1980-03-19,0.1,0.1,0.1,0.1,0,0.0,0.0
1980-03-20,0.0,0.1,0.1,0.1,2400,0.0,0.0
1980-03-21,0.0,0.1,0.1,0.1,12000,0.0,0.0
1980-03-24,0.0,0.1,0.1,0.1,9600,0.0,0.0
1980-03-25,0.0,0.1,0.1,0.1,2400,0.0,0.0
1980-03-26,0.0,0.1,0.1,0.1,9600,0.0,0.0
1980-03-27,0.0,0.1,0.1,0.1,28800,0.0,0.0
1980-03-28,0.0,0.1,0.09,0.1,67200,0.0,0.0
1980-03-31,0.0,0.1,0.09,0.09,19200,0.0,0.0
1980-04-01,0.0,0.1,0.1,0.1,14400,0.0,0.0
1980-04-02,0.0,0.1,0.1,0.1,9600,0.0,0.0
1980-04-03,0.0,0.1,0.09,0.1,38400,0.0,0.0
1980-04-07,0.0,0.1,0.09,0.09,28800,0.0,0.0
1980-04-08,0.0,0.1,0.09,0.1,33600,0.0,0.0
1980-04-09,0.0,0.1,0.09,0.1,12000,0.0,0.0
1980-04-10,0.1,0.1,0.1,0.1,0,0.0,0.0
1980-04-11,0.0,0.09,0.09,0.09,31200,0.0,0.0
1980-04-14,0.0,0.1,0.09,0.09,48000,0.0,0.0
1980-04-15,0.0,0.1,0.09,0.1,24000,0.0,0.0
1980-04-16,0.0,0.1,0.1,0.1,21600,0.0,0.0
1980-04-17,0.0,0.1,0.1,0.1,36000,0.0,0.0
1980-04-18,0.0,0.1,0.1,0.1,16800,0.0,0.0
1980-04-21,0.0,0.1,0.1,0.1,24000,0.0,0.0
1980-04-22,0.0,0.1,0.1,0.1,36000,0.0,0.0
1980-04-23,0.0,0.1,0.1,0.1,33600,0.0,0.0
1980-04-24,0.0,0.1,0.1,0.1,124800,0.0,0.0
1980-04-25,0.0,0.1,0.1,0.1,24000,0.0,0.0
1980-04-28,0.0,0.11,0.1,0.11,36000,0.0,0.0
1980-04-29,0.0,0.11,0.11,0.11,7200,0.0,0.0
1980-04-30,0.0,0.11,0.1,0.11,64800,0.0,0.0
1980-05-01,0.0,0.12,0.11,0.12,79200,0.0,0.0
1980-05-02,0.0,0.12,0.12,0.12,76800,0.0,0.0
1980-05-05,0.0,0.12,0.12,0.12,31200,0.0,0.0
1980-05-06,0.0,0.12,0.12,0.12,7200,0.0,0.0
1980-05-07,0.0,0.12,0.12,0.12,45600,0.0,0.0
1980-05-08,0.0,0.12,0.12,0.12,74400,0.0,0.0
1980-05-09,0.0,0.12,0.12,0.12,64800,0.0,0.0
1980-05-12,0.0,0.12,0.12,0.12,67200,0.0,0.0
1980-05-13,0.0,0.12,0.12,0.12,7200,0.0,0.0
1980-05-14,0.0,0.12,0.12,0.12,16800,0.0,0.0
1980-05-15,0.0,0.12,0.12,0.12,52800,0.0,0.0
1980-05-16,0.0,0.12,0.12,0.12,40800,0.0,0.0
1980-05-19,0.0,0.12,0.12,0.12,4800,0.0,0.0
1980-05-20,0.0,0.12,0.12,0.12,12000,0.0,0.0
1980-05-21,0.0,0.12,0.11,0.11,21600,0.0,0.0
1980-05-22,0.0,0.12,0.11,0.12,19200,0.0,0.0
1980-05-23,0.0,0.12,0.12,0.12,4800,0.0,0.0
1980-05-27,0.0,0.12,0.12,0.12,43200,0.0,0.0
1980-05-28,0.0,0.12,0.12,0.12,9600,0.0,0.0
1980-05-29,0.0,0.12,0.12,0.12,43200,0.0,0.0
1980-05-30,0.12,0.12,0.12,0.12,0,0.0,0.0
1980-06-02,0.0,0.12,0.12,0.12,12000,0.0,0.0
1980-06-03,0.0,0.12,0.12,0.12,2400,0.0,0.0
1980-06-04,0.0,0.12,0.12,0.12,38400,0.0,0.0
1980-06-05,0.0,0.12,0.12,0.12,9600,0.0,0.0
1980-06-06,0.0,0.12,0.12,0.12,21600,0.0,0.0
1980-06-09,0.0,0.12,0.12,0.12,33600,0.0,0.0
1980-06-10,0.12,0.12,0.12,0.12,0,0.0,0.0
1980-06-11,0.0,0.12,0.12,0.12,31200,0.0,0.0
1980-06-12,0.0,0.12,0.12,0.12,19200,0.0,0.0
1980-06-13,0.0,0.12,0.12,0.12,33600,0.0,0.0
1980-06-16,0.0,0.12,0.12,0.12,67200,0.0,0.0
1980-06-17,0.0,0.12,0.12,0.12,79200,0.0,0.0
1980-06-18,0.0,0.13,0.13,0.13,93600,0.0,0.0
1980-06-19,0.0,0.13,0.13,0.13,52800,0.0,0.0
1980-06-20,0.0,0.13,0.13,0.13,93600,0.0,0.0
1980-06-23,0.0,0.13,0.12,0.13,110400,0.0,0.0
1980-06-24,0.0,0.13,0.13,0.13,2400,0.0,0.0
1980-06-25,0.0,0.13,0.13,0.13,2400,0.0,0.0
1980-06-26,0.13,0.13,0.13,0.13,0,0.0,0.0
1980-06-27,0.0,0.13,0.13,0.13,14400,0.0,0.0
1980-06-30,0.0,0.12,0.12,0.12,14400,0.0,0.0
1980-07-01,0.0,0.12,0.12,0.12,33600,0.0,0.0
1980-07-02,0.0,0.12,0.12,0.12,21600,0.0,0.0
1980-07-03,0.0,0.12,0.12,0.12,7200,0.0,0.0
1980-07-07,0.0,0.12,0.12,0.12,28800,0.0,0.0
1980-07-08,0.0,0.12,0.12,0.12,122400,0.0,0.0
1980-07-09,0.0,0.12,0.12,0.12,19200,0.0,0.0
1980-07-10,0.0,0.12,0.12,0.12,45600,0.0,0.0
1980-07-11,0.0,0.12,0.12,0.12,21600,0.0,0.0
1980-07-14,0.0,0.13,0.12,0.12,36000,0.0,0.0
1980-07-15,0.0,0.13,0.13,0.13,14400,0.0,0.0
1980-07-16,0.0,0.13,0.12,0.12,31200,0.0,0.0
1980-07-17,0.0,0.12,0.12,0.12,36000,0.0,0.0
1980-07-18,0.0,0.13,0.12,0.12,31200,0.0,0.0
1980-07-21,0.0,0.13,0.13,0.13,36000,0.0,0.0
1980-07-22,0.0,0.13,0.13,0.13,50400,0.0,0.0
1980-07-23,0.0,0.13,0.13,0.13,12000,0.0,0.0
1980-07-24,0.0,0.13,0.13,0.13,28800,0.0,0.0
1980-07-25,0.0,0.13,0.13,0.13,4800,0.0,0.0
1980-07-28,0.0,0.13,0.12,0.12,24000,0.0,0.0
1980-07-29,0.0,0.13,0.12,0.13,43200,0.0,0.0
1980-07-30,0.0,0.13,0.13,0.13,33600,0.0,0.0
1980-07-31,0.0,0.13,0.13,0.13,33600,0.0,0.0
1980-08-01,0.0,0.13,0.13,0.13,60000,0.0,0.0
1980-08-04,0.0,0.13,0.13,0.13,14400,0.0,0.0
1980-08-05,0.0,0.13,0.13,0.13,52800,0.0,0.0
1980-08-06,0.0,0.13,0.13,0.13,7200,0.0,0.0
1980-08-07,0.0,0.13,0.13,0.13,7200,0.0,0.0
1980-08-08,0.0,0.13,0.13,0.13,36000,0.0,0.0
1980-08-11,0.0,0.13,0.12,0.13,19200,0.0,0.0
1980-08-12,0.0,0.13,0.12,0.13,36000,0.0,0.0
1980-08-13,0.0,0.12,0.12,0.12,7200,0.0,0.0
1980-08-14,0.0,0.13,0.12,0.12,14400,0.0,0.0
1980-08-15,0.0,0.13,0.12,0.12,7200,0.0,0.0
1980-08-18,0.0,0.12,0.12,0.12,67200,0.0,0.0
1980-08-19,0.0,0.12,0.12,0.12,28800,0.0,0.0
1980-08-20,0.0,0.12,0.12,0.12,19200,0.0,0.0
1980-08-21,0.0,0.12,0.12,0.12,4800,0.0,0.0
1980-08-22,0.0,0.12,0.12,0.12,12000,0.0,0.0
1980-08-25,0.0,0.12,0.12,0.12,2400,0.0,0.0
1980-08-26,0.0,0.12,0.12,0.12,26400,0.0,0.0
1980-08-27,0.0,0.12,0.12,0.12,38400,0.0,0.0
1980-08-28,0.0,0.12,0.12,0.12,12000,0.0,0.0
1980-08-29,0.0,0.12,0.12,0.12,12000,0.0,0.0
1980-09-02,0.0,0.12,0.12,0.12,9600,0.0,0.0
1980-09-03,0.0,0.13,0.12,0.12,60000,0.0,0.0
1980-09-04,0.12,0.12,0.12,0.12,0,0.0,0.0
1980-09-05,0.0,0.13,0.12,0.12,45600,0.0,0.0
1980-09-08,0.0,0.12,0.12,0.12,24000,0.0,0.0
1980-09-09,0.0,0.12,0.12,0.12,36000,0.0,0.0
1980-09-10,0.12,0.12,0.12,0.12,0,0.0,0.0
1980-09-11,0.0,0.12,0.12,0.12,7200,0.0,0.0
1980-09-12,0.0,0.12,0.12,0.12,84000,0.0,0.0
1980-09-15,0.0,0.13,0.12,0.12,57600,0.0,0.0
1980-09-16,0.0,0.12,0.12,0.12,50400,0.0,0.0
1980-09-17,0.0,0.12,0.12,0.12,48000,0.0,0.0
1980-09-18,0.0,0.12,0.12,0.12,2400,0.0,0.0
1980-09-19,0.0,0.13,0.12,0.13,62400,0.0,0.0
1980-09-22,0.0,0.13,0.13,0.13,69600,0.0,0.0
1980-09-23,0.0,0.13,0.13,0.13,7200,0.0,0.0
1980-09-24,0.0,0.13,0.12,0.13,36000,0.0,0.0
1980-09-25,0.0,0.12,0.12,0.12,7200,0.0,0.0
1980-09-26,0.0,0.13,0.12,0.13,12000,0.0,0.0
1980-09-29,0.0,0.13,0.12,0.13,12000,0.0,0.0
1980-09-30,0.0,0.13,0.13,0.13,43200,0.0,0.0
1980-10-01,0.0,0.13,0.13,0.13,21600,0.0,0.0
1980-10-02,0.0,0.13,0.13,0.13,12000,0.0,0.0
1980-10-03,0.0,0.13,0.13,0.13,4800,0.0,0.0
1980-10-06,0.0,0.13,0.13,0.13,21600,0.0,0.0
1980-10-07,0.0,0.13,0.13,0.13,7200,0.0,0.0
1980-10-08,0.0,0.13,0.13,0.13,12000,0.0,0.0
1980-10-09,0.13,0.13,0.13,0.13,0,0.0,0.0
1980-10-10,0.13,0.13,0.13,0.13,0,0.0,0.0
1980-10-13,0.0,0.13,0.13,0.13,19200,0.0,0.0
1980-10-14,0.0,0.13,0.13,0.13,12000,0.0,0.0
1980-10-15,0.0,0.13,0.13,0.13,19200,0.0,0.0
1980-10-16,0.13,0.13,0.13,0.13,0,0.0,0.0
1980-10-17,0.0,0.13,0.13,0.13,7200,0.0,0.0
1980-10-20,0.0,0.13,0.13,0.13,14400,0.0,0.0
1980-10-21,0.0,0.13,0.13,0.13,67200,0.0,0.0
1980-10-22,0.0,0.13,0.12,0.12,16800,0.0,0.0
1980-10-23,0.0,0.13,0.12,0.13,67200,0.0,0.0
1980-10-24,0.0,0.13,0.13,0.13,64800,0.0,0.0
1980-10-27,0.0,0.13,0.12,0.12,21600,0.0,0.0
1980-10-28,0.0,0.12,0.12,0.12,2400,0.0,0.0
1980-10-29,0.0,0.12,0.12,0.12,9600,0.0,0.0
1980-10-30,0.0,0.13,0.13,0.13,50400,0.0,0.0
1980-10-31,0.0,0.12,0.12,0.12,33600,0.0,0.0
1980-11-03,0.0,0.13,0.13,0.13,69600,0.0,0.0
1980-11-05,0.0,0.13,0.13,0.13,48000,0.0,0.0
1980-11-06,0.0,0.13,0.13,0.13,21600,0.0,0.0
1980-11-07,0.0,0.13,0.13,0.13,9600,0.0,0.0
1980-11-10,0.0,0.13,0.13,0.13,14400,0.0,0.0
1980-11-11,0.0,0.13,0.13,0.13,40800,0.0,0.0
1980-11-12,0.0,0.13,0.13,0.13,50400,0.0,0.0
1980-11-13,0.0,0.13,0.13,0.13,12000,0.0,0.0
1980-11-14,0.0,0.13,0.13,0.13,127200,0.0,0.0
1980-11-17,0.0,0.13,0.13,0.13,57600,0.0,0.0
1980-11-18,0.0,0.13,0.13,0.13,12000,0.0,0.0
1980-11-19,0.0,0.13,0.13,0.13,28800,0.0,0.0
1980-11-20,0.0,0.13,0.13,0.13,168000,0.0,0.0
1980-11-21,0.0,0.13,0.13,0.13,33600,0.0,0.0
1980-11-24,0.0,0.13,0.13,0.13,122400,0.0,0.0
1980-11-25,0.0,0.13,0.13,0.13,14400,0.0,0.0
1980-11-26,0.0,0.13,0.13,0.13,16800,0.0,0.0
1980-11-28,0.0,0.12,0.12,0.12,48000,0.0,0.0
1980-12-01,0.0,0.12,0.12,0.12,31200,0.0,0.0
1980-12-02,0.0,0.13,0.12,0.12,16800,0.0,0.0
1980-12-03,0.0,0.12,0.12,0.12,33600,0.0,0.0
1980-12-04,0.0,0.12,0.12,0.12,14400,0.0,0.0
1980-12-05,0.0,0.12,0.12,0.12,16800,0.0,0.0
1980-12-08,0.0,0.12,0.12,0.12,86400,0.0,0.0
1980-12-09,0.0,0.12,0.12,0.12,127200,0.0,0.0
1980-12-10,0.0,0.12,0.12,0.12,12000,0.0,0.0
1980-12-11,0.0,0.12,0.12,0.12,16800,0.0,0.0
1980-12-12,0.0,0.12,0.11,0.11,14400,0.0,0.0
1980-12-15,0.0,0.12,0.12,0.12,45600,0.0,0.0
1980-12-16,0.0,0.12,0.11,0.11,16800,0.0,0.0
1980-12-17,0.0,0.11,0.11,0.11,33600,0.0,0.0
1980-12-18,0.0,0.11,0.11,0.11,55200,0.0,0.0
1980-12-19,0.0,0.11,0.11,0.11,21600,0.0,0.0
1980-12-22,0.0,0.11,0.11,0.11,9600,0.0,0.0
1980-12-23,0.0,0.11,0.11,0.11,26400,0.0,0.0
1980-12-24,0.0,0.11,0.11,0.11,26400,0.0,0.0
1980-12-26,0.11,0.11,0.11,0.11,0,0.0,0.0
1980-12-29,0.0,0.11,0.11,0.11,52800,0.0,0.0
1980-12-30,0.0,0.11,0.11,0.11,28800,0.0,0.0
1980-12-31,0.0,0.11,0.11,0.11,81600,0.0,0.0
1981-01-02,0.0,0.12,0.11,0.12,14400,0.0,0.0
1981-01-05,0.0,0.12,0.12,0.12,12000,0.0,0.0
1981-01-06,0.0,0.12,0.12,0.12,7200,0.0,0.0
1981-01-07,0.0,0.12,0.11,0.12,12000,0.0,0.0
1981-01-08,0.0,0.12,0.11,0.11,21600,0.0,0.0
1981-01-09,0.0,0.11,0.11,0.11,7200,0.0,0.0
1981-01-12,0.0,0.11,0.11,0.11,45600,0.0,0.0
1981-01-13,0.0,0.11,0.11,0.11,4800,0.0,0.0
1981-01-14,0.0,0.11,0.11,0.11,14400,0.0,0.0
1981-01-15,0.0,0.11,0.11,0.11,12000,0.0,0.0
1981-01-16,0.0,0.11,0.11,0.11,64800,0.0,0.0
1981-01-19,0.0,0.12,0.12,0.12,24000,0.0,0.0
1981-01-20,0.0,0.12,0.11,0.11,24000,0.0,0.0
1981-01-21,0.0,0.11,0.11,0.11,50400,0.0,0.0
1981-01-22,0.11,0.11,0.11,0.11,0,0.0,0.0
1981-01-23,0.0,0.11,0.11,0.11,7200,0.0,0.0
1981-01-26,0.0,0.11,0.11,0.11,19200,0.0,0.0
1981-01-27,0.0,0.11,0.11,0.11,21600,0.0,0.0
1981-01-28,0.0,0.11,0.11,0.11,4800,0.0,0.0
1981-01-29,0.0,0.11,0.11,0.11,9600,0.0,0.0
1981-01-30,0.11,0.11,0.11,0.11,0,0.0,0.0
1981-02-02,0.0,0.11,0.11,0.11,9600,0.0,0.0
1981-02-03,0.0,0.11,0.11,0.11,52800,0.0,0.0
1981-02-04,0.0,0.11,0.11,0.11,12000,0.0,0.0
1981-02-05,0.0,0.11,0.11,0.11,24000,0.0,0.0
1981-02-06,0.0,0.12,0.12,0.12,52800,0.0,0.0
1981-02-09,0.0,0.12,0.12,0.12,98400,0.0,0.0
1981-02-10,0.0,0.12,0.12,0.12,48000,0.0,0.0
1981-02-11,0.0,0.12,0.12,0.12,12000,0.0,0.0
1981-02-12,0.12,0.12,0.12,0.12,0,0.0,0.0
1981-02-13,0.0,0.11,0.11,0.11,4800,0.0,0.0
1981-02-17,0.0,0.11,0.11,0.11,2400,0.0,0.0
1981-02-18,0.0,0.11,0.11,0.11,9600,0.0,0.0
1981-02-19,0.0,0.11,0.11,0.11,14400,0.0,0.0
1981-02-20,0.0,0.11,0.11,0.11,12000,0.0,0.0
1981-02-23,0.0,0.11,0.11,0.11,33600,0.0,0.0
1981-02-24,0.11,0.11,0.11,0.11,0,0.0,0.0
1981-02-25,0.0,0.11,0.11,0.11,62400,0.0,0.0
1981-02-26,0.0,0.11,0.11,0.11,24000,0.0,0.0
