Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-12-14,4.82,5.1,4.81,5.08,1077400.0,0.0,0.0
1993-12-15,5.05,5.05,4.88,4.96,897800.0,0.0,0.0
1993-12-16,4.98,4.98,4.94,4.96,571200.0,0.0,0.0
1993-12-17,4.96,4.96,4.85,4.85,1053000.0,0.0,0.0
1993-12-20,4.85,5.01,4.85,5.01,1284800.0,0.0,0.0
1993-12-21,4.99,5.13,4.99,5.08,882800.0,0.0,0.0
1993-12-22,5.09,5.09,5.03,5.08,200600.0,0.0,0.0
1993-12-23,5.09,5.19,5.09,5.17,195800.0,0.0,0.0
1993-12-27,5.2,5.33,5.2,5.3,68400.0,0.0,0.0
1993-12-28,5.29,5.29,5.24,5.27,273600.0,0.0,0.0
1993-12-29,5.3,5.34,5.3,5.34,264400.0,0.0,0.0
1993-12-30,5.34,5.4,5.34,5.37,156200.0,0.0,0.0
1993-12-31,5.34,5.36,5.3,5.33,133000.0,0.0,0.0
1994-01-03,5.34,5.34,5.19,5.26,467800.0,0.0,0.0
1994-01-04,5.26,5.26,5.01,5.06,2250200.0,0.0,0.0
1994-01-05,4.94,4.98,4.88,4.98,2933400.0,0.0,0.0
1994-01-06,4.94,4.98,4.82,4.88,2753200.0,0.0,0.0
1994-01-07,4.87,4.87,4.65,4.68,3428400.0,0.0,0.0
1994-01-10,4.7,4.82,4.68,4.81,1411000.0,0.0,0.0
1994-01-11,4.82,4.82,4.75,4.79,1185400.0,0.0,0.0
1994-01-12,4.78,4.78,4.68,4.71,2209200.0,0.0,0.0
1994-01-13,4.7,4.71,4.67,4.68,1033400.0,0.0,0.0
1994-01-14,4.7,4.72,4.67,4.7,1366000.0,0.0,0.0
1994-01-17,4.68,4.71,4.65,4.7,1157400.0,0.0,0.0
1994-01-18,4.7,4.7,4.65,4.67,1118400.0,0.0,0.0
1994-01-19,4.65,4.77,4.65,4.74,1327800.0,0.0,0.0
1994-01-20,4.74,4.75,4.67,4.71,1121400.0,0.0,0.0
1994-01-21,4.72,4.72,4.68,4.71,1460800.0,0.0,0.0
1994-01-24,4.71,4.71,4.65,4.67,2101400.0,0.0,0.0
1994-01-25,4.65,4.7,4.63,4.67,1470400.0,0.0,0.0
1994-01-26,4.65,4.68,4.65,4.67,723600.0,0.0,0.0
1994-01-27,4.67,4.7,4.65,4.67,1610600.0,0.0,0.0
1994-01-28,4.7,4.84,4.68,4.82,1285200.0,0.0,0.0
1994-01-31,4.82,4.98,4.82,4.91,1316000.0,0.0,0.0
1994-02-01,4.74,4.77,4.71,4.74,3041400.0,0.0,0.0
1994-02-02,4.72,4.72,4.67,4.71,3352000.0,0.0,0.0
1994-02-03,4.72,4.81,4.71,4.79,2135600.0,0.0,0.0
1994-02-04,4.78,4.85,4.77,4.78,1256600.0,0.0,0.0
1994-02-07,4.78,4.89,4.78,4.88,799400.0,0.0,0.0
1994-02-08,4.82,4.85,4.79,4.81,916600.0,0.0,0.0
1994-02-09,4.78,4.84,4.78,4.84,769800.0,0.0,0.0
1994-02-10,4.82,4.87,4.79,4.79,977600.0,0.0,0.0
1994-02-11,4.79,4.81,4.77,4.79,690800.0,0.0,0.0
1994-02-14,4.81,4.84,4.79,4.82,616800.0,0.0,0.0
1994-02-15,4.81,4.88,4.81,4.84,701200.0,0.0,0.0
1994-02-16,4.84,4.89,4.82,4.87,668800.0,0.0,0.0
1994-02-17,4.89,4.94,4.87,4.87,995000.0,0.0,0.0
1994-02-18,4.87,4.88,4.82,4.84,434000.0,0.0,0.0
1994-02-22,4.77,4.81,4.72,4.77,1151800.0,0.0,0.0
1994-02-23,4.77,4.81,4.77,4.81,1016000.0,0.0,0.0
1994-02-24,4.79,4.79,4.74,4.75,537800.0,0.0,0.0
1994-02-25,4.72,4.74,4.7,4.7,651200.0,0.0,0.0
1994-02-28,4.72,4.72,4.67,4.68,520400.0,0.0,0.0
1994-03-01,4.67,4.68,4.65,4.68,751800.0,0.0,0.0
1994-03-02,4.65,4.67,4.61,4.61,1084800.0,0.0,0.0
1994-03-03,4.61,4.61,4.54,4.54,731600.0,0.0,0.0
1994-03-04,4.54,4.56,4.49,4.51,1008400.0,0.0,0.0
1994-03-07,4.51,4.51,4.5,4.5,600000.0,0.0,0.0
1994-03-08,4.5,4.51,4.49,4.5,1083600.0,0.0,0.0
1994-03-09,4.53,4.59,4.53,4.59,268400.0,0.4,0.0
1994-03-10,4.58,4.61,4.53,4.55,1073200.0,0.0,0.0
1994-03-11,4.55,4.66,4.55,4.65,297400.0,0.0,0.0
1994-03-14,4.68,4.68,4.64,4.66,343400.0,0.0,0.0
1994-03-15,4.66,4.71,4.65,4.69,630600.0,0.0,0.0
1994-03-16,4.69,4.71,4.62,4.64,474000.0,0.0,0.0
1994-03-17,4.62,4.69,4.62,4.66,672600.0,0.0,0.0
1994-03-18,4.66,4.66,4.58,4.59,991400.0,0.0,0.0
1994-03-21,4.59,4.62,4.58,4.59,422000.0,0.0,0.0
1994-03-22,4.59,4.61,4.55,4.61,550200.0,0.0,0.0
1994-03-23,4.62,4.68,4.61,4.68,512000.0,0.0,0.0
1994-03-24,4.65,4.72,4.65,4.69,419600.0,0.0,0.0
1994-03-25,4.72,4.72,4.69,4.69,231600.0,0.0,0.0
1994-03-28,4.71,4.74,4.65,4.74,484600.0,0.0,0.0
1994-03-29,4.72,4.76,4.72,4.74,313200.0,0.0,0.0
1994-03-30,4.71,4.74,4.65,4.66,595000.0,0.0,0.0
1994-03-31,4.65,4.66,4.59,4.61,674200.0,0.0,0.0
1994-04-04,4.53,4.58,4.52,4.55,944200.0,0.0,0.0
1994-04-05,4.58,4.64,4.58,4.62,1030000.0,0.0,0.0
1994-04-06,4.75,4.81,4.72,4.78,834000.0,0.0,0.0
1994-04-07,4.78,4.79,4.74,4.79,1355400.0,0.0,0.0
1994-04-08,4.78,4.94,4.78,4.91,897400.0,0.0,0.0
1994-04-11,4.89,4.91,4.84,4.88,469200.0,0.0,0.0
1994-04-12,4.89,4.89,4.76,4.76,437600.0,0.0,0.0
1994-04-13,4.81,4.88,4.79,4.88,1111000.0,0.0,0.0
1994-04-14,4.85,4.86,4.84,4.85,703000.0,0.0,0.0
1994-04-15,4.89,4.95,4.86,4.88,590600.0,0.0,0.0
1994-04-18,4.88,4.91,4.84,4.85,499200.0,0.0,0.0
1994-04-19,4.88,4.88,4.81,4.85,628400.0,0.0,0.0
1994-04-20,4.85,4.86,4.69,4.72,755000.0,0.0,0.0
1994-04-21,4.74,4.86,4.72,4.81,671400.0,0.0,0.0
1994-04-22,4.82,4.85,4.81,4.82,280200.0,0.0,0.0
1994-04-25,4.85,4.94,4.84,4.94,862200.0,0.0,0.0
1994-04-26,5.15,5.18,5.11,5.12,1685800.0,0.0,0.0
1994-04-28,5.12,5.12,5.01,5.08,1094800.0,0.0,0.0
1994-04-29,5.06,5.12,5.05,5.09,974200.0,0.0,0.0
1994-05-02,5.09,5.15,5.06,5.14,494600.0,0.0,0.0
1994-05-03,5.15,5.16,5.09,5.15,713000.0,0.0,0.0
1994-05-04,5.14,5.18,5.14,5.16,592600.0,0.0,0.0
1994-05-05,5.18,5.18,5.14,5.14,343200.0,0.0,0.0
1994-05-06,5.12,5.14,5.04,5.05,368000.0,0.0,0.0
1994-05-09,5.05,5.05,5.02,5.04,241800.0,0.0,0.0
1994-05-10,5.05,5.24,5.05,5.15,817000.0,0.0,0.0
1994-05-11,5.24,5.26,5.16,5.16,828200.0,0.0,0.0
1994-05-12,5.18,5.21,5.16,5.16,358400.0,0.0,0.0
1994-05-13,5.22,5.28,5.22,5.25,891000.0,0.0,0.0
1994-05-16,5.22,5.26,5.21,5.26,605200.0,0.0,0.0
1994-05-17,5.24,5.29,5.22,5.26,381200.0,0.0,0.0
1994-05-18,5.25,5.25,5.22,5.24,343600.0,0.0,0.0
