Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.25,0.25,0.25,314400,0.0,0.0
1972-06-02,0.25,0.25,0.25,0.25,1396800,0.0,0.0
1972-06-05,0.25,0.25,0.25,0.25,372000,0.0,0.0
1972-06-06,0.25,0.25,0.25,0.25,177600,0.0,0.0
1972-06-07,0.25,0.25,0.25,0.25,379200,0.0,0.0
1972-06-08,0.25,0.25,0.25,0.25,552000,0.0,0.0
1972-06-09,0.25,0.25,0.25,0.25,177600,0.0,0.0
1972-06-12,0.25,0.25,0.25,0.25,506400,0.0,0.0
1972-06-13,0.25,0.25,0.25,0.25,288000,0.0,0.0
1972-06-14,0.25,0.25,0.25,0.25,789600,0.0,0.0
1972-06-15,0.25,0.25,0.25,0.25,220800,0.0,0.0
1972-06-16,0.25,0.25,0.24,0.24,96000,0.0,0.0
1972-06-19,0.24,0.25,0.24,0.25,124800,0.0,0.0
1972-06-20,0.25,0.25,0.25,0.25,206400,0.0,0.0
1972-06-21,0.25,0.25,0.25,0.25,232800,0.0,0.0
1972-06-22,0.25,0.25,0.25,0.25,336000,0.0,0.0
1972-06-23,0.25,0.25,0.25,0.25,242400,0.0,0.0
1972-06-26,0.25,0.25,0.25,0.25,237600,0.0,0.0
1972-06-27,0.25,0.25,0.25,0.25,285600,0.0,0.0
1972-06-28,0.25,0.25,0.25,0.25,139200,0.0,0.0
1972-06-29,0.25,0.25,0.25,0.25,278400,0.0,0.0
1972-06-30,0.25,0.25,0.25,0.25,153600,0.0,0.0
1972-07-03,0.25,0.25,0.25,0.25,134400,0.0,0.0
1972-07-05,0.25,0.26,0.25,0.26,148800,0.0,0.0
1972-07-06,0.26,0.26,0.26,0.26,391200,0.0,0.0
1972-07-07,0.26,0.26,0.26,0.26,175200,0.0,0.0
1972-07-10,0.26,0.26,0.26,0.26,201600,0.0,0.0
1972-07-11,0.25,0.25,0.25,0.25,117600,0.0,0.0
1972-07-12,0.25,0.25,0.25,0.25,242400,0.0,0.0
1972-07-13,0.25,0.25,0.25,0.25,120000,0.0,0.0
1972-07-14,0.25,0.25,0.25,0.25,182400,0.0,0.0
1972-07-17,0.25,0.25,0.25,0.25,170400,0.0,0.0
1972-07-18,0.25,0.25,0.25,0.25,158400,0.0,0.0
1972-07-19,0.25,0.26,0.25,0.26,307200,0.0,0.0
1972-07-20,0.26,0.26,0.26,0.26,76800,0.0,0.0
1972-07-21,0.26,0.26,0.26,0.26,184800,0.0,0.0
1972-07-24,0.26,0.27,0.26,0.27,194400,0.0,0.0
1972-07-25,0.27,0.27,0.26,0.26,391200,0.0,0.0
1972-07-26,0.26,0.27,0.26,0.26,196800,0.0,0.0
1972-07-27,0.26,0.27,0.26,0.27,446400,0.0,0.0
1972-07-28,0.27,0.27,0.26,0.26,218400,0.0,0.0
1972-07-31,0.26,0.26,0.26,0.26,144000,0.0,0.0
1972-08-01,0.26,0.27,0.26,0.26,206400,0.0,0.0
1972-08-02,0.26,0.26,0.26,0.26,1514400,0.0,0.0
1972-08-03,0.26,0.26,0.26,0.26,350400,0.0,0.0
1972-08-04,0.26,0.26,0.26,0.26,148800,0.0,0.0
1972-08-07,0.26,0.26,0.26,0.26,216000,0.0,0.0
1972-08-08,0.26,0.26,0.26,0.26,100800,0.0,0.0
1972-08-09,0.26,0.27,0.26,0.27,741600,0.0,0.0
1972-08-10,0.27,0.27,0.27,0.27,302400,0.0,0.0
1972-08-11,0.27,0.27,0.27,0.27,91200,0.0,0.0
1972-08-14,0.27,0.27,0.27,0.27,667200,0.0125,0.0
1972-08-15,0.27,0.27,0.27,0.27,268800,0.0,0.0
1972-08-16,0.27,0.27,0.27,0.27,420000,0.0,0.0
1972-08-17,0.27,0.27,0.26,0.26,379200,0.0,0.0
1972-08-18,0.26,0.27,0.26,0.26,232800,0.0,0.0
1972-08-21,0.26,0.27,0.26,0.27,244800,0.0,0.0
1972-08-22,0.27,0.27,0.26,0.27,364800,0.0,0.0
1972-08-23,0.27,0.27,0.26,0.26,314400,0.0,0.0
1972-08-24,0.26,0.26,0.26,0.26,105600,0.0,0.0
1972-08-25,0.26,0.26,0.26,0.26,81600,0.0,0.0
1972-08-28,0.26,0.26,0.26,0.26,177600,0.0,0.0
1972-08-29,0.26,0.26,0.26,0.26,343200,0.0,0.0
1972-08-30,0.26,0.26,0.26,0.26,127200,0.0,0.0
1972-08-31,0.26,0.26,0.26,0.26,278400,0.0,0.0
1972-09-01,0.26,0.27,0.26,0.26,196800,0.0,0.0
1972-09-05,0.26,0.26,0.26,0.26,117600,0.0,0.0
1972-09-06,0.26,0.27,0.26,0.26,115200,0.0,0.0
1972-09-07,0.26,0.26,0.26,0.26,93600,0.0,0.0
1972-09-08,0.26,0.26,0.26,0.26,62400,0.0,0.0
1972-09-11,0.26,0.26,0.26,0.26,136800,0.0,0.0
1972-09-12,0.26,0.26,0.26,0.26,280800,0.0,0.0
1972-09-13,0.26,0.26,0.26,0.26,156000,0.0,0.0
1972-09-14,0.26,0.26,0.26,0.26,163200,0.0,0.0
1972-09-15,0.26,0.26,0.25,0.25,427200,0.0,0.0
1972-09-18,0.25,0.26,0.25,0.25,211200,0.0,0.0
1972-09-19,0.25,0.25,0.25,0.25,141600,0.0,0.0
1972-09-20,0.25,0.25,0.25,0.25,276000,0.0,0.0
1972-09-21,0.25,0.25,0.25,0.25,240000,0.0,0.0
1972-09-22,0.25,0.25,0.25,0.25,314400,0.0,0.0
1972-09-25,0.25,0.25,0.25,0.25,271200,0.0,0.0
1972-09-26,0.25,0.25,0.25,0.25,523200,0.0,0.0
1972-09-27,0.25,0.25,0.25,0.25,297600,0.0,0.0
1972-09-28,0.25,0.26,0.25,0.26,357600,0.0,0.0
1972-09-29,0.26,0.27,0.26,0.27,199200,0.0,0.0
1972-10-02,0.26,0.26,0.26,0.26,264000,0.0,0.0
1972-10-03,0.26,0.26,0.26,0.26,93600,0.0,0.0
1972-10-04,0.26,0.26,0.26,0.26,112800,0.0,0.0
1972-10-05,0.26,0.26,0.26,0.26,938400,0.0,0.0
1972-10-06,0.26,0.27,0.26,0.26,657600,0.0,0.0
1972-10-09,0.26,0.26,0.26,0.26,151200,0.0,0.0
1972-10-10,0.26,0.26,0.26,0.26,156000,0.0,0.0
1972-10-11,0.26,0.26,0.26,0.26,206400,0.0,0.0
1972-10-12,0.26,0.26,0.26,0.26,194400,0.0,0.0
1972-10-13,0.26,0.26,0.26,0.26,235200,0.0,0.0
1972-10-16,0.26,0.26,0.25,0.26,91200,0.0,0.0
1972-10-17,0.26,0.26,0.26,0.26,192000,0.0,0.0
1972-10-18,0.26,0.26,0.26,0.26,196800,0.0,0.0
1972-10-19,0.26,0.26,0.26,0.26,134400,0.0,0.0
1972-10-20,0.26,0.26,0.26,0.26,91200,0.0,0.0
1972-10-23,0.26,0.26,0.26,0.26,321600,0.0,0.0
1972-10-24,0.26,0.26,0.26,0.26,600000,0.0,0.0
1972-10-25,0.26,0.26,0.26,0.26,86400,0.0,0.0
1972-10-26,0.27,0.27,0.27,0.27,268800,0.0,0.0
1972-10-27,0.27,0.27,0.26,0.26,578400,0.0,0.0
1972-10-30,0.26,0.27,0.26,0.26,340800,0.0,0.0
1972-10-31,0.26,0.27,0.26,0.27,290400,0.0,0.0
1972-11-01,0.27,0.27,0.27,0.27,316800,0.0,0.0
1972-11-02,0.27,0.27,0.27,0.27,789600,0.0,0.0
1972-11-03,0.27,0.27,0.27,0.27,230400,0.0,0.0
1972-11-06,0.27,0.27,0.27,0.27,211200,0.0,0.0
1972-11-08,0.27,0.28,0.27,0.28,376800,0.0,0.0
1972-11-09,0.28,0.28,0.28,0.28,220800,0.0,0.0
1972-11-10,0.28,0.28,0.28,0.28,372000,0.0,0.0
1972-11-13,0.28,0.28,0.28,0.28,148800,0.0125,0.0
1972-11-14,0.28,0.28,0.28,0.28,468000,0.0,0.0
1972-11-15,0.28,0.28,0.28,0.28,259200,0.0,0.0
1972-11-16,0.28,0.28,0.27,0.28,192000,0.0,0.0
1972-11-17,0.28,0.28,0.28,0.28,180000,0.0,0.0
1972-11-20,0.28,0.28,0.28,0.28,141600,0.0,0.0
1972-11-21,0.28,0.28,0.28,0.28,91200,0.0,0.0
1972-11-22,0.28,0.28,0.27,0.27,139200,0.0,0.0
1972-11-24,0.27,0.27,0.27,0.27,98400,0.0,0.0
1972-11-27,0.27,0.27,0.27,0.27,120000,0.0,0.0
1972-11-28,0.27,0.27,0.27,0.27,489600,0.0,0.0
1972-11-29,0.27,0.27,0.26,0.26,132000,0.0,0.0
1972-11-30,0.26,0.26,0.26,0.26,124800,0.0,0.0
1972-12-01,0.26,0.27,0.26,0.27,295200,0.0,0.0
1972-12-04,0.26,0.26,0.26,0.26,146400,0.0,0.0
1972-12-05,0.26,0.26,0.26,0.26,362400,0.0,0.0
1972-12-06,0.26,0.27,0.26,0.27,489600,0.0,0.0
