Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1989-10-04,1.24,1.28,1.22,1.26,20636000,0.0,0.0
1989-10-05,1.26,1.32,1.26,1.3,6453600,0.0,0.0
1989-10-06,1.3,1.32,1.28,1.28,2755200,0.0,0.0
1989-10-09,1.28,1.28,1.26,1.28,1084000,0.0,0.0
1989-10-10,1.29,1.29,1.26,1.27,1493600,0.0,0.0
1989-10-11,1.26,1.26,1.24,1.26,1260000,0.0,0.0
1989-10-12,1.26,1.28,1.26,1.27,602400,0.0,0.0
1989-10-13,1.27,1.27,1.24,1.25,3970400,0.0,0.0
1989-10-16,1.19,1.24,1.19,1.24,3924800,0.0,0.0
1989-10-17,1.22,1.26,1.22,1.26,1843200,0.0,0.0
1989-10-18,1.26,1.29,1.25,1.28,1128000,0.0,0.0
1989-10-19,1.27,1.28,1.27,1.28,1040000,0.0,0.0
1989-10-20,1.27,1.27,1.26,1.27,237600,0.0,0.0
1989-10-23,1.28,1.29,1.28,1.28,87200,0.0,0.0
1989-10-24,1.28,1.29,1.27,1.29,689600,0.0,0.0
1989-10-25,1.28,1.3,1.26,1.28,608000,0.0,0.0
1989-10-26,1.28,1.29,1.28,1.28,228800,0.0,0.0
1989-10-27,1.28,1.28,1.26,1.26,456000,0.0,0.0
1989-10-30,1.26,1.26,1.26,1.26,250400,0.0,0.0
1989-10-31,1.26,1.26,1.26,1.26,424800,0.0,0.0
1989-11-01,1.26,1.29,1.26,1.29,715200,0.0,0.0
1989-11-02,1.3,1.33,1.3,1.33,130400,0.0,0.0
1989-11-03,1.32,1.38,1.32,1.37,1118400,0.0,0.0
1989-11-06,1.37,1.37,1.3,1.3,264800,0.0,0.0
1989-11-07,1.28,1.35,1.26,1.35,727200,0.0,0.0
1989-11-08,1.35,1.37,1.34,1.37,236800,0.0,0.0
1989-11-09,1.37,1.37,1.35,1.35,60800,0.0,0.0
1989-11-10,1.35,1.35,1.28,1.29,210400,0.0,0.0
