Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-11,338.93,372.16,319.0,348.9,792500,0.0,0.0
2000-08-14,348.07,348.9,319.0,319.0,80200,0.0,0.0
2000-08-15,323.15,328.97,319.0,322.32,48400,0.0,0.0
2000-08-16,320.66,347.24,320.66,328.97,42100,0.0,0.0
2000-08-17,325.64,332.29,317.34,319.0,47200,0.0,0.0
2000-08-18,333.12,382.13,328.97,380.47,60400,0.0,0.0
2000-08-21,400.41,431.98,370.5,403.73,66500,0.0,0.0
2000-08-22,408.72,417.02,358.87,358.87,33800,0.0,0.0
2000-08-23,360.53,365.52,338.93,345.58,17900,0.0,0.0
2000-08-24,343.92,347.24,320.66,320.66,18400,0.0,0.0
2000-08-25,333.95,343.92,322.32,342.26,20100,0.0,0.0
2000-08-28,356.38,360.12,332.29,348.9,19400,0.0,0.0
2000-08-29,357.21,358.87,335.61,355.55,22700,0.0,0.0
2000-08-30,354.72,390.44,352.23,377.15,19800,0.0,0.0
2000-08-31,400.41,438.62,395.42,430.31,87300,0.0,0.0
2000-09-01,428.65,431.98,398.75,418.68,27700,0.0,0.0
2000-09-05,420.35,431.98,412.04,413.7,23000,0.0,0.0
2000-09-06,428.65,431.98,405.39,412.04,20500,0.0,0.0
2000-09-07,425.33,425.33,355.55,382.13,23900,0.0,0.0
2000-09-08,379.22,385.46,365.52,372.16,15900,0.0,0.0
2000-09-11,367.18,372.16,358.87,368.84,34500,0.0,0.0
2000-09-12,361.36,367.18,342.26,345.58,33800,0.0,0.0
2000-09-13,338.93,348.9,328.97,332.29,10300,0.0,0.0
2000-09-14,368.84,368.84,332.29,337.27,8100,0.0,0.0
2000-09-15,333.95,345.58,332.29,333.95,3600,0.0,0.0
2000-09-18,348.9,352.23,317.34,320.66,18600,0.0,0.0
2000-09-19,348.07,348.9,285.77,299.06,48000,0.0,0.0
2000-09-20,305.71,307.37,259.19,275.8,24100,0.0,0.0
2000-09-21,274.14,285.77,270.82,282.45,25200,0.0,0.0
2000-09-22,255.03,287.43,250.88,280.78,8400,0.0,0.0
2000-09-25,282.45,287.43,249.22,250.88,21000,0.0,0.0
2000-09-26,262.51,264.17,239.25,245.89,19600,0.0,0.0
2000-09-27,250.05,250.88,229.28,248.39,16700,0.0,0.0
2000-09-28,245.89,285.77,242.57,265.83,22000,0.0,0.0
2000-09-29,268.32,269.15,231.77,235.93,19100,0.0,0.0
2000-10-02,249.22,250.05,222.63,225.96,6800,0.0,0.0
2000-10-03,228.45,235.93,206.02,211.0,10100,0.0,0.0
2000-10-04,212.66,214.33,179.44,189.4,14600,0.0,0.0
2000-10-05,184.42,215.99,172.79,174.45,15100,0.0,0.0
2000-10-06,184.84,186.08,157.84,161.99,11400,0.0,0.0
2000-10-09,174.45,177.77,153.68,164.48,10600,0.0,0.0
2000-10-10,167.81,169.47,146.21,151.19,13200,0.0,0.0
2000-10-11,139.56,152.85,107.99,109.66,42400,0.0,0.0
2000-10-12,135.41,139.56,119.62,137.9,37200,0.0,0.0
2000-10-13,151.19,209.34,147.04,201.03,42800,0.0,0.0
2000-10-16,215.99,217.65,196.05,215.99,38500,0.0,0.0
2000-10-17,225.96,227.62,202.7,207.68,11000,0.0,0.0
2000-10-18,206.02,222.63,157.84,214.33,19300,0.0,0.0
2000-10-19,225.96,247.56,179.44,183.59,25900,0.0,0.0
2000-10-20,199.37,199.37,186.08,194.39,21700,0.0,0.0
2000-10-23,196.05,223.46,189.4,219.31,17800,0.0,0.0
2000-10-24,220.56,225.96,215.99,224.29,19700,0.0,0.0
2000-10-25,222.22,225.96,209.34,225.96,13200,0.0,0.0
2000-10-26,225.13,255.86,224.29,240.91,8700,0.0,0.0
2000-10-27,242.16,242.57,229.28,239.25,3300,0.0,0.0
2000-10-30,237.59,249.22,229.28,237.59,7600,0.0,0.0
2000-10-31,242.57,272.48,232.6,259.19,10400,0.0,0.0
2000-11-01,258.77,279.12,254.2,259.19,11500,0.0,0.0
2000-11-02,258.77,262.51,235.93,245.89,7800,0.0,0.0
2000-11-03,238.42,250.88,238.42,242.57,7700,0.0,0.0
2000-11-06,245.89,249.22,230.94,235.93,9700,0.0,0.0
2000-11-07,239.25,239.25,232.6,235.93,6600,0.0,0.0
2000-11-08,235.93,235.93,200.2,214.33,20900,0.0,0.0
2000-11-09,199.37,212.66,199.37,210.17,12600,0.0,0.0
2000-11-10,203.11,206.02,197.71,197.71,18100,0.0,0.0
2000-11-13,184.42,187.74,181.1,187.74,13700,0.0,0.0
2000-11-14,186.91,194.39,172.79,176.11,15700,0.0,0.0
2000-11-15,182.76,184.42,167.81,167.81,20400,0.0,0.0
2000-11-16,173.21,176.11,166.14,168.64,3900,0.0,0.0
2000-11-17,181.93,182.76,169.47,176.11,14100,0.0,0.0
2000-11-20,173.62,174.45,167.81,167.81,5400,0.0,0.0
2000-11-21,168.64,172.79,164.48,164.48,8200,0.0,0.0
2000-11-22,166.14,166.14,159.5,159.5,11400,0.0,0.0
