Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-08-12,2.08,2.08,1.96,2.05,13086600,0.0,0.0
1993-08-13,2.04,2.04,1.99,1.99,1277800,0.0,0.0
1993-08-16,1.99,2.01,1.98,2.01,559000,0.0,0.0
1993-08-17,2.01,2.02,2.0,2.02,545600,0.0,0.0
1993-08-18,2.02,2.02,2.02,2.02,469200,0.0,0.0
1993-08-19,2.02,2.02,1.98,1.98,409400,0.0,0.0
1993-08-20,1.99,2.02,1.99,2.0,540800,0.0,0.0
1993-08-23,2.0,2.02,1.99,2.01,335600,0.0,0.0
1993-08-24,2.01,2.03,2.01,2.03,234400,0.0,0.0
1993-08-25,2.02,2.02,2.01,2.01,102600,0.0,0.0
1993-08-26,2.01,2.05,2.01,2.05,180400,0.0,0.0
1993-08-27,2.05,2.05,2.02,2.02,119600,0.0,0.0
1993-08-30,2.02,2.04,2.02,2.02,71400,0.0,0.0
1993-08-31,2.02,2.07,2.02,2.06,147000,0.0,0.0
1993-09-01,2.07,2.08,2.05,2.05,141600,0.0,0.0
1993-09-02,2.08,2.08,2.06,2.08,217600,0.0,0.0
1993-09-03,2.07,2.12,2.07,2.1,178800,0.0,0.0
1993-09-07,2.09,2.12,2.09,2.11,167600,0.0,0.0
1993-09-08,2.12,2.13,2.08,2.08,276200,0.0,0.0
1993-09-09,2.08,2.13,2.08,2.1,74400,0.0,0.0
1993-09-10,2.09,2.19,2.09,2.17,245000,0.0,0.0
1993-09-13,2.14,2.15,2.13,2.15,251200,0.0,0.0
1993-09-14,2.11,2.12,2.09,2.11,127000,0.0,0.0
1993-09-15,2.11,2.11,2.09,2.11,162400,0.0,0.0
1993-09-16,2.13,2.13,2.11,2.13,88800,0.0,0.0
1993-09-17,2.12,2.16,2.11,2.16,113000,0.0,0.0
1993-09-20,2.15,2.17,2.14,2.14,15400,0.21,0.0
1993-09-21,2.16,2.16,2.14,2.15,286000,0.0,0.0
1993-09-22,2.14,2.17,2.14,2.17,54800,0.0,0.0
1993-09-23,2.16,2.16,2.14,2.15,51000,0.0,0.0
1993-09-24,2.14,2.19,2.14,2.19,265000,0.0,0.0
1993-09-27,2.19,2.29,2.19,2.28,675400,0.0,0.0
1993-09-28,2.27,2.3,2.25,2.29,360800,0.0,0.0
1993-09-29,2.29,2.34,2.29,2.29,823200,0.0,0.0
1993-09-30,2.28,2.29,2.25,2.26,138000,0.0,0.0
1993-10-01,2.26,2.29,2.26,2.26,31600,0.0,0.0
1993-10-04,2.25,2.25,2.2,2.22,27600,0.0,0.0
1993-10-05,2.22,2.24,2.21,2.22,87600,0.0,0.0
1993-10-06,2.2,2.26,2.2,2.25,327600,0.0,0.0
1993-10-07,2.23,2.29,2.23,2.26,40400,0.0,0.0
1993-10-08,2.28,2.54,2.28,2.49,1242600,0.0,0.0
1993-10-11,2.47,2.51,2.47,2.47,885200,0.0,0.0
1993-10-12,2.47,2.65,2.47,2.62,708200,0.0,0.0
1993-10-13,2.63,2.63,2.58,2.58,55600,0.0,0.0
1993-10-14,2.58,2.58,2.58,2.58,55000,0.0,0.0
1993-10-15,2.58,2.67,2.58,2.63,200600,0.0,0.0
1993-10-18,2.63,2.66,2.58,2.63,47200,0.0,0.0
1993-10-19,2.61,2.61,2.54,2.54,173400,0.0,0.0
1993-10-20,2.54,2.55,2.48,2.53,141600,0.0,0.0
1993-10-21,2.52,2.52,2.5,2.51,32200,0.0,0.0
1993-10-22,2.5,2.58,2.5,2.54,161000,0.0,0.0
1993-10-25,2.53,2.56,2.49,2.53,48000,0.0,0.0
1993-10-26,2.49,2.49,2.46,2.46,27000,0.0,0.0
1993-10-27,2.43,2.44,2.43,2.43,122400,0.0,0.0
1993-10-28,2.43,2.47,2.4,2.47,75400,0.0,0.0
1993-10-29,2.49,2.52,2.47,2.52,224400,0.0,0.0
1993-11-01,2.51,2.53,2.5,2.53,24400,0.0,0.0
1993-11-02,2.51,2.53,2.5,2.52,68800,0.0,0.0
1993-11-03,2.52,2.54,2.51,2.54,233600,0.0,0.0
1993-11-04,2.53,2.53,2.45,2.45,267400,0.0,0.0
1993-11-05,2.45,2.54,2.45,2.53,333200,0.0,0.0
1993-11-08,2.54,2.61,2.53,2.61,164600,0.0,0.0
1993-11-09,2.63,2.65,2.61,2.61,192800,0.0,0.0
1993-11-10,2.59,2.59,2.56,2.56,6800,0.0,0.0
1993-11-11,2.54,2.54,2.5,2.53,95800,0.0,0.0
1993-11-12,2.54,2.54,2.53,2.53,70400,0.0,0.0
1993-11-15,2.52,2.52,2.43,2.51,138000,0.0,0.0
1993-11-16,2.5,2.5,2.45,2.46,12200,0.0,0.0
1993-11-17,2.44,2.45,2.37,2.39,190800,0.0,0.0
1993-11-18,2.36,2.37,2.26,2.29,310600,0.0,0.0
1993-11-19,2.29,2.3,2.26,2.29,180200,0.0,0.0
1993-11-22,2.28,2.28,2.27,2.28,52200,0.0,0.0
