Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,75.89,76.32,75.08,76.08,3532487,0,0
2018-03-05,74.3,75.59,74.22,74.76,3699342,0,0
2018-03-13,78.52,78.73,76.71,77.0,7995743,0,0
2018-03-14,77.24,77.54,75.9,76.7,8366125,0,0
2018-03-15,76.62,77.03,76.0,76.33,4027654,0,0
2018-03-16,76.85,76.91,75.89,76.02,5624840,0,0
2018-03-19,75.78,75.85,72.88,72.99,7891936,0,0
2018-03-20,73.53,73.86,72.21,72.42,6355985,0,0
2018-03-21,72.2,72.82,71.57,71.68,5994907,0,0
2018-03-22,71.18,71.98,70.36,70.47,4631776,0,0
2018-03-23,70.55,71.14,69.77,70.16,5224477,0,0
2018-03-26,70.66,71.88,69.22,71.7,7627677,0,0
2018-03-27,71.93,72.52,69.94,70.37,6231604,0,0
2018-03-28,70.56,70.95,69.7,69.73,5565354,0,0
2018-03-29,70.21,70.49,69.0,69.08,4558988,0,0
2018-04-02,68.89,68.94,66.93,67.87,4445157,0,0
2018-04-03,68.18,69.83,67.34,69.01,2920836,0,0
2018-04-04,68.4,71.02,68.05,70.04,6806653,0,0
2018-04-05,70.28,70.64,69.02,69.18,3209202,0,0
2018-04-06,68.69,69.29,67.37,67.88,3195176,0,0
2018-04-09,68.23,69.5,67.75,68.03,4428888,0,0
2018-04-10,68.6,70.19,68.4,69.82,3692462,0,0
2018-04-11,69.26,70.03,69.0,69.72,2868636,0,0
2018-04-12,69.98,72.17,69.9,71.61,3753707,0,0
2018-04-13,71.9,72.48,71.04,71.62,2930781,0,0
2018-04-16,71.83,73.11,71.5,71.99,5858572,0,0
2018-04-17,72.72,73.14,72.28,72.5,2452985,0,0
2018-04-18,72.72,75.05,72.52,74.74,3799551,0,0
2018-04-19,74.37,74.7,73.42,73.76,2705709,0,0
2018-04-20,73.83,74.08,72.39,73.49,2469857,0,0
2018-04-23,73.75,75.55,72.88,75.19,3433390,0,0
2018-04-24,75.63,76.33,74.79,75.49,2413142,0,0
2018-04-25,75.16,76.74,74.92,76.52,2374846,0,0
2018-04-26,76.66,77.33,76.09,76.71,2436646,0,0
2018-04-27,76.49,77.73,76.17,77.21,1751824,0,0
2018-04-30,77.43,77.49,75.37,75.7,3628203,0,0
2018-05-01,75.67,76.14,74.43,75.87,2416416,0,0
2018-05-02,75.72,75.78,73.97,74.05,3383559,0,0
2018-05-03,72.98,73.89,71.51,72.2,5005300,0,0
2018-05-04,71.71,72.12,69.31,70.22,4548915,0,0
2018-05-07,69.7,71.44,68.95,69.69,5169545,0,0
2018-05-08,69.74,69.87,67.71,68.12,5776406,0,0
2018-05-09,68.37,69.34,67.05,68.63,4782328,0,0
2018-05-10,68.9,71.39,68.9,70.96,3814529,0,0
2018-05-11,70.83,73.78,67.85,72.8,5786735,0,0
2018-05-14,72.66,74.09,72.66,73.67,3264550,0,0
2018-05-15,73.33,73.77,72.77,73.24,4818170,0,0
2018-05-16,73.44,74.05,73.1,73.73,1657951,0,0
2018-05-17,73.59,76.92,73.51,76.35,6019727,0,0
2018-05-18,76.81,76.83,75.36,75.65,3761739,0,0
2018-05-21,75.85,76.61,75.77,76.52,4726949,0,0
2018-05-22,76.57,78.47,76.5,77.75,6377997,0,0
2018-05-23,77.11,77.69,76.33,77.01,2180912,0,0
2018-05-24,77.11,77.11,75.69,76.8,1492266,0,0
2018-05-25,76.67,77.47,76.59,77.08,1829926,0,0
2018-05-29,76.56,76.96,75.67,76.09,1697562,0,0
2018-05-30,76.49,77.31,75.91,76.21,2693587,0,0
2018-05-31,76.34,77.0,75.17,75.81,3276956,0,0
2018-06-01,76.1,77.39,75.86,77.07,2890321,0,0
2018-06-04,77.06,77.22,75.1,75.54,2264615,0,0
2018-06-05,74.97,75.83,74.4,74.87,2674431,0,0
2018-06-06,74.94,76.73,74.94,76.53,2851296,0,0
2018-06-07,76.48,78.35,76.39,78.15,2435660,0,0
2018-06-08,78.0,78.81,75.5,78.39,2512726,0,0
2018-06-11,78.34,79.85,77.87,79.57,2403403,0,0
2018-06-12,79.24,79.5,78.67,79.17,3194568,0,0
2018-06-13,82.28,83.32,81.29,81.77,6087554,0,0
2018-06-14,82.0,82.47,81.21,82.24,2118773,0,0
2018-06-15,82.57,82.57,81.57,81.75,4887518,0,0
2018-06-18,81.23,81.55,79.76,80.48,2896308,0,0
2018-06-19,79.77,80.61,79.6,80.58,3273443,0,0
2018-06-20,80.62,80.76,79.91,80.1,2185813,0,0
2018-06-21,79.92,80.28,78.99,79.36,3304614,0,0
2018-06-22,79.8,79.98,78.77,79.23,4293641,0,0
2018-06-25,78.96,79.83,78.48,79.24,2068133,0,0
2018-06-26,78.97,79.04,77.57,77.84,2600711,0,0
2018-06-27,77.79,79.13,77.36,78.74,3252550,0,0
2018-06-28,76.43,77.76,75.01,77.62,4478425,0,0
2018-06-29,77.49,78.48,77.01,77.21,2220088,0,0
2018-07-02,77.05,78.06,76.82,77.99,1632865,0,0
2018-07-03,78.5,79.96,77.94,79.91,1585814,0,0
2018-07-05,80.0,80.16,79.44,79.96,3060654,0,0
2018-07-06,80.25,80.69,79.86,80.07,1776994,0,0
2018-07-09,80.15,80.64,79.45,79.63,2208051,0,0
2018-07-10,79.91,80.65,79.5,80.56,1526719,0,0
2018-07-11,80.26,80.81,79.18,80.57,1497598,0,0
2018-07-12,80.87,82.79,80.02,81.61,4211966,0,0
2018-07-13,81.65,81.99,81.17,81.48,1289032,0,0
2018-07-16,81.27,81.44,80.5,80.93,1982215,0,0
2018-07-17,80.74,80.97,79.75,79.88,2653295,0,0
2018-07-18,79.49,80.38,77.79,77.89,6283994,0,0
2018-07-19,77.51,77.68,75.4,76.73,6124956,0,0
2018-07-20,76.11,77.81,75.91,77.56,4688839,0,0
2018-07-23,77.34,80.01,76.89,79.42,2832609,0,0
2018-07-24,79.37,80.57,78.79,79.39,2288706,0,0
2018-07-25,79.16,79.54,78.61,78.75,2399291,0,0
2018-07-26,79.36,80.29,79.0,79.48,2369281,0,0
2018-07-27,79.16,79.92,78.26,79.45,1764567,0,0
2018-07-30,79.41,80.64,78.68,79.78,2189001,0,0
2018-07-31,79.75,80.71,79.13,79.46,2657311,0,0
2018-08-01,79.2,80.34,72.0,74.44,12464219,0,0
2018-08-02,75.34,78.86,75.11,77.98,8141582,0,0
2018-08-03,78.39,78.8,77.48,77.52,2927400,0,0
2018-08-06,77.14,77.89,76.0,76.83,3356777,0,0
2018-08-07,76.35,79.04,76.01,78.95,4228712,0,0
2018-08-08,79.17,80.68,75.89,78.88,12231677,0,0
2018-08-09,79.16,82.29,78.31,81.82,8226446,0,0
2018-08-10,83.06,85.42,82.76,83.64,8139578,0,0
2018-08-13,83.61,84.34,83.58,84.02,4550165,0,0
2018-08-14,84.67,86.07,84.34,86.0,6722533,0,0
2018-08-15,85.5,86.86,85.03,86.65,5132707,0,0
2018-08-16,86.35,87.69,86.2,87.34,5496190,0,0
2018-08-17,87.48,87.65,86.77,87.39,2805909,0,0
2018-08-20,87.66,88.3,87.5,88.0,3991706,0,0
2018-08-21,87.74,88.13,87.68,87.85,5299335,0,0
2018-08-22,87.71,88.3,87.4,87.99,2553570,0,0
2018-08-23,87.82,88.39,87.57,87.73,2569833,0,0
2018-08-24,87.99,88.46,87.76,87.91,3795042,0,0
2018-08-27,87.86,88.18,87.26,87.81,2598803,0,0
2018-08-28,87.51,88.56,87.49,88.09,3607557,0,0
2018-08-29,88.3,88.85,88.01,88.53,2881062,0,0
2018-08-30,88.75,89.6,88.13,88.26,2796217,0,0
2018-08-31,88.09,88.44,87.88,88.02,3263885,0,0
2018-09-04,88.21,88.21,86.93,86.95,3197973,0,0
2018-09-05,86.71,90.75,85.78,89.83,8439041,0,0
2018-09-06,89.55,90.38,89.05,90.23,7023049,0,0
2018-09-07,90.1,91.03,89.46,90.8,4536458,0,0
2018-09-10,90.72,91.36,90.09,90.15,2743963,0,0
2018-09-11,89.45,90.03,88.34,89.65,3007950,0,0
2018-09-12,89.26,90.05,89.26,89.97,3298042,0,0
2018-09-13,90.07,91.37,90.07,91.32,2893306,0,0
2018-09-14,91.02,91.88,91.01,91.82,2718538,0,0
2018-09-17,91.98,96.45,91.52,95.23,10302049,0,0
2018-09-18,94.95,96.05,94.28,94.94,10885860,0,0
2018-09-19,94.65,95.51,94.38,94.64,5001115,0,0
2018-09-20,94.79,95.38,94.79,95.04,5352115,0,0
2018-09-21,95.19,95.51,94.48,94.58,8312150,0,0
2018-09-24,94.15,94.85,94.0,94.4,3967641,0,0
2018-09-25,94.39,94.51,92.41,94.08,5499121,0,0
2018-09-26,94.4,95.11,93.8,94.28,4296135,0,0
2018-09-27,94.31,95.21,94.11,94.81,2437771,0,0
2018-09-28,94.86,95.37,94.3,95.01,5123157,0,0
2018-10-01,95.25,96.36,94.96,95.06,3049637,0,0
2018-10-02,95.2,95.75,95.07,95.27,2665309,0,0
2018-10-03,95.5,96.14,94.57,95.34,4195223,0,0
2018-10-04,95.05,95.68,94.96,95.26,2244315,0,0
2018-10-05,95.5,96.21,95.29,96.03,2341015,0,0
2018-10-08,96.07,96.44,94.92,95.6,2471381,0,0
2018-10-09,95.53,96.68,95.17,96.5,1865375,0,0
2018-10-10,96.67,97.22,94.87,94.87,3602390,0,0
2018-10-11,95.08,95.39,93.3,93.74,3566123,0,0
2018-10-12,94.49,95.1,94.01,94.29,3047268,0,0
2018-10-15,93.94,94.78,93.5,93.52,2801584,0,0
2018-10-16,94.24,96.34,94.07,96.22,2754444,0,0
2018-10-17,96.2,96.38,94.9,95.77,2704362,0,0
2018-10-18,95.59,96.48,95.46,96.15,2560820,0,0
2018-10-19,95.62,96.97,94.94,95.3,2435029,0,0
2018-10-22,95.1,95.77,94.5,94.99,2372044,0,0
2018-10-23,94.32,95.56,93.84,95.51,2825968,0,0
2018-10-24,95.41,95.83,91.92,91.99,5066042,0,0
2018-10-25,92.6,95.72,92.17,95.41,3966308,0,0
2018-10-26,94.37,95.27,93.62,94.28,3492239,0,0
2018-10-29,95.05,95.88,93.63,94.87,2907195,0,0
2018-10-30,95.4,95.84,94.43,95.42,2716583,0,0
2018-10-31,95.74,97.63,95.43,96.97,4246814,0,0
2018-11-01,98.0,98.98,96.11,97.24,3953871,0,0
2018-11-02,98.0,98.09,95.92,96.74,2335772,0,0
2018-11-05,96.75,97.93,96.75,97.45,2061970,0,0
2018-11-06,97.68,98.54,97.31,98.19,3557427,0,0
2018-11-07,98.93,100.43,98.86,99.48,5331459,0,0
2018-11-08,99.0,99.9,98.85,99.32,3991591,0,0
2018-11-09,99.35,99.66,98.45,98.48,3391869,0,0
2018-11-12,98.67,99.02,98.16,98.2,2930577,0,0
2018-11-13,98.6,98.72,96.76,96.88,4444130,0,0
2018-11-14,97.16,97.75,96.38,96.48,3865499,0,0
2018-11-15,95.97,98.13,95.66,97.46,3318435,0,0
2018-11-16,97.23,98.13,97.23,97.64,3630042,0,0
2018-11-19,97.7,97.96,96.47,96.9,3764363,0,0
2018-11-20,97.27,97.7,95.19,95.29,7926765,0,0
2018-11-21,95.05,97.12,95.05,95.33,6467128,0,0
2018-11-23,94.53,97.02,92.95,96.81,1440925,0,0
2018-11-26,97.45,99.84,97.19,99.12,5134355,0,0
2018-11-27,99.09,99.57,98.11,99.54,4539158,0,0
2018-11-28,99.61,101.19,99.24,101.1,5984412,0,0
2018-11-29,100.41,101.71,100.28,101.22,3256833,0,0
2018-11-30,101.01,101.49,100.39,101.47,4674212,0,0
2018-12-03,101.51,101.73,99.5,100.64,6009474,0,0
2018-12-04,100.64,100.95,98.73,98.87,5421427,0,0
2018-12-06,97.47,99.1,96.03,97.98,5033437,0,0
2018-12-07,97.7,98.57,95.53,95.85,5394550,0,0
2018-12-10,96.28,96.59,94.55,96.01,3468382,0,0
2018-12-11,97.08,97.54,95.7,96.42,4499128,0,0
2018-12-12,97.62,97.97,96.85,96.93,4117094,0,0
2018-12-13,97.09,99.18,97.09,98.95,8429004,0,0
2018-12-14,99.87,99.98,97.76,98.22,8031772,0,0
2018-12-17,97.4,97.66,96.26,96.64,6946163,0,0
2018-12-18,97.21,97.73,94.53,95.03,6044176,0,0
2018-12-19,94.98,97.7,94.6,95.8,12738175,0,0
2018-12-20,95.57,95.87,92.11,92.33,31612912,0,0
2018-12-21,92.33,92.33,92.33,92.33,0,0,0
