Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-06-07,5.87,6.02,5.87,5.94,1595400,0.0,0
1994-06-08,5.94,5.94,5.87,5.9,162400,0.0,0
1994-06-09,5.9,5.9,5.87,5.9,76200,0.0,0
1994-06-10,5.9,5.9,5.83,5.87,110500,0.0,0
1994-06-13,5.87,5.87,5.83,5.87,51200,0.0,0
1994-06-14,5.87,5.9,5.87,5.9,28100,0.0,0
1994-06-15,5.9,5.98,5.87,5.9,96700,0.0,0
1994-06-16,5.9,5.9,5.87,5.87,19800,0.0,0
1994-06-17,5.87,5.9,5.83,5.83,56000,0.0,0
1994-06-20,5.83,5.87,5.83,5.87,43500,0.0,0
1994-06-21,5.87,5.87,5.83,5.83,34700,0.0,0
1994-06-22,5.83,5.87,5.83,5.83,29500,0.0,0
1994-06-23,5.83,5.87,5.75,5.75,67900,0.0,0
1994-06-24,5.74,5.74,5.58,5.66,72500,0.08,0
1994-06-27,5.66,5.66,5.31,5.51,70100,0.0,0
1994-06-28,5.51,5.58,5.39,5.43,64700,0.0,0
1994-06-29,5.47,5.58,5.47,5.51,25100,0.0,0
1994-06-30,5.51,5.54,5.43,5.43,26100,0.0,0
1994-07-01,5.43,5.47,5.35,5.47,25500,0.0,0
1994-07-05,5.47,5.51,5.47,5.51,2900,0.0,0
1994-07-06,5.51,5.51,5.39,5.43,33600,0.0,0
1994-07-07,5.43,5.51,5.43,5.43,30500,0.0,0
1994-07-08,5.43,5.51,5.43,5.43,30200,0.0,0
1994-07-11,5.43,5.51,5.39,5.47,29300,0.0,0
1994-07-12,5.47,5.51,5.43,5.47,11700,0.0,0
1994-07-13,5.47,5.51,5.43,5.47,37800,0.0,0
1994-07-14,5.47,5.51,5.43,5.51,24600,0.0,0
1994-07-15,5.51,5.54,5.51,5.54,15000,0.0,0
1994-07-18,5.54,5.54,5.51,5.54,22900,0.0,0
1994-07-19,5.54,5.7,5.54,5.7,25700,0.0,0
1994-07-20,5.7,5.7,5.58,5.62,15900,0.0,0
1994-07-21,5.62,5.62,5.54,5.62,16000,0.0,0
1994-07-22,5.62,5.7,5.62,5.66,18800,0.0,0
1994-07-25,5.66,5.7,5.62,5.7,20100,0.0,0
1994-07-26,5.7,5.74,5.66,5.7,14200,0.0,0
1994-07-27,5.66,5.66,5.58,5.62,10100,0.0,0
1994-07-28,5.58,5.58,5.51,5.51,9200,0.0,0
1994-07-29,5.51,5.51,5.43,5.47,71400,0.0,0
1994-08-01,5.47,5.47,5.43,5.43,23500,0.0,0
1994-08-02,5.43,5.58,5.43,5.58,36700,0.0,0
1994-08-03,5.58,5.66,5.51,5.66,16300,0.0,0
1994-08-04,5.66,5.66,5.51,5.54,19800,0.0,0
1994-08-05,5.54,5.54,5.51,5.54,9100,0.0,0
1994-08-08,5.54,5.58,5.51,5.54,20100,0.0,0
1994-08-09,5.51,5.51,5.47,5.47,26700,0.0,0
1994-08-10,5.47,5.58,5.47,5.58,52600,0.0,0
1994-08-11,5.58,5.62,5.51,5.51,15800,0.0,0
1994-08-12,5.51,5.58,5.51,5.54,6100,0.0,0
1994-08-15,5.54,5.54,5.51,5.51,14400,0.0,0
1994-08-16,5.51,5.58,5.51,5.58,16800,0.0,0
1994-08-17,5.58,5.58,5.54,5.58,14500,0.0,0
1994-08-18,5.54,5.54,5.51,5.54,11500,0.0,0
1994-08-19,5.54,5.58,5.51,5.54,10300,0.0,0
1994-08-22,5.54,5.58,5.54,5.58,6500,0.0,0
1994-08-23,5.58,5.58,5.54,5.58,9600,0.0,0
1994-08-24,5.58,5.58,5.54,5.58,18300,0.0,0
1994-08-25,5.58,5.58,5.47,5.47,12800,0.0,0
1994-08-26,5.47,5.54,5.47,5.54,13400,0.0,0
1994-08-29,5.54,5.58,5.51,5.58,11900,0.0,0
1994-08-30,5.58,5.62,5.54,5.62,39400,0.0,0
1994-08-31,5.62,5.7,5.62,5.66,23900,0.0,0
1994-09-01,5.66,5.7,5.62,5.7,31400,0.0,0
1994-09-02,5.7,5.85,5.66,5.85,27800,0.0,0
1994-09-06,5.81,5.81,5.74,5.78,8800,0.0,0
1994-09-07,5.78,5.81,5.74,5.78,10800,0.0,0
1994-09-08,5.78,5.81,5.74,5.74,7100,0.0,0
1994-09-09,5.74,5.78,5.62,5.74,17800,0.0,0
1994-09-12,5.74,5.78,5.74,5.78,9300,0.0,0
1994-09-13,5.78,5.78,5.7,5.7,11400,0.0,0
1994-09-14,5.7,5.74,5.66,5.66,7800,0.0,0
1994-09-15,5.66,5.74,5.62,5.74,8700,0.0,0
1994-09-16,5.74,5.74,5.62,5.62,10700,0.0,0
1994-09-19,5.62,5.7,5.58,5.7,7200,0.0,0
1994-09-20,5.7,5.78,5.7,5.74,11700,0.0,0
1994-09-21,5.74,5.74,5.58,5.66,12800,0.0,0
1994-09-22,5.66,5.66,5.51,5.54,20400,0.0,0
1994-09-23,5.54,5.54,5.43,5.51,5500,0.0,0
1994-09-26,5.64,5.68,5.4,5.68,18000,0.4175,0
